 r[σ]         g_ii         c_ii        
 1.40000e-02  0.00000e+00 -1.97868e+05
 2.80000e-02  0.00000e+00 -1.97868e+05
 4.20000e-02  0.00000e+00 -1.97868e+05
 5.60000e-02  0.00000e+00 -1.97868e+05
 7.00000e-02  0.00000e+00 -1.97868e+05
 8.40000e-02  0.00000e+00 -1.97868e+05
 9.80000e-02  0.00000e+00 -1.97868e+05
 1.12000e-01  0.00000e+00 -1.97868e+05
 1.26000e-01  0.00000e+00 -1.97868e+05
 1.40000e-01  0.00000e+00 -1.97868e+05
 1.54000e-01  0.00000e+00 -1.97868e+05
 1.68000e-01  0.00000e+00 -1.97868e+05
 1.82000e-01  0.00000e+00 -1.97868e+05
 1.96000e-01  0.00000e+00 -1.97868e+05
 2.10000e-01  0.00000e+00 -1.97868e+05
 2.24000e-01  0.00000e+00 -1.97868e+05
 2.38000e-01  0.00000e+00 -1.97868e+05
 2.52000e-01  0.00000e+00 -1.97868e+05
 2.66000e-01  0.00000e+00 -1.97868e+05
 2.80000e-01  0.00000e+00 -1.97868e+05
 2.94000e-01  0.00000e+00 -1.97868e+05
 3.08000e-01  0.00000e+00 -1.97868e+05
 3.22000e-01  0.00000e+00 -1.97868e+05
 3.36000e-01  0.00000e+00 -1.97868e+05
 3.50000e-01  0.00000e+00 -1.97868e+05
 3.64000e-01  0.00000e+00 -1.97868e+05
 3.78000e-01  0.00000e+00 -1.97868e+05
 3.92000e-01  0.00000e+00 -1.97868e+05
 4.06000e-01  0.00000e+00 -1.65431e+05
 4.20000e-01  0.00000e+00 -1.10026e+05
 4.34000e-01  0.00000e+00 -7.41464e+04
 4.48000e-01  0.00000e+00 -5.05845e+04
 4.62000e-01  0.00000e+00 -3.49085e+04
 4.76000e-01  0.00000e+00 -2.43509e+04
 4.90000e-01  0.00000e+00 -1.71582e+04
 5.04000e-01  0.00000e+00 -1.22049e+04
 5.18000e-01  0.00000e+00 -8.75890e+03
 5.32000e-01  1.37533e-05 -6.33840e+03
 5.46000e-01  3.03192e-05 -4.62280e+03
 5.60000e-01  4.55493e-05 -3.39639e+03
 5.74000e-01  5.94867e-05 -2.51257e+03
 5.88000e-01  7.22940e-05 -1.87077e+03
 6.02000e-01  8.41901e-05 -1.40133e+03
 6.16000e-01  9.53984e-05 -1.05562e+03
 6.30000e-01  1.06133e-04 -7.99379e+02
 6.44000e-01  1.16684e-04 -6.08284e+02
 6.58000e-01  1.27637e-04 -4.64951e+02
 6.72000e-01  1.40092e-04 -3.56853e+02
 6.86000e-01  1.55575e-04 -2.74911e+02
 7.00000e-01  1.75507e-04 -2.12493e+02
 7.14000e-01  2.00529e-04 -1.64730e+02
 7.28000e-01  2.30164e-04 -1.28027e+02
 7.42000e-01  2.62979e-04 -9.97093e+01
 7.56000e-01  2.97076e-04 -7.77806e+01
 7.70000e-01  3.30613e-04 -6.07412e+01
 7.84000e-01  3.62156e-04 -4.74596e+01
 7.98000e-01  3.90818e-04 -3.70774e+01
 8.12000e-01  4.16228e-04 -2.89411e+01
 8.26000e-01  4.38420e-04 -2.25506e+01
 8.40000e-01  4.57741e-04 -1.75216e+01
 8.54000e-01  4.76912e-04 -1.35578e+01
 8.68000e-01  5.41927e-04 -1.04299e+01
 8.82000e-01  1.09500e-03 -7.95972e+00
 8.96000e-01  4.48871e-03 -6.00823e+00
 9.10000e-01  1.82401e-02 -4.46681e+00
 9.24000e-01  5.76788e-02 -3.25019e+00
 9.38000e-01  1.43198e-01 -2.29132e+00
 9.52000e-01  2.91135e-01 -1.53728e+00
 9.66000e-01  5.04181e-01 -9.46202e-01
 9.80000e-01  7.68278e-01 -4.84921e-01
 9.94000e-01  1.05740e+00 -1.27067e-01
 1.00800e+00  1.34223e+00  1.48349e-01
 1.02200e+00  1.59783e+00  3.58071e-01
 1.03600e+00  1.80782e+00  5.15474e-01
 1.05000e+00  1.96490e+00  6.31260e-01
 1.06400e+00  2.06921e+00  7.14001e-01
 1.07800e+00  2.12581e+00  7.70572e-01
 1.09200e+00  2.14237e+00  8.06486e-01
 1.10600e+00  2.12729e+00  8.26173e-01
 1.12000e+00  2.08863e+00  8.33187e-01
 1.13400e+00  2.03341e+00  8.30382e-01
 1.14800e+00  1.96747e+00  8.20047e-01
 1.16200e+00  1.89538e+00  8.04019e-01
 1.17600e+00  1.82060e+00  7.83765e-01
 1.19000e+00  1.74568e+00  7.60460e-01
 1.20400e+00  1.67240e+00  7.35038e-01
 1.21800e+00  1.60195e+00  7.08240e-01
 1.23200e+00  1.53510e+00  6.80652e-01
 1.24600e+00  1.47227e+00  6.52733e-01
 1.26000e+00  1.41366e+00  6.24843e-01
 1.27400e+00  1.35929e+00  5.97258e-01
 1.28800e+00  1.30909e+00  5.70187e-01
 1.30200e+00  1.26291e+00  5.43789e-01
 1.31600e+00  1.22054e+00  5.18177e-01
 1.33000e+00  1.18178e+00  4.93431e-01
 1.34400e+00  1.14638e+00  4.69606e-01
 1.35800e+00  1.11412e+00  4.46733e-01
 1.37200e+00  1.08477e+00  4.24826e-01
 1.38600e+00  1.05812e+00  4.03887e-01
 1.40000e+00  1.03397e+00  3.83906e-01
 1.41400e+00  1.01213e+00  3.64867e-01
 1.42800e+00  9.92424e-01  3.46746e-01
 1.44200e+00  9.74689e-01  3.29517e-01
 1.45600e+00  9.58780e-01  3.13150e-01
 1.47000e+00  9.44563e-01  2.97611e-01
 1.48400e+00  9.31913e-01  2.82867e-01
 1.49800e+00  9.20720e-01  2.68885e-01
 1.51200e+00  9.10881e-01  2.55628e-01
 1.52600e+00  9.02304e-01  2.43064e-01
 1.54000e+00  8.94905e-01  2.31159e-01
 1.55400e+00  8.88608e-01  2.19880e-01
 1.56800e+00  8.83344e-01  2.09195e-01
 1.58200e+00  8.79050e-01  1.99073e-01
 1.59600e+00  8.75670e-01  1.89485e-01
 1.61000e+00  8.73154e-01  1.80403e-01
 1.62400e+00  8.71456e-01  1.71798e-01
 1.63800e+00  8.70532e-01  1.63647e-01
 1.65200e+00  8.70346e-01  1.55923e-01
 1.66600e+00  8.70865e-01  1.48603e-01
 1.68000e+00  8.72056e-01  1.41665e-01
 1.69400e+00  8.73893e-01  1.35089e-01
 1.70800e+00  8.76351e-01  1.28854e-01
 1.72200e+00  8.79408e-01  1.22941e-01
 1.73600e+00  8.83044e-01  1.17332e-01
 1.75000e+00  8.87240e-01  1.12011e-01
 1.76400e+00  8.91982e-01  1.06962e-01
 1.77800e+00  8.97256e-01  1.02169e-01
 1.79200e+00  9.03048e-01  9.76189e-02
 1.80600e+00  9.09350e-01  9.32979e-02
 1.82000e+00  9.16152e-01  8.91935e-02
 1.83400e+00  9.23445e-01  8.52938e-02
 1.84800e+00  9.31224e-01  8.15876e-02
 1.86200e+00  9.39481e-01  7.80643e-02
 1.87600e+00  9.48207e-01  7.47141e-02
 1.89000e+00  9.57389e-01  7.15276e-02
 1.90400e+00  9.67006e-01  6.84959e-02
 1.91800e+00  9.77023e-01  6.56107e-02
 1.93200e+00  9.87389e-01  6.28642e-02
 1.94600e+00  9.98028e-01  6.02490e-02
 1.96000e+00  1.00884e+00  5.77582e-02
 1.97400e+00  1.01971e+00  5.53851e-02
 1.98800e+00  1.03049e+00  5.31236e-02
 2.00200e+00  1.04101e+00  5.09678e-02
 2.01600e+00  1.05110e+00  4.89123e-02
 2.03000e+00  1.06060e+00  4.69518e-02
 2.04400e+00  1.06935e+00  4.50814e-02
 2.05800e+00  1.07720e+00  4.32965e-02
 2.07200e+00  1.08404e+00  4.15927e-02
 2.08600e+00  1.08978e+00  3.99659e-02
 2.10000e+00  1.09438e+00  3.84122e-02
 2.11400e+00  1.09781e+00  3.69280e-02
 2.12800e+00  1.10009e+00  3.55097e-02
 2.14200e+00  1.10125e+00  3.41540e-02
 2.15600e+00  1.10136e+00  3.28580e-02
 2.17000e+00  1.10049e+00  3.16185e-02
 2.18400e+00  1.09874e+00  3.04328e-02
 2.19800e+00  1.09622e+00  2.92984e-02
 2.21200e+00  1.09301e+00  2.82127e-02
 2.22600e+00  1.08924e+00  2.71734e-02
 2.24000e+00  1.08500e+00  2.61782e-02
 2.25400e+00  1.08038e+00  2.52250e-02
 2.26800e+00  1.07549e+00  2.43118e-02
 2.28200e+00  1.07040e+00  2.34368e-02
 2.29600e+00  1.06518e+00  2.25981e-02
 2.31000e+00  1.05991e+00  2.17941e-02
 2.32400e+00  1.05465e+00  2.10231e-02
 2.33800e+00  1.04944e+00  2.02836e-02
 2.35200e+00  1.04432e+00  1.95741e-02
 2.36600e+00  1.03935e+00  1.88933e-02
 2.38000e+00  1.03454e+00  1.82398e-02
 2.39400e+00  1.02991e+00  1.76125e-02
 2.40800e+00  1.02550e+00  1.70101e-02
 2.42200e+00  1.02132e+00  1.64315e-02
 2.43600e+00  1.01737e+00  1.58757e-02
 2.45000e+00  1.01367e+00  1.53416e-02
 2.46400e+00  1.01022e+00  1.48282e-02
 2.47800e+00  1.00703e+00  1.43348e-02
 2.49200e+00  1.00409e+00  1.38603e-02
 2.50600e+00  1.00141e+00  1.34040e-02
 2.52000e+00  9.98978e-01  1.29651e-02
 2.53400e+00  9.96797e-01  1.25428e-02
 2.54800e+00  9.94861e-01  1.21365e-02
 2.56200e+00  9.93164e-01  1.17453e-02
 2.57600e+00  9.91700e-01  1.13688e-02
 2.59000e+00  9.90461e-01  1.10062e-02
 2.60400e+00  9.89441e-01  1.06571e-02
 2.61800e+00  9.88632e-01  1.03207e-02
 2.63200e+00  9.88025e-01  9.99666e-03
 2.64600e+00  9.87612e-01  9.68439e-03
 2.66000e+00  9.87385e-01  9.38342e-03
 2.67400e+00  9.87335e-01  9.09328e-03
 2.68800e+00  9.87453e-01  8.81354e-03
 2.70200e+00  9.87730e-01  8.54376e-03
 2.71600e+00  9.88157e-01  8.28356e-03
 2.73000e+00  9.88724e-01  8.03253e-03
 2.74400e+00  9.89422e-01  7.79032e-03
 2.75800e+00  9.90241e-01  7.55658e-03
