 r[σ]         g_ii         c_ii        
 2.00000e-02  0.00000e+00 -4.69601e+01
 4.00000e-02  0.00000e+00 -4.64719e+01
 6.00000e-02  0.00000e+00 -4.56980e+01
 8.00000e-02  0.00000e+00 -4.46892e+01
 1.00000e-01  0.00000e+00 -4.35026e+01
 1.20000e-01  0.00000e+00 -4.21933e+01
 1.40000e-01  0.00000e+00 -4.08096e+01
 1.60000e-01  0.00000e+00 -3.93899e+01
 1.80000e-01  0.00000e+00 -3.79629e+01
 2.00000e-01  0.00000e+00 -3.65486e+01
 2.20000e-01  0.00000e+00 -3.51600e+01
 2.40000e-01  0.00000e+00 -3.38046e+01
 2.60000e-01  0.00000e+00 -3.24864e+01
 2.80000e-01  0.00000e+00 -3.12068e+01
 3.00000e-01  0.00000e+00 -2.99653e+01
 3.20000e-01  0.00000e+00 -2.87609e+01
 3.40000e-01  0.00000e+00 -2.75917e+01
 3.60000e-01  0.00000e+00 -2.64558e+01
 3.80000e-01  0.00000e+00 -2.53512e+01
 4.00000e-01  0.00000e+00 -2.42760e+01
 4.20000e-01  0.00000e+00 -2.32286e+01
 4.40000e-01  0.00000e+00 -2.22073e+01
 4.60000e-01  0.00000e+00 -2.12111e+01
 4.80000e-01  0.00000e+00 -2.02386e+01
 5.00000e-01  0.00000e+00 -1.92891e+01
 5.20000e-01  0.00000e+00 -1.83617e+01
 5.40000e-01  0.00000e+00 -1.74560e+01
 5.60000e-01  0.00000e+00 -1.65714e+01
 5.80000e-01  7.57220e-05 -1.57076e+01
 6.00000e-01  2.49548e-04 -1.48645e+01
 6.20000e-01  4.14876e-04 -1.40419e+01
 6.40000e-01  5.71507e-04 -1.32398e+01
 6.60000e-01  7.19346e-04 -1.24582e+01
 6.80000e-01  8.58418e-04 -1.16972e+01
 7.00000e-01  9.88927e-04 -1.09571e+01
 7.20000e-01  1.11130e-03 -1.02379e+01
 7.40000e-01  1.22630e-03 -9.54015e+00
 7.60000e-01  1.33519e-03 -8.86406e+00
 7.80000e-01  1.43999e-03 -8.21006e+00
 8.00000e-01  1.54397e-03 -7.57865e+00
 8.20000e-01  1.65260e-03 -6.97035e+00
 8.40000e-01  1.77586e-03 -6.38578e+00
 8.60000e-01  1.96482e-03 -5.82560e+00
 8.80000e-01  3.51140e-03 -5.28928e+00
 9.00000e-01  2.14898e-02 -4.76256e+00
 9.20000e-01  1.24169e-01 -4.17804e+00
 9.40000e-01  4.41416e-01 -3.40672e+00
 9.60000e-01  1.05220e+00 -2.37047e+00
 9.80000e-01  1.86486e+00 -1.16164e+00
 1.00000e+00  2.66017e+00 -4.84516e-05
 1.02000e+00  3.23678e+00  9.12639e-01
 1.04000e+00  3.50477e+00  1.48645e+00
 1.06000e+00  3.48344e+00  1.74095e+00
 1.08000e+00  3.25136e+00  1.75532e+00
 1.10000e+00  2.89864e+00  1.62059e+00
 1.12000e+00  2.50016e+00  1.41287e+00
 1.14000e+00  2.10726e+00  1.18499e+00
 1.16000e+00  1.74970e+00  9.68389e-01
 1.18000e+00  1.44124e+00  7.78639e-01
 1.20000e+00  1.18532e+00  6.21071e-01
 1.22000e+00  9.79499e-01  4.95145e-01
 1.24000e+00  8.18462e-01  3.97417e-01
 1.26000e+00  6.95876e-01  3.23360e-01
 1.28000e+00  6.05438e-01  2.68378e-01
 1.30000e+00  5.41388e-01  2.28304e-01
 1.32000e+00  4.98721e-01  1.99597e-01
 1.34000e+00  4.73213e-01  1.79370e-01
 1.36000e+00  4.61379e-01  1.65337e-01
 1.38000e+00  4.60374e-01  1.55731e-01
 1.40000e+00  4.67903e-01  1.49212e-01
 1.42000e+00  4.82123e-01  1.44779e-01
 1.44000e+00  5.01561e-01  1.41700e-01
 1.46000e+00  5.25044e-01  1.39447e-01
 1.48000e+00  5.51640e-01  1.37646e-01
 1.50000e+00  5.80610e-01  1.36042e-01
 1.52000e+00  6.11369e-01  1.34463e-01
 1.54000e+00  6.43457e-01  1.32804e-01
 1.56000e+00  6.76513e-01  1.31001e-01
 1.58000e+00  7.10254e-01  1.29024e-01
 1.60000e+00  7.44465e-01  1.26865e-01
 1.62000e+00  7.78979e-01  1.24531e-01
 1.64000e+00  8.13673e-01  1.22036e-01
 1.66000e+00  8.48459e-01  1.19401e-01
 1.68000e+00  8.83275e-01  1.16651e-01
 1.70000e+00  9.18082e-01  1.13811e-01
 1.72000e+00  9.52862e-01  1.10904e-01
 1.74000e+00  9.87609e-01  1.07953e-01
 1.76000e+00  1.02233e+00  1.04979e-01
 1.78000e+00  1.05705e+00  1.02002e-01
 1.80000e+00  1.09178e+00  9.90374e-02
 1.82000e+00  1.12657e+00  9.61004e-02
 1.84000e+00  1.16142e+00  9.32016e-02
 1.86000e+00  1.19632e+00  9.03469e-02
 1.88000e+00  1.23111e+00  8.75311e-02
 1.90000e+00  1.26531e+00  8.47299e-02
 1.92000e+00  1.29794e+00  8.18918e-02
 1.94000e+00  1.32730e+00  7.89373e-02
 1.96000e+00  1.35105e+00  7.57693e-02
 1.98000e+00  1.36645e+00  7.22955e-02
 2.00000e+00  1.37087e+00  6.84550e-02
 2.02000e+00  1.36238e+00  6.42382e-02
 2.04000e+00  1.34015e+00  5.96948e-02
 2.06000e+00  1.30468e+00  5.49259e-02
 2.08000e+00  1.25771e+00  5.00665e-02
 2.10000e+00  1.20193e+00  4.52631e-02
 2.12000e+00  1.14060e+00  4.06533e-02
 2.14000e+00  1.07711e+00  3.63509e-02
 2.16000e+00  1.01461e+00  3.24375e-02
 2.18000e+00  9.55840e-01  2.89607e-02
 2.20000e+00  9.02897e-01  2.59372e-02
 2.22000e+00  8.57260e-01  2.33579e-02
 2.24000e+00  8.19797e-01  2.11950e-02
 2.26000e+00  7.90842e-01  1.94082e-02
 2.28000e+00  7.70298e-01  1.79508e-02
 2.30000e+00  7.57739e-01  1.67737e-02
 2.32000e+00  7.52511e-01  1.58292e-02
 2.34000e+00  7.53814e-01  1.50731e-02
 2.36000e+00  7.60773e-01  1.44658e-02
 2.38000e+00  7.72494e-01  1.39730e-02
 2.40000e+00  7.88102e-01  1.35656e-02
 2.42000e+00  8.06769e-01  1.32199e-02
 2.44000e+00  8.27731e-01  1.29167e-02
 2.46000e+00  8.50298e-01  1.26409e-02
 2.48000e+00  8.73858e-01  1.23808e-02
 2.50000e+00  8.97875e-01  1.21278e-02
 2.52000e+00  9.21886e-01  1.18757e-02
 2.54000e+00  9.45500e-01  1.16203e-02
 2.56000e+00  9.68384e-01  1.13586e-02
 2.58000e+00  9.90266e-01  1.10894e-02
 2.60000e+00  1.01092e+00  1.08118e-02
 2.62000e+00  1.03016e+00  1.05259e-02
 2.64000e+00  1.04785e+00  1.02323e-02
 2.66000e+00  1.06387e+00  9.93173e-03
 2.68000e+00  1.07814e+00  9.62530e-03
 2.70000e+00  1.09059e+00  9.31416e-03
 2.72000e+00  1.10117e+00  8.99952e-03
 2.74000e+00  1.10985e+00  8.68258e-03
 2.76000e+00  1.11661e+00  8.36451e-03
 2.78000e+00  1.12145e+00  8.04638e-03
 2.80000e+00  1.12434e+00  7.72923e-03
 2.82000e+00  1.12529e+00  7.41394e-03
 2.84000e+00  1.12430e+00  7.10136e-03
 2.86000e+00  1.12137e+00  6.79219e-03
 2.88000e+00  1.11651e+00  6.48711e-03
 2.90000e+00  1.10974e+00  6.18672e-03
 2.92000e+00  1.10108e+00  5.89162e-03
 2.94000e+00  1.09059e+00  5.60244e-03
 2.96000e+00  1.07837e+00  5.31988e-03
 2.98000e+00  1.06456e+00  5.04478e-03
 3.00000e+00  1.04935e+00  4.77809e-03
 3.02000e+00  1.03302e+00  4.52089e-03
 3.04000e+00  1.01592e+00  4.27437e-03
 3.06000e+00  9.98453e-01  4.03973e-03
 3.08000e+00  9.81071e-01  3.81814e-03
 3.10000e+00  9.64256e-01  3.61061e-03
 3.12000e+00  9.48489e-01  3.41794e-03
 3.14000e+00  9.34224e-01  3.24065e-03
 3.16000e+00  9.21865e-01  3.07892e-03
 3.18000e+00  9.11742e-01  2.93257e-03
 3.20000e+00  9.04097e-01  2.80111e-03
 3.22000e+00  8.99075e-01  2.68374e-03
 3.24000e+00  8.96723e-01  2.57942e-03
 3.26000e+00  8.96996e-01  2.48690e-03
 3.28000e+00  8.99763e-01  2.40484e-03
 3.30000e+00  9.04818e-01  2.33182e-03
 3.32000e+00  9.11903e-01  2.26644e-03
 3.34000e+00  9.20714e-01  2.20732e-03
 3.36000e+00  9.30922e-01  2.15321e-03
 3.38000e+00  9.42185e-01  2.10295e-03
 3.40000e+00  9.54162e-01  2.05552e-03
 3.42000e+00  9.66522e-01  2.01004e-03
 3.44000e+00  9.78955e-01  1.96579e-03
 3.46000e+00  9.91176e-01  1.92219e-03
 3.48000e+00  1.00293e+00  1.87877e-03
 3.50000e+00  1.01400e+00  1.83521e-03
 3.52000e+00  1.02420e+00  1.79128e-03
 3.54000e+00  1.03337e+00  1.74684e-03
 3.56000e+00  1.04140e+00  1.70185e-03
 3.58000e+00  1.04821e+00  1.65631e-03
 3.60000e+00  1.05374e+00  1.61028e-03
 3.62000e+00  1.05797e+00  1.56386e-03
 3.64000e+00  1.06089e+00  1.51718e-03
 3.66000e+00  1.06253e+00  1.47039e-03
 3.68000e+00  1.06293e+00  1.42363e-03
 3.70000e+00  1.06214e+00  1.37708e-03
 3.72000e+00  1.06024e+00  1.33090e-03
 3.74000e+00  1.05731e+00  1.28524e-03
 3.76000e+00  1.05345e+00  1.24027e-03
 3.78000e+00  1.04876e+00  1.19612e-03
 3.80000e+00  1.04335e+00  1.15291e-03
 3.82000e+00  1.03733e+00  1.11078e-03
 3.84000e+00  1.03082e+00  1.06983e-03
 3.86000e+00  1.02394e+00  1.03015e-03
 3.88000e+00  1.01681e+00  9.91817e-04
 3.90000e+00  1.00956e+00  9.54906e-04
 3.92000e+00  1.00232e+00  9.19470e-04
 3.94000e+00  9.95196e-01  8.85555e-04
 3.96000e+00  9.88323e-01  8.53194e-04
 3.98000e+00  9.81817e-01  8.22407e-04
 4.00000e+00  9.75792e-01  7.93207e-04
 4.02000e+00  9.70357e-01  7.65591e-04
 4.04000e+00  9.65611e-01  7.39547e-04
 4.06000e+00  9.61643e-01  7.15049e-04
 4.08000e+00  9.58526e-01  6.92059e-04
 4.10000e+00  9.56319e-01  6.70529e-04
 4.12000e+00  9.55061e-01  6.50395e-04
 4.14000e+00  9.54768e-01  6.31583e-04
 4.16000e+00  9.55436e-01  6.14009e-04
 4.18000e+00  9.57038e-01  5.97580e-04
 4.20000e+00  9.59522e-01  5.82195e-04
 4.22000e+00  9.62817e-01  5.67748e-04
 4.24000e+00  9.66832e-01  5.54133e-04
 4.26000e+00  9.71458e-01  5.41240e-04
 4.28000e+00  9.76573e-01  5.28964e-04
 4.30000e+00  9.82048e-01  5.17204e-04
 4.32000e+00  9.87745e-01  5.05866e-04
 4.34000e+00  9.93527e-01  4.94863e-04
 4.36000e+00  9.99260e-01  4.84119e-04
 4.38000e+00  1.00481e+00  4.73568e-04
 4.40000e+00  1.01007e+00  4.63155e-04
 4.42000e+00  1.01493e+00  4.52836e-04
 4.44000e+00  1.01929e+00  4.42579e-04
 4.46000e+00  1.02308e+00  4.32359e-04
 4.48000e+00  1.02624e+00  4.22164e-04
 4.50000e+00  1.02872e+00  4.11989e-04
