 r[σ]         g_ii         c_ii        
 5.00000e-02  2.77645e-10 -1.96875e+01
 1.00000e-01  1.30388e-10 -1.86667e+01
 1.50000e-01  2.27516e-10 -1.73063e+01
 2.00000e-01  1.56115e-10 -1.58484e+01
 2.50000e-01  1.41403e-10 -1.44248e+01
 3.00000e-01  1.22535e-10 -1.30867e+01
 3.50000e-01  6.48335e-11 -1.18447e+01
 4.00000e-01  2.93117e-11 -1.06939e+01
 4.50000e-01  6.02292e-11 -9.62478e+00
 5.00000e-01  1.47686e-11 -8.62812e+00
 5.50000e-01  9.49640e-12 -7.69637e+00
 6.00000e-01  7.32170e-11 -6.82390e+00
 6.50000e-01  0.00000e+00 -6.00688e+00
 7.00000e-01  0.00000e+00 -5.24300e+00
 7.50000e-01  0.00000e+00 -4.53129e+00
 8.00000e-01  0.00000e+00 -3.87194e+00
 8.50000e-01  1.49647e-06 -3.26631e+00
 9.00000e-01  1.07741e-02 -2.70611e+00
 9.50000e-01  4.34536e-01 -1.79250e+00
 1.00000e+00  1.80038e+00  1.56235e-12
 1.05000e+00  2.70654e+00  1.26687e+00
 1.10000e+00  2.59908e+00  1.45376e+00
 1.15000e+00  2.07293e+00  1.15818e+00
 1.20000e+00  1.56015e+00  8.17619e-01
 1.25000e+00  1.18401e+00  5.62647e-01
 1.30000e+00  9.39166e-01  3.95966e-01
 1.35000e+00  7.92183e-01  2.91934e-01
 1.40000e+00  7.12679e-01  2.27205e-01
 1.45000e+00  6.78798e-01  1.85919e-01
 1.50000e+00  6.75854e-01  1.58343e-01
 1.55000e+00  6.94194e-01  1.38782e-01
 1.60000e+00  7.27435e-01  1.23972e-01
 1.65000e+00  7.71355e-01  1.12075e-01
 1.70000e+00  8.23110e-01  1.02056e-01
 1.75000e+00  8.80819e-01  9.33365e-02
 1.80000e+00  9.43217e-01  8.55861e-02
 1.85000e+00  1.00951e+00  7.86142e-02
 1.90000e+00  1.07872e+00  7.22712e-02
 1.95000e+00  1.14677e+00  6.62694e-02
 2.00000e+00  1.20096e+00  6.00211e-02
 2.05000e+00  1.22343e+00  5.30221e-02
 2.10000e+00  1.20523e+00  4.54177e-02
 2.15000e+00  1.15354e+00  3.78991e-02
 2.20000e+00  1.08533e+00  3.11704e-02
 2.25000e+00  1.01743e+00  2.56096e-02
 2.30000e+00  9.61158e-01  2.12577e-02
 2.35000e+00  9.21660e-01  1.79552e-02
 2.40000e+00  8.99545e-01  1.54737e-02
 2.45000e+00  8.92832e-01  1.35929e-02
 2.50000e+00  8.98418e-01  1.21335e-02
 2.55000e+00  9.12952e-01  1.09618e-02
 2.60000e+00  9.33295e-01  9.98426e-03
