# Moldabekov 2018 DOI: 10.1103/PhysRevE.98.023207
# Γ=100 κ=2
r/a      gii
9.732e-1 1.035e-2
1.048e+0 1.092e-2
1.124e+0 4.511e-2
1.183e+0 1.247e-1
1.218e+0 1.902e-1
1.243e+0 3.019e-1
1.276e+0 3.671e-1
1.287e+0 4.577e-1
1.305e+0 5.436e-1
1.321e+0 6.444e-1
1.334e+0 7.152e-1
1.364e+0 7.869e-1
1.376e+0 8.954e-1
1.428e+0 1.071e+0
1.463e+0 1.257e+0
1.439e+0 1.177e+0
1.499e+0 1.374e+0
1.530e+0 1.436e+0
1.571e+0 1.519e+0
1.616e+0 1.582e+0
1.691e+0 1.569e+0
1.748e+0 1.532e+0
1.797e+0 1.454e+0
1.846e+0 1.370e+0
1.902e+0 1.257e+0
1.964e+0 1.165e+0
2.031e+0 1.086e+0
2.056e+0 1.027e+0
2.129e+0 9.861e-1
2.257e+0 8.886e-1
2.310e+0 8.598e-1
2.388e+0 8.384e-1
2.482e+0 8.380e-1
2.557e+0 8.512e-1
2.631e+0 8.819e-1
2.706e+0 9.188e-1
2.780e+0 9.474e-1
2.855e+0 9.866e-1
2.930e+0 1.018e+0
3.003e+0 1.040e+0
3.080e+0 1.063e+0
3.157e+0 1.078e+0
3.226e+0 1.082e+0
3.317e+0 1.072e+0
3.391e+0 1.053e+0
3.463e+0 1.036e+0
3.541e+0 1.019e+0
3.615e+0 1.007e+0
3.690e+0 9.995e-1
3.914e+0 9.735e-1
3.964e+0 9.770e-1
