# Diaw & Murillo 2016 DOI: http://dx.doi.org/10.3847/0004-637X/829/1/16
# Γ11=20.8 κ=0
r/a       g11(r)
7.912e-1 1.912e-2
9.200e-1 6.983e-2
9.779e-1 1.370e-1
1.007e+0 2.072e-1
1.037e+0 2.661e-1
1.059e+0 3.344e-1
1.086e+0 4.069e-1
1.112e+0 4.765e-1
1.132e+0 5.434e-1
1.152e+0 6.115e-1
1.174e+0 6.839e-1
1.190e+0 7.574e-1
1.229e+0 8.767e-1
1.220e+0 8.010e-1
1.267e+0 9.856e-1
1.373e+0 1.236e+0
1.356e+0 1.158e+0
1.495e+0 1.327e+0
1.651e+0 1.315e+0
1.732e+0 1.258e+0
1.824e+0 1.182e+0
1.916e+0 1.109e+0
1.988e+0 1.045e+0
2.113e+0 9.893e-1
2.256e+0 9.525e-1
2.419e+0 9.405e-1
2.584e+0 9.511e-1
2.745e+0 9.738e-1
2.908e+0 9.911e-1
3.071e+0 1.005e+0
3.234e+0 1.013e+0
3.385e+0 1.010e+0
3.544e+0 1.009e+0
3.723e+0 1.007e+0
3.951e+0 1.005e+0
