# Moldabekov 2018 DOI: 10.1103/PhysRevE.98.023207
# Γ=10 κ=2
r/a      gii
5.770e-1 3.472e-2
6.557e-1 6.086e-2
7.252e-1 1.254e-1
7.954e-1 2.297e-1
8.646e-1 3.546e-1
9.373e-1 4.932e-1
1.012e+0 6.242e-1
1.083e+0 7.492e-1
1.156e+0 8.366e-1
1.231e+0 9.169e-1
1.312e+0 9.803e-1
1.388e+0 1.020e+0
1.462e+0 1.035e+0
1.541e+0 1.043e+0
1.616e+0 1.047e+0
1.692e+0 1.042e+0
1.766e+0 1.034e+0
1.818e+0 1.029e+0
1.951e+0 1.019e+0
2.098e+0 1.008e+0
2.242e+0 1.006e+0
2.386e+0 9.998e-1
2.537e+0 9.946e-1
2.681e+0 9.978e-1
2.825e+0 9.950e-1
3.043e+0 9.952e-1
3.187e+0 9.969e-1
3.335e+0 9.963e-1
3.478e+0 9.964e-1
3.840e+0 1.011e+0
3.917e+0 9.940e-1
