# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=1.000e+00[eV], Tie=9.810e+00[eV] , Te_c=9.811e+00[eV], n_i=5.979e+22[1/cc], n_e=1.794e+23[1/cc]
# ri=2.998, Zbar=3.000, Rc=0.521[AU], Γii=8.169e+01, Γei=-2.776e+00 , Γee=9.252e-01, κ=2.670e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 0.00000e+00 2.07251e+00 1.50634e-01 2.93122e-08 0.00000e+00 8.03469e+03 8.16977e+03 7.89570e+03
2.00000e-02 0.00000e+00 2.08673e+00 1.58310e-01 2.93072e-08 0.00000e+00 3.95034e+03 4.08537e+03 3.81587e+03
3.00000e-02 0.00000e+00 2.11085e+00 1.66657e-01 2.92868e-08 0.00000e+00 2.58896e+03 2.72390e+03 2.45886e+03
4.00000e-02 0.00000e+00 2.14493e+00 1.75720e-01 2.91543e-08 0.00000e+00 1.90833e+03 2.04317e+03 1.78250e+03
5.00000e-02 0.00000e+00 2.18981e+00 1.85539e-01 2.90139e-08 0.00000e+00 1.50003e+03 1.63473e+03 1.37832e+03
6.00000e-02 0.00000e+00 2.24582e+00 1.96147e-01 2.88336e-08 0.00000e+00 1.22790e+03 1.36243e+03 1.11020e+03
7.00000e-02 0.00000e+00 2.31420e+00 2.07571e-01 2.86395e-08 0.00000e+00 1.03360e+03 1.16794e+03 9.19789e+02
8.00000e-02 0.00000e+00 2.39564e+00 2.19827e-01 2.84903e-08 0.00000e+00 8.87944e+02 1.02206e+03 7.77909e+02
9.00000e-02 0.00000e+00 2.49190e+00 2.32926e-01 2.82153e-08 0.00000e+00 7.74732e+02 9.08606e+02 6.68358e+02
1.00000e-01 0.00000e+00 2.60408e+00 2.46867e-01 2.80374e-08 0.00000e+00 6.84234e+02 8.17839e+02 5.81412e+02
1.10000e-01 0.00000e+00 2.73470e+00 2.61643e-01 2.77549e-08 0.00000e+00 6.10261e+02 7.43574e+02 5.10886e+02
1.20000e-01 0.00000e+00 2.88540e+00 2.77235e-01 2.74863e-08 0.00000e+00 5.48686e+02 6.81686e+02 4.52656e+02
1.30000e-01 0.00000e+00 3.05979e+00 2.93618e-01 2.71532e-08 0.00000e+00 4.96652e+02 6.29319e+02 4.03867e+02
1.40000e-01 0.00000e+00 3.26012e+00 3.10754e-01 2.68177e-08 0.00000e+00 4.52118e+02 5.84431e+02 3.62482e+02
1.50000e-01 0.00000e+00 3.49192e+00 3.28602e-01 2.64660e-08 0.00000e+00 4.13586e+02 5.45528e+02 3.27006e+02
1.60000e-01 0.00000e+00 3.75761e+00 3.47111e-01 2.60933e-08 0.00000e+00 3.79933e+02 5.11487e+02 2.96319e+02
1.70000e-01 0.00000e+00 4.06752e+00 3.66222e-01 2.56865e-08 0.00000e+00 3.50300e+02 4.81451e+02 2.69565e+02
1.80000e-01 0.00000e+00 4.39463e+00 3.85871e-01 2.53161e-08 0.00000e+00 3.24019e+02 4.54750e+02 2.46078e+02
1.90000e-01 0.00000e+00 4.64898e+00 4.05990e-01 2.48881e-08 0.00000e+00 3.00563e+02 4.30860e+02 2.25333e+02
2.00000e-01 0.00000e+00 4.82165e+00 4.26504e-01 2.44492e-08 0.00000e+00 2.79509e+02 4.09358e+02 2.06910e+02
2.10000e-01 0.00000e+00 4.92069e+00 4.47336e-01 2.39984e-08 0.00000e+00 2.60515e+02 3.89903e+02 1.90469e+02
2.20000e-01 0.00000e+00 4.95595e+00 4.68406e-01 2.35318e-08 0.00000e+00 2.43301e+02 3.72216e+02 1.75733e+02
2.30000e-01 0.00000e+00 4.93712e+00 4.89633e-01 2.30889e-08 0.00000e+00 2.27637e+02 3.56066e+02 1.62473e+02
2.40000e-01 0.00000e+00 4.87468e+00 5.10933e-01 2.26119e-08 0.00000e+00 2.13330e+02 3.41262e+02 1.50498e+02
2.50000e-01 0.00000e+00 4.77748e+00 5.32223e-01 2.21052e-08 0.00000e+00 2.00217e+02 3.27641e+02 1.39648e+02
2.60000e-01 0.00000e+00 4.65419e+00 5.53422e-01 2.16097e-08 0.00000e+00 1.88163e+02 3.15067e+02 1.29788e+02
2.70000e-01 0.00000e+00 4.51162e+00 5.74447e-01 2.11081e-08 0.00000e+00 1.77049e+02 3.03424e+02 1.20802e+02
2.80000e-01 0.00000e+00 4.35609e+00 5.95222e-01 2.06022e-08 0.00000e+00 1.66777e+02 2.92612e+02 1.12594e+02
2.90000e-01 0.00000e+00 4.19232e+00 6.15669e-01 2.00889e-08 0.00000e+00 1.57260e+02 2.82545e+02 1.05077e+02
3.00000e-01 0.00000e+00 4.02454e+00 6.35717e-01 1.95803e-08 0.00000e+00 1.48423e+02 2.73149e+02 9.81784e+01
3.10000e-01 0.00000e+00 3.85574e+00 6.55296e-01 1.90508e-08 0.00000e+00 1.40202e+02 2.64358e+02 9.18350e+01
