r[Angstrom]  g(r)
1.439705955742431598e-01 0.000000000000000000e+00
2.879411911484863196e-01 0.000000000000000000e+00
4.319117867227295626e-01 0.000000000000000000e+00
5.758823822969726391e-01 0.000000000000000000e+00
7.198529778712158267e-01 0.000000000000000000e+00
8.638235734454591253e-01 0.000000000000000000e+00
1.007794169019702091e+00 0.000000000000000000e+00
1.151764764593945278e+00 0.000000000000000000e+00
1.295735360168188466e+00 0.000000000000000000e+00
1.439705955742431653e+00 0.000000000000000000e+00
1.583676551316674841e+00 0.000000000000000000e+00
1.727647146890918251e+00 0.000000000000000000e+00
1.871617742465161216e+00 0.000000000000000000e+00
2.015588338039404182e+00 0.000000000000000000e+00
2.159558933613647369e+00 3.126270871911529525e-05
2.303529529187890557e+00 6.468884493859849982e-05
2.447500124762134188e+00 9.166934190463216225e-05
2.591470720336376932e+00 1.125505785957159333e-04
2.735441315910620119e+00 1.340855298035403820e-04
2.879411911484863307e+00 3.737411091364606364e-03
3.023382507059106494e+00 9.147131528443874782e-02
3.167353102633349682e+00 4.405353852310990304e-01
3.311323698207593313e+00 9.307572546881310860e-01
3.455294293781836501e+00 1.301548509563848377e+00
3.599264889356079244e+00 1.481154459957207514e+00
3.743235484930322432e+00 1.523552706161726000e+00
3.887206080504565620e+00 1.494678186774446971e+00
4.031176676078808363e+00 1.437375596143319667e+00
4.175147271653051995e+00 1.373768043952683371e+00
4.319117867227294738e+00 1.313677834721269644e+00
4.463088462801538370e+00 1.260687021314878864e+00
4.607059058375781113e+00 1.215502364571082516e+00
4.751029653950024745e+00 1.177638743668417920e+00
4.895000249524268376e+00 1.146203767743354529e+00
5.038970845098511120e+00 1.120241787643513787e+00
5.182941440672753863e+00 1.098872423213457683e+00
5.326912036246997495e+00 1.081335932942601774e+00
5.470882631821240238e+00 1.066997921720665543e+00
5.614853227395483870e+00 1.055336231118338075e+00
5.758823822969726614e+00 1.045924572039665490e+00
5.902794418543970245e+00 1.038417535958339633e+00
6.046765014118212989e+00 1.032535102755895773e+00
6.190735609692455732e+00 1.028043632772038807e+00
6.334706205266699364e+00 1.024726797191285232e+00
6.478676800840942107e+00 1.022354233924982703e+00
6.622647396415186627e+00 1.020674405710539689e+00
6.766617991989429370e+00 1.019439973721268489e+00
6.910588587563673002e+00 1.018443956086499513e+00
7.054559183137915745e+00 1.017541222883294516e+00
7.198529778712158489e+00 1.016648131863186588e+00
7.342500374286402121e+00 1.015728692005921419e+00
7.486470969860644864e+00 1.014777542851536429e+00
7.630441565434888496e+00 1.013805613403963690e+00
7.774412161009131239e+00 1.012830241072139703e+00
7.918382756583373983e+00 1.011869087416772395e+00
8.062353352157616726e+00 1.010937256924498318e+00
8.206323947731860358e+00 1.010046487994640030e+00
8.350294543306103989e+00 1.009205091242973973e+00
8.494265138880347621e+00 1.008418270604248601e+00
8.638235734454589476e+00 1.007688679623959471e+00
8.782206330028833108e+00 1.007016998500906757e+00
8.926176925603076739e+00 1.006402428104332003e+00
9.070147521177320371e+00 1.005842955248423376e+00
9.214118116751562226e+00 1.005335683822633053e+00
9.358088712325805858e+00 1.004877231748390942e+00
9.502059307900049490e+00 1.004463928964510533e+00
9.646029903474293121e+00 1.004091926332667972e+00
9.790000499048536753e+00 1.003757324239404891e+00
9.933971094622778608e+00 1.003456291859637917e+00
1.007794169019702224e+01 1.003185162954017828e+00
1.022191228577126587e+01 1.002940438446630944e+00
1.036588288134550773e+01 1.002718860608062146e+00
1.050985347691975136e+01 1.002517546215941247e+00
1.065382407249399499e+01 1.002334005732160804e+00
1.079779466806823685e+01 1.002166109884178757e+00
1.094176526364248048e+01 1.002012068220251129e+00
1.108573585921672411e+01 1.001870394579057910e+00
1.122970645479096774e+01 1.001739855408820379e+00
1.137367705036521137e+01 1.001619369478722099e+00
1.151764764593945323e+01 1.001507972549278591e+00
1.166161824151369508e+01 1.001404844740029221e+00
1.180558883708794049e+01 1.001309288046980939e+00
1.194955943266218412e+01 1.001220691727001455e+00
1.209353002823642598e+01 1.001138523716170736e+00
1.223750062381066961e+01 1.001062321484062156e+00
1.238147121938491146e+01 1.000991674657302655e+00
1.252544181495915687e+01 1.000926177437405862e+00
1.266941241053339873e+01 1.000865424564741701e+00
1.281338300610764236e+01 1.000809048092105691e+00
1.295735360168188421e+01 1.000756716740193619e+00
1.310132419725612785e+01 1.000708124385027320e+00
1.324529479283037325e+01 1.000662995230692909e+00
1.338926538840461511e+01 1.000621084964645968e+00
1.353323598397885874e+01 1.000582173049587631e+00
1.367720657955310060e+01 1.000546033088578923e+00
1.382117717512734600e+01 1.000512433102991094e+00
1.396514777070158786e+01 1.000481164094922493e+00
1.410911836627583149e+01 1.000452040815113408e+00
1.425308896185007335e+01 1.000424894356876759e+00
1.439705955742431698e+01 1.000399577110663740e+00
1.454103015299856239e+01 1.000375963561135118e+00
1.468500074857280424e+01 1.000353943615028607e+00
1.482897134414704787e+01 1.000333400444632037e+00
1.497294193972128973e+01 1.000314210427804440e+00
1.511691253529553158e+01 1.000296264063882168e+00
1.526088313086977699e+01 1.000279466280311835e+00
1.540485372644402062e+01 1.000263730870882828e+00
