# r/rs, g(r/rs)
0.000000000000000000e+00, 0.000000000000000000e+00
8.515449999999999964e-01, 0.000000000000000000e+00
1.076096249999999976e+00, 5.617977528089899628e-03
1.218992499999999923e+00, 2.808988764044949987e-02
1.283150000000000013e+00, 1.629213483146068064e-01
1.335642500000000066e+00, 3.651685393258427004e-01
1.379386250000000036e+00, 6.460674157303371024e-01
1.411464999999999970e+00, 9.269662921348316154e-01
1.461041250000000069e+00, 1.303370786516854007e+00
1.498952499999999910e+00, 1.573033707865168385e+00
1.533947500000000019e+00, 1.724719101123595610e+00
1.571858750000000082e+00, 1.831460674157303625e+00
1.612686249999999877e+00, 1.859550561797752799e+00
1.665178750000000152e+00, 1.831460674157303625e+00
1.714755000000000251e+00, 1.719101123595505598e+00
1.752666250000000092e+00, 1.640449438202247201e+00
1.802242500000000192e+00, 1.477528089887640395e+00
1.939306250000000009e+00, 1.162921348314606806e+00
1.878064999999999873e+00, 1.303370786516854007e+00
2.006380000000000052e+00, 1.016853932584269593e+00
2.125946249999999704e+00, 8.707865168539326017e-01
2.248428750000000420e+00, 7.865168539325843033e-01
2.367995000000000072e+00, 7.808988764044944020e-01
2.461314999999999920e+00, 7.921348314606742047e-01
2.542970000000000397e+00, 8.370786516853931936e-01
2.633373750000000069e+00, 9.044943820224720099e-01
2.717945000000000277e+00, 9.494382022471909988e-01
2.822929999999999939e+00, 1.033707865168539408e+00
2.939579999999999860e+00, 1.089887640449438200e+00
3.044564999999999522e+00, 1.101123595505618002e+00
3.143717499999999720e+00, 1.101123595505618002e+00
