# r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
1.000000000000000021e-02 0.000000000000000000e+00 1.799036128069383622e+00 8.344278250403769359e-02
2.000000000000000042e-02 0.000000000000000000e+00 1.799047681375534058e+00 8.647910186290630463e-02
2.999999999999999889e-02 0.000000000000000000e+00 1.799065203059321050e+00 8.996294450658726127e-02
4.000000000000000083e-02 0.000000000000000000e+00 1.799086046552879736e+00 9.392023777381885985e-02
5.000000000000000278e-02 0.000000000000000000e+00 1.799106553645265283e+00 9.837473500788096459e-02
5.999999999999999778e-02 0.000000000000000000e+00 1.799121962391998286e+00 1.033476794796586162e-01
7.000000000000000666e-02 0.000000000000000000e+00 1.799126488446779470e+00 1.088574905322521325e-01
8.000000000000000167e-02 0.000000000000000000e+00 1.799113229182004225e+00 1.149194778538629169e-01
8.999999999999999667e-02 0.000000000000000000e+00 1.799074244298277891e+00 1.215455894173043117e-01
1.000000000000000056e-01 0.000000000000000000e+00 1.799000456016710769e+00 1.287441981184137552e-01
1.100000000000000006e-01 0.000000000000000000e+00 1.798881730174907601e+00 1.365199315105817268e-01
1.199999999999999956e-01 0.000000000000000000e+00 1.798706772488154026e+00 1.448735482816106979e-01
1.300000000000000044e-01 0.000000000000000000e+00 1.798463211605927370e+00 1.538018642686860282e-01
1.400000000000000133e-01 0.000000000000000000e+00 1.798137491568276847e+00 1.632977298775097896e-01
1.499999999999999944e-01 0.000000000000000000e+00 1.797714958606246416e+00 1.733500597852652980e-01
1.600000000000000033e-01 0.000000000000000000e+00 1.797179750040034385e+00 1.839439147889201376e-01
1.700000000000000122e-01 0.000000000000000000e+00 1.796514886968304747e+00 1.950606346365919563e-01
1.799999999999999933e-01 0.000000000000000000e+00 1.795702159959391420e+00 2.066780196768220890e-01
1.900000000000000022e-01 0.000000000000000000e+00 1.794722230200773261e+00 2.187705582049757069e-01
2.000000000000000111e-01 0.000000000000000000e+00 1.793554512411496216e+00 2.313096955024397383e-01
2.099999999999999922e-01 0.000000000000000000e+00 1.792177287528361918e+00 2.442641397758846811e-01
2.200000000000000011e-01 0.000000000000000000e+00 1.790567583297064891e+00 2.576001995305609027e-01
2.300000000000000100e-01 0.000000000000000000e+00 1.788701302175211616e+00 2.712821463701282632e-01
2.399999999999999911e-01 0.000000000000000000e+00 1.786553100010775053e+00 2.852725968184448568e-01
2.500000000000000000e-01 0.000000000000000000e+00 1.784096533571679188e+00 2.995329065143789160e-01
2.600000000000000089e-01 0.000000000000000000e+00 1.781303937542877192e+00 3.140235700427056464e-01
2.700000000000000178e-01 0.000000000000000000e+00 1.778146596991450501e+00 3.287046197315615093e-01
2.800000000000000266e-01 0.000000000000000000e+00 1.774594622529807930e+00 3.435360169642722727e-01
2.899999999999999800e-01 0.000000000000000000e+00 1.770617154164793039e+00 3.584780299109111557e-01
2.999999999999999889e-01 0.000000000000000000e+00 1.766182233757739972e+00 3.734915920691637137e-01
3.099999999999999978e-01 0.000000000000000000e+00 1.761257048207049758e+00 3.885386365981271517e-01
3.200000000000000067e-01 0.000000000000000000e+00 1.755807797078227761e+00 4.035824021131083628e-01
3.300000000000000155e-01 0.000000000000000000e+00 1.749799985149634862e+00 4.185877063630116801e-01
3.400000000000000244e-01 0.000000000000000000e+00 1.743198280927177990e+00 4.335211850119645716e-01
3.500000000000000333e-01 0.000000000000000000e+00 1.735966871655832744e+00 4.483514935706426341e-01
3.599999999999999867e-01 0.000000000000000000e+00 1.728069304715322385e+00 4.630494713478087165e-01
3.699999999999999956e-01 0.000000000000000000e+00 1.719468923091494350e+00 4.775882670975563071e-01
3.800000000000000044e-01 0.000000000000000000e+00 1.710128675078531169e+00 4.919434268029858615e-01
3.900000000000000133e-01 0.000000000000000000e+00 1.700011656678283467e+00 5.060929447451797403e-01
4.000000000000000222e-01 0.000000000000000000e+00 1.689080862834619001e+00 5.200172796426866251e-01
4.100000000000000311e-01 0.000000000000000000e+00 1.677299879400179439e+00 5.336993381996515406e-01
4.199999999999999845e-01 0.000000000000000000e+00 1.664632524615475617e+00 5.471244288616339269e-01
4.299999999999999933e-01 0.000000000000000000e+00 1.651043767942364404e+00 5.602801889418804748e-01
4.400000000000000022e-01 0.000000000000000000e+00 1.636499155006330808e+00 5.731564885452256064e-01
4.500000000000000111e-01 0.000000000000000000e+00 1.620966117157015551e+00 5.857453148827693745e-01
4.600000000000000200e-01 0.000000000000000000e+00 1.604412922363979366e+00 5.980406406418001808e-01
4.700000000000000289e-01 0.000000000000000000e+00 1.586810810798324312e+00 6.100382800580612663e-01
4.799999999999999822e-01 0.000000000000000000e+00 1.568131662399374182e+00 6.217357362395652398e-01
4.899999999999999911e-01 0.000000000000000000e+00 1.548352656668738003e+00 6.331320431224473078e-01
5.000000000000000000e-01 0.000000000000000000e+00 1.527448587315108686e+00 6.442276052106110651e-01
5.100000000000000089e-01 0.000000000000000000e+00 1.505462414740324162e+00 6.550240379737062302e-01
