#  Upper H1 TCCW2 Community paper digitized spread 
r/ri    gii
4.246e-1 3.528e-3
4.960e-1 2.639e-2
5.754e-1 7.837e-2
6.230e-1 1.496e-1
6.944e-1 2.695e-1
7.619e-1 3.958e-1
8.016e-1 4.735e-1
8.968e-1 6.257e-1
9.841e-1 7.295e-1
1.060e+0 8.105e-1
1.194e+0 9.047e-1
1.266e+0 9.340e-1
1.369e+0 9.667e-1
1.429e+0 9.701e-1
1.496e+0 9.801e-1
1.595e+0 9.868e-1
1.837e+0 1.017e+0
1.948e+0 1.020e+0
2.187e+0 1.024e+0
2.270e+0 1.025e+0
2.337e+0 1.025e+0
2.548e+0 1.019e+0
3.504e+0 1.016e+0
3.647e+0 1.019e+0
3.726e+0 1.016e+0
3.873e+0 1.020e+0
