#  Lower Al1 TCCW2 Community paper digitized spread 
r/ri    gii
1.044e+0 5.232e-3
1.111e+0 2.764e-2
1.166e+0 1.083e-1
1.205e+0 2.342e-1
1.271e+0 5.573e-1
1.314e+0 7.770e-1
1.349e+0 9.870e-1
1.403e+0 1.262e+0
1.469e+0 1.491e+0
1.505e+0 1.543e+0
1.529e+0 1.552e+0
1.560e+0 1.536e+0
1.604e+0 1.478e+0
1.669e+0 1.390e+0
1.757e+0 1.267e+0
1.805e+0 1.179e+0
1.885e+0 1.079e+0
1.945e+0 1.027e+0
2.021e+0 9.363e-1
2.117e+0 8.811e-1
2.184e+0 8.712e-1
2.312e+0 8.449e-1
2.439e+0 8.671e-1
2.570e+0 9.119e-1
2.705e+0 9.762e-1
2.867e+0 1.024e+0
3.006e+0 1.037e+0
3.090e+0 1.027e+0
3.253e+0 1.007e+0
3.341e+0 9.903e-1
3.404e+0 9.868e-1
3.528e+0 9.800e-1
3.619e+0 9.700e-1
