#  Lower Al1 TCCW2 Community paper digitized spread 
r/ri    gii
1.032e+0 8.503e-3
1.107e+0 5.352e-2
1.189e+0 3.571e-1
1.232e+0 5.607e-1
1.278e+0 8.482e-1
1.324e+0 1.087e+0
1.379e+0 1.320e+0
1.422e+0 1.462e+0
1.473e+0 1.572e+0
1.536e+0 1.610e+0
1.560e+0 1.578e+0
1.596e+0 1.568e+0
1.640e+0 1.536e+0
1.684e+0 1.471e+0
1.728e+0 1.409e+0
1.845e+0 1.196e+0
1.901e+0 1.111e+0
2.045e+0 9.654e-1
2.096e+0 9.296e-1
2.136e+0 9.004e-1
2.240e+0 8.807e-1
2.292e+0 8.643e-1
2.443e+0 8.930e-1
2.510e+0 9.057e-1
2.597e+0 9.700e-1
2.625e+0 9.893e-1
2.685e+0 1.002e+0
2.724e+0 1.008e+0
2.800e+0 1.024e+0
2.867e+0 1.050e+0
2.967e+0 1.056e+0
3.026e+0 1.059e+0
3.428e+0 1.009e+0
3.500e+0 9.962e-1
3.571e+0 9.895e-1
3.786e+0 9.791e-1
3.810e+0 9.726e-1
3.866e+0 9.724e-1
3.941e+0 9.786e-1
