#  Lower C1 TCCW2 Community paper digitized spread 
r/ri    gii
1.103e+0 3.935e-3
1.171e+0 5.577e-2
1.250e+0 2.563e-1
1.294e+0 4.892e-1
1.330e+0 6.799e-1
1.362e+0 9.063e-1
1.402e+0 1.165e+0
1.461e+0 1.437e+0
1.505e+0 1.537e+0
1.525e+0 1.550e+0
1.545e+0 1.537e+0
1.620e+0 1.408e+0
1.751e+0 1.191e+0
1.831e+0 1.104e+0
1.915e+0 1.046e+0
2.038e+0 1.017e+0
2.093e+0 9.980e-1
2.141e+0 9.948e-1
2.229e+0 9.885e-1
2.340e+0 9.758e-1
2.443e+0 9.598e-1
2.515e+0 9.405e-1
2.579e+0 9.406e-1
2.706e+0 9.343e-1
2.837e+0 9.475e-1
2.944e+0 9.606e-1
3.020e+0 9.639e-1
3.163e+0 1.003e+0
3.266e+0 1.023e+0
3.374e+0 1.045e+0
3.604e+0 1.033e+0
3.716e+0 1.020e+0
3.819e+0 1.001e+0
3.994e+0 9.881e-1
