#  Upper C1 TCCW2 Community paper digitized spread 
r/ri    gii
1.036e+0 7.059e-3
1.076e+0 3.299e-2
1.115e+0 5.891e-2
1.147e+0 1.527e-1
1.203e+0 3.144e-1
1.266e+0 6.217e-1
1.326e+0 9.871e-1
1.366e+0 1.236e+0
1.414e+0 1.498e+0
1.485e+0 1.621e+0
1.541e+0 1.611e+0
1.608e+0 1.556e+0
1.652e+0 1.476e+0
1.708e+0 1.369e+0
1.755e+0 1.275e+0
1.863e+0 1.124e+0
1.907e+0 1.091e+0
2.026e+0 1.043e+0
2.133e+0 1.037e+0
2.241e+0 1.027e+0
2.376e+0 1.005e+0
2.499e+0 9.922e-1
2.622e+0 9.730e-1
2.750e+0 9.603e-1
2.889e+0 9.831e-1
3.020e+0 9.995e-1
3.127e+0 1.022e+0
3.282e+0 1.058e+0
3.414e+0 1.065e+0
3.588e+0 1.055e+0
3.724e+0 1.043e+0
3.847e+0 1.020e+0
3.978e+0 1.008e+0
