# T[eV]	 σe[Ω/cm]
1.000000000000000021e-02 2.699546571548670909e+04
1.123324032978027624e-02 2.621556002225863631e+04
1.261856883066020396e-02 2.546871703858652472e+04
1.417474162926805545e-02 2.475367278817773331e+04
1.592282793341092198e-02 2.406922500320534891e+04
1.788649529057435156e-02 2.341423077194234429e+04
2.009233002565046985e-02 2.278760432889218646e+04
2.257019719633920202e-02 2.218831498329502938e+04
2.535364493970111363e-02 2.161538518223513893e+04
2.848035868435801893e-02 2.106788870488883913e+04
3.199267137797384697e-02 2.054494898472970453e+04
3.593813663804627800e-02 2.004573755673548658e+04
4.037017258596553582e-02 1.956947262680777203e+04
4.534878508128582092e-02 1.911541776069957632e+04
5.094138014816380206e-02 1.868288068972677866e+04
5.722367659350217212e-02 1.827121223038121389e+04
6.428073117284319182e-02 1.787980531462921863e+04
7.220809018385464240e-02 1.750809412711173354e+04
8.111308307896872294e-02 1.715555334459595542e+04
9.111627561154891919e-02 1.682169747177311365e+04
1.023531021899026366e-01 1.650608026573950337e+04
1.149756995397735598e-01 1.620829423909544312e+04
1.291549665014883885e-01 1.592797022836535325e+04
1.450828778495939497e-01 1.566477701015097227e+04
1.629750834620644351e-01 1.541842094179034211e+04
1.830738280295367837e-01 1.518864559594676393e+04
2.056512308348651397e-01 1.497523134905378902e+04
2.310129700083159154e-01 1.477799487135698655e+04
2.595024211399735714e-01 1.459678845078533959e+04
2.915053062825175845e-01 1.443149906331915008e+04
3.274549162877728459e-01 1.428204707808252351e+04
3.678379771828632627e-01 1.414838445524067174e+04
4.132012400115336326e-01 1.403049225816479156e+04
4.641588833612779741e-01 1.392837725777113155e+04
5.214008287999684077e-01 1.384206735659583319e+04
5.857020818056667411e-01 1.377160550438340761e+04
6.579332246575678722e-01 1.371704171918426800e+04
7.390722033525779500e-01 1.367842277507174731e+04
8.302175681319743372e-01 1.365577908194271185e+04
9.326033468832198858e-01 1.364910828498318369e+04
1.047615752789665233e+00 1.365835518346819845e+04
1.176811952434997810e+00 1.368338775843377516e+04
1.321941148466028615e+00 1.372396947313512283e+04
1.484968262254465099e+00 1.377972865506998096e+04
1.668100537200059241e+00 1.385012678188602513e+04
1.873817422860382997e+00 1.393442896441701669e+04
2.104904144512019570e+00 1.403168188164128151e+04
2.364489412645407018e+00 1.414070677272103057e+04
2.656087782946686904e+00 1.426011748029253977e+04
2.983647240283340274e+00 1.438837524626124105e+04
3.351602650938840799e+00 1.452389183655532906e+04
3.764935806792467421e+00 1.466518916828480724e+04
4.229242874389498752e+00 1.481111566420603594e+04
4.750810162102798273e+00 1.496110684268400473e+04
5.336699231206306848e+00 1.511546199038093437e+04
5.994842503189408589e+00 1.527559448645258635e+04
6.734150657750821445e+00 1.544420632189238495e+04
7.564633275546290392e+00 1.562534232438022809e+04
8.497534359086438727e+00 1.582429686388944538e+04
9.545484566618338107e+00 1.604736968488244020e+04
1.072267222010323096e+01 1.630148843906170259e+04
1.204503540258782301e+01 1.659372553863130088e+04
1.353047774579806095e+01 1.693073563647388073e+04
1.519911082952933157e+01 1.731813713677791748e+04
1.707352647470690599e+01 1.775987416950994884e+04
1.917910261672488659e+01 1.825764044368320174e+04
2.154434690031884614e+01 1.881052077890597138e+04
2.420128264794380968e+01 1.941506907454904285e+04
2.718588242732939975e+01 2.006601363503324683e+04
3.053855508833415655e+01 2.075759568372197100e+04
3.430469286314919231e+01 2.148524539630116487e+04
3.853528593710527161e+01 2.224706665191392676e+04
4.328761281083057355e+01 2.304463786300753054e+04
4.862601580065353346e+01 2.388295152806609622e+04
5.462277217684342645e+01 2.476969243031856968e+04
6.135907273413169349e+01 2.571425420161487273e+04
6.892612104349694846e+01 2.672685622087302181e+04
7.742636826811269657e+01 2.781795718796547226e+04
8.697490026177834466e+01 2.899800434668881280e+04
9.770099572992246806e+01 3.027747321023475524e+04
1.097498765493056823e+02 3.166713569025067773e+04
1.232846739442065882e+02 3.315454259961090429e+04
1.384886371393871798e+02 3.475876085180442897e+04
1.555676143930472222e+02 3.656006900983041123e+04
1.747528400007682876e+02 3.860677280377017451e+04
1.963040650040272510e+02 4.093124939683006960e+04
2.205130739903045480e+02 4.356064589763562981e+04
2.477076355991708851e+02 4.652334990521686268e+04
2.782559402207126027e+02 4.985322917618900101e+04
3.125715849688235153e+02 5.359265501295571448e+04
3.511191734215127553e+02 5.779473851617440960e+04
3.944206059437656222e+02 6.252496794735940784e+04
4.430621457583877714e+02 6.786241410452767741e+04
4.977023564332113779e+02 7.390072764856457070e+04
5.590810182512223037e+02 8.074918649009906221e+04
6.280291441834247053e+02 8.853402916116888809e+04
7.054802310718645231e+02 9.740024949470274441e+04
7.924828983539169940e+02 1.075139625597709964e+05
8.902150854450392217e+02 1.190654054142394889e+05
1.000000000000000000e+03 1.322726162290794891e+05
