T[eV] σe[Ω/cm](SMT) σe[Ω/cm](modSMT) 
1.00000e-02 3.32028e+04 9.42895e+03
1.17681e-02 3.18348e+04 9.07351e+03
1.38489e-02 3.05466e+04 8.73947e+03
1.62975e-02 2.93341e+04 8.42576e+03
1.91791e-02 2.81931e+04 8.13137e+03
2.25702e-02 2.71200e+04 7.85539e+03
2.65609e-02 2.61111e+04 7.59696e+03
3.12572e-02 2.51632e+04 7.35530e+03
3.67838e-02 2.42734e+04 7.12969e+03
4.32876e-02 2.34387e+04 6.91948e+03
5.09414e-02 2.26566e+04 6.72407e+03
5.99484e-02 2.19246e+04 6.54293e+03
7.05480e-02 2.12406e+04 6.37559e+03
8.30218e-02 2.06024e+04 6.22163e+03
9.77010e-02 2.00083e+04 6.08071e+03
1.14976e-01 1.94565e+04 5.95252e+03
1.35305e-01 1.89455e+04 5.83683e+03
1.59228e-01 1.84738e+04 5.73347e+03
1.87382e-01 1.80403e+04 5.64235e+03
2.20513e-01 1.76438e+04 5.56342e+03
2.59502e-01 1.72834e+04 5.49672e+03
3.05386e-01 1.69581e+04 5.44237e+03
3.59381e-01 1.66672e+04 5.40056e+03
4.22924e-01 1.64101e+04 5.37158e+03
4.97702e-01 1.61859e+04 5.35583e+03
5.85702e-01 1.59942e+04 5.35380e+03
6.89261e-01 1.58342e+04 5.36612e+03
8.11131e-01 1.57053e+04 5.39354e+03
9.54548e-01 1.56063e+04 5.43699e+03
1.12332e+00 1.55362e+04 5.49755e+03
1.32194e+00 1.54931e+04 5.57651e+03
1.55568e+00 1.54750e+04 5.67539e+03
1.83074e+00 1.54788e+04 5.79597e+03
2.15443e+00 1.55009e+04 5.94039e+03
2.53536e+00 1.55370e+04 6.11126e+03
2.98365e+00 1.55821e+04 6.31161e+03
3.51119e+00 1.56305e+04 6.54498e+03
4.13201e+00 1.56771e+04 6.81558e+03
4.86260e+00 1.57178e+04 7.12848e+03
5.72237e+00 1.57553e+04 7.49084e+03
6.73415e+00 1.58020e+04 7.91246e+03
7.92483e+00 1.58711e+04 8.40258e+03
9.32603e+00 1.59815e+04 8.97062e+03
1.09750e+01 1.61844e+04 9.63165e+03
1.29155e+01 1.66320e+04 1.04205e+04
1.51991e+01 1.73282e+04 1.13351e+04
1.78865e+01 1.81976e+04 1.23587e+04
2.10490e+01 1.90860e+04 1.34515e+04
2.47708e+01 2.00478e+04 1.46263e+04
2.91505e+01 2.11347e+04 1.59013e+04
3.43047e+01 2.23338e+04 1.72789e+04
4.03702e+01 2.36223e+04 1.87575e+04
4.75081e+01 2.49581e+04 2.03266e+04
5.59081e+01 2.63121e+04 2.19794e+04
6.57933e+01 2.77672e+04 2.37572e+04
7.74264e+01 2.93163e+04 2.56630e+04
9.11163e+01 3.09234e+04 2.76897e+04
1.07227e+02 3.25560e+04 2.98400e+04
1.26186e+02 3.43863e+04 3.22086e+04
1.48497e+02 3.64807e+04 3.48131e+04
1.74753e+02 3.88770e+04 3.77924e+04
2.05651e+02 4.18982e+04 4.13840e+04
2.42013e+02 4.56694e+04 4.56864e+04
2.84804e+02 5.02039e+04 5.07443e+04
3.35160e+02 5.55497e+04 5.66448e+04
3.94421e+02 6.18294e+04 6.35467e+04
4.64159e+02 6.92680e+04 7.17246e+04
5.46228e+02 7.82056e+04 8.15850e+04
6.42807e+02 8.88392e+04 9.33144e+04
7.56463e+02 1.01532e+05 1.07330e+05
8.90215e+02 1.16856e+05 1.24317e+05
1.04762e+03 1.35745e+05 1.45435e+05
1.23285e+03 1.59913e+05 1.72884e+05
1.45083e+03 1.92972e+05 2.11501e+05
1.70735e+03 2.44143e+05 2.74342e+05
2.00923e+03 3.46871e+05 4.12455e+05
2.36449e+03 9.10856e+05 1.29605e+06
2.78256e+03 nan nan
3.27455e+03 nan nan
3.85353e+03 nan nan
4.53488e+03 nan nan
5.33670e+03 nan nan
6.28029e+03 nan nan
7.39072e+03 nan nan
8.69749e+03 nan nan
1.02353e+04 nan nan
1.20450e+04 nan nan
1.41747e+04 nan nan
1.66810e+04 nan nan
1.96304e+04 nan nan
2.31013e+04 nan nan
2.71859e+04 nan nan
3.19927e+04 nan nan
3.76494e+04 nan nan
4.43062e+04 nan nan
5.21401e+04 nan nan
6.13591e+04 nan nan
7.22081e+04 nan nan
8.49753e+04 nan nan
1.00000e+05 nan nan
