T[eV] σe[Ω/cm](SMT) σe[Ω/cm](modSMT) 
1.00000e-02 2.39329e+04 1.09183e+04
1.17681e-02 2.30428e+04 1.05416e+04
1.38489e-02 2.22065e+04 1.01886e+04
1.62975e-02 2.14215e+04 9.85845e+03
1.91791e-02 2.06851e+04 9.55000e+03
2.25702e-02 1.99951e+04 9.26240e+03
2.65609e-02 1.93495e+04 8.99483e+03
3.12572e-02 1.87462e+04 8.74656e+03
3.67838e-02 1.81835e+04 8.51696e+03
4.32876e-02 1.76597e+04 8.30546e+03
5.09414e-02 1.71735e+04 8.11157e+03
5.99484e-02 1.67234e+04 7.93490e+03
7.05480e-02 1.63084e+04 7.77515e+03
8.30218e-02 1.59274e+04 7.63208e+03
9.77010e-02 1.55796e+04 7.50557e+03
1.14976e-01 1.52642e+04 7.39561e+03
1.35305e-01 1.49807e+04 7.30226e+03
1.59228e-01 1.47288e+04 7.22573e+03
1.87382e-01 1.45081e+04 7.16634e+03
2.20513e-01 1.43187e+04 7.12457e+03
2.59502e-01 1.41606e+04 7.10104e+03
3.05386e-01 1.40343e+04 7.09655e+03
3.59381e-01 1.39401e+04 7.11213e+03
4.22924e-01 1.38789e+04 7.14901e+03
4.97702e-01 1.38516e+04 7.20873e+03
5.85702e-01 1.38594e+04 7.29312e+03
6.89261e-01 1.39040e+04 7.40440e+03
8.11131e-01 1.39871e+04 7.54523e+03
9.54548e-01 1.41108e+04 7.71880e+03
1.12332e+00 1.42778e+04 7.92894e+03
1.32194e+00 1.44909e+04 8.18025e+03
1.55568e+00 1.47535e+04 8.47824e+03
1.83074e+00 1.50695e+04 8.82957e+03
2.15443e+00 1.54433e+04 9.24231e+03
2.53536e+00 1.58799e+04 9.72621e+03
2.98365e+00 1.63850e+04 1.02931e+04
3.51119e+00 1.69649e+04 1.09575e+04
4.13201e+00 1.76272e+04 1.17367e+04
4.86260e+00 1.83804e+04 1.26515e+04
5.72237e+00 1.92348e+04 1.37259e+04
6.73415e+00 2.02014e+04 1.49863e+04
7.92483e+00 2.12914e+04 1.64590e+04
9.32603e+00 2.25093e+04 1.81660e+04
1.09750e+01 2.38414e+04 2.01228e+04
1.29155e+01 2.52392e+04 2.23404e+04
1.51991e+01 2.66280e+04 2.48363e+04
1.78865e+01 2.79637e+04 2.76473e+04
2.10490e+01 2.92885e+04 3.08354e+04
2.47708e+01 3.07075e+04 3.44840e+04
2.91505e+01 3.23275e+04 3.86905e+04
3.43047e+01 3.41623e+04 4.35628e+04
4.03702e+01 3.65818e+04 4.92003e+04
4.75081e+01 3.97603e+04 5.56836e+04
5.59081e+01 4.36574e+04 6.34301e+04
6.57933e+01 4.82984e+04 7.27475e+04
7.74264e+01 5.38013e+04 8.38832e+04
9.11163e+01 6.03560e+04 9.71057e+04
1.07227e+02 6.82082e+04 1.12749e+05
1.26186e+02 7.76561e+04 1.31241e+05
1.48497e+02 8.90579e+04 1.53130e+05
1.74753e+02 1.02846e+05 1.79107e+05
2.05651e+02 1.19544e+05 2.10031e+05
2.42013e+02 1.39794e+05 2.46973e+05
2.84804e+02 1.64383e+05 2.91248e+05
3.35160e+02 1.94279e+05 3.44479e+05
3.94421e+02 2.30675e+05 4.08662e+05
4.64159e+02 2.75044e+05 4.86253e+05
5.46228e+02 3.29206e+05 5.80277e+05
6.42807e+02 3.95410e+05 6.94465e+05
7.56463e+02 4.76442e+05 8.33420e+05
8.90215e+02 5.75751e+05 1.00282e+06
1.04762e+03 6.97613e+05 1.20971e+06
1.23285e+03 8.47332e+05 1.46276e+06
1.45083e+03 1.03149e+06 1.77276e+06
1.70735e+03 1.25827e+06 2.15305e+06
2.00923e+03 1.53784e+06 2.62018e+06
2.36449e+03 1.88283e+06 3.19469e+06
2.78256e+03 2.30898e+06 3.90212e+06
3.27455e+03 2.83588e+06 4.77417e+06
3.85353e+03 3.48794e+06 5.85029e+06
4.53488e+03 4.29556e+06 7.17957e+06
5.33670e+03 5.29669e+06 8.82313e+06
6.28029e+03 6.53866e+06 1.08571e+07
7.39072e+03 8.08055e+06 1.33764e+07
8.69749e+03 9.99616e+06 1.64994e+07
1.02353e+04 1.23777e+07 2.03738e+07
1.20450e+04 1.53403e+07 2.51839e+07
1.41747e+04 1.90282e+07 3.11600e+07
1.66810e+04 2.36216e+07 3.85897e+07
1.96304e+04 2.93461e+07 4.78325e+07
2.31013e+04 3.64840e+07 5.93382e+07
2.71859e+04 4.53891e+07 7.36691e+07
3.19927e+04 5.65043e+07 9.15290e+07
3.76494e+04 7.03849e+07 1.13799e+08
4.43062e+04 8.77268e+07 1.41583e+08
5.21401e+04 1.09403e+08 1.76263e+08
6.13591e+04 1.36507e+08 2.19571e+08
7.22081e+04 1.70414e+08 2.73680e+08
8.49753e+04 2.12847e+08 3.41311e+08
1.00000e+05 2.65971e+08 4.25882e+08
