T[eV] κe[W/(keVcm)](SMT) κe[W/(keVcm)](modSMT)
2.00000e-02 5.32033e+05 1.56642e+05
2.02785e-02 5.37845e+05 1.58420e+05
2.05609e-02 5.43726e+05 1.60219e+05
2.08472e-02 5.49674e+05 1.62040e+05
2.11375e-02 5.55692e+05 1.63882e+05
2.14319e-02 5.61779e+05 1.65748e+05
2.17303e-02 5.67938e+05 1.67636e+05
2.20329e-02 5.74168e+05 1.69547e+05
2.23397e-02 5.80471e+05 1.71482e+05
2.26508e-02 5.86847e+05 1.73440e+05
2.29662e-02 5.93298e+05 1.75422e+05
2.32861e-02 5.99824e+05 1.77428e+05
2.36103e-02 6.06426e+05 1.79459e+05
2.39391e-02 6.13106e+05 1.81515e+05
2.42725e-02 6.19864e+05 1.83596e+05
2.46105e-02 6.26702e+05 1.85703e+05
2.49532e-02 6.33619e+05 1.87836e+05
2.53007e-02 6.40618e+05 1.89994e+05
2.56530e-02 6.47699e+05 1.92180e+05
2.60102e-02 6.54864e+05 1.94392e+05
2.63724e-02 6.62112e+05 1.96632e+05
2.67397e-02 6.69447e+05 1.98900e+05
2.71120e-02 6.76867e+05 2.01195e+05
2.74896e-02 6.84376e+05 2.03519e+05
2.78724e-02 6.91973e+05 2.05872e+05
2.82605e-02 6.99659e+05 2.08254e+05
2.86541e-02 7.07437e+05 2.10666e+05
2.90531e-02 7.15307e+05 2.13108e+05
2.94577e-02 7.23270e+05 2.15580e+05
2.98679e-02 7.31328e+05 2.18083e+05
3.02838e-02 7.39481e+05 2.20617e+05
3.07055e-02 7.47732e+05 2.23182e+05
3.11331e-02 7.56080e+05 2.25780e+05
3.15666e-02 7.64528e+05 2.28411e+05
3.20062e-02 7.73076e+05 2.31074e+05
3.24519e-02 7.81727e+05 2.33771e+05
3.29038e-02 7.90481e+05 2.36501e+05
3.33620e-02 7.99339e+05 2.39266e+05
3.38266e-02 8.08303e+05 2.42066e+05
3.42976e-02 8.17375e+05 2.44901e+05
3.47752e-02 8.26555e+05 2.47772e+05
3.52595e-02 8.35845e+05 2.50679e+05
3.57505e-02 8.45247e+05 2.53622e+05
3.62484e-02 8.54762e+05 2.56603e+05
3.67531e-02 8.64391e+05 2.59622e+05
3.72649e-02 8.74136e+05 2.62679e+05
3.77839e-02 8.83999e+05 2.65775e+05
3.83100e-02 8.93980e+05 2.68910e+05
3.88435e-02 9.04082e+05 2.72085e+05
3.93844e-02 9.14305e+05 2.75300e+05
3.99328e-02 9.24653e+05 2.78557e+05
