T[eV]        κe[W/(keVcm)]
5.00000e-02 1.80654e+06
5.04981e-02 1.82158e+06
5.10012e-02 1.83675e+06
5.15093e-02 1.85206e+06
5.20225e-02 1.86750e+06
5.25408e-02 1.88308e+06
5.30642e-02 1.89880e+06
5.35929e-02 1.91467e+06
5.41268e-02 1.93067e+06
5.46661e-02 1.94683e+06
5.52107e-02 1.96312e+06
5.57608e-02 1.97956e+06
5.63163e-02 1.99615e+06
5.68774e-02 2.01290e+06
5.74440e-02 2.02979e+06
5.80163e-02 2.04683e+06
5.85943e-02 2.06403e+06
5.91781e-02 2.08139e+06
5.97676e-02 2.09890e+06
6.03631e-02 2.11657e+06
6.09645e-02 2.13440e+06
6.15718e-02 2.15239e+06
6.21852e-02 2.17055e+06
6.28048e-02 2.18887e+06
6.34305e-02 2.20736e+06
6.40624e-02 2.22602e+06
6.47007e-02 2.24485e+06
6.53453e-02 2.26384e+06
6.59963e-02 2.28302e+06
6.66538e-02 2.30236e+06
6.73178e-02 2.32189e+06
6.79885e-02 2.34159e+06
6.86658e-02 2.36148e+06
6.93499e-02 2.38154e+06
7.00408e-02 2.40179e+06
7.07386e-02 2.42223e+06
7.14434e-02 2.44285e+06
7.21552e-02 2.46367e+06
7.28740e-02 2.48467e+06
7.36000e-02 2.50587e+06
7.43333e-02 2.52726e+06
7.50739e-02 2.54886e+06
7.58218e-02 2.57065e+06
7.65772e-02 2.59264e+06
7.73401e-02 2.61484e+06
7.81106e-02 2.63724e+06
7.88888e-02 2.65985e+06
7.96748e-02 2.68266e+06
8.04685e-02 2.70569e+06
8.12702e-02 2.72894e+06
8.20799e-02 2.75240e+06
8.28976e-02 2.77608e+06
8.37235e-02 2.79997e+06
8.45576e-02 2.82410e+06
8.54000e-02 2.84844e+06
8.62509e-02 2.87302e+06
8.71102e-02 2.89782e+06
8.79780e-02 2.92285e+06
8.88545e-02 2.94812e+06
8.97397e-02 2.97363e+06
9.06338e-02 2.99937e+06
9.15367e-02 3.02536e+06
9.24487e-02 3.05159e+06
9.33697e-02 3.07807e+06
9.43000e-02 3.10479e+06
9.52394e-02 3.13177e+06
9.61883e-02 3.15900e+06
9.71466e-02 3.18649e+06
9.81144e-02 3.21423e+06
9.90919e-02 3.24224e+06
1.00079e-01 3.27052e+06
1.01076e-01 3.29906e+06
1.02083e-01 3.32787e+06
1.03100e-01 3.35695e+06
1.04127e-01 3.38631e+06
1.05165e-01 3.41595e+06
1.06212e-01 3.44587e+06
1.07271e-01 3.47608e+06
1.08339e-01 3.50657e+06
1.09419e-01 3.53736e+06
1.10509e-01 3.56843e+06
1.11610e-01 3.59981e+06
1.12722e-01 3.63148e+06
1.13845e-01 3.66345e+06
1.14979e-01 3.69574e+06
1.16124e-01 3.72833e+06
1.17281e-01 3.76123e+06
1.18450e-01 3.79445e+06
1.19630e-01 3.82798e+06
1.20822e-01 3.86184e+06
1.22025e-01 3.89603e+06
1.23241e-01 3.93054e+06
1.24469e-01 3.96539e+06
1.25709e-01 4.00057e+06
1.26961e-01 4.03610e+06
1.28226e-01 4.07196e+06
1.29504e-01 4.10817e+06
1.30794e-01 4.14474e+06
1.32097e-01 4.18166e+06
1.33413e-01 4.21893e+06
1.34742e-01 4.25657e+06
1.36085e-01 4.29457e+06
1.37440e-01 4.33294e+06
1.38810e-01 4.37169e+06
1.40193e-01 4.41081e+06
1.41589e-01 4.45032e+06
1.43000e-01 4.49021e+06
1.44425e-01 4.53049e+06
1.45863e-01 4.57116e+06
1.47317e-01 4.61223e+06
1.48784e-01 4.65370e+06
1.50267e-01 4.69558e+06
1.51764e-01 4.73788e+06
1.53276e-01 4.78058e+06
1.54803e-01 4.82371e+06
1.56345e-01 4.86726e+06
1.57902e-01 4.91124e+06
1.59476e-01 4.95565e+06
1.61064e-01 5.00051e+06
1.62669e-01 5.04580e+06
1.64290e-01 5.09154e+06
1.65926e-01 5.13774e+06
1.67580e-01 5.18439e+06
1.69249e-01 5.23151e+06
1.70935e-01 5.27909e+06
1.72638e-01 5.32715e+06
1.74358e-01 5.37568e+06
1.76095e-01 5.42470e+06
1.77850e-01 5.47420e+06
1.79621e-01 5.52420e+06
1.81411e-01 5.57470e+06
1.83218e-01 5.62570e+06
1.85044e-01 5.67722e+06
1.86887e-01 5.72924e+06
1.88749e-01 5.78179e+06
1.90630e-01 5.83487e+06
1.92529e-01 5.88848e+06
1.94447e-01 5.94263e+06
1.96384e-01 5.99732e+06
1.98341e-01 6.05257e+06
2.00317e-01 6.10837e+06
2.02312e-01 6.16473e+06
2.04328e-01 6.22167e+06
2.06364e-01 6.27917e+06
2.08419e-01 6.33727e+06
2.10496e-01 6.39595e+06
2.12593e-01 6.45522e+06
2.14711e-01 6.51510e+06
2.16850e-01 6.57558e+06
2.19011e-01 6.63668e+06
2.21192e-01 6.69840e+06
2.23396e-01 6.76075e+06
2.25622e-01 6.82374e+06
2.27870e-01 6.88737e+06
2.30140e-01 6.95165e+06
2.32433e-01 7.01659e+06
2.34748e-01 7.08219e+06
2.37087e-01 7.14846e+06
2.39449e-01 7.21542e+06
2.41835e-01 7.28306e+06
2.44244e-01 7.35140e+06
2.46677e-01 7.42045e+06
2.49135e-01 7.49020e+06
2.51617e-01 7.56067e+06
2.54124e-01 7.63188e+06
2.56655e-01 7.70381e+06
2.59212e-01 7.77649e+06
2.61795e-01 7.84993e+06
2.64403e-01 7.92412e+06
2.67037e-01 7.99909e+06
2.69698e-01 8.07484e+06
2.72384e-01 8.15137e+06
2.75098e-01 8.22870e+06
2.77839e-01 8.30683e+06
2.80607e-01 8.38578e+06
2.83403e-01 8.46556e+06
2.86226e-01 8.54617e+06
2.89078e-01 8.62762e+06
2.91958e-01 8.70993e+06
2.94866e-01 8.79310e+06
2.97804e-01 8.87714e+06
3.00771e-01 8.96206e+06
3.03767e-01 9.04788e+06
3.06794e-01 9.13460e+06
3.09850e-01 9.22224e+06
3.12937e-01 9.31080e+06
3.16055e-01 9.40030e+06
3.19204e-01 9.49074e+06
3.22384e-01 9.58215e+06
3.25595e-01 9.67452e+06
3.28839e-01 9.76787e+06
3.32115e-01 9.86221e+06
3.35424e-01 9.95755e+06
3.38766e-01 1.00539e+07
3.42141e-01 1.01513e+07
3.45550e-01 1.02497e+07
3.48992e-01 1.03492e+07
3.52469e-01 1.04497e+07
3.55981e-01 1.05514e+07
3.59527e-01 1.06541e+07
3.63109e-01 1.07579e+07
3.66727e-01 1.08628e+07
3.70380e-01 1.09688e+07
3.74070e-01 1.10760e+07
3.77797e-01 1.11844e+07
3.81561e-01 1.12939e+07
3.85362e-01 1.14046e+07
3.89201e-01 1.15164e+07
3.93079e-01 1.16295e+07
3.96995e-01 1.17439e+07
4.00950e-01 1.18594e+07
4.04945e-01 1.19762e+07
4.08979e-01 1.20943e+07
4.13054e-01 1.22137e+07
4.17169e-01 1.23344e+07
4.21325e-01 1.24563e+07
4.25522e-01 1.25797e+07
4.29762e-01 1.27043e+07
4.34043e-01 1.28303e+07
4.38368e-01 1.29577e+07
4.42735e-01 1.30865e+07
4.47146e-01 1.32168e+07
4.51601e-01 1.33484e+07
4.56100e-01 1.34815e+07
4.60644e-01 1.36160e+07
4.65233e-01 1.37521e+07
4.69868e-01 1.38896e+07
4.74549e-01 1.40287e+07
4.79277e-01 1.41693e+07
4.84052e-01 1.43114e+07
4.88874e-01 1.44551e+07
4.93745e-01 1.46004e+07
4.98664e-01 1.47474e+07
5.03632e-01 1.48959e+07
5.08649e-01 1.50462e+07
5.13717e-01 1.51980e+07
5.18835e-01 1.53516e+07
5.24004e-01 1.55069e+07
5.29224e-01 1.56640e+07
5.34497e-01 1.58227e+07
5.39822e-01 1.59833e+07
5.45200e-01 1.61457e+07
5.50632e-01 1.63099e+07
5.56117e-01 1.64759e+07
5.61658e-01 1.66438e+07
5.67253e-01 1.68136e+07
5.72905e-01 1.69853e+07
5.78613e-01 1.71589e+07
5.84377e-01 1.73346e+07
5.90199e-01 1.75121e+07
5.96079e-01 1.76917e+07
6.02018e-01 1.78734e+07
6.08015e-01 1.80571e+07
6.14073e-01 1.82429e+07
6.20191e-01 1.84308e+07
6.26369e-01 1.86208e+07
6.32610e-01 1.88130e+07
6.38912e-01 1.90074e+07
6.45277e-01 1.92040e+07
6.51706e-01 1.94029e+07
6.58199e-01 1.96040e+07
6.64756e-01 1.98075e+07
6.71379e-01 2.00133e+07
6.78068e-01 2.02214e+07
6.84823e-01 2.04319e+07
6.91646e-01 2.06449e+07
6.98537e-01 2.08603e+07
7.05496e-01 2.10782e+07
7.12525e-01 2.12986e+07
7.19623e-01 2.15216e+07
7.26793e-01 2.17471e+07
7.34033e-01 2.19753e+07
7.41346e-01 2.22061e+07
7.48732e-01 2.24395e+07
7.56192e-01 2.26757e+07
7.63725e-01 2.29147e+07
7.71334e-01 2.31564e+07
7.79019e-01 2.34009e+07
7.86780e-01 2.36483e+07
7.94618e-01 2.38986e+07
8.02535e-01 2.41518e+07
8.10530e-01 2.44079e+07
8.18605e-01 2.46671e+07
8.26761e-01 2.49293e+07
8.34998e-01 2.51946e+07
8.43316e-01 2.54630e+07
8.51718e-01 2.57346e+07
8.60204e-01 2.60093e+07
8.68774e-01 2.62873e+07
8.77429e-01 2.65686e+07
8.86170e-01 2.68532e+07
8.94999e-01 2.71412e+07
9.03916e-01 2.74326e+07
9.12921e-01 2.77274e+07
9.22016e-01 2.80257e+07
9.31202e-01 2.83276e+07
9.40479e-01 2.86331e+07
9.49849e-01 2.89422e+07
9.59312e-01 2.92549e+07
9.68869e-01 2.95714e+07
9.78522e-01 2.98917e+07
9.88271e-01 3.02158e+07
9.98117e-01 3.05438e+07
1.00806e+00 3.08757e+07
1.01810e+00 3.12116e+07
1.02825e+00 3.15515e+07
1.03849e+00 3.18955e+07
1.04884e+00 3.22437e+07
1.05929e+00 3.25960e+07
1.06984e+00 3.29525e+07
1.08050e+00 3.33134e+07
1.09126e+00 3.36786e+07
1.10213e+00 3.40482e+07
1.11311e+00 3.44223e+07
1.12420e+00 3.48009e+07
1.13540e+00 3.51841e+07
1.14672e+00 3.55720e+07
1.15814e+00 3.59645e+07
1.16968e+00 3.63618e+07
1.18133e+00 3.67640e+07
1.19310e+00 3.71710e+07
1.20499e+00 3.75830e+07
1.21699e+00 3.80000e+07
1.22912e+00 3.84221e+07
1.24136e+00 3.88493e+07
1.25373e+00 3.92818e+07
1.26622e+00 3.97195e+07
1.27884e+00 4.01626e+07
1.29158e+00 4.06111e+07
1.30444e+00 4.10652e+07
1.31744e+00 4.15248e+07
1.33056e+00 4.19900e+07
1.34382e+00 4.24610e+07
1.35721e+00 4.29378e+07
1.37073e+00 4.34204e+07
1.38439e+00 4.39089e+07
1.39818e+00 4.44035e+07
1.41211e+00 4.49042e+07
1.42618e+00 4.54111e+07
1.44039e+00 4.59243e+07
1.45474e+00 4.64438e+07
1.46923e+00 4.69697e+07
1.48387e+00 4.75021e+07
1.49865e+00 4.80412e+07
1.51358e+00 4.85869e+07
1.52866e+00 4.91394e+07
1.54389e+00 4.96988e+07
1.55927e+00 5.02651e+07
1.57480e+00 5.08385e+07
1.59049e+00 5.14190e+07
1.60634e+00 5.20068e+07
1.62234e+00 5.26019e+07
1.63851e+00 5.32044e+07
1.65483e+00 5.38144e+07
1.67132e+00 5.44320e+07
1.68797e+00 5.50574e+07
1.70478e+00 5.56906e+07
1.72177e+00 5.63317e+07
1.73892e+00 5.69809e+07
1.75625e+00 5.76382e+07
1.77374e+00 5.83037e+07
1.79141e+00 5.89776e+07
1.80926e+00 5.96600e+07
1.82729e+00 6.03509e+07
1.84549e+00 6.10505e+07
1.86388e+00 6.17590e+07
1.88245e+00 6.24763e+07
1.90120e+00 6.32027e+07
1.92014e+00 6.39382e+07
1.93927e+00 6.46830e+07
1.95859e+00 6.54372e+07
1.97811e+00 6.62009e+07
1.99781e+00 6.69743e+07
2.01772e+00 6.77574e+07
2.03782e+00 6.85505e+07
2.05812e+00 6.93535e+07
2.07862e+00 7.01668e+07
2.09933e+00 7.09903e+07
2.12025e+00 7.18243e+07
2.14137e+00 7.26688e+07
2.16271e+00 7.35240e+07
2.18425e+00 7.43901e+07
2.20601e+00 7.52672e+07
2.22799e+00 7.61554e+07
2.25019e+00 7.70549e+07
2.27261e+00 7.79658e+07
2.29525e+00 7.88882e+07
2.31811e+00 7.98225e+07
2.34121e+00 8.07685e+07
2.36453e+00 8.17267e+07
2.38809e+00 8.26970e+07
2.41188e+00 8.36797e+07
2.43591e+00 8.46749e+07
2.46018e+00 8.56827e+07
2.48469e+00 8.67035e+07
2.50944e+00 8.77372e+07
2.53444e+00 8.87841e+07
2.55969e+00 8.98443e+07
2.58520e+00 9.09181e+07
2.61095e+00 9.20056e+07
2.63696e+00 9.31070e+07
2.66323e+00 9.42224e+07
2.68977e+00 9.53521e+07
2.71657e+00 9.64962e+07
2.74363e+00 9.76550e+07
2.77096e+00 9.88285e+07
2.79857e+00 1.00017e+08
2.82645e+00 1.01221e+08
2.85461e+00 1.02440e+08
2.88305e+00 1.03675e+08
2.91177e+00 1.04925e+08
2.94078e+00 1.06192e+08
2.97008e+00 1.07474e+08
2.99967e+00 1.08774e+08
3.02955e+00 1.10089e+08
3.05974e+00 1.11422e+08
3.09022e+00 1.12772e+08
3.12101e+00 1.14139e+08
3.15210e+00 1.15523e+08
3.18350e+00 1.16925e+08
3.21522e+00 1.18346e+08
3.24725e+00 1.19784e+08
3.27960e+00 1.21241e+08
3.31228e+00 1.22716e+08
3.34528e+00 1.24211e+08
3.37861e+00 1.25724e+08
3.41227e+00 1.27257e+08
3.44626e+00 1.28810e+08
3.48060e+00 1.30382e+08
3.51527e+00 1.31975e+08
3.55029e+00 1.33588e+08
3.58566e+00 1.35222e+08
3.62139e+00 1.36876e+08
3.65747e+00 1.38552e+08
3.69390e+00 1.40250e+08
3.73070e+00 1.41969e+08
3.76787e+00 1.43710e+08
3.80541e+00 1.45474e+08
3.84332e+00 1.47260e+08
3.88161e+00 1.49069e+08
3.92028e+00 1.50902e+08
3.95934e+00 1.52757e+08
3.99879e+00 1.54637e+08
4.03863e+00 1.56541e+08
4.07886e+00 1.58469e+08
4.11950e+00 1.60422e+08
4.16054e+00 1.62400e+08
4.20199e+00 1.64403e+08
4.24385e+00 1.66433e+08
4.28613e+00 1.68488e+08
4.32883e+00 1.70569e+08
4.37196e+00 1.72677e+08
4.41552e+00 1.74813e+08
4.45951e+00 1.76976e+08
4.50394e+00 1.79166e+08
4.54881e+00 1.81385e+08
4.59413e+00 1.83632e+08
4.63990e+00 1.85908e+08
4.68612e+00 1.88213e+08
4.73281e+00 1.90548e+08
4.77996e+00 1.92913e+08
4.82758e+00 1.95308e+08
4.87568e+00 1.97734e+08
4.92425e+00 2.00191e+08
4.97331e+00 2.02680e+08
5.02286e+00 2.05200e+08
5.07290e+00 2.07754e+08
5.12344e+00 2.10340e+08
5.17448e+00 2.12959e+08
5.22603e+00 2.15612e+08
5.27810e+00 2.18299e+08
5.33068e+00 2.21020e+08
5.38379e+00 2.23777e+08
5.43743e+00 2.26569e+08
5.49160e+00 2.29397e+08
5.54631e+00 2.32262e+08
5.60157e+00 2.35163e+08
5.65737e+00 2.38102e+08
5.71374e+00 2.41079e+08
5.77066e+00 2.44094e+08
5.82815e+00 2.47148e+08
5.88622e+00 2.50242e+08
5.94486e+00 2.53375e+08
6.00409e+00 2.56549e+08
6.06390e+00 2.59764e+08
6.12432e+00 2.63020e+08
6.18533e+00 2.66319e+08
6.24695e+00 2.69660e+08
6.30919e+00 2.73045e+08
6.37205e+00 2.76473e+08
6.43553e+00 2.79946e+08
6.49965e+00 2.83464e+08
6.56440e+00 2.87027e+08
6.62980e+00 2.90637e+08
6.69585e+00 2.94294e+08
