T[eV] σe[Ω/cm](SMT) σe[Ω/cm](modSMT) 
2.00000e-02 2.79105e+04 8.05860e+03
2.02785e-02 2.78183e+04 8.03485e+03
2.05609e-02 2.77265e+04 8.01124e+03
2.08472e-02 2.76352e+04 7.98775e+03
2.11375e-02 2.75443e+04 7.96440e+03
2.14319e-02 2.74540e+04 7.94117e+03
2.17303e-02 2.73641e+04 7.91807e+03
2.20329e-02 2.72746e+04 7.89510e+03
2.23397e-02 2.71857e+04 7.87226e+03
2.26508e-02 2.70972e+04 7.84954e+03
2.29662e-02 2.70092e+04 7.82695e+03
2.32861e-02 2.69216e+04 7.80449e+03
2.36103e-02 2.68345e+04 7.78215e+03
2.39391e-02 2.67478e+04 7.75994e+03
2.42725e-02 2.66616e+04 7.73785e+03
2.46105e-02 2.65759e+04 7.71588e+03
2.49532e-02 2.64906e+04 7.69404e+03
2.53007e-02 2.64058e+04 7.67232e+03
2.56530e-02 2.63214e+04 7.65073e+03
2.60102e-02 2.62374e+04 7.62926e+03
2.63724e-02 2.61539e+04 7.60790e+03
2.67397e-02 2.60708e+04 7.58667e+03
2.71120e-02 2.59882e+04 7.56556e+03
2.74896e-02 2.59060e+04 7.54457e+03
2.78724e-02 2.58243e+04 7.52370e+03
2.82605e-02 2.57429e+04 7.50295e+03
2.86541e-02 2.56621e+04 7.48232e+03
2.90531e-02 2.55816e+04 7.46181e+03
2.94577e-02 2.55016e+04 7.44142e+03
2.98679e-02 2.54220e+04 7.42114e+03
3.02838e-02 2.53428e+04 7.40098e+03
3.07055e-02 2.52640e+04 7.38093e+03
3.11331e-02 2.51857e+04 7.36101e+03
3.15666e-02 2.51078e+04 7.34120e+03
3.20062e-02 2.50303e+04 7.32150e+03
3.24519e-02 2.49532e+04 7.30192e+03
3.29038e-02 2.48765e+04 7.28245e+03
3.33620e-02 2.48002e+04 7.26310e+03
3.38266e-02 2.47244e+04 7.24387e+03
3.42976e-02 2.46489e+04 7.22474e+03
3.47752e-02 2.45739e+04 7.20573e+03
3.52595e-02 2.44993e+04 7.18683e+03
3.57505e-02 2.44250e+04 7.16804e+03
3.62484e-02 2.43512e+04 7.14937e+03
3.67531e-02 2.42778e+04 7.13081e+03
3.72649e-02 2.42048e+04 7.11235e+03
3.77839e-02 2.41321e+04 7.09401e+03
3.83100e-02 2.40599e+04 7.07578e+03
3.88435e-02 2.39880e+04 7.05766e+03
3.93844e-02 2.39166e+04 7.03965e+03
3.99328e-02 2.38455e+04 7.02175e+03
4.04889e-02 2.37749e+04 7.00395e+03
4.10528e-02 2.37046e+04 6.98627e+03
4.16244e-02 2.36347e+04 6.96869e+03
4.22041e-02 2.35651e+04 6.95122e+03
4.27918e-02 2.34960e+04 6.93386e+03
4.33877e-02 2.34272e+04 6.91660e+03
4.39919e-02 2.33589e+04 6.89946e+03
4.46045e-02 2.32909e+04 6.88242e+03
4.52256e-02 2.32232e+04 6.86548e+03
4.58554e-02 2.31560e+04 6.84865e+03
4.64939e-02 2.30891e+04 6.83192e+03
4.71414e-02 2.30226e+04 6.81531e+03
4.77979e-02 2.29565e+04 6.79879e+03
4.84635e-02 2.28907e+04 6.78238e+03
4.91383e-02 2.28253e+04 6.76607e+03
4.98226e-02 2.27602e+04 6.74987e+03
5.05164e-02 2.26956e+04 6.73377e+03
5.12199e-02 2.26313e+04 6.71778e+03
5.19331e-02 2.25673e+04 6.70188e+03
5.26563e-02 2.25037e+04 6.68609e+03
5.33896e-02 2.24405e+04 6.67040e+03
5.41330e-02 2.23776e+04 6.65482e+03
5.48869e-02 2.23151e+04 6.63933e+03
5.56512e-02 2.22529e+04 6.62395e+03
5.64262e-02 2.21911e+04 6.60866e+03
5.72119e-02 2.21297e+04 6.59348e+03
5.80086e-02 2.20686e+04 6.57840e+03
5.88164e-02 2.20078e+04 6.56342e+03
5.96354e-02 2.19474e+04 6.54854e+03
6.04659e-02 2.18873e+04 6.53376e+03
6.13079e-02 2.18276e+04 6.51907e+03
6.21616e-02 2.17682e+04 6.50449e+03
6.30273e-02 2.17092e+04 6.49000e+03
6.39050e-02 2.16505e+04 6.47562e+03
6.47949e-02 2.15921e+04 6.46133e+03
6.56971e-02 2.15341e+04 6.44714e+03
6.66120e-02 2.14764e+04 6.43305e+03
6.75396e-02 2.14191e+04 6.41905e+03
6.84801e-02 2.13621e+04 6.40516e+03
6.94337e-02 2.13054e+04 6.39136e+03
7.04006e-02 2.12491e+04 6.37765e+03
7.13810e-02 2.11931e+04 6.36405e+03
7.23750e-02 2.11374e+04 6.35054e+03
7.33828e-02 2.10820e+04 6.33712e+03
7.44047e-02 2.10270e+04 6.32380e+03
7.54408e-02 2.09723e+04 6.31058e+03
7.64914e-02 2.09179e+04 6.29745e+03
7.75566e-02 2.08639e+04 6.28442e+03
7.86366e-02 2.08102e+04 6.27148e+03
7.97316e-02 2.07568e+04 6.25864e+03
8.08419e-02 2.07037e+04 6.24589e+03
8.19677e-02 2.06509e+04 6.23324e+03
8.31091e-02 2.05985e+04 6.22068e+03
8.42664e-02 2.05463e+04 6.20822e+03
8.54399e-02 2.04945e+04 6.19584e+03
8.66297e-02 2.04430e+04 6.18357e+03
8.78360e-02 2.03918e+04 6.17138e+03
8.90592e-02 2.03410e+04 6.15929e+03
9.02994e-02 2.02904e+04 6.14729e+03
9.15568e-02 2.02402e+04 6.13539e+03
9.28318e-02 2.01902e+04 6.12357e+03
9.41245e-02 2.01406e+04 6.11185e+03
9.54352e-02 2.00913e+04 6.10022e+03
9.67642e-02 2.00423e+04 6.08869e+03
9.81117e-02 1.99936e+04 6.07724e+03
9.94779e-02 1.99452e+04 6.06589e+03
1.00863e-01 1.98971e+04 6.05463e+03
1.02268e-01 1.98493e+04 6.04346e+03
1.03692e-01 1.98018e+04 6.03238e+03
1.05136e-01 1.97546e+04 6.02140e+03
1.06600e-01 1.97077e+04 6.01050e+03
1.08084e-01 1.96611e+04 5.99970e+03
1.09589e-01 1.96148e+04 5.98898e+03
1.11116e-01 1.95688e+04 5.97836e+03
1.12663e-01 1.95231e+04 5.96783e+03
