T[eV] κe[W/(keVcm)](SMT) κe[W/(keVcm)](modSMT)
2.00000e-02 1.22397e+06 5.66042e+05
2.02785e-02 1.23703e+06 5.72210e+05
2.05609e-02 1.25024e+06 5.78449e+05
2.08472e-02 1.26360e+06 5.84760e+05
2.11375e-02 1.27712e+06 5.91144e+05
2.14319e-02 1.29078e+06 5.97603e+05
2.17303e-02 1.30460e+06 6.04136e+05
2.20329e-02 1.31858e+06 6.10745e+05
2.23397e-02 1.33271e+06 6.17431e+05
2.26508e-02 1.34701e+06 6.24195e+05
2.29662e-02 1.36146e+06 6.31037e+05
2.32861e-02 1.37609e+06 6.37959e+05
2.36103e-02 1.39087e+06 6.44962e+05
2.39391e-02 1.40583e+06 6.52047e+05
2.42725e-02 1.42096e+06 6.59214e+05
2.46105e-02 1.43626e+06 6.66466e+05
2.49532e-02 1.45173e+06 6.73802e+05
2.53007e-02 1.46738e+06 6.81223e+05
2.56530e-02 1.48321e+06 6.88732e+05
2.60102e-02 1.49922e+06 6.96329e+05
2.63724e-02 1.51541e+06 7.04015e+05
2.67397e-02 1.53179e+06 7.11792e+05
2.71120e-02 1.54835e+06 7.19660e+05
2.74896e-02 1.56511e+06 7.27620e+05
2.78724e-02 1.58206e+06 7.35674e+05
2.82605e-02 1.59920e+06 7.43823e+05
2.86541e-02 1.61654e+06 7.52068e+05
2.90531e-02 1.63408e+06 7.60411e+05
2.94577e-02 1.65182e+06 7.68852e+05
2.98679e-02 1.66976e+06 7.77393e+05
3.02838e-02 1.68791e+06 7.86035e+05
3.07055e-02 1.70627e+06 7.94780e+05
3.11331e-02 1.72485e+06 8.03628e+05
3.15666e-02 1.74363e+06 8.12581e+05
3.20062e-02 1.76264e+06 8.21641e+05
3.24519e-02 1.78186e+06 8.30808e+05
3.29038e-02 1.80131e+06 8.40084e+05
3.33620e-02 1.82098e+06 8.49471e+05
3.38266e-02 1.84088e+06 8.58970e+05
3.42976e-02 1.86101e+06 8.68582e+05
3.47752e-02 1.88138e+06 8.78309e+05
3.52595e-02 1.90198e+06 8.88152e+05
3.57505e-02 1.92282e+06 8.98112e+05
3.62484e-02 1.94391e+06 9.08192e+05
3.67531e-02 1.96524e+06 9.18393e+05
3.72649e-02 1.98682e+06 9.28716e+05
3.77839e-02 2.00865e+06 9.39164e+05
3.83100e-02 2.03073e+06 9.49736e+05
3.88435e-02 2.05308e+06 9.60436e+05
3.93844e-02 2.07568e+06 9.71265e+05
3.99328e-02 2.09855e+06 9.82224e+05
4.04889e-02 2.12169e+06 9.93315e+05
4.10528e-02 2.14510e+06 1.00454e+06
4.16244e-02 2.16879e+06 1.01590e+06
4.22041e-02 2.19275e+06 1.02740e+06
4.27918e-02 2.21700e+06 1.03904e+06
4.33877e-02 2.24153e+06 1.05081e+06
4.39919e-02 2.26635e+06 1.06274e+06
4.46045e-02 2.29146e+06 1.07480e+06
4.52256e-02 2.31687e+06 1.08701e+06
4.58554e-02 2.34257e+06 1.09937e+06
4.64939e-02 2.36859e+06 1.11189e+06
4.71414e-02 2.39491e+06 1.12455e+06
4.77979e-02 2.42154e+06 1.13737e+06
4.84635e-02 2.44848e+06 1.15034e+06
4.91383e-02 2.47575e+06 1.16348e+06
4.98226e-02 2.50334e+06 1.17677e+06
5.05164e-02 2.53126e+06 1.19023e+06
5.12199e-02 2.55951e+06 1.20385e+06
5.19331e-02 2.58810e+06 1.21764e+06
5.26563e-02 2.61702e+06 1.23159e+06
5.33896e-02 2.64629e+06 1.24572e+06
5.41330e-02 2.67592e+06 1.26003e+06
5.48869e-02 2.70589e+06 1.27451e+06
5.56512e-02 2.73622e+06 1.28916e+06
5.64262e-02 2.76692e+06 1.30400e+06
5.72119e-02 2.79798e+06 1.31903e+06
5.80086e-02 2.82942e+06 1.33423e+06
5.88164e-02 2.86123e+06 1.34963e+06
5.96354e-02 2.89343e+06 1.36521e+06
6.04659e-02 2.92601e+06 1.38099e+06
6.13079e-02 2.95898e+06 1.39697e+06
6.21616e-02 2.99235e+06 1.41314e+06
6.30273e-02 3.02612e+06 1.42952e+06
6.39050e-02 3.06030e+06 1.44610e+06
6.47949e-02 3.09490e+06 1.46288e+06
6.56971e-02 3.12991e+06 1.47988e+06
6.66120e-02 3.16534e+06 1.49709e+06
6.75396e-02 3.20121e+06 1.51451e+06
6.84801e-02 3.23750e+06 1.53215e+06
6.94337e-02 3.27424e+06 1.55001e+06
7.04006e-02 3.31142e+06 1.56810e+06
7.13810e-02 3.34906e+06 1.58641e+06
7.23750e-02 3.38715e+06 1.60495e+06
7.33828e-02 3.42571e+06 1.62373e+06
7.44047e-02 3.46474e+06 1.64274e+06
7.54408e-02 3.50424e+06 1.66199e+06
7.64914e-02 3.54423e+06 1.68148e+06
7.75566e-02 3.58470e+06 1.70122e+06
7.86366e-02 3.62567e+06 1.72122e+06
7.97316e-02 3.66714e+06 1.74146e+06
8.08419e-02 3.70912e+06 1.76196e+06
8.19677e-02 3.75161e+06 1.78272e+06
8.31091e-02 3.79462e+06 1.80374e+06
8.42664e-02 3.83817e+06 1.82503e+06
8.54399e-02 3.88225e+06 1.84659e+06
8.66297e-02 3.92687e+06 1.86843e+06
8.78360e-02 3.97204e+06 1.89055e+06
8.90592e-02 4.01777e+06 1.91294e+06
9.02994e-02 4.06406e+06 1.93563e+06
9.15568e-02 4.11093e+06 1.95860e+06
9.28318e-02 4.15838e+06 1.98187e+06
9.41245e-02 4.20641e+06 2.00544e+06
9.54352e-02 4.25504e+06 2.02930e+06
9.67642e-02 4.30427e+06 2.05348e+06
9.81117e-02 4.35412e+06 2.07797e+06
9.94779e-02 4.40458e+06 2.10277e+06
1.00863e-01 4.45568e+06 2.12789e+06
1.02268e-01 4.50741e+06 2.15334e+06
1.03692e-01 4.55978e+06 2.17912e+06
1.05136e-01 4.61281e+06 2.20523e+06
1.06600e-01 4.66651e+06 2.23167e+06
1.08084e-01 4.72087e+06 2.25847e+06
1.09589e-01 4.77592e+06 2.28561e+06
1.11116e-01 4.83166e+06 2.31310e+06
1.12663e-01 4.88810e+06 2.34095e+06
1.14232e-01 4.94525e+06 2.36917e+06
1.15822e-01 5.00312e+06 2.39775e+06
1.17435e-01 5.06172e+06 2.42671e+06
1.19071e-01 5.12106e+06 2.45605e+06
1.20729e-01 5.18114e+06 2.48577e+06
1.22410e-01 5.24199e+06 2.51588e+06
1.24115e-01 5.30361e+06 2.54639e+06
1.25843e-01 5.36601e+06 2.57729e+06
1.27595e-01 5.42920e+06 2.60861e+06
1.29372e-01 5.49319e+06 2.64034e+06
1.31174e-01 5.55799e+06 2.67248e+06
1.33000e-01 5.62362e+06 2.70505e+06
1.34852e-01 5.69009e+06 2.73806e+06
1.36730e-01 5.75740e+06 2.77150e+06
1.38634e-01 5.82557e+06 2.80538e+06
1.40565e-01 5.89462e+06 2.83971e+06
1.42522e-01 5.96454e+06 2.87450e+06
1.44507e-01 6.03536e+06 2.90975e+06
1.46519e-01 6.10709e+06 2.94547e+06
1.48560e-01 6.17974e+06 2.98167e+06
1.50628e-01 6.25332e+06 3.01835e+06
1.52726e-01 6.32785e+06 3.05553e+06
1.54853e-01 6.40334e+06 3.09320e+06
1.57009e-01 6.47980e+06 3.13137e+06
1.59196e-01 6.55724e+06 3.17006e+06
1.61412e-01 6.63569e+06 3.20926e+06
1.63660e-01 6.71515e+06 3.24900e+06
1.65939e-01 6.79564e+06 3.28927e+06
1.68250e-01 6.87716e+06 3.33008e+06
1.70593e-01 6.95975e+06 3.37144e+06
1.72968e-01 7.04341e+06 3.41336e+06
1.75377e-01 7.12815e+06 3.45585e+06
1.77819e-01 7.21400e+06 3.49891e+06
1.80296e-01 7.30096e+06 3.54256e+06
1.82806e-01 7.38905e+06 3.58679e+06
1.85352e-01 7.47829e+06 3.63163e+06
1.87933e-01 7.56870e+06 3.67708e+06
1.90550e-01 7.66028e+06 3.72315e+06
1.93203e-01 7.75307e+06 3.76984e+06
1.95894e-01 7.84707e+06 3.81718e+06
1.98622e-01 7.94229e+06 3.86515e+06
2.01388e-01 8.03877e+06 3.91379e+06
2.04192e-01 8.13651e+06 3.96309e+06
2.07036e-01 8.23555e+06 4.01307e+06
2.09919e-01 8.33588e+06 4.06373e+06
2.12842e-01 8.43755e+06 4.11510e+06
2.15806e-01 8.54055e+06 4.16717e+06
2.18811e-01 8.64492e+06 4.21996e+06
2.21858e-01 8.75067e+06 4.27348e+06
2.24947e-01 8.85783e+06 4.32775e+06
2.28080e-01 8.96641e+06 4.38276e+06
2.31256e-01 9.07643e+06 4.43854e+06
2.34476e-01 9.18792e+06 4.49510e+06
2.37742e-01 9.30089e+06 4.55244e+06
2.41052e-01 9.41537e+06 4.61059e+06
2.44409e-01 9.53138e+06 4.66954e+06
2.47812e-01 9.64894e+06 4.72932e+06
2.51263e-01 9.76808e+06 4.78994e+06
2.54762e-01 9.88882e+06 4.85141e+06
2.58310e-01 1.00112e+07 4.91374e+06
2.61907e-01 1.01352e+07 4.97695e+06
2.65554e-01 1.02608e+07 5.04104e+06
2.69252e-01 1.03882e+07 5.10605e+06
2.73002e-01 1.05173e+07 5.17197e+06
2.76803e-01 1.06481e+07 5.23882e+06
2.80658e-01 1.07807e+07 5.30662e+06
2.84566e-01 1.09151e+07 5.37538e+06
2.88529e-01 1.10513e+07 5.44511e+06
2.92547e-01 1.11894e+07 5.51584e+06
2.96621e-01 1.13293e+07 5.58758e+06
3.00751e-01 1.14712e+07 5.66034e+06
3.04939e-01 1.16150e+07 5.73414e+06
3.09186e-01 1.17607e+07 5.80900e+06
