T[eV]        κe[W/(keVcm)]
1.00000e-02 7.24478e+05
1.01159e-02 7.30736e+05
1.02332e-02 7.37051e+05
1.03518e-02 7.43424e+05
1.04718e-02 7.49854e+05
1.05931e-02 7.56342e+05
1.07159e-02 7.62890e+05
1.08401e-02 7.69498e+05
1.09658e-02 7.76165e+05
1.10929e-02 7.82894e+05
1.12215e-02 7.89684e+05
1.13515e-02 7.96535e+05
1.14831e-02 8.03450e+05
1.16162e-02 8.10427e+05
1.17509e-02 8.17469e+05
1.18871e-02 8.24574e+05
1.20249e-02 8.31745e+05
1.21642e-02 8.38982e+05
1.23052e-02 8.46284e+05
1.24479e-02 8.53654e+05
1.25922e-02 8.61091e+05
1.27381e-02 8.68597e+05
1.28858e-02 8.76171e+05
1.30351e-02 8.83815e+05
1.31862e-02 8.91530e+05
1.33391e-02 8.99315e+05
1.34937e-02 9.07172e+05
1.36501e-02 9.15101e+05
1.38083e-02 9.23103e+05
1.39684e-02 9.31179e+05
1.41303e-02 9.39330e+05
1.42940e-02 9.47556e+05
1.44597e-02 9.55857e+05
1.46273e-02 9.64236e+05
1.47969e-02 9.72692e+05
1.49684e-02 9.81226e+05
1.51419e-02 9.89839e+05
1.53174e-02 9.98532e+05
1.54950e-02 1.00730e+06
1.56746e-02 1.01616e+06
1.58562e-02 1.02510e+06
1.60400e-02 1.03412e+06
1.62260e-02 1.04322e+06
1.64140e-02 1.05241e+06
1.66043e-02 1.06168e+06
1.67967e-02 1.07104e+06
1.69914e-02 1.08049e+06
1.71884e-02 1.09002e+06
1.73876e-02 1.09965e+06
1.75892e-02 1.10936e+06
1.77930e-02 1.11916e+06
1.79993e-02 1.12906e+06
1.82079e-02 1.13905e+06
1.84190e-02 1.14913e+06
1.86325e-02 1.15930e+06
1.88484e-02 1.16957e+06
1.90669e-02 1.17994e+06
1.92879e-02 1.19040e+06
1.95115e-02 1.20097e+06
1.97376e-02 1.21163e+06
1.99664e-02 1.22239e+06
2.01979e-02 1.23325e+06
2.04320e-02 1.24421e+06
2.06688e-02 1.25528e+06
2.09084e-02 1.26645e+06
2.11507e-02 1.27773e+06
2.13959e-02 1.28911e+06
2.16439e-02 1.30060e+06
2.18948e-02 1.31220e+06
2.21486e-02 1.32391e+06
2.24053e-02 1.33573e+06
2.26650e-02 1.34766e+06
2.29277e-02 1.35970e+06
2.31935e-02 1.37186e+06
2.34623e-02 1.38413e+06
2.37342e-02 1.39652e+06
2.40093e-02 1.40902e+06
2.42876e-02 1.42164e+06
2.45692e-02 1.43439e+06
2.48539e-02 1.44725e+06
2.51420e-02 1.46024e+06
2.54335e-02 1.47335e+06
2.57283e-02 1.48658e+06
2.60265e-02 1.49994e+06
2.63282e-02 1.51343e+06
2.66333e-02 1.52705e+06
2.69420e-02 1.54079e+06
2.72543e-02 1.55467e+06
2.75702e-02 1.56868e+06
2.78898e-02 1.58283e+06
2.82131e-02 1.59710e+06
2.85401e-02 1.61152e+06
2.88709e-02 1.62607e+06
2.92056e-02 1.64077e+06
2.95441e-02 1.65560e+06
2.98865e-02 1.67058e+06
3.02329e-02 1.68570e+06
3.05834e-02 1.70096e+06
3.09379e-02 1.71637e+06
3.12965e-02 1.73193e+06
3.16592e-02 1.74764e+06
3.20262e-02 1.76350e+06
3.23974e-02 1.77951e+06
3.27729e-02 1.79568e+06
3.31528e-02 1.81201e+06
3.35371e-02 1.82849e+06
3.39258e-02 1.84513e+06
3.43191e-02 1.86193e+06
3.47169e-02 1.87889e+06
3.51193e-02 1.89602e+06
3.55263e-02 1.91331e+06
3.59381e-02 1.93077e+06
3.63547e-02 1.94841e+06
3.67761e-02 1.96621e+06
3.72024e-02 1.98418e+06
3.76336e-02 2.00233e+06
3.80698e-02 2.02066e+06
3.85111e-02 2.03916e+06
3.89575e-02 2.05785e+06
3.94090e-02 2.07671e+06
3.98658e-02 2.09576e+06
4.03279e-02 2.11500e+06
4.07953e-02 2.13442e+06
4.12682e-02 2.15404e+06
4.17466e-02 2.17384e+06
4.22304e-02 2.19384e+06
4.27199e-02 2.21404e+06
4.32151e-02 2.23443e+06
4.37160e-02 2.25502e+06
4.42227e-02 2.27582e+06
4.47353e-02 2.29682e+06
4.52539e-02 2.31802e+06
4.57784e-02 2.33943e+06
4.63090e-02 2.36106e+06
4.68458e-02 2.38290e+06
4.73888e-02 2.40495e+06
4.79381e-02 2.42722e+06
4.84937e-02 2.44971e+06
4.90558e-02 2.47242e+06
4.96244e-02 2.49536e+06
5.01997e-02 2.51852e+06
5.07815e-02 2.54191e+06
5.13701e-02 2.56554e+06
5.19656e-02 2.58940e+06
5.25679e-02 2.61349e+06
5.31772e-02 2.63782e+06
5.37936e-02 2.66240e+06
5.44171e-02 2.68722e+06
5.50479e-02 2.71229e+06
5.56860e-02 2.73760e+06
5.63314e-02 2.76317e+06
5.69844e-02 2.78899e+06
5.76449e-02 2.81507e+06
5.83131e-02 2.84142e+06
5.89890e-02 2.86802e+06
5.96727e-02 2.89489e+06
6.03644e-02 2.92203e+06
6.10641e-02 2.94944e+06
6.17719e-02 2.97712e+06
6.24879e-02 3.00509e+06
6.32122e-02 3.03333e+06
6.39449e-02 3.06186e+06
6.46861e-02 3.09067e+06
6.54359e-02 3.11978e+06
6.61943e-02 3.14917e+06
6.69616e-02 3.17887e+06
6.77378e-02 3.20886e+06
6.85229e-02 3.23915e+06
6.93172e-02 3.26975e+06
7.01206e-02 3.30066e+06
7.09334e-02 3.33189e+06
7.17556e-02 3.36342e+06
7.25873e-02 3.39528e+06
7.34287e-02 3.42746e+06
7.42798e-02 3.45997e+06
7.51408e-02 3.49281e+06
7.60118e-02 3.52598e+06
7.68928e-02 3.55949e+06
7.77841e-02 3.59334e+06
7.86857e-02 3.62753e+06
7.95978e-02 3.66207e+06
8.05204e-02 3.69697e+06
8.14537e-02 3.73222e+06
8.23979e-02 3.76783e+06
8.33529e-02 3.80380e+06
8.43191e-02 3.84015e+06
8.52964e-02 3.87686e+06
8.62851e-02 3.91395e+06
8.72853e-02 3.95143e+06
8.82970e-02 3.98928e+06
8.93205e-02 4.02753e+06
9.03558e-02 4.06617e+06
9.14031e-02 4.10521e+06
9.24626e-02 4.14465e+06
9.35343e-02 4.18449e+06
9.46185e-02 4.22475e+06
9.57152e-02 4.26542e+06
9.68247e-02 4.30651e+06
9.79470e-02 4.34803e+06
9.90823e-02 4.38998e+06
1.00231e-01 4.43236e+06
1.01393e-01 4.47518e+06
1.02568e-01 4.51845e+06
1.03757e-01 4.56216e+06
1.04959e-01 4.60634e+06
1.06176e-01 4.65097e+06
1.07407e-01 4.69606e+06
1.08652e-01 4.74163e+06
1.09911e-01 4.78767e+06
1.11185e-01 4.83420e+06
1.12474e-01 4.88121e+06
1.13777e-01 4.92871e+06
1.15096e-01 4.97671e+06
1.16430e-01 5.02521e+06
1.17780e-01 5.07423e+06
1.19145e-01 5.12376e+06
1.20526e-01 5.17380e+06
1.21923e-01 5.22438e+06
1.23336e-01 5.27549e+06
1.24766e-01 5.32713e+06
1.26212e-01 5.37933e+06
1.27675e-01 5.43207e+06
1.29155e-01 5.48537e+06
1.30652e-01 5.53923e+06
1.32166e-01 5.59367e+06
1.33698e-01 5.64868e+06
1.35248e-01 5.70428e+06
1.36816e-01 5.76046e+06
1.38402e-01 5.81724e+06
1.40006e-01 5.87463e+06
1.41629e-01 5.93263e+06
1.43270e-01 5.99124e+06
1.44931e-01 6.05048e+06
1.46611e-01 6.11035e+06
1.48310e-01 6.17086e+06
1.50029e-01 6.23202e+06
1.51768e-01 6.29384e+06
1.53528e-01 6.35631e+06
1.55307e-01 6.41945e+06
1.57107e-01 6.48328e+06
1.58928e-01 6.54778e+06
1.60770e-01 6.61298e+06
1.62634e-01 6.67888e+06
1.64519e-01 6.74549e+06
1.66426e-01 6.81282e+06
1.68355e-01 6.88087e+06
1.70307e-01 6.94966e+06
1.72281e-01 7.01919e+06
1.74277e-01 7.08947e+06
1.76298e-01 7.16051e+06
1.78341e-01 7.23232e+06
1.80408e-01 7.30491e+06
1.82499e-01 7.37829e+06
1.84615e-01 7.45246e+06
1.86755e-01 7.52743e+06
1.88919e-01 7.60322e+06
1.91109e-01 7.67984e+06
1.93324e-01 7.75729e+06
1.95565e-01 7.83558e+06
1.97832e-01 7.91473e+06
2.00125e-01 7.99473e+06
2.02445e-01 8.07562e+06
2.04791e-01 8.15738e+06
2.07165e-01 8.24005e+06
2.09566e-01 8.32362e+06
2.11995e-01 8.40811e+06
2.14453e-01 8.49353e+06
2.16938e-01 8.57990e+06
2.19453e-01 8.66721e+06
2.21997e-01 8.75548e+06
2.24570e-01 8.84474e+06
2.27173e-01 8.93497e+06
2.29806e-01 9.02621e+06
2.32470e-01 9.11846e+06
2.35164e-01 9.21172e+06
2.37890e-01 9.30603e+06
2.40648e-01 9.40138e+06
2.43437e-01 9.49779e+06
2.46259e-01 9.59528e+06
2.49113e-01 9.69385e+06
2.52000e-01 9.79352e+06
2.54921e-01 9.89431e+06
2.57876e-01 9.99622e+06
2.60865e-01 1.00993e+07
2.63889e-01 1.02035e+07
2.66948e-01 1.03089e+07
2.70042e-01 1.04154e+07
2.73172e-01 1.05232e+07
2.76339e-01 1.06321e+07
2.79542e-01 1.07423e+07
2.82782e-01 1.08538e+07
2.86060e-01 1.09665e+07
2.89375e-01 1.10804e+07
2.92729e-01 1.11957e+07
2.96123e-01 1.13122e+07
2.99555e-01 1.14301e+07
3.03027e-01 1.15493e+07
3.06540e-01 1.16699e+07
3.10093e-01 1.17919e+07
3.13687e-01 1.19152e+07
3.17323e-01 1.20399e+07
3.21001e-01 1.21661e+07
3.24722e-01 1.22937e+07
3.28486e-01 1.24227e+07
3.32293e-01 1.25533e+07
3.36145e-01 1.26853e+07
3.40041e-01 1.28189e+07
3.43983e-01 1.29539e+07
3.47970e-01 1.30906e+07
3.52003e-01 1.32288e+07
3.56083e-01 1.33686e+07
3.60211e-01 1.35100e+07
3.64386e-01 1.36530e+07
3.68610e-01 1.37977e+07
3.72882e-01 1.39441e+07
3.77204e-01 1.40922e+07
3.81576e-01 1.42419e+07
3.85999e-01 1.43935e+07
3.90474e-01 1.45468e+07
3.95000e-01 1.47018e+07
3.99578e-01 1.48587e+07
4.04210e-01 1.50174e+07
4.08895e-01 1.51780e+07
4.13634e-01 1.53404e+07
4.18429e-01 1.55048e+07
4.23279e-01 1.56711e+07
4.28185e-01 1.58393e+07
4.33148e-01 1.60095e+07
4.38169e-01 1.61817e+07
4.43248e-01 1.63559e+07
4.48386e-01 1.65322e+07
4.53583e-01 1.67106e+07
4.58840e-01 1.68911e+07
4.64159e-01 1.70737e+07
4.69539e-01 1.72585e+07
4.74981e-01 1.74455e+07
4.80487e-01 1.76347e+07
4.86056e-01 1.78262e+07
4.91690e-01 1.80200e+07
4.97390e-01 1.82160e+07
5.03155e-01 1.84144e+07
5.08987e-01 1.86152e+07
5.14887e-01 1.88184e+07
5.20855e-01 1.90240e+07
5.26892e-01 1.92321e+07
5.32999e-01 1.94427e+07
5.39177e-01 1.96558e+07
5.45427e-01 1.98714e+07
5.51749e-01 2.00897e+07
5.58145e-01 2.03106e+07
5.64614e-01 2.05342e+07
5.71159e-01 2.07605e+07
5.77779e-01 2.09895e+07
5.84476e-01 2.12213e+07
5.91251e-01 2.14559e+07
5.98104e-01 2.16934e+07
6.05037e-01 2.19337e+07
6.12050e-01 2.21770e+07
6.19144e-01 2.24232e+07
6.26321e-01 2.26725e+07
6.33580e-01 2.29248e+07
6.40924e-01 2.31802e+07
6.48353e-01 2.34387e+07
6.55869e-01 2.37004e+07
6.63471e-01 2.39653e+07
6.71161e-01 2.42335e+07
6.78941e-01 2.45050e+07
6.86810e-01 2.47798e+07
6.94771e-01 2.50580e+07
7.02824e-01 2.53397e+07
7.10971e-01 2.56249e+07
7.19212e-01 2.59136e+07
7.27548e-01 2.62058e+07
7.35981e-01 2.65017e+07
7.44512e-01 2.68013e+07
7.53142e-01 2.71047e+07
7.61872e-01 2.74118e+07
7.70703e-01 2.77227e+07
7.79636e-01 2.80376e+07
7.88673e-01 2.83564e+07
7.97814e-01 2.86792e+07
8.07062e-01 2.90060e+07
8.16417e-01 2.93370e+07
8.25880e-01 2.96721e+07
8.35453e-01 3.00115e+07
