T[eV] σe[Ω/cm](SMT) σe[Ω/cm](modSMT) 
2.00000e-02 7.43368e+04 7.43373e+04
2.02785e-02 7.40686e+04 7.40690e+04
2.05609e-02 7.38017e+04 7.38022e+04
2.08472e-02 7.35362e+04 7.35366e+04
2.11375e-02 7.32720e+04 7.32725e+04
2.14319e-02 7.30091e+04 7.30096e+04
2.17303e-02 7.27476e+04 7.27481e+04
2.20329e-02 7.24875e+04 7.24880e+04
2.23397e-02 7.22286e+04 7.22291e+04
2.26508e-02 7.19711e+04 7.19716e+04
2.29662e-02 7.17149e+04 7.17154e+04
2.32861e-02 7.14600e+04 7.14605e+04
2.36103e-02 7.12063e+04 7.12069e+04
2.39391e-02 7.09540e+04 7.09546e+04
2.42725e-02 7.07030e+04 7.07035e+04
2.46105e-02 7.04532e+04 7.04538e+04
2.49532e-02 7.02048e+04 7.02053e+04
2.53007e-02 6.99575e+04 6.99581e+04
2.56530e-02 6.97116e+04 6.97122e+04
2.60102e-02 6.94669e+04 6.94675e+04
2.63724e-02 6.92235e+04 6.92240e+04
2.67397e-02 6.89813e+04 6.89818e+04
2.71120e-02 6.87403e+04 6.87409e+04
2.74896e-02 6.85006e+04 6.85012e+04
2.78724e-02 6.82621e+04 6.82627e+04
2.82605e-02 6.80248e+04 6.80254e+04
2.86541e-02 6.77887e+04 6.77893e+04
2.90531e-02 6.75539e+04 6.75545e+04
2.94577e-02 6.73202e+04 6.73208e+04
2.98679e-02 6.70878e+04 6.70884e+04
3.02838e-02 6.68565e+04 6.68572e+04
3.07055e-02 6.66264e+04 6.66271e+04
3.11331e-02 6.63975e+04 6.63982e+04
3.15666e-02 6.61698e+04 6.61705e+04
3.20062e-02 6.59433e+04 6.59440e+04
3.24519e-02 6.57179e+04 6.57186e+04
3.29038e-02 6.54937e+04 6.54944e+04
3.33620e-02 6.52706e+04 6.52713e+04
3.38266e-02 6.50487e+04 6.50494e+04
3.42976e-02 6.48280e+04 6.48287e+04
