T[eV] κe[W/(keVcm)](SMT) κe[W/(keVcm)](modSMT)
2.00000e-02 5.81485e+05 2.69626e+05
2.02785e-02 5.87930e+05 2.72693e+05
2.05609e-02 5.94451e+05 2.75798e+05
2.08472e-02 6.01049e+05 2.78940e+05
2.11375e-02 6.07725e+05 2.82121e+05
2.14319e-02 6.14480e+05 2.85341e+05
2.17303e-02 6.21315e+05 2.88600e+05
2.20329e-02 6.28231e+05 2.91899e+05
2.23397e-02 6.35229e+05 2.95238e+05
2.26508e-02 6.42310e+05 2.98619e+05
2.29662e-02 6.49475e+05 3.02041e+05
2.32861e-02 6.56725e+05 3.05505e+05
2.36103e-02 6.64062e+05 3.09012e+05
2.39391e-02 6.71486e+05 3.12562e+05
2.42725e-02 6.78998e+05 3.16155e+05
2.46105e-02 6.86600e+05 3.19793e+05
2.49532e-02 6.94293e+05 3.23476e+05
2.53007e-02 7.02078e+05 3.27205e+05
2.56530e-02 7.09956e+05 3.30980e+05
2.60102e-02 7.17928e+05 3.34801e+05
2.63724e-02 7.25996e+05 3.38670e+05
2.67397e-02 7.34161e+05 3.42588e+05
2.71120e-02 7.42423e+05 3.46553e+05
2.74896e-02 7.50785e+05 3.50569e+05
2.78724e-02 7.59248e+05 3.54634e+05
2.82605e-02 7.67812e+05 3.58750e+05
2.86541e-02 7.76480e+05 3.62917e+05
2.90531e-02 7.85252e+05 3.67137e+05
2.94577e-02 7.94130e+05 3.71409e+05
2.98679e-02 8.03116e+05 3.75735e+05
3.02838e-02 8.12210e+05 3.80115e+05
3.07055e-02 8.21414e+05 3.84551e+05
3.11331e-02 8.30730e+05 3.89042e+05
3.15666e-02 8.40158e+05 3.93589e+05
3.20062e-02 8.49702e+05 3.98194e+05
3.24519e-02 8.59361e+05 4.02857e+05
3.29038e-02 8.69137e+05 4.07578e+05
3.33620e-02 8.79033e+05 4.12360e+05
3.38266e-02 8.89049e+05 4.17202e+05
3.42976e-02 8.99187e+05 4.22105e+05
3.47752e-02 9.09450e+05 4.27071e+05
3.52595e-02 9.19837e+05 4.32099e+05
3.57505e-02 9.30352e+05 4.37192e+05
3.62484e-02 9.40995e+05 4.42349e+05
3.67531e-02 9.51769e+05 4.47572e+05
3.72649e-02 9.62675e+05 4.52862e+05
3.77839e-02 9.73715e+05 4.58219e+05
3.83100e-02 9.84891e+05 4.63645e+05
3.88435e-02 9.96204e+05 4.69140e+05
3.93844e-02 1.00766e+06 4.74705e+05
3.99328e-02 1.01925e+06 4.80342e+05
4.04889e-02 1.03099e+06 4.86052e+05
4.10528e-02 1.04287e+06 4.91835e+05
4.16244e-02 1.05490e+06 4.97692e+05
4.22041e-02 1.06707e+06 5.03625e+05
4.27918e-02 1.07940e+06 5.09634e+05
