T[eV]        κe[W/(keVcm)]
1.00000e-02 3.37796e+05
1.01159e-02 3.40812e+05
1.02332e-02 3.43857e+05
1.03518e-02 3.46931e+05
1.04718e-02 3.50033e+05
1.05931e-02 3.53165e+05
1.07159e-02 3.56327e+05
1.08401e-02 3.59518e+05
1.09658e-02 3.62740e+05
1.10929e-02 3.65992e+05
1.12215e-02 3.69275e+05
1.13515e-02 3.72589e+05
1.14831e-02 3.75935e+05
1.16162e-02 3.79313e+05
1.17509e-02 3.82723e+05
1.18871e-02 3.86165e+05
1.20249e-02 3.89640e+05
1.21642e-02 3.93148e+05
1.23052e-02 3.96689e+05
1.24479e-02 4.00265e+05
1.25922e-02 4.03874e+05
1.27381e-02 4.07518e+05
1.28858e-02 4.11197e+05
1.30351e-02 4.14911e+05
1.31862e-02 4.18660e+05
1.33391e-02 4.22446e+05
1.34937e-02 4.26268e+05
1.36501e-02 4.30126e+05
1.38083e-02 4.34021e+05
1.39684e-02 4.37954e+05
1.41303e-02 4.41925e+05
1.42940e-02 4.45934e+05
1.44597e-02 4.49981e+05
1.46273e-02 4.54067e+05
1.47969e-02 4.58193e+05
1.49684e-02 4.62359e+05
1.51419e-02 4.66564e+05
1.53174e-02 4.70811e+05
1.54950e-02 4.75098e+05
1.56746e-02 4.79427e+05
1.58562e-02 4.83797e+05
1.60400e-02 4.88210e+05
1.62260e-02 4.92666e+05
1.64140e-02 4.97165e+05
1.66043e-02 5.01707e+05
1.67967e-02 5.06294e+05
1.69914e-02 5.10925e+05
1.71884e-02 5.15601e+05
1.73876e-02 5.20323e+05
1.75892e-02 5.25090e+05
1.77930e-02 5.29904e+05
1.79993e-02 5.34765e+05
1.82079e-02 5.39673e+05
1.84190e-02 5.44630e+05
1.86325e-02 5.49634e+05
1.88484e-02 5.54688e+05
1.90669e-02 5.59791e+05
1.92879e-02 5.64944e+05
1.95115e-02 5.70147e+05
1.97376e-02 5.75401e+05
1.99664e-02 5.80707e+05
2.01979e-02 5.86065e+05
2.04320e-02 5.91476e+05
2.06688e-02 5.96939e+05
2.09084e-02 6.02457e+05
2.11507e-02 6.08028e+05
2.13959e-02 6.13655e+05
2.16439e-02 6.19337e+05
2.18948e-02 6.25075e+05
2.21486e-02 6.30870e+05
2.24053e-02 6.36722e+05
2.26650e-02 6.42632e+05
2.29277e-02 6.48600e+05
2.31935e-02 6.54627e+05
2.34623e-02 6.60714e+05
2.37342e-02 6.66861e+05
2.40093e-02 6.73070e+05
2.42876e-02 6.79340e+05
