T[eV] σe[Ω/cm](SMT) σe[Ω/cm](modSMT) 
2.00000e-02 2.05031e+04 9.46571e+03
2.02785e-02 2.04438e+04 9.44084e+03
2.05609e-02 2.03847e+04 9.41612e+03
2.08472e-02 2.03260e+04 9.39155e+03
2.11375e-02 2.02676e+04 9.36712e+03
2.14319e-02 2.02096e+04 9.34285e+03
2.17303e-02 2.01518e+04 9.31871e+03
2.20329e-02 2.00944e+04 9.29472e+03
2.23397e-02 2.00373e+04 9.27087e+03
2.26508e-02 1.99805e+04 9.24717e+03
2.29662e-02 1.99241e+04 9.22361e+03
2.32861e-02 1.98679e+04 9.20020e+03
2.36103e-02 1.98121e+04 9.17692e+03
2.39391e-02 1.97566e+04 9.15379e+03
2.42725e-02 1.97014e+04 9.13080e+03
2.46105e-02 1.96466e+04 9.10795e+03
2.49532e-02 1.95920e+04 9.08524e+03
2.53007e-02 1.95377e+04 9.06267e+03
2.56530e-02 1.94838e+04 9.04024e+03
2.60102e-02 1.94302e+04 9.01795e+03
2.63724e-02 1.93768e+04 8.99580e+03
2.67397e-02 1.93238e+04 8.97379e+03
2.71120e-02 1.92711e+04 8.95191e+03
2.74896e-02 1.92187e+04 8.93017e+03
2.78724e-02 1.91666e+04 8.90857e+03
2.82605e-02 1.91148e+04 8.88710e+03
2.86541e-02 1.90633e+04 8.86577e+03
2.90531e-02 1.90120e+04 8.84458e+03
2.94577e-02 1.89611e+04 8.82352e+03
2.98679e-02 1.89105e+04 8.80260e+03
3.02838e-02 1.88602e+04 8.78181e+03
3.07055e-02 1.88102e+04 8.76115e+03
3.11331e-02 1.87605e+04 8.74063e+03
3.15666e-02 1.87110e+04 8.72024e+03
3.20062e-02 1.86619e+04 8.69998e+03
3.24519e-02 1.86130e+04 8.67986e+03
3.29038e-02 1.85645e+04 8.65987e+03
3.33620e-02 1.85162e+04 8.64001e+03
3.38266e-02 1.84682e+04 8.62028e+03
3.42976e-02 1.84205e+04 8.60068e+03
3.47752e-02 1.83731e+04 8.58121e+03
3.52595e-02 1.83260e+04 8.56187e+03
3.57505e-02 1.82791e+04 8.54266e+03
3.62484e-02 1.82326e+04 8.52359e+03
3.67531e-02 1.81863e+04 8.50464e+03
3.72649e-02 1.81403e+04 8.48582e+03
3.77839e-02 1.80946e+04 8.46712e+03
3.83100e-02 1.80491e+04 8.44856e+03
3.88435e-02 1.80040e+04 8.43012e+03
3.93844e-02 1.79591e+04 8.41182e+03
3.99328e-02 1.79145e+04 8.39363e+03
4.04889e-02 1.78701e+04 8.37558e+03
4.10528e-02 1.78261e+04 8.35765e+03
4.16244e-02 1.77823e+04 8.33985e+03
4.22041e-02 1.77388e+04 8.32217e+03
4.27918e-02 1.76956e+04 8.30462e+03
4.33877e-02 1.76526e+04 8.28719e+03
4.39919e-02 1.76099e+04 8.26989e+03
4.46045e-02 1.75675e+04 8.25272e+03
4.52256e-02 1.75253e+04 8.23567e+03
4.58554e-02 1.74834e+04 8.21874e+03
4.64939e-02 1.74418e+04 8.20193e+03
4.71414e-02 1.74004e+04 8.18525e+03
4.77979e-02 1.73593e+04 8.16870e+03
4.84635e-02 1.73185e+04 8.15226e+03
4.91383e-02 1.72780e+04 8.13595e+03
4.98226e-02 1.72377e+04 8.11976e+03
5.05164e-02 1.71976e+04 8.10369e+03
5.12199e-02 1.71578e+04 8.08775e+03
5.19331e-02 1.71183e+04 8.07192e+03
5.26563e-02 1.70791e+04 8.05622e+03
5.33896e-02 1.70401e+04 8.04064e+03
5.41330e-02 1.70013e+04 8.02518e+03
5.48869e-02 1.69629e+04 8.00984e+03
5.56512e-02 1.69246e+04 7.99462e+03
5.64262e-02 1.68867e+04 7.97953e+03
5.72119e-02 1.68490e+04 7.96455e+03
5.80086e-02 1.68115e+04 7.94969e+03
5.88164e-02 1.67743e+04 7.93495e+03
5.96354e-02 1.67374e+04 7.92033e+03
6.04659e-02 1.67007e+04 7.90583e+03
6.13079e-02 1.66642e+04 7.89145e+03
6.21616e-02 1.66280e+04 7.87719e+03
