T[eV]        σe[Ω/cm]
1.00000e-02 1.68285e+04
1.12332e-02 1.64063e+04
1.26186e-02 1.60031e+04
1.41747e-02 1.56183e+04
1.59228e-02 1.52511e+04
1.78865e-02 1.49011e+04
2.00923e-02 1.45677e+04
2.25702e-02 1.42504e+04
2.53536e-02 1.39487e+04
2.84804e-02 1.36623e+04
3.19927e-02 1.33906e+04
3.59381e-02 1.31334e+04
4.03702e-02 1.28902e+04
4.53488e-02 1.26608e+04
5.09414e-02 1.24449e+04
5.72237e-02 1.22421e+04
6.42807e-02 1.20524e+04
7.22081e-02 1.18755e+04
8.11131e-02 1.17113e+04
9.11163e-02 1.15595e+04
1.02353e-01 1.14202e+04
1.14976e-01 1.12933e+04
1.29155e-01 1.11787e+04
1.45083e-01 1.10764e+04
1.62975e-01 1.09865e+04
1.83074e-01 1.09091e+04
2.05651e-01 1.08443e+04
2.31013e-01 1.07923e+04
2.59502e-01 1.07533e+04
2.91505e-01 1.07276e+04
3.27455e-01 1.07154e+04
3.67838e-01 1.07173e+04
4.13201e-01 1.07336e+04
4.64159e-01 1.07648e+04
5.21401e-01 1.08116e+04
5.85702e-01 1.08746e+04
6.57933e-01 1.09545e+04
7.39072e-01 1.10523e+04
8.30218e-01 1.11688e+04
9.32603e-01 1.13051e+04
1.04762e+00 1.14624e+04
1.17681e+00 1.16420e+04
1.32194e+00 1.18454e+04
1.48497e+00 1.20742e+04
1.66810e+00 1.23302e+04
1.87382e+00 1.26153e+04
2.10490e+00 1.29319e+04
2.36449e+00 1.32824e+04
2.65609e+00 1.36696e+04
2.98365e+00 1.40965e+04
3.35160e+00 1.45665e+04
3.76494e+00 1.50834e+04
4.22924e+00 1.56510e+04
4.75081e+00 1.62734e+04
5.33670e+00 1.69538e+04
5.99484e+00 1.76941e+04
6.73415e+00 1.84929e+04
7.56463e+00 1.93436e+04
8.49753e+00 2.02331e+04
9.54548e+00 2.11433e+04
1.07227e+01 2.20562e+04
1.20450e+01 2.29620e+04
1.35305e+01 2.38648e+04
1.51991e+01 2.47816e+04
1.70735e+01 2.57357e+04
1.91791e+01 2.67508e+04
2.15443e+01 2.78480e+04
2.42013e+01 2.90374e+04
2.71859e+01 3.02991e+04
3.05386e+01 3.17773e+04
3.43047e+01 3.35341e+04
3.85353e+01 3.55766e+04
4.32876e+01 3.79030e+04
4.86260e+01 4.05200e+04
5.46228e+01 4.34487e+04
6.13591e+01 4.67254e+04
6.89261e+01 5.04000e+04
7.74264e+01 5.45353e+04
8.69749e+01 5.92059e+04
9.77010e+01 6.44985e+04
1.09750e+02 7.05122e+04
1.23285e+02 7.73605e+04
1.38489e+02 8.51729e+04
1.55568e+02 9.40979e+04
1.74753e+02 1.04306e+05
1.96304e+02 1.15994e+05
2.20513e+02 1.29389e+05
2.47708e+02 1.44752e+05
2.78256e+02 1.62389e+05
3.12572e+02 1.82651e+05
3.51119e+02 2.05947e+05
3.94421e+02 2.32752e+05
4.43062e+02 2.63619e+05
4.97702e+02 2.99189e+05
5.59081e+02 3.40209e+05
6.28029e+02 3.87548e+05
7.05480e+02 4.42220e+05
7.92483e+02 5.05402e+05
8.90215e+02 5.78471e+05
1.00000e+03 6.63028e+05
