#TCCW 2 paper Fig6c e-conductivtiy for Al
T[eV]    σ[S/cm]
1.000e-2 2.173e+6
1.601e-2 1.399e+6
2.594e-2 1.031e+6
4.051e-2 8.698e+5
6.729e-2 2.715e+5
1.091e-1 1.848e+5
1.767e-1 1.244e+5
2.594e-1 3.927e+4
4.758e-1 3.972e+4
6.325e-1 3.840e+4
7.430e-1 3.712e+4
1.025e+0 5.639e+4
1.601e+0 4.251e+4
1.976e+0 2.862e+4
2.562e+0 3.547e+4
4.001e+0 2.527e+4
6.404e+0 1.608e+4
8.305e+0 1.107e+4
1.363e+1 7.887e+3
2.181e+1 6.291e+3
4.051e+1 7.124e+3
5.253e+1 8.831e+3
8.513e+1 1.297e+4
1.064e+2 1.663e+4
2.154e+2 3.352e+4
5.385e+2 9.594e+4
8.409e+2 1.708e+5
1.064e+3 2.190e+5

