# T[eV]   η[mPas] 
2.240542899999999893e-01 1.260561076164941596e+01
5.000000000000000000e-01 9.437385793572776294e+00
1.000000000000000000e+00 7.278549104275132464e+00
2.000000000000000000e+00 5.726561350765102532e+00
5.000000000000000000e+00 4.236211449263026729e+00
1.000000000000000000e+01 3.590921898986406013e+00
2.000000000000000000e+01 4.381936800405195953e+00
5.000000000000000000e+01 8.791086199461554784e+00
1.000000000000000000e+02 1.510920612433906740e+01
2.000000000000000000e+02 2.705554313868390182e+01
5.000000000000000000e+02 6.883760577373895728e+01
1.000000000000000000e+03 1.258767545093626978e+02
