# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=2.000e+00[eV], Tie=4.122e+01[eV] , Te_c=4.125e+01[eV], n_i=5.980e+23[1/cc], n_e=1.794e+24[1/cc]
# Zbar=3.000, Rc=0.525[AU], Γii=8.800e+01, Γei=-1.423e+00 , Γee=4.741e-01, κ=1.890e+00
r/ri        g_ii        g_ei        g_ee        HNC:g_ii    Yuk:g_ii    βu_ii_eff   βu_Yuk      βu_OCP    
1.00000e-02 4.94657e-08 4.67834e-01 1.50172e-01 0.00000e+00 0.00000e+00 8.72707e+03 8.80474e+03 8.59700e+03
2.00000e-02 4.93736e-08 4.68444e-01 1.54261e-01 0.00000e+00 0.00000e+00 4.32718e+03 4.40485e+03 4.19944e+03
3.00000e-02 4.92187e-08 4.69458e-01 1.59743e-01 0.00000e+00 0.00000e+00 2.86056e+03 2.93821e+03 2.73511e+03
4.00000e-02 4.90012e-08 4.70887e-01 1.66621e-01 0.00000e+00 0.00000e+00 2.12725e+03 2.20489e+03 2.00406e+03
5.00000e-02 4.87206e-08 4.72728e-01 1.74881e-01 0.00000e+00 0.00000e+00 1.68727e+03 1.76489e+03 1.56630e+03
6.00000e-02 4.83777e-08 4.74997e-01 1.84487e-01 0.00000e+00 0.00000e+00 1.39396e+03 1.47156e+03 1.27517e+03
7.00000e-02 4.79732e-08 4.77692e-01 1.95385e-01 0.00000e+00 0.00000e+00 1.18446e+03 1.26203e+03 1.06782e+03
8.00000e-02 4.75063e-08 4.80834e-01 2.07502e-01 0.00000e+00 0.00000e+00 1.02734e+03 1.10488e+03 9.12809e+02
9.00000e-02 4.69760e-08 4.84423e-01 2.20750e-01 0.00000e+00 0.00000e+00 9.05143e+02 9.82650e+02 7.92687e+02
1.00000e-01 4.63816e-08 4.88483e-01 2.35026e-01 0.00000e+00 0.00000e+00 8.07392e+02 8.84860e+02 6.96978e+02
1.10000e-01 4.57229e-08 4.93020e-01 2.50215e-01 0.00000e+00 0.00000e+00 7.27421e+02 8.04847e+02 6.19015e+02
1.20000e-01 4.50021e-08 4.98060e-01 2.66195e-01 0.00000e+00 0.00000e+00 6.60785e+02 7.38165e+02 5.54354e+02
1.30000e-01 4.42207e-08 5.03614e-01 2.82834e-01 0.00000e+00 0.00000e+00 6.04408e+02 6.81738e+02 4.99919e+02
1.40000e-01 4.33789e-08 5.09712e-01 3.00000e-01 0.00000e+00 0.00000e+00 5.56091e+02 6.33368e+02 4.53513e+02
1.50000e-01 4.24786e-08 5.16368e-01 3.17558e-01 0.00000e+00 0.00000e+00 5.14223e+02 5.91444e+02 4.13525e+02
1.60000e-01 4.15208e-08 5.23620e-01 3.35375e-01 0.00000e+00 0.00000e+00 4.77596e+02 5.54756e+02 3.78745e+02
1.70000e-01 4.05067e-08 5.31487e-01 3.53323e-01 0.00000e+00 0.00000e+00 4.45284e+02 5.22381e+02 3.48252e+02
1.80000e-01 3.94371e-08 5.40012e-01 3.71279e-01 0.00000e+00 0.00000e+00 4.16569e+02 4.93599e+02 3.21325e+02
1.90000e-01 3.83137e-08 5.49221e-01 3.89130e-01 0.00000e+00 0.00000e+00 3.90883e+02 4.67843e+02 2.97398e+02
2.00000e-01 3.71382e-08 5.59164e-01 4.06772e-01 0.00000e+00 0.00000e+00 3.67773e+02 4.44659e+02 2.76017e+02
2.10000e-01 3.59125e-08 5.69873e-01 4.24111e-01 0.00000e+00 0.00000e+00 3.46870e+02 4.23680e+02 2.56816e+02
2.20000e-01 3.46389e-08 5.81411e-01 4.41066e-01 0.00000e+00 0.00000e+00 3.27873e+02 4.04604e+02 2.39493e+02
2.30000e-01 3.33205e-08 5.93815e-01 4.57570e-01 0.00000e+00 0.00000e+00 3.10535e+02 3.87183e+02 2.23801e+02
2.40000e-01 3.19601e-08 6.07160e-01 4.73565e-01 0.00000e+00 0.00000e+00 2.94648e+02 3.71210e+02 2.09534e+02
2.50000e-01 3.05611e-08 6.21492e-01 4.89009e-01 0.00000e+00 0.00000e+00 2.80038e+02 3.56512e+02 1.96517e+02
2.60000e-01 2.91267e-08 6.36903e-01 5.03871e-01 0.00000e+00 0.00000e+00 2.66558e+02 3.42941e+02 1.84604e+02
2.70000e-01 2.76611e-08 6.53449e-01 5.18129e-01 0.00000e+00 0.00000e+00 2.54083e+02 3.30373e+02 1.73670e+02
2.80000e-01 2.61678e-08 6.71239e-01 5.31775e-01 0.00000e+00 0.00000e+00 2.42505e+02 3.18698e+02 1.63608e+02
2.90000e-01 2.46511e-08 6.90345e-01 5.44809e-01 0.00000e+00 0.00000e+00 2.31732e+02 3.07826e+02 1.54327e+02
3.00000e-01 2.31153e-08 7.10898e-01 5.57238e-01 0.00000e+00 0.00000e+00 2.21683e+02 2.97676e+02 1.45744e+02
3.10000e-01 2.15643e-08 7.32985e-01 5.69078e-01 0.00000e+00 0.00000e+00 2.12288e+02 2.88177e+02 1.37793e+02
3.20000e-01 2.00025e-08 7.56769e-01 5.80349e-01 0.00000e+00 0.00000e+00 2.03487e+02 2.79269e+02 1.30411e+02
3.30000e-01 1.84339e-08 7.82354e-01 5.91079e-01 0.00000e+00 0.00000e+00 1.95225e+02 2.70898e+02 1.23545e+02
3.40000e-01 1.68628e-08 8.09945e-01 6.01296e-01 0.00000e+00 0.00000e+00 1.87455e+02 2.63017e+02 1.17148e+02
3.50000e-01 1.52936e-08 8.39665e-01 6.11032e-01 0.00000e+00 0.00000e+00 1.80135e+02 2.55583e+02 1.11178e+02
3.60000e-01 1.37310e-08 8.71772e-01 6.20321e-01 0.00000e+00 0.00000e+00 1.73227e+02 2.48559e+02 1.05599e+02
3.70000e-01 1.21793e-08 9.06430e-01 6.29196e-01 0.00000e+00 0.00000e+00 1.66699e+02 2.41913e+02 1.00377e+02
3.80000e-01 1.06432e-08 9.43593e-01 6.37692e-01 0.00000e+00 0.00000e+00 1.60520e+02 2.35614e+02 9.54833e+01
3.90000e-01 9.12691e-09 9.79208e-01 6.45841e-01 0.00000e+00 0.00000e+00 1.54664e+02 2.29636e+02 9.08910e+01
4.00000e-01 7.63458e-09 1.01121e+00 6.53676e-01 0.00000e+00 0.00000e+00 1.49106e+02 2.23954e+02 8.65766e+01
