# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=5.000e-01[eV], Tie=9.772e+00[eV] , Te_c=9.772e+00[eV], n_i=5.979e+22[1/cc], n_e=1.794e+23[1/cc]
# ri=2.998, Zbar=3.000, Rc=0.518[AU], Γii=1.634e+02, Γei=-2.786e+00 , Γee=9.288e-01, κ=2.674e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 6.92213e-01 2.15176e+00 1.39847e-01 1.32361e-08 0.00000e+00 1.60783e+04 1.63390e+04 1.57874e+04
2.00000e-02 6.86468e-01 2.16615e+00 1.45649e-01 1.32231e-08 0.00000e+00 7.91000e+03 8.17065e+03 7.62827e+03
3.00000e-02 6.77596e-01 2.19071e+00 1.52695e-01 1.32038e-08 0.00000e+00 5.18735e+03 5.44786e+03 4.91451e+03
4.00000e-02 6.66098e-01 2.22530e+00 1.61028e-01 1.31747e-08 0.00000e+00 3.82614e+03 4.08646e+03 3.56194e+03
5.00000e-02 6.52433e-01 2.27095e+00 1.70675e-01 1.31383e-08 0.00000e+00 3.00954e+03 3.26962e+03 2.75373e+03
6.00000e-02 6.37007e-01 2.32781e+00 1.81639e-01 1.30938e-08 0.00000e+00 2.46528e+03 2.72505e+03 2.21761e+03
7.00000e-02 6.20190e-01 2.39734e+00 1.93902e-01 1.30428e-08 0.00000e+00 2.07665e+03 2.33608e+03 1.83689e+03
8.00000e-02 6.02294e-01 2.47999e+00 2.07428e-01 1.29829e-08 0.00000e+00 1.78530e+03 2.04435e+03 1.55323e+03
9.00000e-02 5.83570e-01 2.57779e+00 2.22158e-01 1.29165e-08 0.00000e+00 1.55883e+03 1.81744e+03 1.33423e+03
1.00000e-01 5.64229e-01 2.69159e+00 2.38017e-01 1.28429e-08 0.00000e+00 1.37779e+03 1.63592e+03 1.16043e+03
1.10000e-01 5.44450e-01 2.82420e+00 2.54913e-01 1.27623e-08 0.00000e+00 1.22978e+03 1.48739e+03 1.01946e+03
1.20000e-01 5.24388e-01 2.97692e+00 2.72739e-01 1.26751e-08 0.00000e+00 1.10657e+03 1.36362e+03 9.03081e+02
1.30000e-01 5.04179e-01 3.15380e+00 2.91379e-01 1.25815e-08 0.00000e+00 1.00243e+03 1.25889e+03 8.05582e+02
1.40000e-01 4.83937e-01 3.35657e+00 3.10705e-01 1.24818e-08 0.00000e+00 9.13283e+02 1.16912e+03 7.22886e+02
1.50000e-01 4.63761e-01 3.59141e+00 3.30586e-01 1.23758e-08 0.00000e+00 8.36139e+02 1.09131e+03 6.52007e+02
1.60000e-01 4.43731e-01 3.85989e+00 3.50885e-01 1.22648e-08 0.00000e+00 7.68749e+02 1.02323e+03 5.90702e+02
1.70000e-01 4.23916e-01 4.17348e+00 3.71468e-01 1.21480e-08 0.00000e+00 7.09397e+02 9.63162e+02 5.37260e+02
