# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=1.000e+00[eV], Tie=9.810e+00[eV] , Te_c=9.810e+00[eV], n_i=5.979e+22[1/cc], n_e=1.794e+23[1/cc]
# ri=2.998, Zbar=3.000, Rc=0.521[AU], Γii=8.168e+01, Γei=-2.776e+00 , Γee=9.252e-01, κ=2.670e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 3.40576e-01 2.02994e+00 1.50415e-01 3.61368e-08 0.00000e+00 8.04359e+03 8.16935e+03 7.89530e+03
2.00000e-02 3.37700e-01 2.04375e+00 1.55646e-01 3.61006e-08 0.00000e+00 3.95945e+03 4.08516e+03 3.81567e+03
3.00000e-02 3.33259e-01 2.06719e+00 1.61490e-01 3.60159e-08 0.00000e+00 2.59812e+03 2.72377e+03 2.45874e+03
4.00000e-02 3.27504e-01 2.10032e+00 1.67975e-01 3.59457e-08 0.00000e+00 1.91752e+03 2.04307e+03 1.78240e+03
5.00000e-02 3.20664e-01 2.14394e+00 1.75125e-01 3.58222e-08 0.00000e+00 1.50923e+03 1.63465e+03 1.37825e+03
6.00000e-02 3.12942e-01 2.19839e+00 1.82961e-01 3.56446e-08 0.00000e+00 1.23710e+03 1.36237e+03 1.11015e+03
7.00000e-02 3.04525e-01 2.26487e+00 1.91497e-01 3.55013e-08 0.00000e+00 1.04279e+03 1.16788e+03 9.19742e+02
8.00000e-02 2.95568e-01 2.34404e+00 2.00741e-01 3.52433e-08 0.00000e+00 8.97131e+02 1.02201e+03 7.77870e+02
9.00000e-02 2.86198e-01 2.43761e+00 2.10699e-01 3.50452e-08 0.00000e+00 7.83904e+02 9.08560e+02 6.68324e+02
1.00000e-01 2.76519e-01 2.54666e+00 2.21367e-01 3.48118e-08 0.00000e+00 6.93388e+02 8.17797e+02 5.81383e+02
1.10000e-01 2.66621e-01 2.67361e+00 2.32737e-01 3.44933e-08 0.00000e+00 6.19394e+02 7.43536e+02 5.10860e+02
1.20000e-01 2.56583e-01 2.82004e+00 2.44795e-01 3.41510e-08 0.00000e+00 5.57796e+02 6.81652e+02 4.52633e+02
1.30000e-01 2.46471e-01 2.98946e+00 2.57521e-01 3.38819e-08 0.00000e+00 5.05736e+02 6.29287e+02 4.03847e+02
1.40000e-01 2.36344e-01 3.18404e+00 2.70890e-01 3.34932e-08 0.00000e+00 4.61173e+02 5.84402e+02 3.62464e+02
1.50000e-01 2.26251e-01 3.40913e+00 2.84870e-01 3.31517e-08 0.00000e+00 4.22610e+02 5.45501e+02 3.26990e+02
1.60000e-01 2.16233e-01 3.66704e+00 2.99428e-01 3.27608e-08 0.00000e+00 3.88925e+02 5.11461e+02 2.96304e+02
1.70000e-01 2.06323e-01 3.96781e+00 3.14522e-01 3.23332e-08 0.00000e+00 3.59257e+02 4.81426e+02 2.69552e+02
1.80000e-01 1.96551e-01 4.28503e+00 3.30107e-01 3.19142e-08 0.00000e+00 3.32940e+02 4.54727e+02 2.46066e+02
1.90000e-01 1.86943e-01 4.53104e+00 3.46137e-01 3.14670e-08 0.00000e+00 3.09446e+02 4.30838e+02 2.25321e+02
