# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=1.000e+02[eV], Tie=1.017e+02[eV] , Te_c=1.017e+02[eV], n_i=5.979e+22[1/cc], n_e=5.023e+23[1/cc]
# ri=2.998, Zbar=8.401, Rc=0.397[AU], Γii=6.406e+00, Γei=-7.498e-01 , Γee=8.925e-02, κ=1.489e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 0.00000e+00 1.08425e+00 3.41754e-01 0.00000e+00 0.00000e+00 6.30917e+02 6.40666e+02 6.31075e+02
2.00000e-02 0.00000e+00 1.10289e+00 3.55243e-01 0.00000e+00 0.00000e+00 3.10651e+02 3.20389e+02 3.10868e+02
3.00000e-02 0.00000e+00 1.13586e+00 3.71228e-01 0.00000e+00 0.00000e+00 2.03909e+02 2.13630e+02 2.04179e+02
4.00000e-02 0.00000e+00 1.18339e+00 3.89742e-01 0.00000e+00 0.00000e+00 1.50552e+02 1.60250e+02 1.50868e+02
5.00000e-02 0.00000e+00 1.24949e+00 4.10756e-01 0.00000e+00 0.00000e+00 1.18552e+02 1.28222e+02 1.18909e+02
6.00000e-02 0.00000e+00 1.33607e+00 4.34180e-01 0.00000e+00 0.00000e+00 9.72328e+01 1.06870e+02 9.76243e+01
7.00000e-02 0.00000e+00 1.45021e+00 4.59865e-01 0.00000e+00 0.00000e+00 8.20179e+01 9.16182e+01 8.24398e+01
8.00000e-02 0.00000e+00 1.59691e+00 4.87602e-01 0.00000e+00 0.00000e+00 7.06191e+01 8.01791e+01 7.10674e+01
9.00000e-02 0.00000e+00 1.78941e+00 5.17135e-01 0.00000e+00 0.00000e+00 6.17650e+01 7.12819e+01 6.22363e+01
1.00000e-01 0.00000e+00 2.03894e+00 5.48161e-01 0.00000e+00 0.00000e+00 5.46923e+01 6.41638e+01 5.51838e+01
1.10000e-01 0.00000e+00 2.37285e+00 5.80347e-01 0.00000e+00 0.00000e+00 4.89154e+01 5.83397e+01 4.94248e+01
1.20000e-01 0.00000e+00 2.81552e+00 6.13337e-01 0.00000e+00 0.00000e+00 4.41105e+01 5.34861e+01 4.46357e+01
1.30000e-01 0.00000e+00 3.43329e+00 6.46763e-01 0.00000e+00 0.00000e+00 4.00530e+01 4.93790e+01 4.05925e+01
1.40000e-01 0.00000e+00 4.14604e+00 6.80260e-01 0.00000e+00 0.00000e+00 3.65829e+01 4.58584e+01 3.71353e+01
1.50000e-01 0.00000e+00 4.67495e+00 7.13473e-01 0.00000e+00 0.00000e+00 3.35826e+01 4.28070e+01 3.41467e+01
1.60000e-01 0.00000e+00 5.00155e+00 7.46070e-01 0.00000e+00 0.00000e+00 3.09639e+01 4.01368e+01 3.15389e+01
1.70000e-01 0.00000e+00 5.14340e+00 7.77747e-01 0.00000e+00 0.00000e+00 2.86593e+01 3.77805e+01 2.92444e+01
1.80000e-01 0.00000e+00 5.14533e+00 8.08237e-01 0.00000e+00 0.00000e+00 2.66165e+01 3.56859e+01 2.72110e+01
1.90000e-01 0.00000e+00 5.04082e+00 8.37312e-01 0.00000e+00 0.00000e+00 2.47940e+01 3.38115e+01 2.53974e+01
2.00000e-01 0.00000e+00 4.86927e+00 8.64788e-01 0.00000e+00 0.00000e+00 2.31588e+01 3.21243e+01 2.37705e+01
2.10000e-01 0.00000e+00 4.65423e+00 8.90526e-01 0.00000e+00 0.00000e+00 2.16841e+01 3.05977e+01 2.23036e+01
2.20000e-01 0.00000e+00 4.41955e+00 9.14426e-01 0.00000e+00 0.00000e+00 2.03481e+01 2.92096e+01 2.09748e+01
2.30000e-01 0.00000e+00 4.17699e+00 9.36430e-01 0.00000e+00 0.00000e+00 1.91328e+01 2.79420e+01 1.97660e+01
2.40000e-01 2.09663e-08 3.93854e+00 9.56515e-01 0.00000e+00 1.33172e-09 1.80230e+01 2.67799e+01 1.86621e+01
2.50000e-01 1.39934e-07 3.70843e+00 9.74688e-01 0.00000e+00 7.28421e-08 1.70064e+01 2.57106e+01 1.76505e+01
2.60000e-01 4.28429e-07 3.49187e+00 9.90982e-01 0.00000e+00 2.44051e-07 1.60723e+01 2.47233e+01 1.67205e+01
2.70000e-01 1.07507e-06 3.28929e+00 1.00545e+00 2.05121e-08 6.25405e-07 1.52117e+01 2.38090e+01 1.58630e+01
2.80000e-01 2.42889e-06 3.10250e+00 1.01817e+00 9.81211e-08 1.42157e-06 1.44171e+01 2.29598e+01 1.50701e+01
2.90000e-01 5.09671e-06 2.93035e+00 1.02923e+00 2.59235e-07 2.98994e-06 1.36817e+01 2.21691e+01 1.43351e+01
3.00000e-01 1.00754e-05 2.77311e+00 1.03872e+00 5.76687e-07 5.92233e-06 1.29999e+01 2.14308e+01 1.36522e+01
3.10000e-01 1.89209e-05 2.62916e+00 1.04675e+00 1.17324e-06 1.11530e-05 1.23667e+01 2.07401e+01 1.30164e+01
3.20000e-01 3.39506e-05 2.49816e+00 1.05343e+00 2.24706e-06 2.00948e-05 1.17777e+01 2.00924e+01 1.24230e+01
3.30000e-01 5.84734e-05 2.37850e+00 1.05890e+00 4.10587e-06 3.48022e-05 1.12289e+01 1.94838e+01 1.18683e+01
3.40000e-01 9.70350e-05 2.26966e+00 1.06325e+00 7.21083e-06 5.81589e-05 1.07168e+01 1.89109e+01 1.13488e+01
3.50000e-01 1.55665e-04 2.17021e+00 1.06662e+00 1.22312e-05 9.40843e-05 1.02382e+01 1.83705e+01 1.08614e+01
3.60000e-01 2.42112e-04 2.07963e+00 1.06912e+00 2.01098e-05 1.47750e-04 9.79036e+00 1.78601e+01 1.04034e+01
3.70000e-01 3.66048e-04 1.99672e+00 1.07086e+00 3.21401e-05 2.25795e-04 9.37064e+00 1.73771e+01 9.97249e+00
3.80000e-01 5.39232e-04 1.92103e+00 1.07195e+00 5.00522e-05 3.36539e-04 8.97673e+00 1.69195e+01 9.56637e+00
3.90000e-01 7.75624e-04 1.85158e+00 1.07246e+00 7.61087e-05 4.90159e-04 8.60652e+00 1.64852e+01 9.18316e+00
4.00000e-01 1.09143e-03 1.78800e+00 1.07250e+00 1.13206e-04 6.98850e-04 8.25811e+00 1.60726e+01 8.82109e+00
4.10000e-01 1.50511e-03 1.72950e+00 1.07214e+00 1.64982e-04 9.76932e-04 7.92976e+00 1.56799e+01 8.47860e+00
4.20000e-01 2.03727e-03 1.67579e+00 1.07145e+00 2.35917e-04 1.34091e-03 7.61990e+00 1.53059e+01 8.15426e+00
4.30000e-01 2.71055e-03 1.62622e+00 1.07048e+00 3.31445e-04 1.80947e-03 7.32711e+00 1.49492e+01 7.84677e+00
4.40000e-01 3.54942e-03 1.58058e+00 1.06928e+00 4.58047e-04 2.40345e-03 7.05011e+00 1.46087e+01 7.55496e+00
4.50000e-01 4.57991e-03 1.53833e+00 1.06791e+00 6.23337e-04 3.14567e-03 6.78771e+00 1.42832e+01 7.27777e+00
4.60000e-01 5.82938e-03 1.49932e+00 1.06639e+00 8.36140e-04 4.06082e-03 6.53886e+00 1.39718e+01 7.01421e+00
4.70000e-01 7.32612e-03 1.46312e+00 1.06477e+00 1.10655e-03 5.17517e-03 6.30258e+00 1.36736e+01 6.76339e+00
4.80000e-01 9.09904e-03 1.42961e+00 1.06307e+00 1.44595e-03 6.51634e-03 6.07800e+00 1.33877e+01 6.52449e+00
4.90000e-01 1.11773e-02 1.39843e+00 1.06131e+00 1.86707e-03 8.11295e-03 5.86432e+00 1.31135e+01 6.29676e+00
5.00000e-01 1.35899e-02 1.36950e+00 1.05951e+00 2.38393e-03 9.99424e-03 5.66080e+00 1.28503e+01 6.07952e+00
5.10000e-01 1.63654e-02 1.34253e+00 1.05768e+00 3.01184e-03 1.21898e-02 5.46677e+00 1.25973e+01 5.87211e+00
5.20000e-01 1.95314e-02 1.31745e+00 1.05585e+00 3.76734e-03 1.47290e-02 5.28162e+00 1.23540e+01 5.67397e+00
5.30000e-01 2.31142e-02 1.29402e+00 1.05402e+00 4.66811e-03 1.76407e-02 5.10480e+00 1.21199e+01 5.48454e+00
5.40000e-01 2.71387e-02 1.27219e+00 1.05219e+00 5.73285e-03 2.09531e-02 4.93579e+00 1.18944e+01 5.30332e+00
5.50000e-01 3.16278e-02 1.25177e+00 1.05039e+00 6.98121e-03 2.46927e-02 4.77413e+00 1.16771e+01 5.12985e+00
5.60000e-01 3.66022e-02 1.23272e+00 1.04860e+00 8.43357e-03 2.88848e-02 4.61937e+00 1.14676e+01 4.96369e+00
5.70000e-01 4.20804e-02 1.21487e+00 1.04685e+00 1.01109e-02 3.35525e-02 4.47112e+00 1.12654e+01 4.80445e+00
5.80000e-01 4.80782e-02 1.19820e+00 1.04512e+00 1.20347e-02 3.87168e-02 4.32901e+00 1.10702e+01 4.65175e+00
5.90000e-01 5.46085e-02 1.18256e+00 1.04343e+00 1.42264e-02 4.43960e-02 4.19270e+00 1.08816e+01 4.50524e+00
6.00000e-01 6.16814e-02 1.16794e+00 1.04177e+00 1.67079e-02 5.06059e-02 4.06187e+00 1.06992e+01 4.36460e+00
6.10000e-01 6.93041e-02 1.15422e+00 1.04016e+00 1.95005e-02 5.73593e-02 3.93624e+00 1.05229e+01 4.22953e+00
6.20000e-01 7.74807e-02 1.14138e+00 1.03858e+00 2.26254e-02 6.46661e-02 3.81553e+00 1.03523e+01 4.09973e+00
6.30000e-01 8.62122e-02 1.12932e+00 1.03704e+00 2.61030e-02 7.25330e-02 3.69948e+00 1.01871e+01 3.97496e+00
6.40000e-01 9.54966e-02 1.11804e+00 1.03555e+00 2.99530e-02 8.09636e-02 3.58787e+00 1.00270e+01 3.85495e+00
6.50000e-01 1.05329e-01 1.10744e+00 1.03409e+00 3.41942e-02 8.99584e-02 3.48047e+00 9.87196e+00 3.73948e+00
6.60000e-01 1.15702e-01 1.09752e+00 1.03268e+00 3.88440e-02 9.95148e-02 3.37707e+00 9.72159e+00 3.62832e+00
6.70000e-01 1.26604e-01 1.08819e+00 1.03131e+00 4.39187e-02 1.09627e-01 3.27749e+00 9.57573e+00 3.52128e+00
6.80000e-01 1.38022e-01 1.07947e+00 1.02997e+00 4.94329e-02 1.20287e-01 3.18154e+00 9.43417e+00 3.41816e+00
6.90000e-01 1.49942e-01 1.07127e+00 1.02868e+00 5.53996e-02 1.31482e-01 3.08906e+00 9.29674e+00 3.31877e+00
7.00000e-01 1.62343e-01 1.06361e+00 1.02743e+00 6.18303e-02 1.43199e-01 2.99989e+00 9.16326e+00 3.22296e+00
7.10000e-01 1.75208e-01 1.05641e+00 1.02622e+00 6.87341e-02 1.55421e-01 2.91387e+00 9.03356e+00 3.13054e+00
7.20000e-01 1.88513e-01 1.04969e+00 1.02505e+00 7.61186e-02 1.68129e-01 2.83087e+00 8.90749e+00 3.04138e+00
7.30000e-01 2.02234e-01 1.04338e+00 1.02391e+00 8.39892e-02 1.81303e-01 2.75075e+00 8.78489e+00 2.95533e+00
7.40000e-01 2.16347e-01 1.03750e+00 1.02282e+00 9.23493e-02 1.94919e-01 2.67339e+00 8.66563e+00 2.87226e+00
7.50000e-01 2.30825e-01 1.03197e+00 1.02176e+00 1.01200e-01 2.08952e-01 2.59867e+00 8.54957e+00 2.79203e+00
7.60000e-01 2.45640e-01 1.02683e+00 1.02073e+00 1.10541e-01 2.23377e-01 2.52648e+00 8.43660e+00 2.71452e+00
7.70000e-01 2.60764e-01 1.02202e+00 1.01974e+00 1.20369e-01 2.38166e-01 2.45671e+00 8.32657e+00 2.63962e+00
7.80000e-01 2.76168e-01 1.01754e+00 1.01879e+00 1.30679e-01 2.53290e-01 2.38926e+00 8.21939e+00 2.56722e+00
7.90000e-01 2.91822e-01 1.01336e+00 1.01787e+00 1.41464e-01 2.68721e-01 2.32404e+00 8.11495e+00 2.49722e+00
8.00000e-01 3.07696e-01 1.00948e+00 1.01698e+00 1.52716e-01 2.84429e-01 2.26095e+00 8.01314e+00 2.42951e+00
8.10000e-01 3.23760e-01 1.00586e+00 1.01613e+00 1.64423e-01 3.00382e-01 2.19992e+00 7.91386e+00 2.36401e+00
8.20000e-01 3.39984e-01 1.00251e+00 1.01530e+00 1.76573e-01 3.16552e-01 2.14086e+00 7.81703e+00 2.30063e+00
8.30000e-01 3.56339e-01 9.99396e-01 1.01451e+00 1.89151e-01 3.32906e-01 2.08368e+00 7.72255e+00 2.23928e+00
8.40000e-01 3.72795e-01 9.96528e-01 1.01374e+00 2.02143e-01 3.49415e-01 2.02833e+00 7.63033e+00 2.17988e+00
8.50000e-01 3.89323e-01 9.93867e-01 1.01301e+00 2.15530e-01 3.66047e-01 1.97472e+00 7.54030e+00 2.12236e+00
8.60000e-01 4.05895e-01 9.91427e-01 1.01230e+00 2.29295e-01 3.82775e-01 1.92279e+00 7.45239e+00 2.06664e+00
8.70000e-01 4.22484e-01 9.89172e-01 1.01162e+00 2.43416e-01 3.99567e-01 1.87248e+00 7.36651e+00 2.01266e+00
8.80000e-01 4.39063e-01 9.87116e-01 1.01097e+00 2.57874e-01 4.16395e-01 1.82373e+00 7.28259e+00 1.96034e+00
8.90000e-01 4.55606e-01 9.85225e-01 1.01034e+00 2.72646e-01 4.33232e-01 1.77647e+00 7.20058e+00 1.90964e+00
9.00000e-01 4.72089e-01 9.83513e-01 1.00974e+00 2.87709e-01 4.50050e-01 1.73066e+00 7.12040e+00 1.86047e+00
9.10000e-01 4.88487e-01 9.81947e-01 1.00916e+00 3.03041e-01 4.66824e-01 1.68623e+00 7.04200e+00 1.81280e+00
9.20000e-01 5.04778e-01 9.80543e-01 1.00860e+00 3.18616e-01 4.83527e-01 1.64314e+00 6.96531e+00 1.76656e+00
9.30000e-01 5.20941e-01 9.79268e-01 1.00807e+00 3.34411e-01 5.00136e-01 1.60135e+00 6.89028e+00 1.72171e+00
9.40000e-01 5.36956e-01 9.78138e-01 1.00756e+00 3.50400e-01 5.16629e-01 1.56079e+00 6.81685e+00 1.67819e+00
9.50000e-01 5.52803e-01 9.77123e-01 1.00707e+00 3.66559e-01 5.32982e-01 1.52144e+00 6.74499e+00 1.63595e+00
