# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=1.000e+03[eV], Tie=1.000e+03[eV] , Te_c=1.000e+03[eV], n_i=5.979e+22[1/cc], n_e=7.700e+23[1/cc]
# ri=2.998, Zbar=12.880, Rc=0.326[AU], Γii=1.506e+00, Γei=-1.169e-01 , Γee=9.073e-03, κ=5.919e-01
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 0.00000e+00 8.89079e-01 4.05124e-01 0.00000e+00 0.00000e+00 1.49696e+02 1.50565e+02 1.49677e+02
2.00000e-02 0.00000e+00 8.92112e-01 4.53852e-01 0.00000e+00 0.00000e+00 7.44138e+01 7.52827e+01 7.43969e+01
3.00000e-02 0.00000e+00 8.99403e-01 5.21644e-01 0.00000e+00 0.00000e+00 4.93204e+01 5.01884e+01 4.93053e+01
4.00000e-02 0.00000e+00 9.09294e-01 5.99841e-01 0.00000e+00 0.00000e+00 3.67743e+01 3.76413e+01 3.67608e+01
5.00000e-02 0.00000e+00 9.26098e-01 6.78925e-01 0.00000e+00 0.00000e+00 2.92472e+01 3.01131e+01 2.92351e+01
6.00000e-02 0.00000e+00 9.49356e-01 7.50918e-01 0.00000e+00 0.00000e+00 2.42297e+01 2.50942e+01 2.42188e+01
7.00000e-02 0.00000e+00 9.86513e-01 8.10888e-01 0.00000e+00 0.00000e+00 2.06462e+01 2.15093e+01 2.06365e+01
8.00000e-02 0.00000e+00 1.04052e+00 8.57211e-01 0.00000e+00 0.00000e+00 1.79590e+01 1.88207e+01 1.79504e+01
9.00000e-02 2.00359e-07 1.12798e+00 8.90854e-01 2.02302e-07 2.47686e-07 1.58693e+01 1.67295e+01 1.58618e+01
1.00000e-01 1.45248e-06 1.26485e+00 9.14218e-01 1.27176e-06 1.51204e-06 1.41979e+01 1.50565e+01 1.41914e+01
1.10000e-01 5.95764e-06 1.49517e+00 9.30079e-01 5.12589e-06 6.05642e-06 1.28307e+01 1.36878e+01 1.28251e+01
1.20000e-01 1.87853e-05 1.69450e+00 9.40894e-01 1.61177e-05 1.89820e-05 1.16916e+01 1.25471e+01 1.16870e+01
1.30000e-01 4.93380e-05 1.77050e+00 9.48513e-01 4.23405e-05 4.97352e-05 1.07280e+01 1.15819e+01 1.07244e+01
1.40000e-01 1.12668e-04 1.78401e+00 9.54173e-01 9.67839e-05 1.13412e-04 9.90232e+00 1.07547e+01 9.89957e+00
1.50000e-01 2.30262e-04 1.75673e+00 9.58632e-01 1.98041e-04 2.31520e-04 9.18691e+00 1.00377e+01 9.18508e+00
1.60000e-01 4.30124e-04 1.71587e+00 9.62323e-01 3.70417e-04 4.32038e-04 8.56112e+00 9.41033e+00 8.56021e+00
1.70000e-01 7.46181e-04 1.66682e+00 9.65487e-01 6.43450e-04 7.48780e-04 8.00913e+00 8.85678e+00 8.00913e+00
1.80000e-01 1.21712e-03 1.61936e+00 9.68261e-01 1.05095e-03 1.22023e-03 7.51864e+00 8.36474e+00 7.51955e+00
1.90000e-01 1.88491e-03 1.57281e+00 9.70726e-01 1.62973e-03 1.88801e-03 7.07995e+00 7.92449e+00 7.08175e+00
2.00000e-01 2.79311e-03 1.53093e+00 9.72934e-01 2.41819e-03 2.79523e-03 6.68530e+00 7.52827e+00 6.68797e+00
2.10000e-01 3.98526e-03 1.49178e+00 9.74924e-01 3.45494e-03 3.98490e-03 6.32841e+00 7.16978e+00 6.33191e+00
2.20000e-01 5.50331e-03 1.45712e+00 9.76725e-01 4.77753e-03 5.49842e-03 6.00414e+00 6.84388e+00 6.00843e+00
2.30000e-01 7.38640e-03 1.42508e+00 9.78359e-01 6.42131e-03 7.37438e-03 5.70826e+00 6.54632e+00 5.71329e+00
2.40000e-01 9.66976e-03 1.39672e+00 9.79847e-01 8.41861e-03 9.64759e-03 5.43724e+00 6.27355e+00 5.44293e+00
2.50000e-01 1.23841e-02 1.37049e+00 9.81204e-01 1.07981e-02 1.23484e-02 5.18811e+00 6.02261e+00 5.19438e+00
2.60000e-01 1.55549e-02 1.34714e+00 9.82444e-01 1.35843e-02 1.55023e-02 4.95836e+00 5.79097e+00 4.96513e+00
2.70000e-01 1.92026e-02 1.32546e+00 9.83580e-01 1.67973e-02 1.91295e-02 4.74584e+00 5.57649e+00 4.75302e+00
2.80000e-01 2.33423e-02 1.30603e+00 9.84622e-01 2.04531e-02 2.32453e-02 4.54870e+00 5.37733e+00 4.55623e+00
2.90000e-01 2.79840e-02 1.28790e+00 9.85581e-01 2.45629e-02 2.78599e-02 4.36536e+00 5.19191e+00 4.37316e+00
3.00000e-01 3.31327e-02 1.27155e+00 9.86465e-01 2.91340e-02 3.29784e-02 4.19443e+00 5.01884e+00 4.20245e+00
3.10000e-01 3.87891e-02 1.25621e+00 9.87281e-01 3.41695e-02 3.86020e-02 4.03471e+00 4.85695e+00 4.04289e+00
3.20000e-01 4.49496e-02 1.24230e+00 9.88035e-01 3.96691e-02 4.47273e-02 3.88515e+00 4.70517e+00 3.89344e+00
3.30000e-01 5.16068e-02 1.22918e+00 9.88735e-01 4.56288e-02 5.13473e-02 3.74482e+00 4.56259e+00 3.75318e+00
3.40000e-01 5.87502e-02 1.21722e+00 9.89384e-01 5.20419e-02 5.84520e-02 3.61290e+00 4.42839e+00 3.62130e+00
3.50000e-01 6.63663e-02 1.20590e+00 9.89987e-01 5.88988e-02 6.60280e-02 3.48866e+00 4.30187e+00 3.49708e+00
3.60000e-01 7.44392e-02 1.19554e+00 9.90549e-01 6.61876e-02 7.40600e-02 3.37147e+00 4.18237e+00 3.37988e+00
3.70000e-01 8.29508e-02 1.18569e+00 9.91072e-01 7.38944e-02 8.25303e-02 3.26075e+00 4.06933e+00 3.26913e+00
3.80000e-01 9.18815e-02 1.17665e+00 9.91561e-01 8.20038e-02 9.14194e-02 3.15599e+00 3.96225e+00 3.16432e+00
3.90000e-01 1.01210e-01 1.16802e+00 9.92018e-01 9.04987e-02 1.00707e-01 3.05673e+00 3.86065e+00 3.06499e+00
4.00000e-01 1.10915e-01 1.16006e+00 9.92446e-01 9.93609e-02 1.10370e-01 2.96255e+00 3.76413e+00 2.97073e+00
4.10000e-01 1.20973e-01 1.15245e+00 9.92847e-01 1.08572e-01 1.20388e-01 2.87308e+00 3.67232e+00 2.88117e+00
4.20000e-01 1.31360e-01 1.14542e+00 9.93222e-01 1.18111e-01 1.30736e-01 2.78798e+00 3.58489e+00 2.79598e+00
4.30000e-01 1.42053e-01 1.13868e+00 9.93575e-01 1.27959e-01 1.41391e-01 2.70694e+00 3.50152e+00 2.71484e+00
4.40000e-01 1.53029e-01 1.13243e+00 9.93906e-01 1.38095e-01 1.52330e-01 2.62969e+00 3.42194e+00 2.63749e+00
4.50000e-01 1.64263e-01 1.12642e+00 9.94218e-01 1.48499e-01 1.63529e-01 2.55597e+00 3.34590e+00 2.56366e+00
4.60000e-01 1.75732e-01 1.12084e+00 9.94512e-01 1.59150e-01 1.74965e-01 2.48556e+00 3.27316e+00 2.49313e+00
4.70000e-01 1.87413e-01 1.11546e+00 9.94788e-01 1.70028e-01 1.86614e-01 2.41823e+00 3.20352e+00 2.42569e+00
4.80000e-01 1.99284e-01 1.11046e+00 9.95049e-01 1.81112e-01 1.98455e-01 2.35380e+00 3.13678e+00 2.36114e+00
4.90000e-01 2.11322e-01 1.10563e+00 9.95294e-01 1.92384e-01 2.10465e-01 2.29208e+00 3.07276e+00 2.29931e+00
5.00000e-01 2.23505e-01 1.10114e+00 9.95527e-01 2.03822e-01 2.22623e-01 2.23292e+00 3.01131e+00 2.24002e+00
5.10000e-01 2.35814e-01 1.09679e+00 9.95746e-01 2.15409e-01 2.34908e-01 2.17616e+00 2.95226e+00 2.18315e+00
5.20000e-01 2.48227e-01 1.09273e+00 9.95953e-01 2.27126e-01 2.47301e-01 2.12166e+00 2.89549e+00 2.12853e+00
5.30000e-01 2.60726e-01 1.08880e+00 9.96149e-01 2.38955e-01 2.59780e-01 2.06929e+00 2.84086e+00 2.07605e+00
5.40000e-01 2.73293e-01 1.08513e+00 9.96334e-01 2.50879e-01 2.72329e-01 2.01894e+00 2.78825e+00 2.02558e+00
5.50000e-01 2.85908e-01 1.08157e+00 9.96510e-01 2.62880e-01 2.84930e-01 1.97049e+00 2.73755e+00 1.97701e+00
5.60000e-01 2.98556e-01 1.07824e+00 9.96676e-01 2.74945e-01 2.97565e-01 1.92385e+00 2.68867e+00 1.93025e+00
5.70000e-01 3.11221e-01 1.07500e+00 9.96834e-01 2.87055e-01 3.10218e-01 1.87891e+00 2.64150e+00 1.88520e+00
5.80000e-01 3.23886e-01 1.07197e+00 9.96983e-01 2.99198e-01 3.22875e-01 1.83559e+00 2.59595e+00 1.84177e+00
5.90000e-01 3.36538e-01 1.06903e+00 9.97125e-01 3.11359e-01 3.35520e-01 1.79380e+00 2.55195e+00 1.79987e+00
6.00000e-01 3.49163e-01 1.06627e+00 9.97260e-01 3.23524e-01 3.48140e-01 1.75346e+00 2.50942e+00 1.75943e+00
6.10000e-01 3.61748e-01 1.06358e+00 9.97388e-01 3.35681e-01 3.60721e-01 1.71452e+00 2.46828e+00 1.72037e+00
6.20000e-01 3.74281e-01 1.06107e+00 9.97509e-01 3.47818e-01 3.73252e-01 1.67689e+00 2.42847e+00 1.68264e+00
6.30000e-01 3.86750e-01 1.05861e+00 9.97624e-01 3.59924e-01 3.85722e-01 1.64051e+00 2.38993e+00 1.64616e+00
6.40000e-01 3.99145e-01 1.05631e+00 9.97734e-01 3.71986e-01 3.98119e-01 1.60533e+00 2.35258e+00 1.61088e+00
6.50000e-01 4.11456e-01 1.05407e+00 9.97838e-01 3.83996e-01 4.10433e-01 1.57129e+00 2.31639e+00 1.57674e+00
6.60000e-01 4.23674e-01 1.05196e+00 9.97937e-01 3.95944e-01 4.22656e-01 1.53833e+00 2.28129e+00 1.54368e+00
6.70000e-01 4.35790e-01 1.04990e+00 9.98031e-01 4.07820e-01 4.34778e-01 1.50642e+00 2.24724e+00 1.51167e+00
6.80000e-01 4.47796e-01 1.04798e+00 9.98121e-01 4.19617e-01 4.46791e-01 1.47549e+00 2.21420e+00 1.48065e+00
6.90000e-01 4.59684e-01 1.04609e+00 9.98206e-01 4.31326e-01 4.58688e-01 1.44552e+00 2.18211e+00 1.45058e+00
7.00000e-01 4.71449e-01 1.04432e+00 9.98287e-01 4.42940e-01 4.70463e-01 1.41645e+00 2.15093e+00 1.42143e+00
7.10000e-01 4.83083e-01 1.04258e+00 9.98365e-01 4.54451e-01 4.82108e-01 1.38825e+00 2.12064e+00 1.39314e+00
7.20000e-01 4.94582e-01 1.04095e+00 9.98438e-01 4.65855e-01 4.93618e-01 1.36088e+00 2.09118e+00 1.36568e+00
7.30000e-01 5.05939e-01 1.03936e+00 9.98508e-01 4.77144e-01 5.04988e-01 1.33431e+00 2.06254e+00 1.33903e+00
