# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=5.000e-01[eV], Tie=4.419e+01[eV] , Te_c=4.419e+01[eV], n_i=5.010e+23[1/cc], n_e=2.004e+24[1/cc]
# ri=1.476, Zbar=4.000, Rc=0.275[AU], Γii=5.899e+02, Γei=-1.669e+00 , Γee=4.172e-01, κ=2.046e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 3.88769e+01 4.37420e+00 2.11937e+00 0.00000e+00 0.00000e+00 5.80310e+04 5.90354e+04 5.75218e+04
2.00000e-02 3.89853e+01 4.15710e+00 2.14268e+00 0.00000e+00 0.00000e+00 2.85355e+04 2.95397e+04 2.80444e+04
3.00000e-02 3.84452e+01 3.91020e+00 2.12270e+00 0.00000e+00 0.00000e+00 1.87039e+04 1.97078e+04 1.82305e+04
4.00000e-02 3.72692e+01 3.60751e+00 2.08413e+00 0.00000e+00 0.00000e+00 1.37883e+04 1.47918e+04 1.33323e+04
5.00000e-02 3.55346e+01 3.27671e+00 2.02394e+00 0.00000e+00 0.00000e+00 1.08393e+04 1.18421e+04 1.04001e+04
6.00000e-02 3.33107e+01 2.92707e+00 1.94237e+00 0.00000e+00 0.00000e+00 8.87355e+03 9.87570e+03 8.45087e+03
7.00000e-02 3.06852e+01 2.58428e+00 1.84551e+00 0.00000e+00 0.00000e+00 7.46975e+03 8.47105e+03 7.06315e+03
8.00000e-02 2.77462e+01 2.26031e+00 1.73203e+00 0.00000e+00 0.00000e+00 6.41720e+03 7.41754e+03 6.02630e+03
9.00000e-02 2.45878e+01 1.97832e+00 1.60829e+00 0.00000e+00 0.00000e+00 5.59886e+03 6.59810e+03 5.22326e+03
1.00000e-01 2.13005e+01 1.74774e+00 1.47653e+00 0.00000e+00 0.00000e+00 4.94449e+03 5.94251e+03 4.58383e+03
1.10000e-01 1.79752e+01 1.58193e+00 1.34318e+00 0.00000e+00 0.00000e+00 4.40941e+03 5.40609e+03 4.06331e+03
1.20000e-01 1.46918e+01 1.48704e+00 1.21181e+00 0.00000e+00 0.00000e+00 3.96381e+03 4.95903e+03 3.63191e+03
1.30000e-01 1.15279e+01 1.46426e+00 1.08797e+00 0.00000e+00 0.00000e+00 3.58708e+03 4.58072e+03 3.26902e+03
1.40000e-01 8.54631e+00 1.51476e+00 9.74766e-01 0.00000e+00 0.00000e+00 3.26447e+03 4.25642e+03 2.95990e+03
1.50000e-01 5.80340e+00 1.63110e+00 8.76699e-01 0.00000e+00 0.00000e+00 2.98519e+03 3.97532e+03 2.69375e+03
1.60000e-01 3.34002e+00 1.80582e+00 7.95276e-01 0.00000e+00 0.00000e+00 2.74112e+03 3.72932e+03 2.46248e+03
1.70000e-01 1.18970e+00 2.02931e+00 7.33170e-01 0.00000e+00 0.00000e+00 2.52607e+03 3.51223e+03 2.25989e+03
1.80000e-01 0.00000e+00 2.29024e+00 6.90143e-01 0.00000e+00 0.00000e+00 2.33522e+03 3.31922e+03 2.08117e+03
1.90000e-01 0.00000e+00 2.57402e+00 6.66985e-01 0.00000e+00 0.00000e+00 2.16476e+03 3.14650e+03 1.92252e+03
2.00000e-01 0.00000e+00 2.84598e+00 6.61640e-01 0.00000e+00 0.00000e+00 2.01164e+03 2.99101e+03 1.78090e+03
2.10000e-01 0.00000e+00 3.08760e+00 6.72678e-01 0.00000e+00 0.00000e+00 1.87341e+03 2.85030e+03 1.65384e+03
