# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=1.000e+01[eV], Tie=4.530e+01[eV] , Te_c=4.531e+01[eV], n_i=5.010e+23[1/cc], n_e=2.004e+24[1/cc]
# ri=1.476, Zbar=4.000, Rc=0.280[AU], Γii=2.950e+01, Γei=-1.628e+00 , Γee=4.069e-01, κ=2.027e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 0.00000e+00 1.39967e+00 2.29889e-01 2.83952e-08 0.00000e+00 2.91497e+03 2.95061e+03 2.87823e+03
2.00000e-02 0.00000e+00 1.40535e+00 2.33958e-01 2.83664e-08 0.00000e+00 1.44019e+03 1.47582e+03 1.40431e+03
3.00000e-02 0.00000e+00 1.41503e+00 2.38532e-01 2.83189e-08 0.00000e+00 9.48607e+02 9.84228e+02 9.13564e+02
4.00000e-02 0.00000e+00 1.42857e+00 2.43623e-01 2.82525e-08 0.00000e+00 7.02825e+02 7.38430e+02 6.68602e+02
5.00000e-02 0.00000e+00 1.44634e+00 2.49243e-01 2.81674e-08 0.00000e+00 5.55366e+02 5.90950e+02 5.21945e+02
6.00000e-02 0.00000e+00 1.46826e+00 2.55400e-01 2.80641e-08 0.00000e+00 4.57070e+02 4.92630e+02 4.24435e+02
7.00000e-02 0.00000e+00 1.49479e+00 2.62099e-01 2.79429e-08 0.00000e+00 3.86870e+02 4.22400e+02 3.55003e+02
8.00000e-02 0.00000e+00 1.52593e+00 2.69343e-01 2.78040e-08 0.00000e+00 3.34230e+02 3.69727e+02 3.03115e+02
9.00000e-02 0.00000e+00 1.56228e+00 2.77131e-01 2.76481e-08 0.00000e+00 2.93299e+02 3.28758e+02 2.62919e+02
1.00000e-01 0.00000e+00 1.60390e+00 2.85462e-01 2.74757e-08 0.00000e+00 2.60565e+02 2.95982e+02 2.30904e+02
1.10000e-01 0.00000e+00 1.65156e+00 2.94329e-01 2.72871e-08 0.00000e+00 2.33793e+02 2.69165e+02 2.04836e+02
