# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=2.000e-01[eV], Tie=2.062e+01[eV] , Te_c=2.063e+01[eV], n_i=5.980e+23[1/cc], n_e=5.980e+23[1/cc]
# ri=1.391, Zbar=1.000, Rc=0.000[AU], Γii=9.778e+01, Γei=-9.484e-01 , Γee=9.479e-01, κ=1.550e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 0.00000e+00 4.15135e+00 1.04585e-01 0.00000e+00 0.00000e+00 9.67419e+03 9.78661e+03 9.58978e+03
2.00000e-02 0.00000e+00 3.97966e+00 1.12115e-01 0.00000e+00 0.00000e+00 4.78518e+03 4.89759e+03 4.70257e+03
3.00000e-02 0.00000e+00 3.81866e+00 1.23140e-01 0.00000e+00 0.00000e+00 3.15554e+03 3.26791e+03 3.07469e+03
4.00000e-02 0.00000e+00 3.66757e+00 1.37395e-01 0.00000e+00 0.00000e+00 2.34074e+03 2.45306e+03 2.26162e+03
5.00000e-02 0.00000e+00 3.52565e+00 1.54441e-01 0.00000e+00 0.00000e+00 1.85188e+03 1.96415e+03 1.77446e+03
6.00000e-02 0.00000e+00 3.39223e+00 1.73714e-01 0.00000e+00 0.00000e+00 1.52601e+03 1.63820e+03 1.45025e+03
7.00000e-02 0.00000e+00 3.26670e+00 1.94567e-01 0.00000e+00 0.00000e+00 1.29327e+03 1.40537e+03 1.21913e+03
8.00000e-02 0.00000e+00 3.14850e+00 2.16325e-01 0.00000e+00 0.00000e+00 1.11874e+03 1.23075e+03 1.04620e+03
9.00000e-02 0.00000e+00 3.03710e+00 2.38337e-01 0.00000e+00 0.00000e+00 9.83018e+02 1.09492e+03 9.12055e+02
1.00000e-01 0.00000e+00 2.93205e+00 2.60016e-01 0.00000e+00 0.00000e+00 8.74470e+02 9.86251e+02 8.05045e+02
1.10000e-01 0.00000e+00 2.83290e+00 2.80876e-01 0.00000e+00 0.00000e+00 7.85686e+02 8.97333e+02 7.17769e+02
1.20000e-01 0.00000e+00 2.73925e+00 3.00546e-01 0.00000e+00 0.00000e+00 7.11725e+02 8.23228e+02 6.45287e+02
1.30000e-01 0.00000e+00 2.65074e+00 3.18779e-01 0.00000e+00 0.00000e+00 6.49170e+02 7.60517e+02 5.84181e+02
1.40000e-01 0.00000e+00 2.56703e+00 3.35446e-01 0.00000e+00 0.00000e+00 5.95578e+02 7.06757e+02 5.32010e+02
1.50000e-01 0.00000e+00 2.48780e+00 3.50525e-01 0.00000e+00 0.00000e+00 5.49157e+02 6.60159e+02 4.86982e+02
1.60000e-01 0.00000e+00 2.41276e+00 3.64074e-01 0.00000e+00 0.00000e+00 5.08565e+02 6.19379e+02 4.47756e+02
1.70000e-01 0.00000e+00 2.34165e+00 3.76213e-01 0.00000e+00 0.00000e+00 4.72774e+02 5.83390e+02 4.13304e+02
1.80000e-01 0.00000e+00 2.27422e+00 3.87103e-01 0.00000e+00 0.00000e+00 4.40985e+02 5.51394e+02 3.82827e+02
1.90000e-01 0.00000e+00 2.21024e+00 3.96920e-01 0.00000e+00 0.00000e+00 4.12566e+02 5.22759e+02 3.55695e+02
2.00000e-01 0.00000e+00 2.14950e+00 4.05844e-01 0.00000e+00 0.00000e+00 3.87015e+02 4.96981e+02 3.31405e+02
2.10000e-01 0.00000e+00 2.09180e+00 4.14045e-01 0.00000e+00 0.00000e+00 3.63921e+02 4.73651e+02 3.09547e+02
2.20000e-01 0.00000e+00 2.03696e+00 4.21675e-01 0.00000e+00 0.00000e+00 3.42950e+02 4.52436e+02 2.89788e+02
2.30000e-01 0.00000e+00 1.98482e+00 4.28864e-01 0.00000e+00 0.00000e+00 3.23826e+02 4.33060e+02 2.71851e+02
2.40000e-01 0.00000e+00 1.93520e+00 4.35717e-01 0.00000e+00 0.00000e+00 3.06318e+02 4.15293e+02 2.55508e+02
2.50000e-01 0.00000e+00 1.88798e+00 4.42320e-01 0.00000e+00 0.00000e+00 2.90234e+02 3.98941e+02 2.40565e+02
2.60000e-01 0.00000e+00 1.84300e+00 4.48738e-01 0.00000e+00 0.00000e+00 2.75410e+02 3.83841e+02 2.26859e+02
2.70000e-01 0.00000e+00 1.80014e+00 4.55019e-01 0.00000e+00 0.00000e+00 2.61706e+02 3.69854e+02 2.14251e+02
2.80000e-01 0.00000e+00 1.75930e+00 4.61197e-01 0.00000e+00 0.00000e+00 2.49002e+02 3.56860e+02 2.02622e+02
2.90000e-01 0.00000e+00 1.72034e+00 4.67297e-01 0.00000e+00 0.00000e+00 2.37195e+02 3.44757e+02 1.91868e+02
3.00000e-01 0.00000e+00 1.68318e+00 4.73335e-01 0.00000e+00 0.00000e+00 2.26196e+02 3.33456e+02 1.81901e+02
3.10000e-01 0.00000e+00 1.64771e+00 4.79322e-01 0.00000e+00 0.00000e+00 2.15928e+02 3.22878e+02 1.72644e+02
3.20000e-01 0.00000e+00 1.61384e+00 4.85266e-01 0.00000e+00 0.00000e+00 2.06321e+02 3.12956e+02 1.64029e+02
3.30000e-01 0.00000e+00 1.58149e+00 4.91169e-01 0.00000e+00 0.00000e+00 1.97317e+02 3.03631e+02 1.55996e+02
3.40000e-01 0.00000e+00 1.55059e+00 4.97035e-01 0.00000e+00 0.00000e+00 1.88861e+02 2.94849e+02 1.48493e+02
3.50000e-01 0.00000e+00 1.52105e+00 5.02865e-01 0.00000e+00 0.00000e+00 1.80908e+02 2.86565e+02 1.41473e+02
3.60000e-01 0.00000e+00 1.49281e+00 5.08658e-01 0.00000e+00 0.00000e+00 1.73416e+02 2.78736e+02 1.34895e+02
3.70000e-01 0.00000e+00 1.46580e+00 5.14415e-01 0.00000e+00 0.00000e+00 1.66347e+02 2.71325e+02 1.28722e+02
3.80000e-01 0.00000e+00 1.43996e+00 5.20136e-01 0.00000e+00 0.00000e+00 1.59669e+02 2.64301e+02 1.22922e+02
3.90000e-01 0.00000e+00 1.41524e+00 5.25820e-01 0.00000e+00 0.00000e+00 1.53351e+02 2.57632e+02 1.17464e+02
4.00000e-01 0.00000e+00 1.39158e+00 5.31467e-01 0.00000e+00 0.00000e+00 1.47366e+02 2.51293e+02 1.12322e+02
4.10000e-01 0.00000e+00 1.36892e+00 5.37077e-01 0.00000e+00 0.00000e+00 1.41690e+02 2.45258e+02 1.07473e+02
4.20000e-01 0.00000e+00 1.34723e+00 5.42649e-01 0.00000e+00 0.00000e+00 1.36302e+02 2.39508e+02 1.02894e+02
