# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=1.000e+01[eV], Tie=2.292e+01[eV] , Te_c=2.292e+01[eV], n_i=5.980e+23[1/cc], n_e=5.980e+23[1/cc]
# ri=1.391, Zbar=1.000, Rc=0.000[AU], Γii=1.956e+00, Γei=-8.533e-01 , Γee=8.530e-01, κ=1.487e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 0.00000e+00 4.46386e+00 1.94611e-01 0.00000e+00 0.00000e+00 1.93286e+02 1.95551e+02 1.92196e+02
2.00000e-02 0.00000e+00 4.34227e+00 1.97452e-01 0.00000e+00 0.00000e+00 9.55112e+01 9.77754e+01 9.44498e+01
3.00000e-02 0.00000e+00 4.22459e+00 2.00411e-01 0.00000e+00 0.00000e+00 6.29202e+01 6.51836e+01 6.18865e+01
4.00000e-02 0.00000e+00 4.11072e+00 2.03491e-01 0.00000e+00 0.00000e+00 4.66254e+01 4.88877e+01 4.56187e+01
5.00000e-02 0.00000e+00 4.00055e+00 2.06695e-01 0.00000e+00 0.00000e+00 3.68492e+01 3.91102e+01 3.58689e+01
6.00000e-02 0.00000e+00 3.89400e+00 2.10025e-01 0.00000e+00 0.00000e+00 3.03326e+01 3.25918e+01 2.93781e+01
7.00000e-02 0.00000e+00 3.79095e+00 2.13484e-01 0.00000e+00 0.00000e+00 2.56786e+01 2.79358e+01 2.47493e+01
8.00000e-02 0.00000e+00 3.69131e+00 2.17075e-01 0.00000e+00 0.00000e+00 2.21889e+01 2.44438e+01 2.12841e+01
9.00000e-02 0.00000e+00 3.59499e+00 2.20799e-01 0.00000e+00 0.00000e+00 1.94754e+01 2.17279e+01 1.85947e+01
1.00000e-01 0.00000e+00 3.50189e+00 2.24659e-01 0.00000e+00 5.68043e-08 1.73055e+01 1.95551e+01 1.64482e+01
1.10000e-01 2.09664e-07 3.41192e+00 2.28657e-01 1.01437e-07 5.47993e-07 1.55309e+01 1.77773e+01 1.46964e+01
1.20000e-01 1.16308e-06 3.32498e+00 2.32794e-01 5.93948e-07 2.49979e-06 1.40528e+01 1.62959e+01 1.32406e+01
1.30000e-01 4.23519e-06 3.24099e+00 2.37072e-01 2.18641e-06 8.64133e-06 1.28030e+01 1.50424e+01 1.20124e+01
1.40000e-01 1.24806e-05 3.15985e+00 2.41491e-01 6.47666e-06 2.47438e-05 1.17324e+01 1.39679e+01 1.09631e+01
1.50000e-01 3.16170e-05 3.08149e+00 2.46054e-01 1.64745e-05 6.12657e-05 1.08054e+01 1.30367e+01 1.00567e+01
1.60000e-01 7.11144e-05 3.00581e+00 2.50760e-01 3.72008e-05 1.34962e-04 9.99505e+00 1.22219e+01 9.26643e+00
1.70000e-01 1.45180e-04 2.93274e+00 2.55611e-01 7.62494e-05 2.70128e-04 9.28078e+00 1.15030e+01 8.57174e+00
1.80000e-01 2.73472e-04 2.86219e+00 2.60606e-01 1.44224e-04 4.99216e-04 8.64663e+00 1.08639e+01 7.95667e+00
1.90000e-01 4.81423e-04 2.79408e+00 2.65745e-01 2.54988e-04 8.62720e-04 8.07997e+00 1.02921e+01 7.40860e+00
2.00000e-01 8.00132e-04 2.72834e+00 2.71029e-01 4.25690e-04 1.40832e-03 7.57071e+00 9.77754e+00 6.91744e+00
2.10000e-01 1.26585e-03 2.66489e+00 2.76457e-01 6.76588e-04 2.18946e-03 7.11067e+00 9.31194e+00 6.47503e+00
2.20000e-01 1.91909e-03 2.60366e+00 2.82028e-01 1.03067e-03 3.26345e-03 6.69317e+00 8.88867e+00 6.07469e+00
2.30000e-01 2.80356e-03 2.54457e+00 2.87741e-01 1.51314e-03 4.68943e-03 6.31268e+00 8.50221e+00 5.71091e+00
2.40000e-01 3.96485e-03 2.48756e+00 2.93594e-01 2.15083e-03 6.52623e-03 5.96458e+00 8.14795e+00 5.37907e+00
2.50000e-01 5.44913e-03 2.43256e+00 2.99588e-01 2.97152e-03 8.83044e-03 5.64501e+00 7.82203e+00 5.07533e+00
