# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=1.000e+02[eV], Tie=1.021e+02[eV] , Te_c=1.021e+02[eV], n_i=5.980e+23[1/cc], n_e=5.980e+23[1/cc]
# ri=1.391, Zbar=1.000, Rc=0.000[AU], Γii=1.956e-01, Γei=-1.915e-01 , Γee=1.915e-01, κ=7.517e-01
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 0.00000e+00 2.92658e+00 2.43791e-01 0.00000e+00 0.00000e+00 1.94171e+01 1.95561e+01 1.94094e+01
2.00000e-02 6.77304e-05 2.80954e+00 2.49467e-01 6.40204e-05 6.81904e-05 9.63907e+00 9.77804e+00 9.63189e+00
3.00000e-02 1.76416e-03 2.70205e+00 2.55474e-01 1.66906e-03 1.77721e-03 6.37977e+00 6.51869e+00 6.37309e+00
4.00000e-02 9.00034e-03 2.60314e+00 2.61827e-01 8.51597e-03 9.06282e-03 4.75016e+00 4.88902e+00 4.74396e+00
5.00000e-02 2.39254e-02 2.51195e+00 2.68539e-01 2.26398e-02 2.40806e-02 3.77245e+00 3.91121e+00 3.76670e+00
6.00000e-02 4.59088e-02 2.42772e+00 2.75621e-01 4.34463e-02 4.61865e-02 3.12068e+00 3.25935e+00 3.11537e+00
7.00000e-02 7.31198e-02 2.34980e+00 2.83079e-01 6.92059e-02 7.35316e-02 2.65518e+00 2.79372e+00 2.65029e+00
8.00000e-02 1.03659e-01 2.27758e+00 2.90920e-01 9.81237e-02 1.04202e-01 2.30611e+00 2.44451e+00 2.30161e+00
9.00000e-02 1.35978e-01 2.21055e+00 2.99145e-01 1.28736e-01 1.36638e-01 2.03465e+00 2.17290e+00 2.03053e+00
1.00000e-01 1.68937e-01 2.14824e+00 3.07753e-01 1.59966e-01 1.69698e-01 1.81753e+00 1.95561e+00 1.81377e+00
1.10000e-01 2.01751e-01 2.09023e+00 3.16742e-01 1.91071e-01 2.02590e-01 1.63994e+00 1.77782e+00 1.63651e+00
1.20000e-01 2.33899e-01 2.03615e+00 3.26107e-01 2.21559e-01 2.34796e-01 1.49199e+00 1.62967e+00 1.48888e+00
1.30000e-01 2.65053e-01 1.98566e+00 3.35837e-01 2.51121e-01 2.65988e-01 1.36684e+00 1.50431e+00 1.36404e+00
1.40000e-01 2.95020e-01 1.93847e+00 3.45923e-01 2.79573e-01 2.95974e-01 1.25962e+00 1.39686e+00 1.25711e+00
1.50000e-01 3.23697e-01 1.89430e+00 3.56351e-01 3.06818e-01 3.24655e-01 1.16673e+00 1.30374e+00 1.16450e+00
1.60000e-01 3.51045e-01 1.85291e+00 3.67105e-01 3.32820e-01 3.51993e-01 1.08550e+00 1.22225e+00 1.08353e+00
1.70000e-01 3.77065e-01 1.81408e+00 3.78169e-01 3.57578e-01 3.77990e-01 1.01387e+00 1.15036e+00 1.01214e+00
1.80000e-01 4.01785e-01 1.77762e+00 3.89521e-01 3.81119e-01 4.02676e-01 9.50234e-01 1.08645e+00 9.48742e-01
1.90000e-01 4.25248e-01 1.74333e+00 4.01141e-01 4.03483e-01 4.26097e-01 8.93337e-01 1.02927e+00 8.92066e-01
2.00000e-01 4.47508e-01 1.71106e+00 4.13005e-01 4.24721e-01 4.48308e-01 8.42168e-01 9.77804e-01 8.41105e-01
2.10000e-01 4.68625e-01 1.68067e+00 4.25089e-01 4.44888e-01 4.69370e-01 7.95909e-01 9.31242e-01 7.95044e-01
2.20000e-01 4.88658e-01 1.65200e+00 4.37369e-01 4.64042e-01 4.89344e-01 7.53891e-01 8.88912e-01 7.53213e-01
2.30000e-01 5.07669e-01 1.62494e+00 4.49816e-01 4.82239e-01 5.08293e-01 7.15562e-01 8.50264e-01 7.15060e-01
2.40000e-01 5.25718e-01 1.59938e+00 4.62405e-01 4.99536e-01 5.26276e-01 6.80462e-01 8.14836e-01 6.80125e-01
2.50000e-01 5.42862e-01 1.57521e+00 4.75108e-01 5.15986e-01 5.43353e-01 6.48202e-01 7.82243e-01 6.48022e-01
2.60000e-01 5.59155e-01 1.55234e+00 4.87896e-01 5.31641e-01 5.59579e-01 6.18457e-01 7.52157e-01 6.18424e-01
2.70000e-01 5.74650e-01 1.53067e+00 5.00742e-01 5.46548e-01 5.75006e-01 5.90946e-01 7.24299e-01 5.91053e-01
2.80000e-01 5.89395e-01 1.51014e+00 5.13618e-01 5.60754e-01 5.89683e-01 5.65431e-01 6.98431e-01 5.65668e-01
2.90000e-01 6.03435e-01 1.49066e+00 5.26497e-01 5.74301e-01 6.03656e-01 5.41705e-01 6.74347e-01 5.42066e-01
3.00000e-01 6.16814e-01 1.47217e+00 5.39351e-01 5.87230e-01 6.16968e-01 5.19590e-01 6.51869e-01 5.20066e-01
3.10000e-01 6.29571e-01 1.45460e+00 5.52154e-01 5.99577e-01 6.29660e-01 4.98930e-01 6.30841e-01 4.99514e-01
3.20000e-01 6.41743e-01 1.43790e+00 5.64881e-01 6.11377e-01 6.41769e-01 4.79588e-01 6.11127e-01 4.80275e-01
3.30000e-01 6.53365e-01 1.42201e+00 5.77508e-01 6.22662e-01 6.53329e-01 4.61446e-01 5.92608e-01 4.62227e-01
3.40000e-01 6.64470e-01 1.40689e+00 5.90011e-01 6.33463e-01 6.64374e-01 4.44396e-01 5.75179e-01 4.45267e-01
3.50000e-01 6.75087e-01 1.39248e+00 6.02368e-01 6.43808e-01 6.74933e-01 4.28345e-01 5.58745e-01 4.29301e-01
3.60000e-01 6.85244e-01 1.37875e+00 6.14559e-01 6.53723e-01 6.85034e-01 4.13211e-01 5.43224e-01 4.14245e-01
3.70000e-01 6.94968e-01 1.36566e+00 6.26563e-01 6.63231e-01 6.94704e-01 3.98919e-01 5.28543e-01 4.00025e-01
3.80000e-01 7.04282e-01 1.35316e+00 6.38363e-01 6.72357e-01 7.03966e-01 3.85401e-01 5.14634e-01 3.86577e-01
3.90000e-01 7.13209e-01 1.34123e+00 6.49943e-01 6.81119e-01 7.12844e-01 3.72600e-01 5.01438e-01 3.73839e-01
4.00000e-01 7.21770e-01 1.32983e+00 6.61288e-01 6.89540e-01 7.21358e-01 3.60460e-01 4.88902e-01 3.61759e-01
4.10000e-01 7.29986e-01 1.31893e+00 6.72384e-01 6.97635e-01 7.29528e-01 3.48934e-01 4.76977e-01 3.50288e-01
4.20000e-01 7.37873e-01 1.30851e+00 6.83220e-01 7.05424e-01 7.37373e-01 3.37978e-01 4.65621e-01 3.39383e-01
4.30000e-01 7.45450e-01 1.29854e+00 6.93787e-01 7.12921e-01 7.44910e-01 3.27551e-01 4.54792e-01 3.29003e-01
