# Zach Johnson Dec/11/2023 CHNC for TCCW Paper
# Ti=2.000e+01[eV], Tie=2.873e+01[eV] , Te_c=2.873e+01[eV], n_i=5.980e+23[1/cc], n_e=5.980e+23[1/cc]
# ri=1.391, Zbar=1.000, Rc=0.000[AU], Γii=9.778e-01, Γei=-6.807e-01 , Γee=6.806e-01, κ=1.355e+00
r/ri        g_ii        g_ei        g_ee        OCP:g_ii    Yuk:g_ii    βu_ii_eff   βu_OCP      βu_Yuk    
1.00000e-02 0.00000e+00 4.43613e+00 2.11982e-01 0.00000e+00 0.00000e+00 9.66642e+01 9.77754e+01 9.63543e+01
2.00000e-02 0.00000e+00 4.31518e+00 2.15071e-01 0.00000e+00 0.00000e+00 4.77768e+01 4.88877e+01 4.74769e+01
3.00000e-02 0.00000e+00 4.19807e+00 2.18285e-01 0.00000e+00 0.00000e+00 3.14813e+01 3.25918e+01 3.11913e+01
4.00000e-02 0.00000e+00 4.08471e+00 2.21626e-01 0.00000e+00 0.00000e+00 2.33340e+01 2.44438e+01 2.30534e+01
5.00000e-02 0.00000e+00 3.97501e+00 2.25097e-01 0.00000e+00 0.00000e+00 1.84459e+01 1.95551e+01 1.81747e+01
6.00000e-02 2.18812e-07 3.86888e+00 2.28702e-01 1.63894e-07 3.46524e-07 1.51877e+01 1.62959e+01 1.49254e+01
7.00000e-02 3.11937e-06 3.76623e+00 2.32441e-01 2.11658e-06 4.02131e-06 1.28608e+01 1.39679e+01 1.26073e+01
8.00000e-02 1.82844e-05 3.66697e+00 2.36319e-01 1.23489e-05 2.30630e-05 1.11160e+01 1.22219e+01 1.08711e+01
9.00000e-02 7.12307e-05 3.57101e+00 2.40336e-01 4.81310e-05 8.89332e-05 9.75942e+00 1.08639e+01 9.52271e+00
1.00000e-01 2.10866e-04 3.47828e+00 2.44496e-01 1.42660e-04 2.61061e-04 8.67457e+00 9.77754e+00 8.44588e+00
1.10000e-01 5.11961e-04 3.38867e+00 2.48799e-01 3.46876e-04 6.28856e-04 7.78740e+00 8.88867e+00 7.56647e+00
1.20000e-01 1.07148e-03 3.30210e+00 2.53247e-01 7.27167e-04 1.30622e-03 7.04852e+00 8.14795e+00 6.83513e+00
1.30000e-01 2.00052e-03 3.21850e+00 2.57842e-01 1.36007e-03 2.42107e-03 6.42374e+00 7.52118e+00 6.21764e+00
1.40000e-01 3.41455e-03 3.13776e+00 2.62584e-01 2.32582e-03 4.10330e-03 5.88864e+00 6.98396e+00 5.68961e+00
1.50000e-01 5.42423e-03 3.05982e+00 2.67475e-01 3.70217e-03 6.47399e-03 5.42530e+00 6.51836e+00 5.23312e+00
1.60000e-01 8.12818e-03 2.98458e+00 2.72515e-01 5.55951e-03 9.63737e-03 5.02029e+00 6.11096e+00 4.83475e+00
1.70000e-01 1.16081e-02 2.91196e+00 2.77704e-01 7.95755e-03 1.36758e-02 4.66334e+00 5.75149e+00 4.48421e+00
1.80000e-01 1.59264e-02 2.84190e+00 2.83042e-01 1.09434e-02 1.86476e-02 4.34646e+00 5.43197e+00 4.17354e+00
1.90000e-01 2.11251e-02 2.77430e+00 2.88529e-01 1.45512e-02 2.45873e-02 4.06332e+00 5.14607e+00 3.89641e+00
2.00000e-01 2.72270e-02 2.70909e+00 2.94165e-01 1.88021e-02 3.15068e-02 3.80890e+00 4.88877e+00 3.64779e+00
2.10000e-01 3.42371e-02 2.64619e+00 2.99948e-01 2.37056e-02 3.93984e-02 3.57909e+00 4.65597e+00 3.42359e+00
2.20000e-01 4.21446e-02 2.58554e+00 3.05878e-01 2.92605e-02 4.82374e-02 3.37055e+00 4.44434e+00 3.22048e+00
2.30000e-01 5.09257e-02 2.52706e+00 3.11953e-01 3.54568e-02 5.79855e-02 3.18051e+00 4.25110e+00 3.03568e+00
2.40000e-01 6.05456e-02 2.47068e+00 3.18171e-01 4.22770e-02 6.85937e-02 3.00668e+00 4.07397e+00 2.86691e+00
2.50000e-01 7.09611e-02 2.41632e+00 3.24531e-01 4.96974e-02 8.00049e-02 2.84711e+00 3.91102e+00 2.71224e+00
2.60000e-01 8.21223e-02 2.36393e+00 3.31030e-01 5.76898e-02 9.21567e-02 2.70017e+00 3.76059e+00 2.57001e+00
2.70000e-01 9.39752e-02 2.31343e+00 3.37667e-01 6.62224e-02 1.04983e-01 2.56446e+00 3.62131e+00 2.43886e+00
2.80000e-01 1.06462e-01 2.26477e+00 3.44437e-01 7.52610e-02 1.18417e-01 2.43878e+00 3.49198e+00 2.31758e+00
2.90000e-01 1.19525e-01 2.21787e+00 3.51338e-01 8.47700e-02 1.32390e-01 2.32210e+00 3.37157e+00 2.20514e+00
3.00000e-01 1.33104e-01 2.17269e+00 3.58367e-01 9.47128e-02 1.46836e-01 2.21352e+00 3.25918e+00 2.10065e+00
3.10000e-01 1.47141e-01 2.12916e+00 3.65520e-01 1.05053e-01 1.61690e-01 2.11227e+00 3.15404e+00 2.00334e+00
3.20000e-01 1.61577e-01 2.08722e+00 3.72793e-01 1.15753e-01 1.76889e-01 2.01765e+00 3.05548e+00 1.91253e+00
