# r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
1.000000000000000021e-02 0.000000000000000000e+00 1.800506142169187918e+00 8.327414850451331230e-02
2.000000000000000042e-02 0.000000000000000000e+00 1.800518655350117125e+00 8.630782172375794925e-02
2.999999999999999889e-02 0.000000000000000000e+00 1.800537770338569210e+00 8.978674685828424984e-02
4.000000000000000083e-02 0.000000000000000000e+00 1.800560830684819091e+00 9.373679262961487346e-02
5.000000000000000278e-02 0.000000000000000000e+00 1.800584164477542881e+00 9.818168506206648161e-02
5.999999999999999778e-02 0.000000000000000000e+00 1.800602991949216580e+00 1.031426732110067856e-01
7.000000000000000666e-02 0.000000000000000000e+00 1.800611507047039428e+00 1.086382165554431456e-01
8.000000000000000167e-02 0.000000000000000000e+00 1.800602781230237426e+00 1.146836999125878664e-01
8.999999999999999667e-02 0.000000000000000000e+00 1.800568844310499017e+00 1.212911813767432179e-01
1.000000000000000056e-01 0.000000000000000000e+00 1.800500584302823226e+00 1.284691782933713444e-01
1.100000000000000006e-01 0.000000000000000000e+00 1.800387828749701935e+00 1.362224956598531156e-01
1.199999999999999956e-01 0.000000000000000000e+00 1.800219240624094663e+00 1.445521006097423289e-01
1.300000000000000044e-01 0.000000000000000000e+00 1.799982401618547057e+00 1.534550458034474874e-01
1.400000000000000133e-01 0.000000000000000000e+00 1.799663704229304884e+00 1.629244436346553027e-01
1.499999999999999944e-01 0.000000000000000000e+00 1.799248438802016015e+00 1.729494921907939187e-01
1.600000000000000033e-01 0.000000000000000000e+00 1.798720682047551644e+00 1.835155529016672116e-01
1.700000000000000122e-01 0.000000000000000000e+00 1.798063389999736916e+00 1.946042787987938283e-01
1.799999999999999933e-01 0.000000000000000000e+00 1.797258283318623473e+00 2.061937913151735691e-01
1.900000000000000022e-01 0.000000000000000000e+00 1.796285948744141825e+00 2.182589026070473892e-01
2.000000000000000111e-01 0.000000000000000000e+00 1.795125721620768111e+00 2.307713795004477930e-01
2.099999999999999922e-01 0.000000000000000000e+00 1.793755798938579060e+00 2.437002443787017469e-01
2.200000000000000011e-01 0.000000000000000000e+00 1.792153119543571815e+00 2.570121076526206139e-01
2.300000000000000100e-01 0.000000000000000000e+00 1.790293492463964409e+00 2.706715259094685244e-01
2.399999999999999911e-01 0.000000000000000000e+00 1.788151475222145681e+00 2.846413794328208624e-01
2.500000000000000000e-01 0.000000000000000000e+00 1.785700521876933511e+00 2.988832625315325231e-01
2.600000000000000089e-01 0.000000000000000000e+00 1.782912859676242245e+00 3.133578800162792888e-01
2.700000000000000178e-01 0.000000000000000000e+00 1.779759662149082988e+00 3.280254432158683509e-01
2.800000000000000266e-01 0.000000000000000000e+00 1.776210923953566390e+00 3.428460591278517100e-01
2.899999999999999800e-01 0.000000000000000000e+00 1.772235665496456836e+00 3.577801066394563634e-01
2.999999999999999889e-01 0.000000000000000000e+00 1.767801805112899194e+00 3.727885942226972782e-01
3.099999999999999978e-01 0.000000000000000000e+00 1.762876403197432662e+00 3.878334940851804191e-01
3.200000000000000067e-01 0.000000000000000000e+00 1.757425529590616486e+00 4.028780484268271733e-01
3.300000000000000155e-01 0.000000000000000000e+00 1.751414557292691132e+00 4.178870441914741551e-01
3.400000000000000244e-01 0.000000000000000000e+00 1.744808020766419610e+00 4.328270534890689136e-01
3.500000000000000333e-01 0.000000000000000000e+00 1.737569972387166262e+00 4.476666376764439903e-01
3.599999999999999867e-01 0.000000000000000000e+00 1.729663823640314346e+00 4.623765139002197211e-01
3.699999999999999956e-01 0.000000000000000000e+00 1.721052782367058054e+00 4.769296837030869707e-01
3.800000000000000044e-01 0.000000000000000000e+00 1.711699662241533026e+00 4.913015240550622220e-01
3.900000000000000133e-01 0.000000000000000000e+00 1.701567427370307417e+00 5.054698418768838186e-01
4.000000000000000222e-01 0.000000000000000000e+00 1.690618943192280010e+00 5.194148937588534132e-01
4.100000000000000311e-01 0.000000000000000000e+00 1.678817671209109630e+00 5.331193731332690700e-01
4.199999999999999845e-01 0.000000000000000000e+00 1.666127309855410799e+00 5.465683676235041366e-01
4.299999999999999933e-01 0.000000000000000000e+00 1.652512716901538781e+00 5.597492896621578673e-01
4.400000000000000022e-01 4.483240445551928133e-10 1.637939333165092881e+00 5.726517837423125146e-01
4.500000000000000111e-01 1.106656100091640837e-09 1.622374496954666512e+00 5.852676138402037598e-01
4.600000000000000200e-01 1.755807943482068367e-09 1.605786392281318697e+00 5.975905346280765418e-01
4.700000000000000289e-01 2.392653186689130962e-09 1.588146191989878053e+00 6.096161500882398832e-01
4.799999999999999822e-01 3.014719140992383473e-09 1.569425718612684761e+00 6.213417630512719780e-01
4.899999999999999911e-01 3.620087341005273629e-09 1.549602119674208467e+00 6.327662190222727023e-01
5.000000000000000000e-01 4.209745441130507970e-09 1.528650158835340944e+00 6.438897474395803844e-01
5.100000000000000089e-01 4.787629848124197451e-09 1.506612988231093020e+00 6.547138032418385878e-01
5.200000000000000178e-01 5.355182963739935076e-09 1.483733334183490182e+00 6.652409113131959595e-01
5.300000000000000266e-01 5.909960520966706099e-09 1.460282656953949765e+00 6.754745160443897944e-01
5.400000000000000355e-01 6.448630074373795651e-09 1.436491107429059166e+00 6.854188379004824139e-01
5.500000000000000444e-01 6.967894705667276867e-09 1.412558249015783085e+00 6.950787385345150726e-01
5.600000000000000533e-01 7.465125406724837376e-09 1.388652883541845906e+00 7.044595956395951486e-01
5.700000000000000622e-01 7.940279544982331572e-09 1.364918327372764306e+00 7.135671883982144248e-01
5.799999999999999600e-01 8.396405348776170285e-09 1.341474135426057090e+00 7.224075940737533230e-01
5.899999999999999689e-01 8.836188669647526694e-09 1.318419785000388256e+00 7.309870960007310847e-01
5.999999999999999778e-01 9.258656064048409462e-09 1.295836585646228833e+00 7.393121029716371861e-01
6.099999999999999867e-01 9.659366639880317962e-09 1.273790469781718615e+00 7.473890797918620876e-01
6.199999999999999956e-01 1.003355265538630192e-08 1.252333699555581603e+00 7.552244885821108866e-01
6.300000000000000044e-01 1.037912511492322665e-08 1.231507012563248793e+00 7.628247402499753749e-01
6.400000000000000133e-01 1.069729904656924191e-08 1.211341034063636801e+00 7.701961554286860245e-01
6.500000000000000222e-01 1.099148505545599619e-08 1.191857922577869822e+00 7.773449340898646032e-01
6.600000000000000311e-01 1.126532467310426000e-08 1.173072490845415095e+00 7.842771329763718047e-01
6.700000000000000400e-01 1.152108808355478686e-08 1.154993458452343580e+00 7.909986499682725158e-01
6.800000000000000488e-01 1.175931529928675445e-08 1.137624317253020045e+00 7.975152144865881310e-01
6.900000000000000577e-01 1.197977539391104074e-08 1.120964276506638102e+00 8.038323830524196634e-01
7.000000000000000666e-01 1.218231915345313610e-08 1.105008916760120918e+00 8.099555391499616563e-01
7.099999999999999645e-01 1.236781699276434665e-08 1.089750896464945384e+00 8.158898965872944942e-01
7.199999999999999734e-01 1.253969728054471489e-08 1.075180436739196832e+00 8.216405056055273715e-01
7.299999999999999822e-01 1.270855776169810269e-08 1.061285844677542611e+00 8.272122610516077224e-01
7.399999999999999911e-01 1.290236895101770642e-08 1.048053866083495711e+00 8.326099120002123932e-01
7.500000000000000000e-01 1.319098785756978032e-08 1.035470069135646876e+00 8.378380722829231741e-01
7.600000000000000089e-01 1.374548475041592610e-08 1.023519095875609519e+00 8.429012314562440711e-01
7.700000000000000178e-01 1.497089030522147368e-08 1.012184940353179075e+00 8.478037658119969011e-01
7.800000000000000266e-01 1.778713709654766717e-08 1.001451123609740090e+00 8.525499491027546117e-01
7.900000000000000355e-01 2.420415157189381716e-08 9.913008926948010391e-01 8.571439627199707312e-01
8.000000000000000444e-01 3.845533314006388537e-08 9.817173385936842633e-01 8.615899051225284211e-01
8.100000000000000533e-01 6.914999417517719849e-08 9.726835363511928678e-01 8.658918003678426345e-01
8.200000000000000622e-01 1.332219952132618346e-07 9.641826209892702115e-01 8.700536056461466439e-01
8.300000000000000711e-01 2.629305733137243806e-07 9.561978841385589956e-01 8.740792177609846281e-01
8.399999999999999689e-01 5.178606858891043885e-07 9.487128194412282056e-01 8.779724785352625016e-01
8.499999999999999778e-01 1.004838978246880288e-06 9.417111873367900454e-01 8.817371791526761315e-01
8.599999999999999867e-01 1.909964710833378376e-06 9.351770386427444848e-01 8.853770634693023389e-01
8.699999999999999956e-01 3.548570942868423117e-06 9.290947562517823943e-01 8.888958303499032709e-01
8.800000000000000044e-01 6.440852825306819796e-06 9.234490634042813451e-01 8.922971350986275141e-01
8.900000000000000133e-01 1.142305245238617317e-05 9.182250488465851790e-01 8.955845900647199098e-01
9.000000000000000222e-01 1.980630126574567385e-05 9.134081646351548400e-01 8.987617645111182219e-01
9.100000000000000311e-01 3.359723959661664594e-05 9.089842396287017845e-01 9.018321838379061983e-01
9.200000000000000400e-01 5.579602279759399153e-05 9.049394703886584068e-01 9.047993282540516269e-01
9.300000000000000488e-01 9.078788510130664235e-05 9.012604266102486328e-01 9.076666309900730534e-01
9.400000000000000577e-01 1.448436339748226942e-04 8.979340377197387868e-01 9.104374761417566297e-01
9.500000000000000666e-01 2.267418693371325844e-04 8.949475928949125469e-01 9.131151962311578885e-01
9.599999999999999645e-01 3.485210411975359079e-04 8.922887252350397702e-01 9.157030695661527719e-01
9.699999999999999734e-01 5.263624961289181670e-04 8.899454083049073150e-01 9.182043174741986169e-01
9.799999999999999822e-01 7.815964570374589471e-04 8.879059392119287297e-01 9.206221014798057212e-01
9.899999999999999911e-01 1.141811726196984011e-03 8.861589330719858992e-01 9.229595204888978444e-01
1.000000000000000000e+00 1.642037377231453377e-03 8.846933059255066567e-01 9.252196080368093600e-01
1.010000000000000009e+00 2.325951639758905287e-03 8.834982681237031343e-01 9.274053296503178556e-01
1.020000000000000018e+00 3.247060641516696933e-03 8.825633077175762953e-01 9.295195803679568991e-01
1.030000000000000027e+00 4.469778837627558232e-03 8.818781834659041863e-01 9.315651824565202022e-01
1.040000000000000036e+00 6.070335011621352805e-03 8.814329091120766124e-01 9.335448833543021907e-01
1.050000000000000044e+00 8.137423776197749703e-03 8.812177464948175443e-01 9.354613538634869441e-01
1.060000000000000053e+00 1.077252339217693589e-02 8.812231909676095931e-01 9.373171866066180025e-01
1.070000000000000062e+00 1.408980698774353613e-02 8.814399649304640594e-01 9.391148947555530979e-01
1.080000000000000071e+00 1.821558600457651167e-02 8.818590045305640945e-01 9.408569110357931642e-01
1.090000000000000080e+00 2.328724158447625925e-02 8.824714538138622721e-01 9.425455870044271434e-01
1.100000000000000089e+00 2.945162085816965813e-02 8.832686527622560790e-01 9.441831925961515770e-01
1.110000000000000098e+00 3.686289954569499372e-02 8.842421321766058551e-01 9.457719159287258925e-01
1.120000000000000107e+00 4.567993846575024719e-02 8.853836030468317242e-01 9.473138633568330969e-01
1.130000000000000115e+00 5.606318784249575415e-02 8.866849522150228591e-01 9.488110597614671793e-01
1.140000000000000124e+00 6.817121801244852008e-02 8.881382330341157649e-01 9.502654490606572413e-01
1.150000000000000133e+00 8.215697668593846537e-02 8.897356618149855345e-01 9.516788949264124442e-01
1.159999999999999920e+00 9.816388995469438328e-02 8.914696097022430932e-01 9.530531816922621635e-01
1.169999999999999929e+00 1.163219357086699990e-01 8.933325998780973221e-01 9.543900154355192678e-01
1.179999999999999938e+00 1.367438233704272310e-01 8.953173005667575124e-01 9.556910252184352972e-01
1.189999999999999947e+00 1.595214126411130806e-01 8.974165229471635641e-01 9.569577644726313670e-01
1.199999999999999956e+00 1.847224964543292547e-01 8.996232151879514083e-01 9.581917125115907430e-01
1.209999999999999964e+00 2.123880601057884787e-01 9.019304610082754525e-01 9.593942761565241728e-01
1.219999999999999973e+00 2.425301104537364028e-01 9.043314746414564675e-01 9.605667914615201308e-01
1.229999999999999982e+00 2.751301472772609280e-01 9.068195999761294868e-01 9.617105255245979034e-01
1.239999999999999991e+00 3.101383246045144038e-01 9.093883063471165373e-01 9.628266783719958699e-01
1.250000000000000000e+00 3.474733243994770904e-01 9.120311881866781656e-01 9.639163849038029364e-01
1.260000000000000009e+00 3.870229397046112130e-01 9.147419615446689134e-01 9.649807168897996945e-01
1.270000000000000018e+00 4.286453403595886780e-01 9.175144641806108892e-01 9.660206850051576977e-01
1.280000000000000027e+00 4.721709727725631467e-01 9.203426527210254449e-01 9.670372408964036381e-01
1.290000000000000036e+00 5.174050267012523241e-01 9.232206031265237645e-01 9.680312792687936208e-01
1.300000000000000044e+00 5.641303871749842047e-01 9.261425084016644549e-01 9.690036399869738082e-01
1.310000000000000053e+00 6.121109788973762011e-01 9.291026793765853053e-01 9.699551101814714027e-01
1.320000000000000062e+00 6.610954038060692373e-01 9.320955428933086484e-01 9.708864263542421602e-01
1.330000000000000071e+00 7.108207698232569260e-01 9.351156428480076332e-01 9.717982764771015969e-01
1.340000000000000080e+00 7.610166099421888930e-01 9.381576387869255962e-01 9.726913020774691221e-01
1.350000000000000089e+00 8.114087952340095500e-01 9.412163071627597244e-01 9.735661003063937891e-01
1.360000000000000098e+00 8.617233526005174671e-01 9.442865402828654053e-01 9.744232259843528254e-01
1.370000000000000107e+00 9.116901075817200883e-01 9.473633477410257075e-01 9.752631936207911689e-01
1.380000000000000115e+00 9.610460836438466936e-01 9.504418556700688914e-01 9.760864794038139891e-01
1.390000000000000124e+00 1.009538601535817426e+00 9.535173083180855658e-01 9.768935231568574018e-01
1.400000000000000133e+00 1.056928034942762551e+00 9.565850675667204595e-01 9.776847302595456091e-01
1.409999999999999920e+00 1.102990191293295563e+00 9.596406146283987804e-01 9.784604735302812051e-01
1.419999999999999929e+00 1.147518298755574762e+00 9.626795498000079165e-01 9.792210950684567816e-01
1.429999999999999938e+00 1.190324591833568757e+00 9.656975942646084388e-01 9.799669080544496369e-01
