T[eV]   Zbar
1.000000000000000056e-01 2.455908852809043363e+00
1.019999999999999929e+01 3.010124020172379122e+00
2.030000000000000071e+01 3.636678829966836890e+00
3.039999999999999858e+01 4.230673412147188728e+00
4.050000000000000000e+01 4.770413823638404160e+00
5.060000000000000142e+01 5.257968424221995285e+00
6.069999999999999574e+01 5.700416098805327181e+00
7.079999999999999716e+01 6.104654059950050282e+00
8.089999999999999147e+01 6.476283779080711511e+00
9.099999999999998579e+01 6.819629245548719965e+00
1.010999999999999943e+02 7.138007111548377637e+00
1.111999999999999886e+02 7.433999828589657355e+00
1.212999999999999829e+02 7.709673021295035511e+00
1.313999999999999773e+02 7.966733627969443177e+00
1.415000000000000000e+02 8.206639431693966813e+00
1.515999999999999943e+02 8.430672314023528457e+00
1.616999999999999886e+02 8.639985829256767502e+00
1.717999999999999829e+02 8.835635307939691430e+00
1.818999999999999773e+02 9.018596500647808156e+00
1.920000000000000000e+02 9.189776987539291397e+00
2.020999999999999943e+02 9.350023218086855437e+00
2.121999999999999886e+02 9.500125052970091133e+00
2.222999999999999829e+02 9.640818982957410910e+00
2.323999999999999773e+02 9.772790726688473484e+00
2.424999999999999716e+02 9.896677599659829738e+00
2.525999999999999943e+02 1.001307085180087242e+01
2.626999999999999886e+02 1.012251805397506033e+01
2.728000000000000114e+02 1.022552554779387712e+01
2.829000000000000341e+02 1.032256093952857690e+01
2.930000000000000000e+02 1.041405560491845073e+01
3.031000000000000227e+02 1.050040716893435899e+01
3.131999999999999886e+02 1.058198192773927637e+01
3.233000000000000114e+02 1.065911718593332758e+01
3.334000000000000341e+02 1.073212348877576439e+01
3.435000000000000000e+02 1.080128673540435358e+01
3.536000000000000227e+02 1.086687016462262356e+01
3.636999999999999886e+02 1.092911620941336004e+01
3.738000000000000114e+02 1.098824821995723688e+01
3.839000000000000341e+02 1.104447205767317186e+01
3.940000000000000000e+02 1.109797756477657060e+01
4.041000000000000227e+02 1.114893991520555439e+01
4.141999999999999886e+02 1.119752085362036986e+01
4.243000000000000114e+02 1.124386982964844606e+01
4.344000000000000341e+02 1.128812503472233075e+01
4.445000000000000000e+02 1.133041434881692311e+01
4.546000000000000227e+02 1.137085620419864540e+01
4.646999999999999886e+02 1.140956037300114012e+01
4.748000000000000114e+02 1.144662868507702314e+01
4.848999999999999773e+02 1.148215568217178806e+01
4.950000000000000000e+02 1.151622921404508659e+01
5.051000000000000227e+02 1.154893098174136767e+01
5.152000000000000455e+02 1.158033703279723348e+01
5.252999999999999545e+02 1.161051821277405871e+01
5.353999999999999773e+02 1.163954057712599166e+01
5.455000000000000000e+02 1.166746576705848959e+01
5.556000000000000227e+02 1.169435135270207837e+01
5.657000000000000455e+02 1.172025114662067402e+01
5.757999999999999545e+02 1.174521549039275037e+01
5.858999999999999773e+02 1.176929151674676355e+01
5.960000000000000000e+02 1.179252338949732959e+01
6.061000000000000227e+02 1.181495252331541757e+01
6.162000000000000455e+02 1.183661778517180352e+01
6.262999999999999545e+02 1.185755567911758313e+01
6.363999999999999773e+02 1.187780051590647545e+01
6.465000000000000000e+02 1.189738456882012763e+01
6.566000000000000227e+02 1.191633821692783002e+01
6.667000000000000455e+02 1.193469007689495243e+01
6.767999999999999545e+02 1.195246712434890490e+01
6.868999999999999773e+02 1.196969480571604549e+01
6.970000000000000000e+02 1.198639714135709511e+01
7.071000000000000227e+02 1.200259682075123635e+01
7.172000000000000455e+02 1.201831529040912550e+01
7.272999999999999545e+02 1.203357283513211051e+01
7.373999999999999773e+02 1.204838865317808150e+01
7.475000000000000000e+02 1.206278092584312489e+01
7.576000000000000227e+02 1.207676688192181658e+01
7.677000000000000455e+02 1.209036285746717887e+01
7.777999999999999545e+02 1.210358435123355036e+01
7.878999999999999773e+02 1.211644607615145652e+01
7.980000000000000000e+02 1.212896200715265671e+01
8.081000000000000227e+02 1.214114542563560839e+01
8.182000000000000455e+02 1.215300896083622995e+01
8.282999999999999545e+02 1.216456462834595165e+01
8.383999999999999773e+02 1.217582386599820232e+01
8.485000000000000000e+02 1.218679756732563035e+01
8.586000000000000227e+02 1.219749611277322643e+01
8.687000000000000455e+02 1.220792939883695993e+01
8.787999999999999545e+02 1.221810686528338685e+01
8.888999999999999773e+02 1.222803752059279958e+01
8.990000000000000000e+02 1.223772996575687699e+01
9.091000000000000227e+02 1.224719241655100177e+01
9.192000000000000455e+02 1.225643272439174680e+01
9.292999999999999545e+02 1.226545839588122355e+01
9.393999999999999773e+02 1.227427661113180868e+01
9.495000000000000000e+02 1.228289424095738269e+01
9.596000000000000227e+02 1.229131786301057971e+01
9.696999999999999318e+02 1.229955377693917384e+01
9.797999999999999545e+02 1.230760801862927956e+01
9.898999999999999773e+02 1.231548637359771980e+01
1.000000000000000000e+03 1.232319438959127567e+01
