      r[a_0]     n(bound)   n(unbound) n(tightbound)
6.144212e-06 2.342062e-01 2.451614e-03 2.195667e-01
6.225282e-06 9.246643e-01 9.679165e-03 8.668665e-01
6.307422e-06 2.053548e+00 2.149604e-02 1.925187e+00
6.390645e-06 3.603569e+00 3.772130e-02 3.378322e+00
6.474966e-06 5.557966e+00 5.817946e-02 5.210556e+00
6.560400e-06 7.900486e+00 8.270040e-02 7.406653e+00
6.646961e-06 1.061537e+01 1.111192e-01 9.951841e+00
6.734665e-06 1.368735e+01 1.432759e-01 1.283180e+01
6.823525e-06 1.710162e+01 1.790157e-01 1.603265e+01
6.913558e-06 2.084382e+01 2.181882e-01 1.954094e+01
7.004779e-06 2.490005e+01 2.606478e-01 2.334363e+01
7.097204e-06 2.925684e+01 3.062536e-01 2.742809e+01
7.190848e-06 3.390112e+01 3.548688e-01 3.178207e+01
7.285727e-06 3.882024e+01 4.063609e-01 3.639371e+01
7.381859e-06 4.400194e+01 4.606018e-01 4.125152e+01
7.479259e-06 4.943435e+01 5.174670e-01 4.634437e+01
7.577944e-06 5.510598e+01 5.768363e-01 5.166149e+01
7.677931e-06 6.100569e+01 6.385929e-01 5.719242e+01
7.779238e-06 6.712268e+01 7.026242e-01 6.292706e+01
7.881881e-06 7.344653e+01 7.688207e-01 6.885563e+01
7.985878e-06 7.996712e+01 8.370767e-01 7.496863e+01
8.091248e-06 8.667467e+01 9.072897e-01 8.125691e+01
8.198008e-06 9.355970e+01 9.793605e-01 8.771158e+01
8.306177e-06 1.006130e+02 1.053193e+00 9.432405e+01
8.415772e-06 1.078259e+02 1.128695e+00 1.010860e+02
8.526814e-06 1.151895e+02 1.205776e+00 1.079894e+02
8.639321e-06 1.226958e+02 1.284350e+00 1.150265e+02
8.753313e-06 1.303366e+02 1.364332e+00 1.221896e+02
8.868808e-06 1.381041e+02 1.445641e+00 1.294717e+02
8.985828e-06 1.459909e+02 1.528198e+00 1.368655e+02
9.104391e-06 1.539898e+02 1.611928e+00 1.443644e+02
9.224519e-06 1.620936e+02 1.696757e+00 1.519617e+02
9.346232e-06 1.702957e+02 1.782614e+00 1.596510e+02
9.469551e-06 1.785894e+02 1.869431e+00 1.674263e+02
9.594497e-06 1.869684e+02 1.957141e+00 1.752816e+02
9.721092e-06 1.954267e+02 2.045680e+00 1.832112e+02
9.849357e-06 2.039582e+02 2.134986e+00 1.912095e+02
9.979314e-06 2.125574e+02 2.225000e+00 1.992711e+02
1.011099e-05 2.212186e+02 2.315664e+00 2.073910e+02
1.024440e-05 2.299367e+02 2.406922e+00 2.155641e+02
1.037957e-05 2.387063e+02 2.498721e+00 2.237856e+02
1.051652e-05 2.475227e+02 2.591009e+00 2.320509e+02
1.065528e-05 2.563810e+02 2.683735e+00 2.403555e+02
1.079587e-05 2.652767e+02 2.776853e+00 2.486951e+02
1.093832e-05 2.742052e+02 2.870314e+00 2.570655e+02
1.108264e-05 2.831623e+02 2.964075e+00 2.654627e+02
1.122887e-05 2.921439e+02 3.058092e+00 2.738829e+02
1.137703e-05 3.011460e+02 3.152324e+00 2.823223e+02
1.152714e-05 3.101648e+02 3.246730e+00 2.907774e+02
1.167924e-05 3.191965e+02 3.341273e+00 2.992446e+02
1.183334e-05 3.282377e+02 3.435914e+00 3.077207e+02
1.198948e-05 3.372850e+02 3.530619e+00 3.162024e+02
1.214767e-05 3.463350e+02 3.625352e+00 3.246867e+02
1.230795e-05 3.553846e+02 3.720081e+00 3.331706e+02
1.247035e-05 3.644307e+02 3.814773e+00 3.416513e+02
1.263489e-05 3.734705e+02 3.909400e+00 3.501260e+02
1.280160e-05 3.825011e+02 4.003930e+00 3.585922e+02
1.297051e-05 3.915198e+02 4.098336e+00 3.670472e+02
1.314165e-05 4.005241e+02 4.192590e+00 3.754886e+02
1.331505e-05 4.095114e+02 4.286668e+00 3.839142e+02
1.349074e-05 4.184795e+02 4.380543e+00 3.923217e+02
1.366874e-05 4.274259e+02 4.474192e+00 4.007089e+02
1.384909e-05 4.363486e+02 4.567593e+00 4.090738e+02
1.403182e-05 4.452454e+02 4.660722e+00 4.174145e+02
1.421697e-05 4.541143e+02 4.753560e+00 4.257291e+02
1.440455e-05 4.629534e+02 4.846086e+00 4.340157e+02
1.459461e-05 4.717609e+02 4.938280e+00 4.422727e+02
1.478718e-05 4.805350e+02 5.030126e+00 4.504983e+02
1.498229e-05 4.892741e+02 5.121604e+00 4.586911e+02
1.517997e-05 4.979765e+02 5.212699e+00 4.668496e+02
1.538027e-05 5.066407e+02 5.303394e+00 4.749722e+02
1.558320e-05 5.152653e+02 5.393674e+00 4.830578e+02
1.578881e-05 5.238489e+02 5.483525e+00 4.911048e+02
1.599714e-05 5.323902e+02 5.572933e+00 4.991122e+02
1.620821e-05 5.408878e+02 5.661885e+00 5.070787e+02
1.642207e-05 5.493407e+02 5.750368e+00 5.150032e+02
1.663875e-05 5.577478e+02 5.838370e+00 5.228848e+02
1.685829e-05 5.661078e+02 5.925881e+00 5.307222e+02
1.708073e-05 5.744199e+02 6.012890e+00 5.385148e+02
1.730610e-05 5.826830e+02 6.099386e+00 5.462614e+02
1.753445e-05 5.908963e+02 6.185361e+00 5.539613e+02
1.776581e-05 5.990589e+02 6.270806e+00 5.616137e+02
1.800022e-05 6.071701e+02 6.355711e+00 5.692178e+02
1.823772e-05 6.152289e+02 6.440069e+00 5.767730e+02
1.847836e-05 6.232349e+02 6.523874e+00 5.842785e+02
1.872217e-05 6.311872e+02 6.607116e+00 5.917337e+02
1.896920e-05 6.390853e+02 6.689792e+00 5.991381e+02
1.921949e-05 6.469285e+02 6.771893e+00 6.064911e+02
1.947308e-05 6.547165e+02 6.853415e+00 6.137923e+02
1.973002e-05 6.624486e+02 6.934353e+00 6.210410e+02
1.999035e-05 6.701243e+02 7.014701e+00 6.282370e+02
2.025411e-05 6.777434e+02 7.094456e+00 6.353798e+02
2.052135e-05 6.853053e+02 7.173612e+00 6.424691e+02
2.079212e-05 6.928098e+02 7.252167e+00 6.495045e+02
2.106646e-05 7.002565e+02 7.330118e+00 6.564857e+02
2.134442e-05 7.076451e+02 7.407460e+00 6.634125e+02
2.162605e-05 7.149754e+02 7.484192e+00 6.702846e+02
2.191140e-05 7.222471e+02 7.560310e+00 6.771018e+02
2.220051e-05 7.294601e+02 7.635814e+00 6.838639e+02
2.249343e-05 7.366141e+02 7.710700e+00 6.905708e+02
2.279022e-05 7.437091e+02 7.784969e+00 6.972222e+02
2.309093e-05 7.507448e+02 7.858617e+00 7.038182e+02
2.339560e-05 7.577213e+02 7.931645e+00 7.103586e+02
2.370429e-05 7.646384e+02 8.004051e+00 7.168433e+02
2.401706e-05 7.714960e+02 8.075836e+00 7.232723e+02
2.433395e-05 7.782942e+02 8.146998e+00 7.296456e+02
2.465503e-05 7.850330e+02 8.217537e+00 7.359631e+02
2.498034e-05 7.917123e+02 8.287454e+00 7.422249e+02
2.530994e-05 7.983321e+02 8.356750e+00 7.484310e+02
2.564389e-05 8.048927e+02 8.425424e+00 7.545814e+02
2.598225e-05 8.113939e+02 8.493477e+00 7.606763e+02
2.632508e-05 8.178359e+02 8.560911e+00 7.667156e+02
2.667242e-05 8.242188e+02 8.627725e+00 7.726996e+02
2.702435e-05 8.305427e+02 8.693923e+00 7.786282e+02
2.738092e-05 8.368078e+02 8.759504e+00 7.845017e+02
2.774220e-05 8.430142e+02 8.824471e+00 7.903201e+02
2.810825e-05 8.491620e+02 8.888824e+00 7.960836e+02
2.847912e-05 8.552514e+02 8.952567e+00 8.017924e+02
2.885489e-05 8.612827e+02 9.015701e+00 8.074467e+02
2.923561e-05 8.672560e+02 9.078228e+00 8.130466e+02
2.962136e-05 8.731715e+02 9.140150e+00 8.185923e+02
3.001220e-05 8.790294e+02 9.201470e+00 8.240841e+02
3.040820e-05 8.848301e+02 9.262189e+00 8.295222e+02
3.080942e-05 8.905736e+02 9.322311e+00 8.349067e+02
3.121593e-05 8.962604e+02 9.381839e+00 8.402380e+02
3.162781e-05 9.018905e+02 9.440774e+00 8.455163e+02
3.204513e-05 9.074644e+02 9.499121e+00 8.507418e+02
3.246794e-05 9.129823e+02 9.556880e+00 8.559148e+02
3.289634e-05 9.184445e+02 9.614057e+00 8.610355e+02
3.333039e-05 9.238512e+02 9.670654e+00 8.661043e+02
3.377017e-05 9.292029e+02 9.726673e+00 8.711214e+02
3.421575e-05 9.344997e+02 9.782119e+00 8.760871e+02
3.466721e-05 9.397420e+02 9.836994e+00 8.810017e+02
3.512463e-05 9.449301e+02 9.891302e+00 8.858656e+02
3.558808e-05 9.500644e+02 9.945046e+00 8.906789e+02
