      r[a_0]     n(bound)   n(unbound)
6.144212e-06 2.343351e-01 2.433088e-03
6.225304e-06 9.251701e-01 9.605990e-03
6.307466e-06 2.054664e+00 2.133346e-02
6.390712e-06 3.605515e+00 3.743586e-02
6.475057e-06 5.560949e+00 5.773902e-02
6.560515e-06 7.904699e+00 8.207405e-02
6.647102e-06 1.062100e+01 1.102772e-01
6.734830e-06 1.369456e+01 1.421898e-01
6.823717e-06 1.711056e+01 1.776580e-01
6.913777e-06 2.085465e+01 2.165327e-01
7.005025e-06 2.491291e+01 2.586694e-01
7.097478e-06 2.927185e+01 3.039280e-01
7.191151e-06 3.391839e+01 3.521728e-01
7.286060e-06 3.883989e+01 4.032724e-01
7.382222e-06 4.402407e+01 4.570995e-01
7.479653e-06 4.945906e+01 5.135307e-01
7.578370e-06 5.513334e+01 5.724464e-01
7.678390e-06 6.103578e+01 6.337311e-01
7.779730e-06 6.715558e+01 6.972726e-01
7.882407e-06 7.348229e+01 7.629625e-01
7.986439e-06 8.000579e+01 8.306957e-01
8.091845e-06 8.671631e+01 9.003706e-01
8.198642e-06 9.360435e+01 9.718887e-01
8.306848e-06 1.006607e+02 1.045155e+00
8.416482e-06 1.078766e+02 1.120077e+00
8.527563e-06 1.152434e+02 1.196566e+00
8.640111e-06 1.227528e+02 1.274535e+00
8.754143e-06 1.303967e+02 1.353902e+00
8.869681e-06 1.381674e+02 1.434585e+00
8.986744e-06 1.460574e+02 1.516506e+00
9.105351e-06 1.540595e+02 1.599591e+00
9.225524e-06 1.621665e+02 1.683765e+00
9.347283e-06 1.703717e+02 1.768960e+00
9.470649e-06 1.786686e+02 1.855106e+00
9.595643e-06 1.870508e+02 1.942138e+00
9.722287e-06 1.955122e+02 2.029992e+00
9.850603e-06 2.040468e+02 2.118607e+00
9.980611e-06 2.126491e+02 2.207924e+00
1.011234e-05 2.213134e+02 2.297885e+00
1.024580e-05 2.300345e+02 2.388436e+00
1.038102e-05 2.388073e+02 2.479522e+00
1.051803e-05 2.476267e+02 2.571094e+00
1.065685e-05 2.564879e+02 2.663100e+00
1.079750e-05 2.653865e+02 2.755493e+00
1.094001e-05 2.743180e+02 2.848228e+00
1.108439e-05 2.832780e+02 2.941259e+00
1.123069e-05 2.922624e+02 3.034544e+00
1.137891e-05 3.012673e+02 3.128042e+00
1.152909e-05 3.102889e+02 3.221712e+00
1.168125e-05 3.193234e+02 3.315517e+00
1.183542e-05 3.283673e+02 3.409419e+00
1.199162e-05 3.374172e+02 3.503384e+00
1.214989e-05 3.464698e+02 3.597376e+00
1.231025e-05 3.555219e+02 3.691364e+00
1.247272e-05 3.645705e+02 3.785316e+00
1.263733e-05 3.736128e+02 3.879201e+00
1.280412e-05 3.826458e+02 3.972990e+00
1.297311e-05 3.916669e+02 4.066656e+00
1.314433e-05 4.006735e+02 4.160171e+00
1.331781e-05 4.096631e+02 4.253510e+00
1.349358e-05 4.186334e+02 4.346647e+00
1.367167e-05 4.275820e+02 4.439560e+00
1.385211e-05 4.365068e+02 4.532226e+00
1.403493e-05 4.454057e+02 4.624623e+00
1.422016e-05 4.542767e+02 4.716729e+00
1.440784e-05 4.631178e+02 4.808526e+00
1.459800e-05 4.719272e+02 4.899994e+00
1.479066e-05 4.807032e+02 4.991115e+00
1.498587e-05 4.894441e+02 5.081871e+00
1.518365e-05 4.981483e+02 5.172246e+00
1.538405e-05 5.068143e+02 5.262225e+00
1.558709e-05 5.154406e+02 5.351791e+00
1.579281e-05 5.240258e+02 5.440931e+00
1.600124e-05 5.325687e+02 5.529631e+00
1.621243e-05 5.410679e+02 5.617878e+00
1.642640e-05 5.495223e+02 5.705659e+00
1.664320e-05 5.579308e+02 5.792964e+00
1.686286e-05 5.662922e+02 5.879780e+00
1.708541e-05 5.746057e+02 5.966098e+00
1.731091e-05 5.828701e+02 6.051908e+00
1.753938e-05 5.910847e+02 6.137199e+00
1.777086e-05 5.992485e+02 6.221964e+00
1.800540e-05 6.073608e+02 6.306193e+00
1.824304e-05 6.154208e+02 6.389880e+00
1.848381e-05 6.234278e+02 6.473016e+00
1.872776e-05 6.313812e+02 6.555595e+00
1.897493e-05 6.392802e+02 6.637611e+00
1.922537e-05 6.471245e+02 6.719057e+00
1.947910e-05 6.549133e+02 6.799928e+00
1.973619e-05 6.626462e+02 6.880219e+00
1.999667e-05 6.703228e+02 6.959925e+00
2.026059e-05 6.779427e+02 7.039041e+00
2.052799e-05 6.855054e+02 7.117564e+00
2.079892e-05 6.930106e+02 7.195490e+00
2.107342e-05 7.004579e+02 7.272815e+00
2.135155e-05 7.078471e+02 7.349537e+00
2.163335e-05 7.151780e+02 7.425653e+00
2.191887e-05 7.224503e+02 7.501161e+00
2.220815e-05 7.296638e+02 7.576058e+00
2.250126e-05 7.368183e+02 7.650343e+00
2.279823e-05 7.439136e+02 7.724014e+00
2.309912e-05 7.509498e+02 7.797070e+00
2.340399e-05 7.579266e+02 7.869510e+00
2.371287e-05 7.648440e+02 7.941333e+00
2.402584e-05 7.717020e+02 8.012538e+00
2.434293e-05 7.785004e+02 8.083126e+00
2.466421e-05 7.852394e+02 8.153097e+00
2.498973e-05 7.919189e+02 8.222450e+00
2.531955e-05 7.985389e+02 8.291185e+00
2.565372e-05 8.050996e+02 8.359304e+00
2.599230e-05 8.116009e+02 8.426807e+00
2.633534e-05 8.180430e+02 8.493695e+00
2.668292e-05 8.244260e+02 8.559969e+00
2.703508e-05 8.307499e+02 8.625630e+00
2.739189e-05 8.370150e+02 8.690680e+00
2.775341e-05 8.432213e+02 8.755120e+00
2.811970e-05 8.493690e+02 8.818951e+00
2.849083e-05 8.554584e+02 8.882177e+00
2.886685e-05 8.614895e+02 8.944798e+00
2.924784e-05 8.674627e+02 9.006816e+00
2.963385e-05 8.733780e+02 9.068235e+00
3.002496e-05 8.792357e+02 9.129055e+00
3.042124e-05 8.850362e+02 9.189281e+00
3.082274e-05 8.907795e+02 9.248913e+00
3.122954e-05 8.964660e+02 9.307956e+00
3.164171e-05 9.020959e+02 9.366411e+00
3.205932e-05 9.076694e+02 9.424281e+00
3.248244e-05 9.131870e+02 9.481569e+00
3.291114e-05 9.186488e+02 9.538279e+00
3.334550e-05 9.240552e+02 9.594413e+00
3.378560e-05 9.294064e+02 9.649975e+00
3.423150e-05 9.347028e+02 9.704967e+00
3.468329e-05 9.399447e+02 9.759393e+00
3.514105e-05 9.451324e+02 9.813256e+00
3.560484e-05 9.502662e+02 9.866560e+00
3.607475e-05 9.553464e+02 9.919308e+00
3.655087e-05 9.603735e+02 9.971504e+00
3.703327e-05 9.653477e+02 1.002315e+01
3.752204e-05 9.702694e+02 1.007425e+01
3.801726e-05 9.751389e+02 1.012481e+01
3.851901e-05 9.799566e+02 1.017483e+01
3.902739e-05 9.847229e+02 1.022432e+01
3.954247e-05 9.894381e+02 1.027328e+01
4.006436e-05 9.941025e+02 1.032171e+01
4.059313e-05 9.987166e+02 1.036962e+01
4.112888e-05 1.003281e+03 1.041701e+01
4.167170e-05 1.007795e+03 1.046388e+01
4.222169e-05 1.012260e+03 1.051024e+01
4.277893e-05 1.016677e+03 1.055610e+01
4.334353e-05 1.021045e+03 1.060145e+01
4.391558e-05 1.025365e+03 1.064630e+01
4.449518e-05 1.029637e+03 1.069066e+01
4.508243e-05 1.033861e+03 1.073452e+01
4.567743e-05 1.038039e+03 1.077790e+01
4.628028e-05 1.042170e+03 1.082080e+01
4.689109e-05 1.046255e+03 1.086321e+01
4.750997e-05 1.050294e+03 1.090515e+01
4.813701e-05 1.054288e+03 1.094661e+01
4.877232e-05 1.058237e+03 1.098761e+01
4.941602e-05 1.062141e+03 1.102815e+01
5.006822e-05 1.066001e+03 1.106823e+01
5.072902e-05 1.069817e+03 1.110785e+01
5.139854e-05 1.073589e+03 1.114701e+01
5.207691e-05 1.077318e+03 1.118573e+01
5.276422e-05 1.081005e+03 1.122401e+01
5.346060e-05 1.084649e+03 1.126185e+01
5.416618e-05 1.088251e+03 1.129925e+01
5.488107e-05 1.091812e+03 1.133622e+01
5.560539e-05 1.095331e+03 1.137276e+01
5.633928e-05 1.098810e+03 1.140888e+01
5.708285e-05 1.102248e+03 1.144458e+01
5.783623e-05 1.105646e+03 1.147986e+01
5.859955e-05 1.109004e+03 1.151473e+01
5.937295e-05 1.112323e+03 1.154919e+01
6.015656e-05 1.115603e+03 1.158325e+01
6.095051e-05 1.118845e+03 1.161690e+01
6.175494e-05 1.122048e+03 1.165016e+01
6.256999e-05 1.125214e+03 1.168303e+01
6.339579e-05 1.128341e+03 1.171551e+01
6.423249e-05 1.131432e+03 1.174760e+01
6.508023e-05 1.134486e+03 1.177931e+01
6.593917e-05 1.137504e+03 1.181064e+01
6.680944e-05 1.140486e+03 1.184160e+01
6.769119e-05 1.143431e+03 1.187218e+01
6.858458e-05 1.146342e+03 1.190240e+01
6.948977e-05 1.149218e+03 1.193226e+01
7.040690e-05 1.152059e+03 1.196176e+01
7.133613e-05 1.154865e+03 1.199090e+01
7.227763e-05 1.157638e+03 1.201969e+01
7.323155e-05 1.160377e+03 1.204813e+01
7.419807e-05 1.163083e+03 1.207622e+01
7.517734e-05 1.165756e+03 1.210398e+01
7.616953e-05 1.168396e+03 1.213139e+01
7.717482e-05 1.171004e+03 1.215847e+01
7.819338e-05 1.173581e+03 1.218522e+01
7.922538e-05 1.176125e+03 1.221164e+01
8.027100e-05 1.178639e+03 1.223774e+01
8.133043e-05 1.181121e+03 1.226351e+01
8.240383e-05 1.183573e+03 1.228897e+01
8.349140e-05 1.185994e+03 1.231411e+01
8.459332e-05 1.188386e+03 1.233894e+01
8.570979e-05 1.190747e+03 1.236346e+01
8.684100e-05 1.193080e+03 1.238768e+01
8.798713e-05 1.195383e+03 1.241159e+01
8.914839e-05 1.197658e+03 1.243521e+01
9.032497e-05 1.199904e+03 1.245853e+01
9.151709e-05 1.202122e+03 1.248156e+01
9.272494e-05 1.204312e+03 1.250430e+01
9.394872e-05 1.206474e+03 1.252675e+01
9.518867e-05 1.208610e+03 1.254892e+01
9.644497e-05 1.210718e+03 1.257081e+01
9.771786e-05 1.212800e+03 1.259243e+01
9.900754e-05 1.214855e+03 1.261377e+01
1.003143e-04 1.216884e+03 1.263483e+01
1.016382e-04 1.218887e+03 1.265563e+01
1.029796e-04 1.220865e+03 1.267617e+01
1.043388e-04 1.222817e+03 1.269644e+01
1.057158e-04 1.224744e+03 1.271645e+01
1.071111e-04 1.226647e+03 1.273620e+01
1.085247e-04 1.228525e+03 1.275570e+01
1.099571e-04 1.230379e+03 1.277495e+01
1.114083e-04 1.232208e+03 1.279395e+01
1.128786e-04 1.234015e+03 1.281270e+01
1.143684e-04 1.235797e+03 1.283121e+01
1.158779e-04 1.237557e+03 1.284948e+01
1.174072e-04 1.239293e+03 1.286751e+01
1.189568e-04 1.241007e+03 1.288530e+01
1.205268e-04 1.242698e+03 1.290286e+01
1.221175e-04 1.244367e+03 1.292019e+01
1.237292e-04 1.246014e+03 1.293729e+01
1.253622e-04 1.247639e+03 1.295417e+01
1.270167e-04 1.249243e+03 1.297082e+01
1.286931e-04 1.250826e+03 1.298725e+01
1.303916e-04 1.252387e+03 1.300346e+01
1.321125e-04 1.253928e+03 1.301946e+01
1.338561e-04 1.255448e+03 1.303524e+01
1.356228e-04 1.256947e+03 1.305081e+01
1.374127e-04 1.258427e+03 1.306617e+01
1.392263e-04 1.259886e+03 1.308132e+01
1.410638e-04 1.261326e+03 1.309627e+01
1.429256e-04 1.262746e+03 1.311102e+01
1.448120e-04 1.264147e+03 1.312556e+01
1.467232e-04 1.265529e+03 1.313991e+01
1.486597e-04 1.266892e+03 1.315406e+01
1.506217e-04 1.268236e+03 1.316802e+01
1.526096e-04 1.269562e+03 1.318178e+01
1.546237e-04 1.270869e+03 1.319536e+01
1.566645e-04 1.272159e+03 1.320874e+01
1.587321e-04 1.273430e+03 1.322194e+01
1.608271e-04 1.274684e+03 1.323496e+01
1.629497e-04 1.275920e+03 1.324779e+01
1.651003e-04 1.277138e+03 1.326045e+01
1.672793e-04 1.278340e+03 1.327292e+01
1.694871e-04 1.279524e+03 1.328522e+01
1.717240e-04 1.280692e+03 1.329734e+01
1.739904e-04 1.281843e+03 1.330930e+01
1.762867e-04 1.282978e+03 1.332108e+01
1.786134e-04 1.284096e+03 1.333269e+01
1.809707e-04 1.285199e+03 1.334413e+01
1.833592e-04 1.286285e+03 1.335541e+01
1.857792e-04 1.287355e+03 1.336653e+01
1.882311e-04 1.288410e+03 1.337748e+01
1.907154e-04 1.289450e+03 1.338827e+01
1.932325e-04 1.290474e+03 1.339890e+01
1.957828e-04 1.291483e+03 1.340938e+01
1.983667e-04 1.292477e+03 1.341970e+01
2.009848e-04 1.293456e+03 1.342986e+01
2.036374e-04 1.294420e+03 1.343987e+01
2.063250e-04 1.295370e+03 1.344974e+01
2.090481e-04 1.296305e+03 1.345945e+01
2.118071e-04 1.297227e+03 1.346901e+01
2.146026e-04 1.298134e+03 1.347843e+01
2.174349e-04 1.299027e+03 1.348770e+01
2.203046e-04 1.299906e+03 1.349683e+01
2.232122e-04 1.300772e+03 1.350582e+01
2.261582e-04 1.301624e+03 1.351467e+01
2.291430e-04 1.302462e+03 1.352337e+01
2.321673e-04 1.303287e+03 1.353194e+01
2.352314e-04 1.304100e+03 1.354037e+01
2.383360e-04 1.304899e+03 1.354867e+01
2.414816e-04 1.305685e+03 1.355683e+01
2.446687e-04 1.306458e+03 1.356486e+01
2.478978e-04 1.307219e+03 1.357275e+01
2.511696e-04 1.307967e+03 1.358052e+01
2.544846e-04 1.308702e+03 1.358816e+01
2.578433e-04 1.309426e+03 1.359567e+01
2.612463e-04 1.310137e+03 1.360305e+01
2.646942e-04 1.310836e+03 1.361031e+01
2.681877e-04 1.311523e+03 1.361744e+01
2.717272e-04 1.312198e+03 1.362445e+01
2.753135e-04 1.312861e+03 1.363133e+01
2.789471e-04 1.313513e+03 1.363810e+01
2.826287e-04 1.314153e+03 1.364474e+01
2.863588e-04 1.314782e+03 1.365127e+01
2.901382e-04 1.315399e+03 1.365768e+01
2.939675e-04 1.316005e+03 1.366397e+01
2.978473e-04 1.316599e+03 1.367014e+01
3.017783e-04 1.317183e+03 1.367620e+01
3.057612e-04 1.317756e+03 1.368215e+01
3.097966e-04 1.318318e+03 1.368798e+01
3.138853e-04 1.318868e+03 1.369370e+01
3.180280e-04 1.319409e+03 1.369931e+01
3.222254e-04 1.319938e+03 1.370480e+01
3.264781e-04 1.320457e+03 1.371019e+01
3.307870e-04 1.320966e+03 1.371547e+01
3.351527e-04 1.321464e+03 1.372064e+01
3.395761e-04 1.321952e+03 1.372570e+01
3.440579e-04 1.322429e+03 1.373066e+01
3.485988e-04 1.322897e+03 1.373551e+01
3.531996e-04 1.323354e+03 1.374026e+01
3.578611e-04 1.323801e+03 1.374490e+01
3.625842e-04 1.324239e+03 1.374944e+01
3.673696e-04 1.324666e+03 1.375388e+01
3.722182e-04 1.325084e+03 1.375822e+01
3.771307e-04 1.325492e+03 1.376245e+01
3.821081e-04 1.325890e+03 1.376658e+01
3.871512e-04 1.326279e+03 1.377062e+01
3.922609e-04 1.326658e+03 1.377455e+01
3.974379e-04 1.327027e+03 1.377839e+01
4.026833e-04 1.327387e+03 1.378212e+01
4.079980e-04 1.327738e+03 1.378576e+01
4.133828e-04 1.328080e+03 1.378931e+01
4.188386e-04 1.328412e+03 1.379275e+01
4.243665e-04 1.328735e+03 1.379611e+01
4.299673e-04 1.329049e+03 1.379936e+01
4.356420e-04 1.329353e+03 1.380252e+01
4.413917e-04 1.329649e+03 1.380559e+01
4.472172e-04 1.329936e+03 1.380857e+01
4.531196e-04 1.330213e+03 1.381145e+01
4.590999e-04 1.330482e+03 1.381423e+01
4.651591e-04 1.330742e+03 1.381693e+01
4.712983e-04 1.330993e+03 1.381953e+01
4.775185e-04 1.331235e+03 1.382205e+01
4.838208e-04 1.331469e+03 1.382447e+01
4.902063e-04 1.331693e+03 1.382680e+01
4.966761e-04 1.331910e+03 1.382904e+01
5.032313e-04 1.332117e+03 1.383119e+01
5.098729e-04 1.332316e+03 1.383325e+01
5.166023e-04 1.332506e+03 1.383522e+01
5.234204e-04 1.332688e+03 1.383711e+01
5.303286e-04 1.332861e+03 1.383890e+01
5.373279e-04 1.333025e+03 1.384061e+01
5.444195e-04 1.333182e+03 1.384223e+01
5.516048e-04 1.333329e+03 1.384376e+01
5.588849e-04 1.333469e+03 1.384520e+01
5.662611e-04 1.333600e+03 1.384656e+01
5.737347e-04 1.333722e+03 1.384782e+01
5.813069e-04 1.333836e+03 1.384901e+01
5.889790e-04 1.333942e+03 1.385010e+01
5.967524e-04 1.334040e+03 1.385111e+01
6.046283e-04 1.334129e+03 1.385203e+01
6.126083e-04 1.334210e+03 1.385287e+01
6.206935e-04 1.334282e+03 1.385362e+01
6.288855e-04 1.334347e+03 1.385428e+01
6.371855e-04 1.334403e+03 1.385486e+01
6.455951e-04 1.334451e+03 1.385535e+01
6.541157e-04 1.334490e+03 1.385576e+01
6.627488e-04 1.334522e+03 1.385608e+01
6.714958e-04 1.334545e+03 1.385632e+01
6.803582e-04 1.334560e+03 1.385647e+01
6.893376e-04 1.334567e+03 1.385653e+01
6.984356e-04 1.334565e+03 1.385651e+01
7.076536e-04 1.334555e+03 1.385640e+01
7.169932e-04 1.334538e+03 1.385621e+01
7.264561e-04 1.334511e+03 1.385594e+01
7.360439e-04 1.334477e+03 1.385557e+01
7.457583e-04 1.334434e+03 1.385513e+01
7.556009e-04 1.334384e+03 1.385459e+01
7.655733e-04 1.334325e+03 1.385397e+01
7.756774e-04 1.334257e+03 1.385327e+01
7.859148e-04 1.334182e+03 1.385247e+01
7.962874e-04 1.334098e+03 1.385160e+01
8.067968e-04 1.334006e+03 1.385063e+01
8.174450e-04 1.333905e+03 1.384958e+01
8.282337e-04 1.333796e+03 1.384845e+01
8.391648e-04 1.333679e+03 1.384722e+01
8.502401e-04 1.333554e+03 1.384591e+01
8.614616e-04 1.333420e+03 1.384452e+01
