      r[a_0]     n(bound)   n(unbound)
6.144212e-06 4.976179e-03 2.209166e-04
6.221530e-06 1.965811e-02 8.727187e-04
6.299821e-06 4.368392e-02 1.939340e-03
6.379098e-06 7.670216e-02 3.405179e-03
6.459372e-06 1.183716e-01 5.255086e-03
6.540656e-06 1.683609e-01 7.474351e-03
6.622963e-06 2.263483e-01 1.004869e-02
6.706305e-06 2.920215e-01 1.296425e-02
6.790697e-06 3.650774e-01 1.620755e-02
6.876150e-06 4.452218e-01 1.976554e-02
6.962679e-06 5.321689e-01 2.362555e-02
7.050296e-06 6.256416e-01 2.777525e-02
7.139016e-06 7.253709e-01 3.220272e-02
7.228853e-06 8.310959e-01 3.689636e-02
7.319820e-06 9.425633e-01 4.184494e-02
7.411932e-06 1.059527e+00 4.703754e-02
7.505203e-06 1.181750e+00 5.246359e-02
7.599647e-06 1.309000e+00 5.811282e-02
7.695281e-06 1.441053e+00 6.397529e-02
7.792117e-06 1.577691e+00 7.004134e-02
7.890172e-06 1.718705e+00 7.630161e-02
7.989461e-06 1.863889e+00 8.274703e-02
8.090000e-06 2.013045e+00 8.936881e-02
8.191804e-06 2.165982e+00 9.615841e-02
8.294888e-06 2.322513e+00 1.031076e-01
8.399270e-06 2.482458e+00 1.102083e-01
8.504966e-06 2.645641e+00 1.174528e-01
8.611991e-06 2.811895e+00 1.248336e-01
8.720364e-06 2.981053e+00 1.323434e-01
8.830100e-06 3.152959e+00 1.399751e-01
8.941217e-06 3.327457e+00 1.477219e-01
9.053732e-06 3.504398e+00 1.555772e-01
9.167663e-06 3.683639e+00 1.635345e-01
9.283028e-06 3.865040e+00 1.715878e-01
9.399845e-06 4.048465e+00 1.797309e-01
9.518131e-06 4.233783e+00 1.879581e-01
9.637906e-06 4.420869e+00 1.962637e-01
9.759189e-06 4.609599e+00 2.046424e-01
9.881997e-06 4.799855e+00 2.130887e-01
1.000635e-05 4.991522e+00 2.215978e-01
1.013227e-05 5.184490e+00 2.301645e-01
1.025977e-05 5.378651e+00 2.387843e-01
1.038888e-05 5.573902e+00 2.474524e-01
1.051961e-05 5.770143e+00 2.561645e-01
1.065199e-05 5.967276e+00 2.649162e-01
1.078603e-05 6.165210e+00 2.737034e-01
1.092177e-05 6.363853e+00 2.825222e-01
1.105920e-05 6.563118e+00 2.913685e-01
1.119837e-05 6.762921e+00 3.002387e-01
1.133929e-05 6.963181e+00 3.091292e-01
1.148198e-05 7.163820e+00 3.180366e-01
1.162647e-05 7.364762e+00 3.269574e-01
1.177278e-05 7.565935e+00 3.358884e-01
1.192092e-05 7.767267e+00 3.448265e-01
1.207094e-05 7.968692e+00 3.537687e-01
1.222284e-05 8.170144e+00 3.627122e-01
1.237665e-05 8.371560e+00 3.716540e-01
1.253239e-05 8.572880e+00 3.805915e-01
1.269010e-05 8.774045e+00 3.895222e-01
1.284979e-05 8.974999e+00 3.984436e-01
1.301149e-05 9.175689e+00 4.073532e-01
1.317522e-05 9.376063e+00 4.162487e-01
1.334102e-05 9.576070e+00 4.251280e-01
1.350890e-05 9.775662e+00 4.339889e-01
1.367890e-05 9.974795e+00 4.428293e-01
1.385103e-05 1.017342e+01 4.516474e-01
1.402533e-05 1.037150e+01 4.604411e-01
1.420182e-05 1.056900e+01 4.692088e-01
1.438054e-05 1.076586e+01 4.779486e-01
1.456150e-05 1.096206e+01 4.866590e-01
1.474474e-05 1.115757e+01 4.953383e-01
1.493029e-05 1.135234e+01 5.039850e-01
1.511817e-05 1.154634e+01 5.125977e-01
1.530841e-05 1.173954e+01 5.211749e-01
1.550105e-05 1.193191e+01 5.297153e-01
1.569612e-05 1.212343e+01 5.382178e-01
1.589364e-05 1.231407e+01 5.466809e-01
1.609364e-05 1.250379e+01 5.551037e-01
1.629616e-05 1.269258e+01 5.634849e-01
1.650123e-05 1.288041e+01 5.718237e-01
1.670888e-05 1.306726e+01 5.801188e-01
1.691914e-05 1.325311e+01 5.883695e-01
1.713205e-05 1.343793e+01 5.965748e-01
1.734764e-05 1.362172e+01 6.047339e-01
1.756594e-05 1.380444e+01 6.128459e-01
1.778699e-05 1.398609e+01 6.209101e-01
1.801082e-05 1.416665e+01 6.289259e-01
1.823746e-05 1.434609e+01 6.368924e-01
1.846696e-05 1.452442e+01 6.448091e-01
1.869935e-05 1.470161e+01 6.526754e-01
1.893466e-05 1.487765e+01 6.604907e-01
1.917293e-05 1.505253e+01 6.682545e-01
1.941420e-05 1.522624e+01 6.759663e-01
1.965850e-05 1.539877e+01 6.836256e-01
1.990588e-05 1.557010e+01 6.912321e-01
2.015638e-05 1.574024e+01 6.987853e-01
2.041002e-05 1.590917e+01 7.062849e-01
2.066686e-05 1.607688e+01 7.137306e-01
2.092693e-05 1.624338e+01 7.211220e-01
2.119027e-05 1.640864e+01 7.284588e-01
2.145693e-05 1.657267e+01 7.357409e-01
2.172694e-05 1.673546e+01 7.429680e-01
2.200035e-05 1.689701e+01 7.501400e-01
2.227720e-05 1.705731e+01 7.572565e-01
2.255753e-05 1.721636e+01 7.643176e-01
2.284140e-05 1.737416e+01 7.713230e-01
2.312883e-05 1.753070e+01 7.782727e-01
2.341988e-05 1.768599e+01 7.851665e-01
2.371459e-05 1.784002e+01 7.920045e-01
2.401301e-05 1.799278e+01 7.987865e-01
2.431519e-05 1.814429e+01 8.055126e-01
2.462117e-05 1.829453e+01 8.121827e-01
2.493100e-05 1.844352e+01 8.187969e-01
2.524473e-05 1.859124e+01 8.253552e-01
2.556241e-05 1.873771e+01 8.318575e-01
2.588408e-05 1.888292e+01 8.383041e-01
2.620980e-05 1.902688e+01 8.446949e-01
2.653963e-05 1.916958e+01 8.510300e-01
2.687360e-05 1.931102e+01 8.573096e-01
2.721177e-05 1.945122e+01 8.635338e-01
2.755420e-05 1.959018e+01 8.697026e-01
2.790094e-05 1.972789e+01 8.758163e-01
2.825204e-05 1.986436e+01 8.818749e-01
2.860756e-05 1.999960e+01 8.878787e-01
2.896756e-05 2.013360e+01 8.938278e-01
2.933208e-05 2.026638e+01 8.997223e-01
2.970119e-05 2.039793e+01 9.055626e-01
3.007495e-05 2.052826e+01 9.113488e-01
3.045341e-05 2.065738e+01 9.170811e-01
3.083663e-05 2.078530e+01 9.227597e-01
3.122468e-05 2.091200e+01 9.283849e-01
3.161761e-05 2.103751e+01 9.339569e-01
3.201548e-05 2.116183e+01 9.394759e-01
3.241836e-05 2.128496e+01 9.449422e-01
3.282631e-05 2.140691e+01 9.503561e-01
3.323939e-05 2.152768e+01 9.557178e-01
3.365767e-05 2.164729e+01 9.610276e-01
3.408121e-05 2.176573e+01 9.662857e-01
3.451009e-05 2.188301e+01 9.714925e-01
3.494436e-05 2.199914e+01 9.766483e-01
3.538410e-05 2.211413e+01 9.817533e-01
3.582937e-05 2.222799e+01 9.868078e-01
3.628024e-05 2.234071e+01 9.918121e-01
3.673678e-05 2.245231e+01 9.967666e-01
3.719908e-05 2.256280e+01 1.001672e+00
3.766719e-05 2.267217e+01 1.006527e+00
3.814119e-05 2.278045e+01 1.011334e+00
3.862115e-05 2.288763e+01 1.016092e+00
3.910715e-05 2.299372e+01 1.020802e+00
3.959927e-05 2.309873e+01 1.025464e+00
4.009759e-05 2.320267e+01 1.030079e+00
4.060217e-05 2.330554e+01 1.034646e+00
4.111310e-05 2.340736e+01 1.039166e+00
4.163047e-05 2.350813e+01 1.043639e+00
4.215434e-05 2.360785e+01 1.048067e+00
4.268481e-05 2.370654e+01 1.052448e+00
4.322195e-05 2.380421e+01 1.056784e+00
4.376585e-05 2.390085e+01 1.061074e+00
4.431659e-05 2.399648e+01 1.065320e+00
4.487427e-05 2.409111e+01 1.069521e+00
4.543896e-05 2.418475e+01 1.073678e+00
4.601076e-05 2.427739e+01 1.077791e+00
4.658975e-05 2.436906e+01 1.081860e+00
4.717603e-05 2.445975e+01 1.085886e+00
4.776969e-05 2.454948e+01 1.089870e+00
4.837082e-05 2.463825e+01 1.093811e+00
4.897951e-05 2.472607e+01 1.097710e+00
4.959586e-05 2.481295e+01 1.101567e+00
5.021997e-05 2.489890e+01 1.105382e+00
5.085194e-05 2.498392e+01 1.109157e+00
5.149185e-05 2.506802e+01 1.112891e+00
5.213982e-05 2.515122e+01 1.116584e+00
5.279594e-05 2.523351e+01 1.120238e+00
5.346032e-05 2.531491e+01 1.123851e+00
