      r[a_0]     n[bound]   n[unbound]
6.144212e-06 4.899486e-03 3.738188e-04
6.183945e-06 1.947222e-02 1.485683e-03
6.223935e-06 4.353175e-02 3.321366e-03
6.264184e-06 7.689440e-02 5.866855e-03
6.304693e-06 1.193793e-01 9.108345e-03
6.345463e-06 1.708081e-01 1.303224e-02
6.386498e-06 2.310054e-01 1.762515e-02
6.427798e-06 2.997983e-01 2.287388e-02
6.469365e-06 3.770165e-01 2.876543e-02
6.511200e-06 4.624922e-01 3.528702e-02
6.553306e-06 5.560603e-01 4.242604e-02
6.595685e-06 6.575582e-01 5.017008e-02
6.638337e-06 7.668255e-01 5.850691e-02
6.681266e-06 8.837045e-01 6.742449e-02
6.724472e-06 1.008040e+00 7.691097e-02
6.767957e-06 1.139678e+00 8.695466e-02
6.811724e-06 1.278469e+00 9.754408e-02
6.855773e-06 1.424264e+00 1.086679e-01
6.900108e-06 1.576918e+00 1.203150e-01
6.944729e-06 1.736285e+00 1.324743e-01
6.989639e-06 1.902224e+00 1.451351e-01
7.034839e-06 2.074597e+00 1.582867e-01
7.080331e-06 2.253265e+00 1.719186e-01
7.126118e-06 2.438093e+00 1.860205e-01
7.172201e-06 2.628948e+00 2.005823e-01
7.218581e-06 2.825698e+00 2.155939e-01
7.265262e-06 3.028216e+00 2.310455e-01
7.312245e-06 3.236373e+00 2.469273e-01
7.359531e-06 3.450045e+00 2.632300e-01
7.407123e-06 3.669107e+00 2.799439e-01
7.455023e-06 3.893440e+00 2.970600e-01
7.503233e-06 4.122923e+00 3.145690e-01
7.551754e-06 4.357440e+00 3.324620e-01
7.600589e-06 4.596874e+00 3.507302e-01
7.649740e-06 4.841111e+00 3.693649e-01
7.699209e-06 5.090039e+00 3.883575e-01
7.748998e-06 5.343549e+00 4.076997e-01
7.799109e-06 5.601531e+00 4.273831e-01
7.849543e-06 5.863878e+00 4.473996e-01
7.900304e-06 6.130486e+00 4.677411e-01
7.951393e-06 6.401250e+00 4.883997e-01
8.002813e-06 6.676070e+00 5.093678e-01
8.054565e-06 6.954844e+00 5.306376e-01
8.106652e-06 7.237473e+00 5.522015e-01
8.159075e-06 7.523862e+00 5.740523e-01
8.211838e-06 7.813914e+00 5.961825e-01
8.264942e-06 8.107535e+00 6.185851e-01
8.318389e-06 8.404633e+00 6.412529e-01
8.372182e-06 8.705116e+00 6.641791e-01
8.426322e-06 9.008895e+00 6.873567e-01
8.480813e-06 9.315882e+00 7.107791e-01
8.535656e-06 9.625991e+00 7.344396e-01
8.590854e-06 9.939135e+00 7.583317e-01
8.646409e-06 1.025523e+01 7.824491e-01
8.702323e-06 1.057420e+01 8.067854e-01
8.758599e-06 1.089595e+01 8.313344e-01
8.815238e-06 1.122041e+01 8.560901e-01
8.872244e-06 1.154750e+01 8.810464e-01
8.929618e-06 1.187715e+01 9.061975e-01
8.987364e-06 1.220927e+01 9.315375e-01
9.045483e-06 1.254379e+01 9.570607e-01
9.103978e-06 1.288064e+01 9.827616e-01
9.162851e-06 1.321975e+01 1.008635e+00
9.222104e-06 1.356104e+01 1.034674e+00
9.281741e-06 1.390445e+01 1.060875e+00
9.341764e-06 1.424990e+01 1.087232e+00
9.402175e-06 1.459733e+01 1.113740e+00
9.462976e-06 1.494667e+01 1.140394e+00
9.524170e-06 1.529786e+01 1.167189e+00
9.585761e-06 1.565083e+01 1.194120e+00
9.647749e-06 1.600552e+01 1.221182e+00
9.710139e-06 1.636186e+01 1.248370e+00
9.772932e-06 1.671980e+01 1.275680e+00
9.836131e-06 1.707928e+01 1.303108e+00
9.899738e-06 1.744024e+01 1.330647e+00
9.963757e-06 1.780261e+01 1.358296e+00
1.002819e-05 1.816635e+01 1.386048e+00
1.009304e-05 1.853139e+01 1.413899e+00
1.015831e-05 1.889768e+01 1.441847e+00
1.022400e-05 1.926517e+01 1.469885e+00
1.029012e-05 1.963380e+01 1.498011e+00
1.035666e-05 2.000352e+01 1.526220e+00
1.042363e-05 2.037428e+01 1.554508e+00
1.049104e-05 2.074603e+01 1.582872e+00
1.055888e-05 2.111873e+01 1.611307e+00
1.062716e-05 2.149231e+01 1.639811e+00
1.069589e-05 2.186673e+01 1.668378e+00
1.076505e-05 2.224196e+01 1.697007e+00
1.083467e-05 2.261793e+01 1.725693e+00
1.090473e-05 2.299461e+01 1.754432e+00
1.097525e-05 2.337194e+01 1.783222e+00
1.104623e-05 2.374990e+01 1.812059e+00
1.111766e-05 2.412843e+01 1.840940e+00
1.118955e-05 2.450748e+01 1.869861e+00
1.126191e-05 2.488703e+01 1.898820e+00
1.133474e-05 2.526703e+01 1.927813e+00
1.140804e-05 2.564744e+01 1.956837e+00
1.148181e-05 2.602822e+01 1.985890e+00
1.155606e-05 2.640933e+01 2.014967e+00
1.163079e-05 2.679074e+01 2.044068e+00
1.170601e-05 2.717240e+01 2.073188e+00
1.178171e-05 2.755428e+01 2.102324e+00
1.185790e-05 2.793635e+01 2.131475e+00
1.193458e-05 2.831857e+01 2.160638e+00
1.201176e-05 2.870091e+01 2.189809e+00
1.208943e-05 2.908332e+01 2.218986e+00
1.216761e-05 2.946579e+01 2.248168e+00
1.224630e-05 2.984827e+01 2.277350e+00
1.232549e-05 3.023074e+01 2.306531e+00
1.240520e-05 3.061316e+01 2.335709e+00
1.248542e-05 3.099550e+01 2.364881e+00
1.256616e-05 3.137774e+01 2.394045e+00
1.264742e-05 3.175984e+01 2.423198e+00
1.272921e-05 3.214178e+01 2.452339e+00
1.281152e-05 3.252352e+01 2.481465e+00
1.289437e-05 3.290504e+01 2.510574e+00
1.297776e-05 3.328631e+01 2.539664e+00
1.306168e-05 3.366731e+01 2.568733e+00
1.314615e-05 3.404800e+01 2.597779e+00
1.323116e-05 3.442837e+01 2.626801e+00
1.331672e-05 3.480839e+01 2.655795e+00
1.340284e-05 3.518803e+01 2.684761e+00
1.348951e-05 3.556727e+01 2.713696e+00
1.357674e-05 3.594609e+01 2.742598e+00
1.366454e-05 3.632446e+01 2.771467e+00
1.375290e-05 3.670235e+01 2.800300e+00
1.384184e-05 3.707976e+01 2.829095e+00
1.393135e-05 3.745666e+01 2.857851e+00
1.402144e-05 3.783302e+01 2.886567e+00
1.411212e-05 3.820882e+01 2.915240e+00
1.420337e-05 3.858405e+01 2.943869e+00
1.429522e-05 3.895868e+01 2.972452e+00
1.438767e-05 3.933270e+01 3.000989e+00
1.448071e-05 3.970608e+01 3.029477e+00
1.457435e-05 4.007881e+01 3.057915e+00
1.466860e-05 4.045087e+01 3.086303e+00
1.476346e-05 4.082224e+01 3.114637e+00
1.485893e-05 4.119291e+01 3.142918e+00
1.495502e-05 4.156285e+01 3.171144e+00
1.505173e-05 4.193205e+01 3.199313e+00
1.514906e-05 4.230050e+01 3.227425e+00
1.524703e-05 4.266817e+01 3.255477e+00
1.534563e-05 4.303506e+01 3.283470e+00
1.544486e-05 4.340114e+01 3.311401e+00
1.554474e-05 4.376641e+01 3.339270e+00
1.564527e-05 4.413085e+01 3.367076e+00
1.574644e-05 4.449444e+01 3.394817e+00
1.584827e-05 4.485717e+01 3.422492e+00
1.595075e-05 4.521903e+01 3.450101e+00
1.605390e-05 4.558000e+01 3.477642e+00
1.615772e-05 4.594007e+01 3.505115e+00
1.626221e-05 4.629923e+01 3.532518e+00
1.636737e-05 4.665747e+01 3.559851e+00
1.647321e-05 4.701477e+01 3.587112e+00
1.657974e-05 4.737113e+01 3.614301e+00
1.668696e-05 4.772653e+01 3.641417e+00
1.679487e-05 4.808095e+01 3.668459e+00
1.690348e-05 4.843440e+01 3.695427e+00
1.701279e-05 4.878686e+01 3.722318e+00
1.712280e-05 4.913832e+01 3.749134e+00
1.723353e-05 4.948877e+01 3.775873e+00
1.734498e-05 4.983821e+01 3.802533e+00
1.745714e-05 5.018661e+01 3.829115e+00
1.757003e-05 5.053397e+01 3.855619e+00
1.768365e-05 5.088029e+01 3.882042e+00
1.779801e-05 5.122556e+01 3.908385e+00
1.791310e-05 5.156976e+01 3.934646e+00
1.802894e-05 5.191289e+01 3.960826e+00
1.814553e-05 5.225494e+01 3.986924e+00
1.826288e-05 5.259590e+01 4.012939e+00
