,Case ID,Priority Level,Temperature [eV],Mass Density [g/cc],Number Density [N/cc],Element 1,Atomic Number 1,Atomic Weight 1 [a.u.],Mass 1 [g],Zbar 1 (TF),Element 2,Atomic Number 2,Atomic Weight 2 [a.u.],Mass 2 [g],Zbar 2 (TF),Wigner-Seitz Radius [cm],Plasma Frequency [rad/s],Coupling Constant,e Thomas-Fermi Wavelength [cm],Screening Parameter (kappa),Cutoff radius [cm],Relative Cutoff [a_ws],Half Box Side Relative Length [a_ws],Timestep [s],Langevin gamma [1/s],Equilibration Steps,eq_dump_step,Production Steps,prod_dump_step
0,CH1,1,2.0,1.0,4.63e+22,C,6.0,12.0011,2.0073302924112e-23,0.8438527618887307,H,1.0,1.0078,1.685668370976e-24,0.556880186479285,1.3711978849003512e-08,171628959629057.44,2.6357163945534277,6.1524633779321695e-09,2.2286973536788577,7.895193316552495e-08,5.7578803201889865,17.364656928926813,7.321824149909743e-17,21852477842147.074,25000.0,100.0,500000.0,5.0
1,HCu1,1,1.0,1.8,1.68e+22,H,1.0,1.0078,1.685668370976e-24,0.40970693987287754,Cu,29.0,63.546,1.0628843252832e-22,1.0010889715987994,1.9224602601048767e-08,72865619735450.77,4.093343422795618,7.25694437471136e-09,2.649131867131531,9.375231918491444e-08,4.87668437837045,17.364656928926813,1.7245953112020742e-16,9277538849881.084,25000.0,100.0,500000.0,5.0
2,CH2,2,7.8,0.9,4.16e+22,C,6.0,12.0011,2.0073302924112e-23,1.8042809006013385,H,1.0,1.0078,1.685668370976e-24,0.6621883427766727,1.4210063592302808e-08,225682051949062.03,2.2131862814049987,7.304431186403602e-09,1.9454031709893145,9.323813223379981e-08,6.561415550899032,17.364656928926813,5.568174564982902e-17,28734731307852.113,25000.0,100.0,500000.0,5.0
3,CH1i1,3,0.01,1.0,4.63e+22,C,6.0,12.0011,2.0073302924112e-23,0.09582411998878482,H,1.0,1.0078,1.685668370976e-24,0.030270032672992307,1.3711978849003512e-08,11591629185643.709,4.807836244704919,8.637912451199801e-09,1.5874181321551744,1.0938118084632509e-07,7.977052914887929,17.364656928926813,1.0840901147806458e-15,1475892066706.7822,24999.0,100.0,499999.0,5.0
4,CH1i2,3,0.1,1.0,4.63e+22,C,6.0,12.0011,2.0073302924112e-23,0.18540945988939128,H,1.0,1.0078,1.685668370976e-24,0.11516682491696913,1.3711978849003512e-08,35861579084553.01,2.4440383705953135,7.480392572262048e-09,1.8330560484016218,9.526172425899233e-08,6.947335997817358,17.364656928926813,3.5041319805607784e-16,4566038062710.031,25000.0,100.0,500000.0,5.0
5,CH1i3,3,1.0,1.0,4.63e+22,C,6.0,12.0011,2.0073302924112e-23,0.6953295993657758,H,1.0,1.0078,1.685668370976e-24,0.3285312844604713,1.3711978849003512e-08,108755902173392.62,2.9493587472587945,6.2283098518732174e-09,2.201556951261748,7.988708251354334e-08,5.8260797652374565,17.364656928926813,1.1554656219323389e-16,13847231537051.234,25000.0,100.0,500000.0,5.0
6,CH1i4,3,10.0,1.0,4.63e+22,C,6.0,12.0011,2.0073302924112e-23,1.9644732894931975,H,1.0,1.0078,1.685668370976e-24,0.7105271509918383,1.3711978849003512e-08,256919917195211.62,2.109944132958271,7.39419862769984e-09,1.8544239260271242,9.420690448096793e-08,6.8704091158814915,17.364656928926813,4.891162488119228e-17,32712059840302.695,25000.0,100.0,500000.0,5.0
7,CH1i5,3,100.0,1.0,4.63e+22,C,6.0,12.0011,2.0073302924112e-23,4.61967527466064,H,1.0,1.0078,1.685668370976e-24,0.9686202214568304,1.3711978849003512e-08,466285831802363.75,1.0177985755362082,1.4724845794081726e-08,0.9312137485687415,1.8253258665298545e-07,13.311906958363679,17.364656928926813,2.6949930187210698e-17,59369356020049.83,25000.0,100.0,500000.0,5.0
8,CH1i6,3,1000.0,1.0,4.63e+22,C,6.0,12.0011,2.0073302924112e-23,5.881618419838282,H,1.0,1.0078,1.685668370976e-24,0.9970816697496441,1.3711978849003512e-08,557220341086620.4,0.15978179838048248,4.166808266001691e-08,0.3290763090993145,4.948556161850782e-07,36.08929255466587,17.364656928926813,2.2551887804120418e-17,70947497340230.06,24999.0,100.0,499999.0,5.0
9,HCu1i1,3,0.01,1.8,1.68e+22,H,1.0,1.0078,1.685668370976e-24,0.028789321022530824,Cu,29.0,63.546,1.0628843252832e-22,0.1282507830550303,1.9224602601048767e-08,5611189448051.964,5.664365782047358,9.861104765946857e-09,1.94953841961366,1.2588351378757219e-07,6.5480424433171285,17.364656928926813,2.2395199325736253e-15,714438829826.0432,25000.0,100.0,500000.0,5.0
