T[eV]   Zbar
1.000000000000000021e-02 2.451693034181783748e+00
1.149756995397735633e-02 2.451767301249835107e+00
1.321941148466028795e-02 2.451852193502548793e+00
1.519911082952933937e-02 2.451949235715532804e+00
1.747528400007683849e-02 2.452060172840893948e+00
2.009233002565046985e-02 2.452187002195612919e+00
2.310129700083160542e-02 2.452332010468791790e+00
2.656087782946686682e-02 2.452497816300969191e+00
3.053855508833415444e-02 2.452687419315001449e+00
3.511191734215130672e-02 2.452904256627781887e+00
4.037017258596553582e-02 2.453152268050009965e+00
4.641588833612779463e-02 2.453435971393372661e+00
5.336699231206309957e-02 2.453760549558164250e+00
6.135907273413172824e-02 2.454131951378546894e+00
7.054802310718645553e-02 2.454557008568443610e+00
8.111308307896872294e-02 2.455043571552306680e+00
9.326033468832199691e-02 2.455600667498612832e+00
1.072267222010323123e-01 2.456238684520955839e+00
1.232846739442065853e-01 2.456969586797995930e+00
1.417474162926805614e-01 2.457807166321259285e+00
1.629750834620644351e-01 2.458767338148327930e+00
1.873817422860384052e-01 2.459868487466507769e+00
2.154434690031884481e-01 2.461131878517788252e+00
2.477076355991711387e-01 2.462582137571234675e+00
2.848035868435802032e-01 2.464247824740073423e+00
3.274549162877728459e-01 2.466162112630031267e+00
3.764935806792467643e-01 2.468363593692714186e+00
4.328761281083059465e-01 2.470897242880272238e+00
4.977023564332111460e-01 2.473815567907279522e+00
5.722367659350217073e-01 2.477179986283174706e+00
6.579332246575682053e-01 2.481062476439412023e+00
7.564633275546290836e-01 2.485547559866579714e+00
8.697490026177834288e-01 2.490734682256152244e+00
1.000000000000000000e+00 2.496741074133493221e+00
1.149756995397735571e+00 2.503705185063629823e+00
1.321941148466028615e+00 2.511790799515490669e+00
1.519911082952933201e+00 2.521191955589240141e+00
1.747528400007684724e+00 2.532138797847867995e+00
2.009233002565047776e+00 2.544904498949040583e+00
2.310129700083160209e+00 2.559813376347432889e+00
2.656087782946686904e+00 2.577250302376068891e+00
3.053855508833415389e+00 2.597671447987210946e+00
3.511191734215131088e+00 2.621616298670753409e+00
4.037017258596553582e+00 2.649720719139407876e+00
4.641588833612781961e+00 2.682730603708007866e+00
5.336699231206313065e+00 2.721515316941290674e+00
6.135907273413176100e+00 2.767079698646261132e+00
7.054802310718645053e+00 2.820572893642342205e+00
8.111308307896871739e+00 2.883291720558625038e+00
9.326033468832198636e+00 2.956675818990705196e+00
1.072267222010323096e+01 3.042291582516005288e+00
1.232846739442065953e+01 3.141802137525937511e+00
1.417474162926804837e+01 3.256921646067893583e+00
1.629750834620645250e+01 3.389354235676472538e+00
1.873817422860384951e+01 3.540720942425144457e+00
2.154434690031884614e+01 3.712481857008809172e+00
2.477076355991711409e+01 3.905864281984388064e+00
2.848035868435801987e+01 4.121809669794325615e+00
3.274549162877728037e+01 4.360950735806171430e+00
3.764935806792467332e+01 4.623624289793703213e+00
4.328761281083061618e+01 4.909915260773781043e+00
4.977023564332113637e+01 5.219715135274923590e+00
5.722367659350220492e+01 5.552766846015757096e+00
6.579332246575683030e+01 5.908661332366057728e+00
7.564633275546290747e+01 6.286751143101096062e+00
8.697490026177834466e+01 6.685956158126439952e+00
1.000000000000000000e+02 7.104459794199082801e+00
1.149756995397735579e+02 7.539335423440943096e+00
1.321941148466028721e+02 7.986200009286406498e+00
1.519911082952933157e+02 8.439044561690739243e+00
1.747528400007682876e+02 8.890396761892986888e+00
2.009233002565045751e+02 9.331890468932346749e+00
2.310129700083157900e+02 9.755159814496295212e+00
2.656087782946689231e+02 1.015282294687122366e+01
3.053855508833418639e+02 1.051927255497970748e+01
3.511191734215134375e+02 1.085107933348981391e+01
4.037017258596557667e+02 1.114697643469502530e+01
4.641588833612781855e+02 1.140752910959948352e+01
5.336699231206312106e+02 1.163464872705619335e+01
6.135907273413175744e+02 1.183109180837876906e+01
7.054802310718645231e+02 1.200003176944946759e+01
8.111308307896872520e+02 1.214473849668498850e+01
9.326033468832199560e+02 1.226836500629650750e+01
1.072267222010323167e+03 1.237382262506365826e+01
1.232846739442065882e+03 1.246372116872985991e+01
1.417474162926804865e+03 1.254035255220299483e+01
1.629750834620643445e+03 1.260570087010494333e+01
1.873817422860382976e+03 1.266146685264312488e+01
2.154434690031886475e+03 1.270909870109352724e+01
2.477076355991714081e+03 1.274982437605495988e+01
2.848035868435804787e+03 1.278468253757461248e+01
3.274549162877731760e+03 1.281455072282528995e+01
3.764935806792471340e+03 1.284017020279048893e+01
4.328761281083061476e+03 1.286216745645361570e+01
4.977023564332113892e+03 1.288107246692324104e+01
5.722367659350220492e+03 1.289733416739895056e+01
6.579332246575682802e+03 1.291133340463045798e+01
7.564633275546290861e+03 1.292339378100666281e+01
8.697490026177834807e+03 1.293379070668462916e+01
1.000000000000000000e+04 1.294275895388214970e+01
