T[eV]   Zbar
2.000000000000000042e-02 2.970995208029570733e+00
1.012080808080808048e+01 3.034951901770461369e+00
2.022161616161616138e+01 3.130938958949324835e+00
3.032242424242424406e+01 3.237588390771652946e+00
4.042323232323232673e+01 3.352206979539617659e+00
5.052404040404040586e+01 3.473080333393816943e+00
6.062484848484849209e+01 3.597433197451925135e+00
7.072565656565656411e+01 3.722086327000867279e+00
8.082646464646464324e+01 3.844189948497833242e+00
9.092727272727272236e+01 3.961589143024886628e+00
1.010280808080808015e+02 4.072880799550184783e+00
1.111288888888888806e+02 4.177307577489788315e+00
1.212296969696969740e+02 4.274599183714658857e+00
1.313305050505050531e+02 4.364820007245237221e+00
1.414313131313131464e+02 4.448245900954215237e+00
1.515321212121212113e+02 4.525273622080828062e+00
1.616329292929293047e+02 4.596358445769345380e+00
1.717337373737373980e+02 4.661973375002629538e+00
1.818345454545454629e+02 4.722583814893379639e+00
1.919353535353535563e+02 4.778632826272264822e+00
2.020361616161616212e+02 4.830533366251214211e+00
2.121369696969697145e+02 4.878664997954342830e+00
2.222377777777777794e+02 4.923373360829197409e+00
2.323385858585858728e+02 4.964971270023568195e+00
2.424393939393939661e+02 5.003740711151676734e+00
2.525402020202020310e+02 5.039935264838085516e+00
2.626410101010100675e+02 5.073782672996796528e+00
2.727418181818181893e+02 5.105487374754678953e+00
2.828426262626262542e+02 5.135232914599588305e+00
2.929434343434343191e+02 5.163184172675980399e+00
3.030442424242423840e+02 5.189489396576332680e+00
3.131450505050505058e+02 5.214282031762300207e+00
3.232458585858585707e+02 5.237682358047679898e+00
3.333466666666666356e+02 5.259798945114900093e+00
3.434474747474747574e+02 5.280729942600705051e+00
3.535482828282828223e+02 5.300564221032573187e+00
3.636490909090908872e+02 5.319382379571035990e+00
3.737498989898989521e+02 5.337257635590366256e+00
3.838507070707070739e+02 5.354256609910723164e+00
3.939515151515151388e+02 5.370440020163519179e+00
4.040523232323232037e+02 5.385863293439403954e+00
4.141531313131313254e+02 5.400577108097863288e+00
4.242539393939393904e+02 5.414627873442245054e+00
4.343547474747474553e+02 5.428058154898257825e+00
4.444555555555555202e+02 5.440907051380673209e+00
4.545563636363636419e+02 5.453210530688351376e+00
4.646571717171717069e+02 5.465001728024518890e+00
4.747579797979797718e+02 5.476311212088469382e+00
4.848587878787878935e+02 5.487167222616932349e+00
4.949595959595959584e+02 5.497595882758989916e+00
5.050604040404040234e+02 5.507621389238561704e+00
5.151612121212120883e+02 5.517266182885268933e+00
5.252620202020201532e+02 5.526551101790402321e+00
5.353628282828282181e+02 5.535495519063442060e+00
5.454636363636363967e+02 5.544117466920290838e+00
5.555644444444444616e+02 5.552433748622131127e+00
5.656652525252525265e+02 5.560460039599390392e+00
5.757660606060605915e+02 5.568210978934677868e+00
5.858668686868686564e+02 5.575700252238734222e+00
5.959676767676767213e+02 5.582940666831579080e+00
6.060684848484847862e+02 5.589944220034497313e+00
6.161692929292929648e+02 5.596722161285571318e+00
6.262701010101010297e+02 5.603285048710038296e+00
6.363709090909090946e+02 5.609642800705421983e+00
6.464717171717171595e+02 5.615804743038799174e+00
6.565725252525252245e+02 5.621779651898633823e+00
6.666733333333332894e+02 5.627575793295195083e+00
6.767741414141413543e+02 5.633200959161021260e+00
6.868749494949495329e+02 5.638662500465278171e+00
6.969757575757575978e+02 5.643967357622710068e+00
7.070765656565656627e+02 5.649122088448490508e+00
7.171773737373737276e+02 5.654132893884328936e+00
7.272781818181817926e+02 5.659005641698088951e+00
7.373789898989898575e+02 5.663745888338760359e+00
7.474797979797979224e+02 5.668358899110386595e+00
7.575806060606061010e+02 5.672849666812384228e+00
7.676814141414141659e+02 5.677222928979228200e+00
7.777822222222222308e+02 5.681483183839615592e+00
7.878830303030302957e+02 5.685634705103693065e+00
7.979838383838383606e+02 5.689681555676643576e+00
8.080846464646464256e+02 5.693627600387699772e+00
8.181854545454544905e+02 5.697476517815385222e+00
8.282862626262626691e+02 5.701231811282354123e+00
8.383870707070707340e+02 5.704896819086535231e+00
8.484878787878787989e+02 5.708474724029287017e+00
8.585886868686868638e+02 5.711968562295823837e+00
8.686894949494949287e+02 5.715381231738367873e+00
8.787903030303029936e+02 5.718715499608006958e+00
8.888911111111110586e+02 5.721974009777309078e+00
8.989919191919192372e+02 5.725159289492131265e+00
9.090927272727273021e+02 5.728273755687794733e+00
9.191935353535353670e+02 5.731319720901857373e+00
9.292943434343434319e+02 5.734299398813046622e+00
9.393951515151514968e+02 5.737214909433445698e+00
9.494959595959595617e+02 5.740068283978855490e+00
9.595967676767676267e+02 5.742861469440232902e+00
9.696975757575758053e+02 5.745596332877246581e+00
9.797983838383838702e+02 5.748274665453367405e+00
9.898991919191919351e+02 5.750898186230354980e+00
1.000000000000000000e+03 5.753468545738620321e+00
