T[eV]   Zbar
1.000000000000000056e-01 6.896570652688605030e-01
2.030101010101010317e+01 7.750451288859536714e-01
4.050202020202020492e+01 8.524335863070036101e-01
6.070303030303031022e+01 8.938244280653852014e-01
8.090404040404040131e+01 9.178981645785786458e-01
1.011050505050504995e+02 9.333497585389678441e-01
1.213060606060606119e+02 9.440273939420474880e-01
1.415070707070707101e+02 9.518184870542817366e-01
1.617080808080808083e+02 9.577416308957368285e-01
1.819090909090909065e+02 9.623905194048520961e-01
2.021101010101010047e+02 9.661330676398043327e-01
2.223111111111111029e+02 9.692088214047634986e-01
2.425121212121212295e+02 9.717801855060853589e-01
2.627131313131313277e+02 9.739610329928057864e-01
2.829141414141414543e+02 9.758335062151426431e-01
3.031151515151515241e+02 9.774583120692942328e-01
3.233161616161616507e+02 9.788812643167499328e-01
3.435171717171717773e+02 9.801375737344826256e-01
3.637181818181818471e+02 9.812547395373550918e-01
3.839191919191919737e+02 9.822545456140050479e-01
4.041202020202020435e+02 9.831544684498745301e-01
4.243212121212121701e+02 9.839686891955361503e-01
4.445222222222222399e+02 9.847088337063266694e-01
4.647232323232323665e+02 9.853845220686957562e-01
4.849242424242424931e+02 9.860037823956381287e-01
5.051252525252525629e+02 9.865733664034264105e-01
5.253262626262626327e+02 9.870989928976185990e-01
5.455272727272728162e+02 9.875855376526858631e-01
5.657282828282828859e+02 9.880371829503243886e-01
5.859292929292929557e+02 9.884575364220870020e-01
6.061303030303030255e+02 9.888497262958965139e-01
6.263313131313132089e+02 9.892164783312052956e-01
6.465323232323232787e+02 9.895601784180481086e-01
6.667333333333333485e+02 9.898829238595091562e-01
6.869343434343435320e+02 9.901865656521540160e-01
7.071353535353536017e+02 9.904727435537719060e-01
7.273363636363636715e+02 9.907429153328545235e-01
7.475373737373737413e+02 9.909983812946707715e-01
7.677383838383839247e+02 9.912403049496834040e-01
7.879393939393939945e+02 9.914697305134695382e-01
8.081404040404040643e+02 9.916875977902148698e-01
8.283414141414142478e+02 9.918947548846582807e-01
8.485424242424243175e+02 9.920919691030399834e-01
8.687434343434343873e+02 9.922799363368108860e-01
8.889444444444444571e+02 9.924592891696858432e-01
9.091454545454546405e+02 9.926306039060130981e-01
9.293464646464647103e+02 9.927944066841362103e-01
9.495474747474747801e+02 9.929511788106591963e-01
9.697484848484849635e+02 9.931013614289515568e-01
9.899494949494950333e+02 9.932453596167786225e-01
1.010150505050505103e+03 9.933835459928113121e-01
1.030351515151515059e+03 9.935162638992890427e-01
1.050552525252525129e+03 9.936438302177869053e-01
1.070753535353535199e+03 9.937665378664657378e-01
1.090954545454545496e+03 9.938846580200284553e-01
1.111155555555555566e+03 9.939984420876265547e-01
1.131356565656565635e+03 9.941081234789328480e-01
1.151557575757575705e+03 9.942139191843665236e-01
1.171758585858585775e+03 9.943160311918758376e-01
1.191959595959595845e+03 9.944146477596514933e-01
1.212160606060605915e+03 9.945099445615670497e-01
1.232361616161616212e+03 9.946020857199382448e-01
1.252562626262626281e+03 9.946912247383178363e-01
1.272763636363636351e+03 9.947775053454247507e-01
1.292964646464646421e+03 9.948610622599247666e-01
1.313165656565656491e+03 9.949420218845848041e-01
1.333366666666666561e+03 9.950205029372842791e-01
1.353567676767676630e+03 9.950966170254852416e-01
1.373768686868686927e+03 9.951704691699786443e-01
1.393969696969696997e+03 9.952421582830498492e-01
1.414170707070707067e+03 9.953117776056280563e-01
1.434371717171717137e+03 9.953794151074568664e-01
1.454572727272727207e+03 9.954451538538867661e-01
1.474773737373737276e+03 9.955090723424885324e-01
1.494974747474747346e+03 9.955712448123443803e-01
1.515175757575757643e+03 9.956317415285667050e-01
1.535376767676767713e+03 9.956906290443294782e-01
1.555577777777777783e+03 9.957479704424532230e-01
1.575778787878787853e+03 9.958038255583844256e-01
1.595979797979797922e+03 9.958582511862162923e-01
1.616180808080807992e+03 9.959113012692349942e-01
1.636381818181818062e+03 9.959630270763322191e-01
1.656582828282828359e+03 9.960134773654892859e-01
1.676783838383838429e+03 9.960626985354249507e-01
1.696984848484848499e+03 9.961107347663935574e-01
1.717185858585858568e+03 9.961576281510290398e-01
1.737386868686868638e+03 9.962034188160437953e-01
1.757587878787878708e+03 9.962481450355215040e-01
1.777788888888888778e+03 9.962918433364705839e-01
1.797989898989899075e+03 9.963345485972492366e-01
1.818190909090909145e+03 9.963762941394170847e-01
1.838391919191919214e+03 9.964171118135191074e-01
1.858592929292929284e+03 9.964570320792639491e-01
1.878793939393939354e+03 9.964960840805202613e-01
1.898994949494949424e+03 9.965342957155155501e-01
1.919195959595959494e+03 9.965716937025930200e-01
1.939396969696969791e+03 9.966083036418506014e-01
1.959597979797979860e+03 9.966441500729578129e-01
1.979798989898989930e+03 9.966792565294281259e-01
2.000000000000000000e+03 9.967136455895916347e-01
