      r[a_0]     n(bound)   n(unbound)
6.144212e-06 1.359589e+00 1.508701e-06
6.224921e-06 5.368074e+00 5.956814e-06
6.306691e-06 1.192241e+01 1.322999e-05
6.389534e-06 2.092266e+01 2.321734e-05
6.473465e-06 3.227190e+01 3.581130e-05
6.558499e-06 4.587616e+01 5.090760e-05
6.644650e-06 6.164430e+01 6.840510e-05
6.731933e-06 7.948797e+01 8.820576e-05
6.820362e-06 9.932152e+01 1.102145e-04
6.909953e-06 1.210619e+02 1.343393e-04
7.000721e-06 1.446287e+02 1.604907e-04
7.092680e-06 1.699438e+02 1.885823e-04
7.185848e-06 1.969317e+02 2.185301e-04
7.280240e-06 2.255192e+02 2.502528e-04
7.375872e-06 2.556352e+02 2.836718e-04
7.472760e-06 2.872110e+02 3.187106e-04
7.570920e-06 3.201800e+02 3.552955e-04
7.670370e-06 3.544776e+02 3.933547e-04
7.771126e-06 3.900415e+02 4.328191e-04
7.873206e-06 4.268111e+02 4.736213e-04
7.976627e-06 4.647278e+02 5.156965e-04
8.081406e-06 5.037349e+02 5.589817e-04
8.187561e-06 5.437775e+02 6.034159e-04
8.295111e-06 5.848024e+02 6.489402e-04
8.404074e-06 6.267582e+02 6.954975e-04
8.514468e-06 6.695952e+02 7.430326e-04
8.626312e-06 7.132652e+02 7.914920e-04
8.739626e-06 7.577215e+02 8.408241e-04
8.854428e-06 8.029192e+02 8.909788e-04
8.970737e-06 8.488146e+02 9.419078e-04
9.088575e-06 8.953657e+02 9.935644e-04
9.207960e-06 9.425317e+02 1.045903e-03
9.328914e-06 9.902731e+02 1.098881e-03
9.451457e-06 1.038552e+03 1.152455e-03
9.575609e-06 1.087332e+03 1.206584e-03
9.701392e-06 1.136576e+03 1.261230e-03
9.828827e-06 1.186252e+03 1.316353e-03
9.957937e-06 1.236325e+03 1.371918e-03
1.008874e-05 1.286764e+03 1.427889e-03
1.022127e-05 1.337537e+03 1.484231e-03
1.035553e-05 1.388615e+03 1.540911e-03
1.049156e-05 1.439970e+03 1.597898e-03
1.062937e-05 1.491573e+03 1.655160e-03
1.076900e-05 1.543397e+03 1.712668e-03
1.091046e-05 1.595417e+03 1.770393e-03
1.105377e-05 1.647607e+03 1.828308e-03
1.119897e-05 1.699945e+03 1.886385e-03
1.134608e-05 1.752406e+03 1.944600e-03
1.149512e-05 1.804968e+03 2.002927e-03
1.164612e-05 1.857610e+03 2.061342e-03
1.179910e-05 1.910311e+03 2.119823e-03
1.195409e-05 1.963052e+03 2.178348e-03
1.211112e-05 2.015812e+03 2.236895e-03
