      r[a_0]     n(bound)   n(unbound)
6.144212e-06 1.359589e+00 5.707650e-13
6.224921e-06 5.368074e+00 2.253555e-12
6.306691e-06 1.192241e+01 5.005110e-12
6.389534e-06 2.092266e+01 8.783478e-12
6.473465e-06 3.227190e+01 1.354797e-11
6.558499e-06 4.587616e+01 1.925913e-11
6.644650e-06 6.164430e+01 2.587871e-11
6.731933e-06 7.948797e+01 3.336960e-11
6.820362e-06 9.932152e+01 4.169587e-11
6.909953e-06 1.210619e+02 5.082264e-11
7.000721e-06 1.446287e+02 6.071613e-11
7.092680e-06 1.699438e+02 7.134360e-11
7.185848e-06 1.969317e+02 8.267331e-11
7.280240e-06 2.255192e+02 9.467451e-11
7.375872e-06 2.556352e+02 1.073174e-10
7.472760e-06 2.872110e+02 1.205732e-10
7.570920e-06 3.201800e+02 1.344138e-10
7.670370e-06 3.544776e+02 1.488122e-10
7.771126e-06 3.900415e+02 1.637421e-10
7.873206e-06 4.268111e+02 1.791783e-10
7.976627e-06 4.647278e+02 1.950960e-10
8.081406e-06 5.037349e+02 2.114714e-10
8.187561e-06 5.437775e+02 2.282816e-10
8.295111e-06 5.848024e+02 2.455041e-10
8.404074e-06 6.267582e+02 2.631175e-10
8.514468e-06 6.695952e+02 2.811007e-10
8.626312e-06 7.132652e+02 2.994337e-10
8.739626e-06 7.577215e+02 3.180968e-10
8.854428e-06 8.029192e+02 3.370711e-10
8.970737e-06 8.488146e+02 3.563383e-10
9.088575e-06 8.953657e+02 3.758808e-10
9.207960e-06 9.425317e+02 3.956814e-10
9.328914e-06 9.902731e+02 4.157236e-10
9.451457e-06 1.038552e+03 4.359914e-10
9.575609e-06 1.087332e+03 4.564694e-10
9.701392e-06 1.136576e+03 4.771426e-10
9.828827e-06 1.186252e+03 4.979967e-10
9.957937e-06 1.236325e+03 5.190178e-10
1.008874e-05 1.286764e+03 5.401923e-10
1.022127e-05 1.337537e+03 5.615074e-10
1.035553e-05 1.388615e+03 5.829504e-10
1.049156e-05 1.439970e+03 6.045094e-10
1.062937e-05 1.491573e+03 6.261725e-10
1.076900e-05 1.543397e+03 6.479287e-10
1.091046e-05 1.595417e+03 6.697670e-10
