T[eV] Zbar η[g/(cms)] η[mPas]
5.000000000000000000e-01 3.000000000000000000e+00 3.363639280563999329e-02 3.363639280563999190e+00
1.000000000000000000e+00 3.000000000000000000e+00 2.874747907136922243e-02 2.874747907136922187e+00
2.000000000000000000e+00 3.000000000000000000e+00 2.484961130405498667e-02 2.484961130405498597e+00
5.000000000000000000e+00 3.004999999999999893e+00 2.004951308228730342e-02 2.004951308228730245e+00
1.000000000000000000e+01 3.068000000000000060e+00 1.818457254556200484e-02 1.818457254556200553e+00
2.000000000000000000e+01 3.891999999999999904e+00 2.581976847357010316e-02 2.581976847357010385e+00
5.000000000000000000e+01 6.107000000000000206e+00 6.137565729275823445e-02 6.137565729275823223e+00
1.000000000000000000e+02 8.400999999999999801e+00 1.316843521332158873e-01 1.316843521332158851e+01
2.000000000000000000e+02 1.011999999999999922e+01 2.749503436952344670e-01 2.749503436952344515e+01
5.000000000000000000e+02 1.215000000000000036e+01 7.001164804618597026e-01 7.001164804618596804e+01
1.000000000000000000e+03 1.288000000000000078e+01 1.232507252327334601e+00 1.232507252327334584e+02
