      r[a_0]     n[bound]   n[unbound]
6.144212e-06 2.909692e-04 9.411265e-06
6.229015e-06 1.148085e-03 3.713429e-05
6.314988e-06 2.548223e-03 8.242109e-05
6.402148e-06 4.468988e-03 1.445474e-04
6.490511e-06 6.888699e-03 2.228118e-04
6.580093e-06 9.786360e-03 3.165353e-04
6.670912e-06 1.314165e-02 4.250606e-04
6.762984e-06 1.693490e-02 5.477514e-04
6.856327e-06 2.114705e-02 6.839917e-04
6.950959e-06 2.575970e-02 8.331855e-04
7.046896e-06 3.075499e-02 9.947559e-04
7.144158e-06 3.611568e-02 1.168145e-03
7.242762e-06 4.182506e-02 1.352812e-03
7.342727e-06 4.786700e-02 1.548236e-03
7.444072e-06 5.422586e-02 1.753910e-03
7.546815e-06 6.088653e-02 1.969347e-03
7.650976e-06 6.783441e-02 2.194073e-03
7.756576e-06 7.505536e-02 2.427631e-03
7.863632e-06 8.253572e-02 2.669580e-03
7.972167e-06 9.026228e-02 2.919492e-03
8.082199e-06 9.822229e-02 3.176955e-03
8.193750e-06 1.064034e-01 3.441569e-03
8.306840e-06 1.147937e-01 3.712949e-03
8.421492e-06 1.233817e-01 3.990723e-03
8.537726e-06 1.321562e-01 4.274530e-03
8.655564e-06 1.411064e-01 4.564023e-03
8.775028e-06 1.502222e-01 4.858866e-03
8.896142e-06 1.594933e-01 5.158736e-03
9.018927e-06 1.689101e-01 5.463318e-03
9.143406e-06 1.784633e-01 5.772312e-03
9.269604e-06 1.881438e-01 6.085426e-03
9.397544e-06 1.979431e-01 6.402378e-03
9.527249e-06 2.078526e-01 6.722896e-03
9.658745e-06 2.178643e-01 7.046721e-03
9.792055e-06 2.279704e-01 7.373598e-03
9.927206e-06 2.381634e-01 7.703284e-03
1.006422e-05 2.484359e-01 8.035545e-03
1.020313e-05 2.587811e-01 8.370155e-03
1.034395e-05 2.691922e-01 8.706896e-03
1.048672e-05 2.796626e-01 9.045558e-03
1.063146e-05 2.901862e-01 9.385939e-03
1.077819e-05 3.007569e-01 9.727845e-03
1.092696e-05 3.113690e-01 1.007109e-02
1.107777e-05 3.220168e-01 1.041549e-02
1.123067e-05 3.326951e-01 1.076087e-02
1.138567e-05 3.433985e-01 1.110707e-02
1.154282e-05 3.541223e-01 1.145392e-02
1.170213e-05 3.648616e-01 1.180128e-02
1.186365e-05 3.756118e-01 1.214899e-02
1.202739e-05 3.863685e-01 1.249691e-02
1.219339e-05 3.971276e-01 1.284491e-02
1.236168e-05 4.078849e-01 1.319285e-02
1.253230e-05 4.186366e-01 1.354061e-02
1.270527e-05 4.293789e-01 1.388806e-02
1.288063e-05 4.401083e-01 1.423510e-02
1.305841e-05 4.508212e-01 1.458161e-02
1.323864e-05 4.615146e-01 1.492748e-02
