      r[a_0]     n[bound]   n[unbound]
6.144212e-06 4.557282e-05 3.163282e-05
6.224232e-06 1.799552e-04 1.249098e-04
6.305295e-06 3.997215e-04 2.774531e-04
6.387413e-06 7.015486e-04 4.869561e-04
6.470600e-06 1.082213e-03 7.511812e-04
6.554871e-06 1.538587e-03 1.067958e-03
6.640239e-06 2.067639e-03 1.435182e-03
6.726720e-06 2.666428e-03 1.850811e-03
6.814326e-06 3.332102e-03 2.312865e-03
6.903074e-06 4.061895e-03 2.819426e-03
6.992977e-06 4.853126e-03 3.368633e-03
7.084051e-06 5.703197e-03 3.958680e-03
7.176311e-06 6.609587e-03 4.587820e-03
7.269773e-06 7.569855e-03 5.254357e-03
7.364452e-06 8.581633e-03 5.956649e-03
7.460364e-06 9.642628e-03 6.693103e-03
7.557525e-06 1.075062e-02 7.462177e-03
7.655952e-06 1.190345e-02 8.262375e-03
7.755660e-06 1.309904e-02 9.092251e-03
7.856667e-06 1.433536e-02 9.950401e-03
7.958990e-06 1.561046e-02 1.083547e-02
8.062645e-06 1.692244e-02 1.174614e-02
8.167650e-06 1.826947e-02 1.268113e-02
8.274023e-06 1.964976e-02 1.363922e-02
8.381781e-06 2.106161e-02 1.461920e-02
8.490942e-06 2.250334e-02 1.561993e-02
8.601525e-06 2.397335e-02 1.664029e-02
8.713549e-06 2.547007e-02 1.767919e-02
8.827031e-06 2.699200e-02 1.873558e-02
8.941991e-06 2.853767e-02 1.980845e-02
9.058448e-06 3.010567e-02 2.089683e-02
9.176423e-06 3.169465e-02 2.199976e-02
9.295933e-06 3.330327e-02 2.311633e-02
9.417000e-06 3.493026e-02 2.424566e-02
9.539644e-06 3.657440e-02 2.538687e-02
9.663885e-06 3.823447e-02 2.653916e-02
9.789744e-06 3.990934e-02 2.770171e-02
9.917242e-06 4.159789e-02 2.887376e-02
1.004640e-05 4.329904e-02 3.005456e-02
1.017724e-05 4.501176e-02 3.124338e-02
1.030979e-05 4.673504e-02 3.243954e-02
1.044406e-05 4.846791e-02 3.364235e-02
1.058008e-05 5.020944e-02 3.485118e-02
1.071787e-05 5.195873e-02 3.606539e-02
1.085745e-05 5.371491e-02 3.728438e-02
1.099886e-05 5.547714e-02 3.850757e-02
1.114210e-05 5.724460e-02 3.973440e-02
1.128721e-05 5.901653e-02 4.096432e-02
1.143422e-05 6.079216e-02 4.219681e-02
1.158313e-05 6.257077e-02 4.343138e-02
1.173399e-05 6.435167e-02 4.466753e-02
1.188681e-05 6.613419e-02 4.590480e-02
1.204161e-05 6.791767e-02 4.714274e-02
1.219844e-05 6.970149e-02 4.838092e-02
1.235731e-05 7.148506e-02 4.961892e-02
1.251825e-05 7.326779e-02 5.085635e-02
1.268128e-05 7.504914e-02 5.209281e-02
1.284644e-05 7.682857e-02 5.332794e-02
1.301374e-05 7.860557e-02 5.456139e-02
1.318323e-05 8.037965e-02 5.579281e-02
