      r[a_0]     n[bound]   n[unbound]
6.144212e-06 3.235772e-04 7.282910e-05
6.224232e-06 1.277722e-03 2.875831e-04
6.305295e-06 2.838112e-03 6.387877e-04
6.387413e-06 4.981152e-03 1.121132e-03
6.470600e-06 7.683953e-03 1.729465e-03
6.554871e-06 1.092431e-02 2.458788e-03
6.640239e-06 1.468070e-02 3.304257e-03
6.726720e-06 1.893224e-02 4.261171e-03
6.814326e-06 2.365867e-02 5.324971e-03
6.903074e-06 2.884036e-02 6.491240e-03
6.992977e-06 3.445828e-02 7.755693e-03
7.084051e-06 4.049397e-02 9.114175e-03
7.176311e-06 4.692954e-02 1.056266e-02
7.269773e-06 5.374766e-02 1.209725e-02
7.364452e-06 6.093151e-02 1.371415e-02
7.460364e-06 6.846481e-02 1.540971e-02
7.557525e-06 7.633179e-02 1.718036e-02
7.655952e-06 8.451714e-02 1.902268e-02
7.755660e-06 9.300607e-02 2.093333e-02
7.856667e-06 1.017842e-01 2.290907e-02
7.958990e-06 1.108377e-01 2.494678e-02
8.062645e-06 1.201531e-01 2.704343e-02
8.167650e-06 1.297172e-01 2.919609e-02
8.274023e-06 1.395177e-01 3.140192e-02
8.381781e-06 1.495421e-01 3.365816e-02
8.490942e-06 1.597787e-01 3.596217e-02
8.601525e-06 1.702161e-01 3.831136e-02
8.713549e-06 1.808431e-01 4.070323e-02
8.827031e-06 1.916491e-01 4.313539e-02
8.941991e-06 2.026237e-01 4.560550e-02
9.058448e-06 2.137569e-01 4.811130e-02
9.176423e-06 2.250389e-01 5.065060e-02
9.295933e-06 2.364605e-01 5.322131e-02
9.417000e-06 2.480125e-01 5.582137e-02
9.539644e-06 2.596861e-01 5.844882e-02
9.663885e-06 2.714730e-01 6.110175e-02
9.789744e-06 2.833649e-01 6.377832e-02
9.917242e-06 2.953540e-01 6.647675e-02
1.004640e-05 3.074325e-01 6.919532e-02
1.017724e-05 3.195931e-01 7.193237e-02
1.030979e-05 3.318288e-01 7.468631e-02
1.044406e-05 3.441325e-01 7.745557e-02
1.058008e-05 3.564977e-01 8.023867e-02
1.071787e-05 3.689180e-01 8.303416e-02
1.085745e-05 3.813872e-01 8.584067e-02
1.099886e-05 3.938993e-01 8.865684e-02
1.114210e-05 4.064487e-01 9.148138e-02
1.128721e-05 4.190297e-01 9.431304e-02
1.143422e-05 4.316370e-01 9.715063e-02
1.158313e-05 4.442655e-01 9.999299e-02
1.173399e-05 4.569102e-01 1.028390e-01
1.188681e-05 4.695663e-01 1.056876e-01
1.204161e-05 4.822294e-01 1.085377e-01
1.219844e-05 4.948948e-01 1.113884e-01
1.235731e-05 5.075584e-01 1.142386e-01
1.251825e-05 5.202162e-01 1.170876e-01
1.268128e-05 5.328640e-01 1.199343e-01
1.284644e-05 5.454983e-01 1.227779e-01
1.301374e-05 5.581153e-01 1.256177e-01
1.318323e-05 5.707115e-01 1.284528e-01
1.335492e-05 5.832837e-01 1.312825e-01
1.352885e-05 5.958285e-01 1.341060e-01
1.370505e-05 6.083430e-01 1.369227e-01
1.388354e-05 6.208241e-01 1.397319e-01
1.406435e-05 6.332690e-01 1.425329e-01
1.424752e-05 6.456751e-01 1.453252e-01
1.443308e-05 6.580397e-01 1.481082e-01
1.462105e-05 6.703603e-01 1.508812e-01
1.481147e-05 6.826346e-01 1.536439e-01
1.500437e-05 6.948602e-01 1.563956e-01
1.519978e-05 7.070351e-01 1.591358e-01
1.539774e-05 7.191572e-01 1.618642e-01
1.559827e-05 7.312244e-01 1.645802e-01
1.580142e-05 7.432350e-01 1.672835e-01
1.600721e-05 7.551871e-01 1.699736e-01
1.621568e-05 7.670790e-01 1.726502e-01
1.642687e-05 7.789091e-01 1.753128e-01
1.664081e-05 7.906759e-01 1.779613e-01
1.685753e-05 8.023779e-01 1.805951e-01
1.707708e-05 8.140137e-01 1.832140e-01
1.729948e-05 8.255821e-01 1.858178e-01
1.752479e-05 8.370818e-01 1.884061e-01
1.775302e-05 8.485116e-01 1.909786e-01
1.798423e-05 8.598704e-01 1.935352e-01
1.821845e-05 8.711573e-01 1.960756e-01
1.845572e-05 8.823712e-01 1.985996e-01
1.869609e-05 8.935113e-01 2.011069e-01
1.893958e-05 9.045766e-01 2.035974e-01
1.918624e-05 9.155664e-01 2.060710e-01
1.943611e-05 9.264800e-01 2.085273e-01
1.968924e-05 9.373167e-01 2.109664e-01
1.994567e-05 9.480758e-01 2.133880e-01
2.020543e-05 9.587567e-01 2.157920e-01
2.046858e-05 9.693590e-01 2.181783e-01
2.073516e-05 9.798822e-01 2.205468e-01
2.100521e-05 9.903257e-01 2.228974e-01
2.127877e-05 1.000689e+00 2.252300e-01
2.155590e-05 1.010972e+00 2.275444e-01
2.183664e-05 1.021175e+00 2.298408e-01
2.212103e-05 1.031296e+00 2.321188e-01
2.240912e-05 1.041337e+00 2.343787e-01
2.270097e-05 1.051295e+00 2.366201e-01
2.299662e-05 1.061173e+00 2.388433e-01
2.329612e-05 1.070968e+00 2.410480e-01
2.359952e-05 1.080682e+00 2.432343e-01
2.390688e-05 1.090314e+00 2.454022e-01
2.421823e-05 1.099863e+00 2.475516e-01
2.453364e-05 1.109331e+00 2.496825e-01
2.485316e-05 1.118717e+00 2.517950e-01
2.517684e-05 1.128021e+00 2.538891e-01
2.550473e-05 1.137243e+00 2.559647e-01
2.583690e-05 1.146383e+00 2.580220e-01
2.617339e-05 1.155441e+00 2.600608e-01
2.651426e-05 1.164418e+00 2.620813e-01
2.685957e-05 1.173314e+00 2.640835e-01
2.720938e-05 1.182128e+00 2.660674e-01
2.756375e-05 1.190862e+00 2.680330e-01
2.792273e-05 1.199514e+00 2.699805e-01
2.828639e-05 1.208086e+00 2.719098e-01
2.865478e-05 1.216578e+00 2.738210e-01
2.902797e-05 1.224989e+00 2.757142e-01
2.940602e-05 1.233321e+00 2.775895e-01
2.978899e-05 1.241573e+00 2.794469e-01
3.017695e-05 1.249746e+00 2.812864e-01
3.056997e-05 1.257840e+00 2.831082e-01
3.096810e-05 1.265856e+00 2.849123e-01
3.137142e-05 1.273793e+00 2.866989e-01
3.177999e-05 1.281653e+00 2.884679e-01
3.219388e-05 1.289435e+00 2.902195e-01
3.261316e-05 1.297141e+00 2.919538e-01
3.303790e-05 1.304769e+00 2.936708e-01
3.346818e-05 1.312322e+00 2.953706e-01
3.390406e-05 1.319798e+00 2.970534e-01
3.434561e-05 1.327200e+00 2.987193e-01
3.479292e-05 1.334526e+00 3.003682e-01
3.524605e-05 1.341778e+00 3.020004e-01
3.570508e-05 1.348956e+00 3.036160e-01
3.617009e-05 1.356060e+00 3.052149e-01
3.664116e-05 1.363091e+00 3.067974e-01
3.711836e-05 1.370049e+00 3.083636e-01
3.760178e-05 1.376935e+00 3.099135e-01
3.809149e-05 1.383750e+00 3.114473e-01
3.858758e-05 1.390493e+00 3.129650e-01
3.909013e-05 1.397166e+00 3.144668e-01
3.959923e-05 1.403768e+00 3.159528e-01
4.011495e-05 1.410300e+00 3.174232e-01
4.063740e-05 1.416764e+00 3.188779e-01
4.116664e-05 1.423158e+00 3.203172e-01
4.170278e-05 1.429485e+00 3.217411e-01
4.224591e-05 1.435744e+00 3.231498e-01
4.279610e-05 1.441935e+00 3.245434e-01
4.335346e-05 1.448060e+00 3.259219e-01
4.391809e-05 1.454119e+00 3.272856e-01
4.449006e-05 1.460112e+00 3.286345e-01
4.506948e-05 1.466040e+00 3.299688e-01
4.565645e-05 1.471904e+00 3.312885e-01
4.625107e-05 1.477703e+00 3.325938e-01
4.685342e-05 1.483439e+00 3.338849e-01
4.746363e-05 1.489112e+00 3.351617e-01
4.808178e-05 1.494723e+00 3.364245e-01
4.870798e-05 1.500271e+00 3.376734e-01
4.934233e-05 1.505759e+00 3.389084e-01
4.998495e-05 1.511185e+00 3.401297e-01
5.063594e-05 1.516551e+00 3.413375e-01
5.129540e-05 1.521857e+00 3.425318e-01
5.196346e-05 1.527104e+00 3.437127e-01
5.264021e-05 1.532292e+00 3.448805e-01
5.332578e-05 1.537422e+00 3.460351e-01
5.402027e-05 1.542495e+00 3.471767e-01
5.472382e-05 1.547510e+00 3.483055e-01
5.543652e-05 1.552468e+00 3.494215e-01
5.615851e-05 1.557370e+00 3.505249e-01
5.688990e-05 1.562217e+00 3.516157e-01
5.763081e-05 1.567008e+00 3.526942e-01
5.838137e-05 1.571745e+00 3.537604e-01
5.914171e-05 1.576428e+00 3.548144e-01
5.991195e-05 1.581058e+00 3.558563e-01
6.069223e-05 1.585634e+00 3.568863e-01
6.148266e-05 1.590158e+00 3.579045e-01
6.228339e-05 1.594629e+00 3.589110e-01
6.309455e-05 1.599050e+00 3.599058e-01
6.391627e-05 1.603419e+00 3.608892e-01
6.474869e-05 1.607737e+00 3.618613e-01
6.559196e-05 1.612006e+00 3.628220e-01
6.644620e-05 1.616225e+00 3.637716e-01
6.731158e-05 1.620395e+00 3.647102e-01
6.818822e-05 1.624517e+00 3.656378e-01
6.907628e-05 1.628590e+00 3.665547e-01
6.997590e-05 1.632616e+00 3.674608e-01
7.088725e-05 1.636595e+00 3.683563e-01
7.181046e-05 1.640527e+00 3.692413e-01
7.274569e-05 1.644413e+00 3.701159e-01
7.369311e-05 1.648253e+00 3.709803e-01
7.465286e-05 1.652048e+00 3.718344e-01
7.562511e-05 1.655798e+00 3.726785e-01
7.661003e-05 1.659504e+00 3.735126e-01
7.760777e-05 1.663166e+00 3.743369e-01
7.861851e-05 1.666785e+00 3.751514e-01
7.964241e-05 1.670361e+00 3.759562e-01
8.067964e-05 1.673894e+00 3.767515e-01
8.173039e-05 1.677386e+00 3.775373e-01
8.279482e-05 1.680835e+00 3.783138e-01
8.387311e-05 1.684244e+00 3.790809e-01
8.496544e-05 1.687612e+00 3.798390e-01
8.607200e-05 1.690939e+00 3.805879e-01
8.719297e-05 1.694227e+00 3.813279e-01
8.832855e-05 1.697475e+00 3.820590e-01
8.947891e-05 1.700685e+00 3.827814e-01
9.064425e-05 1.703856e+00 3.834950e-01
9.182477e-05 1.706988e+00 3.842001e-01
9.302066e-05 1.710083e+00 3.848966e-01
9.423213e-05 1.713140e+00 3.855848e-01
9.545938e-05 1.716161e+00 3.862646e-01
9.670261e-05 1.719145e+00 3.869362e-01
9.796203e-05 1.722093e+00 3.875997e-01
9.923785e-05 1.725005e+00 3.882551e-01
1.005303e-04 1.727881e+00 3.889026e-01
1.018396e-04 1.730723e+00 3.895422e-01
1.031659e-04 1.733530e+00 3.901740e-01
1.045095e-04 1.736303e+00 3.907981e-01
1.058706e-04 1.739042e+00 3.914146e-01
1.072494e-04 1.741748e+00 3.920236e-01
1.086462e-04 1.744420e+00 3.926251e-01
1.100612e-04 1.747060e+00 3.932193e-01
1.114946e-04 1.749667e+00 3.938061e-01
1.129466e-04 1.752243e+00 3.943858e-01
1.144176e-04 1.754787e+00 3.949583e-01
1.159077e-04 1.757299e+00 3.955238e-01
1.174173e-04 1.759781e+00 3.960824e-01
1.189465e-04 1.762232e+00 3.966340e-01
1.204956e-04 1.764652e+00 3.971789e-01
1.220649e-04 1.767043e+00 3.977170e-01
1.236546e-04 1.769404e+00 3.982484e-01
1.252651e-04 1.771736e+00 3.987733e-01
1.268965e-04 1.774039e+00 3.992916e-01
1.285491e-04 1.776314e+00 3.998036e-01
1.302233e-04 1.778560e+00 4.003091e-01
1.319193e-04 1.780778e+00 4.008084e-01
1.336374e-04 1.782969e+00 4.013015e-01
1.353778e-04 1.785132e+00 4.017884e-01
1.371409e-04 1.787269e+00 4.022692e-01
1.389270e-04 1.789378e+00 4.027440e-01
1.407363e-04 1.791461e+00 4.032129e-01
1.425692e-04 1.793519e+00 4.036759e-01
1.444260e-04 1.795550e+00 4.041331e-01
1.463070e-04 1.797556e+00 4.045846e-01
1.482124e-04 1.799536e+00 4.050304e-01
1.501427e-04 1.801492e+00 4.054705e-01
1.520981e-04 1.803423e+00 4.059052e-01
1.540789e-04 1.805330e+00 4.063343e-01
1.560856e-04 1.807212e+00 4.067581e-01
1.581184e-04 1.809071e+00 4.071764e-01
1.601777e-04 1.810907e+00 4.075895e-01
1.622638e-04 1.812719e+00 4.079974e-01
1.643771e-04 1.814508e+00 4.084000e-01
1.665179e-04 1.816274e+00 4.087976e-01
1.686865e-04 1.818018e+00 4.091901e-01
1.708834e-04 1.819739e+00 4.095776e-01
1.731090e-04 1.821439e+00 4.099601e-01
1.753635e-04 1.823117e+00 4.103378e-01
1.776474e-04 1.824774e+00 4.107107e-01
1.799610e-04 1.826409e+00 4.110788e-01
1.823047e-04 1.828023e+00 4.114421e-01
1.846790e-04 1.829617e+00 4.118008e-01
1.870842e-04 1.831190e+00 4.121549e-01
1.895207e-04 1.832743e+00 4.125044e-01
1.919890e-04 1.834276e+00 4.128495e-01
1.944894e-04 1.835789e+00 4.131900e-01
1.970223e-04 1.837283e+00 4.135262e-01
1.995883e-04 1.838757e+00 4.138580e-01
2.021877e-04 1.840213e+00 4.141856e-01
2.048209e-04 1.841649e+00 4.145088e-01
2.074884e-04 1.843066e+00 4.148279e-01
2.101906e-04 1.844466e+00 4.151428e-01
2.129281e-04 1.845847e+00 4.154536e-01
2.157012e-04 1.847210e+00 4.157604e-01
2.185104e-04 1.848555e+00 4.160632e-01
2.213562e-04 1.849882e+00 4.163619e-01
2.242391e-04 1.851192e+00 4.166568e-01
2.271595e-04 1.852485e+00 4.169478e-01
2.301180e-04 1.853761e+00 4.172350e-01
2.331149e-04 1.855020e+00 4.175183e-01
2.361509e-04 1.856262e+00 4.177980e-01
2.392265e-04 1.857488e+00 4.180739e-01
2.423421e-04 1.858698e+00 4.183462e-01
2.454983e-04 1.859892e+00 4.186149e-01
2.486956e-04 1.861069e+00 4.188799e-01
2.519345e-04 1.862232e+00 4.191415e-01
2.552156e-04 1.863378e+00 4.193996e-01
2.585394e-04 1.864509e+00 4.196542e-01
2.619066e-04 1.865625e+00 4.199054e-01
2.653175e-04 1.866727e+00 4.201532e-01
2.687729e-04 1.867813e+00 4.203977e-01
2.722733e-04 1.868884e+00 4.206389e-01
2.758193e-04 1.869941e+00 4.208768e-01
2.794115e-04 1.870984e+00 4.211115e-01
2.830505e-04 1.872013e+00 4.213430e-01
2.867368e-04 1.873028e+00 4.215714e-01
2.904712e-04 1.874028e+00 4.217966e-01
2.942542e-04 1.875015e+00 4.220188e-01
2.980864e-04 1.875989e+00 4.222379e-01
3.019686e-04 1.876949e+00 4.224541e-01
3.059014e-04 1.877896e+00 4.226672e-01
3.098853e-04 1.878830e+00 4.228774e-01
3.139212e-04 1.879751e+00 4.230847e-01
3.180096e-04 1.880659e+00 4.232891e-01
3.221512e-04 1.881555e+00 4.234906e-01
3.263468e-04 1.882438e+00 4.236894e-01
3.305970e-04 1.883308e+00 4.238853e-01
3.349026e-04 1.884167e+00 4.240785e-01
3.392643e-04 1.885013e+00 4.242690e-01
3.436827e-04 1.885847e+00 4.244568e-01
3.481587e-04 1.886670e+00 4.246419e-01
3.526930e-04 1.887480e+00 4.248244e-01
