 ,Case ID,Element,Atomic Number,Atomic Weight [a.u.],Mass [g],Number Density [N/cc],Mass Density [g/cc],Temperature [eV],Priority Level,Zbar (TF),Wigner-Seitz Radius [cm],Plasma Frequency [rad/s],Coupling Constant,e Thomas-Fermi Wavelength [cm],Screening Parameter (kappa),Effective Coupling Constant,Zbar (TFDW),Average-Bound Radius [cm],mu (eV),p (Bar)
0,H1,H,1,1.0078,1.685668370976E-24,5.98E+023,1,2,1,0.692559986783982,7.36325886444364E-09,702357052940091,4.68993180197594,4.26321368707542E-09,1.72716157455735,0.116357349036094,0.78,0.00000000273,18.76,2810000
1,C1,C,6,12.0011,2.0073302924112E-23,5.01E+023,10,2,1,2.97811297715565,7.81072273705667E-09,801099833333277,81.7547360002108,3.43133363935685E-09,2.27629358085991,0.330886594081197,3.509,0.00000000222,43.1,26600000
2,Al1,Al,13,26.982,4.513068464544E-23,6.03E+022,2.7,1,1,3,1.58196920873229E-08,186715330834525,81.9211957712121,4.88906471914968E-09,3.23572973484267,0.0113246999042531,2.629,0.00000000344,7.15,183000
3,Cu1,Cu,29,63.546,1.0628843252832E-22,8.49E+022,8.96,1,1,1.206,1.41145780676909E-08,58035560130735.1,14.8381075665277,5.39635560970023E-09,2.61557597173901,0.0186372455462759,5.437,0.0000000028,14.89,1470000
4,Be1,Be,4,9.0122,1.5074003267424E-23,1.23E+023,1.84,4.4,2,1.61230618118395,1.24738952603319E-08,247982937876657,6.8201208146058,5.13490698982507E-09,2.42923489851895,0.0163522020990527,1.724,0.00000000334,8.417,1090000
5,Au1,Au,79,196.97,3.294563395824E-22,5.91E+022,19.32,10,2,6.74134879617808,1.59260461522627E-08,153736727653434,41.0901215332947,4.85375605195354E-09,3.28117976713163,0.00481862026392313,8.064,0.00000000246,9.387,4750000
6,H2,H,1,1.0078,1.685668370976E-24,5.98E+025,100,0.2,2,0.92191812945174,1.58636603292422E-09,9.34959733178656E+015,385.747493330495,1.87878222497453E-09,0.844358655216528,121.158209790345,0.982,8.43E-10,530.4,16200000000
7,H3,H,1,1.0078,1.685668370976E-24,5.98E+024,10,20,2,0.845343476077042,3.41772201242019E-09,2711026463955851,1.50539850051301,2.84552079500177E-09,1.20108839774551,0.183743459132022,0.932,0.00000000143,103.5,316000000
8,C2,C,6,12.0011,2.0073302924112E-23,5.01E+024,100,0.2,2,4.30020145092093,3.62541634387677E-09,3657920595093050,3672.32846082139,2.19729149858479E-09,1.64994783177916,116.347374142002,4.967,0.00000000115,275.8,3240000000
9,C3,C,6,12.0011,2.0073302924112E-23,5.01E+021,0.1,0.2,2,0.51132938772908,3.62541634387677E-08,13754544922583.8,5.19236750294782,1.03736552917945E-08,3.49483016535594,0.000279799353617067,0.00000297,0.00000000589,-2.35,0.00106
10,Al2,Al,13,26.982,4.513068464544E-23,6.03E+024,270,0.1,2,11,3.40824934185513E-09,6846228797265907,51121.7615676351,1.82175657562674E-09,1.87085881146475,798.488590766994,10.24,0.00000000101,497.5,14700000000
11,Al3,Al,13,26.982,4.513068464544E-23,6.03E+021,0.27,0.1,2,0.748031556423301,3.40824934185513E-08,14722401018258.9,23.6406971174278,9.05647008450685E-09,3.76333086738255,0.000475100177788172,1.63E-12,5.04E-11,-2.55,1.72E-10
12,Cu2,Cu,29,63.546,1.0628843252832E-22,8.49E+024,896,0.1,2,19,3.04089366241965E-09,9.14324745011582E+015,170945.537485178,1.57095999836255E-09,1.93569133879236,2160.47093360526,21.83,8.5E-10,1023,92000000000
