# r/r_s,   beta v_ii^eff   (both unitless)
5.000000000000000104e-03, 3.684136148790473442e+01
1.499999999999999944e-02, 3.684136148790473442e+01
2.499999999999999792e-02, 3.211930115179819722e+01
3.499999999999999639e-02, 2.291544911768567871e+01
4.499999999999999140e-02, 1.782856508057821543e+01
5.499999999999998640e-02, 1.461473519270441557e+01
6.499999999999998834e-02, 1.240232428323276892e+01
7.499999999999999722e-02, 1.078290809649037385e+01
8.499999999999999223e-02, 9.534069002821260241e+00
9.499999999999998723e-02, 8.537864158476738297e+00
1.049999999999999822e-01, 7.728160562499425623e+00
1.149999999999999911e-01, 7.057338655389618687e+00
1.249999999999999861e-01, 6.493106737294125352e+00
1.349999999999999811e-01, 6.011869703472068061e+00
1.449999999999999900e-01, 5.596758884238580478e+00
1.549999999999999711e-01, 5.234961405611125329e+00
1.649999999999999800e-01, 4.916908518192545152e+00
1.749999999999999889e-01, 4.635078997661861600e+00
1.849999999999999700e-01, 4.383661706547947290e+00
1.949999999999999789e-01, 4.157960163520067809e+00
2.049999999999999600e-01, 3.954247161880268813e+00
2.149999999999999689e-01, 3.769441621049400393e+00
2.249999999999999778e-01, 3.601045028513216284e+00
2.349999999999999589e-01, 3.446953262997184186e+00
2.449999999999999678e-01, 3.305429565212888221e+00
2.549999999999999489e-01, 3.174988457880297155e+00
2.649999999999999578e-01, 3.054385549140243850e+00
2.749999999999999667e-01, 2.942542425631560654e+00
2.849999999999999756e-01, 2.838544303401187463e+00
2.949999999999999845e-01, 2.741589447138484736e+00
3.049999999999999378e-01, 2.650990418130265702e+00
3.149999999999999467e-01, 2.566138835169150756e+00
3.249999999999999556e-01, 2.486508160756684127e+00
3.349999999999999645e-01, 2.411628427146959908e+00
3.449999999999999734e-01, 2.341089554577935772e+00
3.549999999999999267e-01, 2.274522764410114029e+00
3.649999999999999356e-01, 2.211603942896648078e+00
3.749999999999999445e-01, 2.152039670813237660e+00
3.849999999999999534e-01, 2.095570407641151434e+00
3.949999999999999623e-01, 2.041959788544655652e+00
4.049999999999999156e-01, 1.990997536260963763e+00
4.149999999999999245e-01, 1.942491121947933941e+00
4.249999999999999334e-01, 1.896268378710448177e+00
4.349999999999999423e-01, 1.852170906388133531e+00
4.449999999999999512e-01, 1.810056393218392845e+00
4.549999999999999600e-01, 1.769793329847868524e+00
4.649999999999999134e-01, 1.731263060445749957e+00
4.749999999999999223e-01, 1.694355495095085651e+00
4.849999999999999312e-01, 1.658970917264290357e+00
4.949999999999999400e-01, 1.625016468362204591e+00
5.049999999999998934e-01, 1.592407739378140619e+00
5.149999999999999023e-01, 1.561065860325426158e+00
5.249999999999999112e-01, 1.530918902486213984e+00
5.349999999999999201e-01, 1.501899447244212205e+00
5.449999999999999289e-01, 1.473945823005679001e+00
5.549999999999999378e-01, 1.447000058009287438e+00
5.649999999999999467e-01, 1.421008973314256796e+00
5.749999999999999556e-01, 1.395922446164149289e+00
5.849999999999999645e-01, 1.371694377779743457e+00
5.949999999999998623e-01, 1.348281210141669906e+00
6.049999999999998712e-01, 1.325642784861680967e+00
6.149999999999998801e-01, 1.303741068465047448e+00
6.249999999999998890e-01, 1.282540916404458775e+00
6.349999999999998979e-01, 1.262008971190716533e+00
6.449999999999999067e-01, 1.242114343672736432e+00
6.549999999999999156e-01, 1.222827655471001584e+00
6.649999999999999245e-01, 1.204121647963643849e+00
6.749999999999999334e-01, 1.185970345979556306e+00
6.849999999999999423e-01, 1.168349603481378063e+00
6.949999999999999512e-01, 1.151236369775218371e+00
7.049999999999998490e-01, 1.134609179639563203e+00
7.149999999999998579e-01, 1.118447506697905158e+00
7.249999999999998668e-01, 1.102732204681083905e+00
7.349999999999998757e-01, 1.087444935302041671e+00
7.449999999999998845e-01, 1.072568566432660297e+00
7.549999999999998934e-01, 1.058086663975578379e+00
7.649999999999999023e-01, 1.043983851962603460e+00
7.749999999999999112e-01, 1.030245359656337012e+00
7.849999999999999201e-01, 1.016857347915900434e+00
7.949999999999999289e-01, 1.003806504171365965e+00
8.049999999999998268e-01, 9.910803388367905864e-01
8.149999999999998357e-01, 9.786668219519867318e-01
8.249999999999998446e-01, 9.665546529381836560e-01
8.349999999999998535e-01, 9.547329336474793537e-01
8.449999999999998623e-01, 9.431914143404926953e-01
8.549999999999998712e-01, 9.319201986650037517e-01
8.649999999999998801e-01, 9.209099683772448142e-01
8.749999999999998890e-01, 9.101517164198196230e-01
8.849999999999998979e-01, 8.996369526000671524e-01
8.949999999999999067e-01, 8.893574614784880428e-01
9.049999999999999156e-01, 8.793054909514645967e-01
9.149999999999998135e-01, 8.694735321150752760e-01
9.249999999999998224e-01, 8.598544924691333691e-01
9.349999999999998312e-01, 8.504414953032712887e-01
9.449999999999998401e-01, 8.412280390394886176e-01
9.549999999999998490e-01, 8.322078140104345323e-01
9.649999999999998579e-01, 8.233748492840089472e-01
9.749999999999998668e-01, 8.147233449780644232e-01
9.849999999999998757e-01, 8.062478077593304704e-01
9.949999999999998845e-01, 7.979428970725368497e-01
1.004999999999999893e+00, 7.898035503738801699e-01
1.014999999999999680e+00, 7.818248418525712840e-01
1.024999999999999689e+00, 7.740020983435016433e-01
1.034999999999999698e+00, 7.663307692909280266e-01
1.044999999999999707e+00, 7.588065341837016975e-01
1.054999999999999716e+00, 7.514251826586798577e-01
1.064999999999999725e+00, 7.441827142128725203e-01
1.074999999999999734e+00, 7.370752274719882813e-01
1.084999999999999742e+00, 7.300990128554791792e-01
1.094999999999999751e+00, 7.232504501464190882e-01
1.104999999999999760e+00, 7.165260947162853666e-01
1.114999999999999769e+00, 7.099225826286803542e-01
1.124999999999999778e+00, 7.034367109695913722e-01
1.134999999999999787e+00, 6.970653498014236504e-01
1.144999999999999796e+00, 6.908055170903713016e-01
1.154999999999999805e+00, 6.846542969006252921e-01
1.164999999999999813e+00, 6.786089093624790847e-01
1.174999999999999822e+00, 6.726666345609200182e-01
1.184999999999999609e+00, 6.668248779454000186e-01
1.194999999999999618e+00, 6.610810994235529758e-01
1.204999999999999627e+00, 6.554328745755668706e-01
1.214999999999999636e+00, 6.498778285135589083e-01
1.224999999999999645e+00, 6.444136932295841946e-01
1.234999999999999654e+00, 6.390382458251547826e-01
1.244999999999999662e+00, 6.337493622916413605e-01
1.254999999999999671e+00, 6.285449597533152577e-01
1.264999999999999680e+00, 6.234230469517905160e-01
1.274999999999999689e+00, 6.183816701804583094e-01
1.284999999999999698e+00, 6.134189607203137662e-01
1.294999999999999707e+00, 6.085330841743096242e-01
1.304999999999999716e+00, 6.037222850800870733e-01
1.314999999999999725e+00, 5.989848393800608628e-01
1.324999999999999734e+00, 5.943190964169644541e-01
1.334999999999999742e+00, 5.897234342998172174e-01
1.344999999999999751e+00, 5.851962994705248722e-01
1.354999999999999760e+00, 5.807361647476395605e-01
1.364999999999999769e+00, 5.763415666363259637e-01
1.374999999999999778e+00, 5.720110658513053448e-01
1.384999999999999787e+00, 5.677432825281023554e-01
1.394999999999999574e+00, 5.635368590440479331e-01
1.404999999999999583e+00, 5.593904932757025605e-01
1.414999999999999591e+00, 5.553029035524950086e-01
1.424999999999999600e+00, 5.512728600934354573e-01
1.434999999999999609e+00, 5.472991519420904449e-01
1.444999999999999618e+00, 5.433806167050183600e-01
1.454999999999999627e+00, 5.395161093295234300e-01
1.464999999999999636e+00, 5.357045302565294209e-01
1.474999999999999645e+00, 5.319447959140655158e-01
1.484999999999999654e+00, 5.282358653884696720e-01
1.494999999999999662e+00, 5.245767125169601419e-01
1.504999999999999671e+00, 5.209663511730286967e-01
1.514999999999999680e+00, 5.174038088508589039e-01
1.524999999999999689e+00, 5.138881506534664911e-01
1.534999999999999698e+00, 5.104184542702608907e-01
1.544999999999999707e+00, 5.069938327497990338e-01
1.554999999999999716e+00, 5.036134107795570136e-01
1.564999999999999725e+00, 5.002763463190599280e-01
1.574999999999999734e+00, 4.969818080979745423e-01
1.584999999999999742e+00, 4.937289961798064231e-01
1.594999999999999751e+00, 4.905171206008439588e-01
1.604999999999999538e+00, 4.873454209295040584e-01
1.614999999999999547e+00, 4.842131459745138700e-01
1.624999999999999556e+00, 4.811195724003045071e-01
1.634999999999999565e+00, 4.780639854381565357e-01
1.644999999999999574e+00, 4.750456966137529546e-01
1.654999999999999583e+00, 4.720640253998953928e-01
1.664999999999999591e+00, 4.691183161083790631e-01
1.674999999999999600e+00, 4.662079204273545940e-01
1.684999999999999609e+00, 4.633322135260703467e-01
1.694999999999999618e+00, 4.604905774240423688e-01
