# atom Al1 T=1.0 eV, r_i=3.00, Zbar (TFDW) =2.989 , solve_err=3.295e-08
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
2.000000000000000042e-02 0.000000000000000000e+00 3.336684058134919972e-03 1.408173832536623538e+00
4.000000000000000083e-02 0.000000000000000000e+00 3.358161669624659673e-03 1.211278247351925685e+00
5.999999999999999778e-02 0.000000000000000000e+00 3.394273538106395982e-03 1.116341801295454017e+00
8.000000000000000167e-02 0.000000000000000000e+00 3.445515975099122663e-03 1.039669887240779911e+00
1.000000000000000056e-01 0.000000000000000000e+00 3.512577071048128552e-03 9.921942419248673817e-01
1.199999999999999956e-01 0.000000000000000000e+00 3.596382886272730950e-03 9.560818095745360345e-01
1.400000000000000133e-01 0.000000000000000000e+00 3.698062149873115878e-03 9.350007315958812626e-01
1.600000000000000033e-01 0.000000000000000000e+00 3.818992584578517757e-03 9.209128005144008311e-01
1.799999999999999933e-01 0.000000000000000000e+00 2.053493025878872658e+01 9.160893501170955799e-01
2.000000000000000111e-01 0.000000000000000000e+00 1.545004098467084575e+01 9.157442900912168282e-01
2.200000000000000011e-01 0.000000000000000000e+00 1.187605678719537750e+01 9.217713833036216275e-01
2.399999999999999911e-01 0.000000000000000000e+00 9.313678336365480703e+00 9.306827884943750240e-01
2.600000000000000089e-01 0.000000000000000000e+00 7.441905726515162023e+00 9.443629182821332568e-01
2.800000000000000266e-01 0.000000000000000000e+00 6.050506260650958090e+00 9.597068896921451264e-01
2.999999999999999889e-01 0.000000000000000000e+00 4.999221040762659385e+00 9.789973494535633147e-01
3.200000000000000067e-01 0.000000000000000000e+00 4.192832463162902812e+00 9.985672141362378351e-01
3.400000000000000244e-01 0.000000000000000000e+00 3.565593300334404692e+00 1.022692123193186475e+00
3.599999999999999867e-01 0.000000000000000000e+00 3.071377892811513188e+00 1.035463160122866322e+00
3.800000000000000044e-01 0.000000000000000000e+00 2.677327589366381488e+00 1.029213673078131830e+00
4.000000000000000222e-01 0.000000000000000000e+00 2.359697931177604069e+00 1.015799300307239861e+00
4.199999999999999845e-01 0.000000000000000000e+00 2.101095310017603079e+00 9.984506121661855804e-01
4.400000000000000022e-01 0.000000000000000000e+00 1.888615040872641204e+00 9.811618814088726159e-01
4.600000000000000200e-01 0.000000000000000000e+00 1.712566820937509782e+00 9.647053581576833237e-01
4.799999999999999822e-01 0.000000000000000000e+00 1.565591322591391110e+00 9.503036610104902415e-01
5.000000000000000000e-01 0.000000000000000000e+00 1.442039977323735789e+00 9.377905338022581860e-01
5.200000000000000178e-01 1.110223024625156540e-16 1.337533559696838958e+00 9.274337638552367924e-01
5.400000000000000355e-01 3.552713678800500929e-15 1.248646168268389589e+00 9.188393539657233600e-01
5.600000000000000533e-01 7.749356711883592652e-14 1.172677925871470572e+00 9.119790944462080606e-01
5.799999999999999600e-01 1.271982519313041848e-12 1.107484550623157205e+00 9.064717397184967052e-01
5.999999999999999778e-01 1.629940626912684820e-11 1.051348238270366053e+00 9.022219844142788103e-01
6.199999999999999956e-01 1.667789240045181032e-10 1.002883317183373091e+00 8.989244315150649589e-01
6.400000000000000133e-01 1.396538218401133236e-09 9.609651515521203669e-01 8.964912818486278079e-01
6.600000000000000311e-01 9.726832228551529624e-09 9.246769915859028854e-01 8.946973359440063556e-01
6.800000000000000488e-01 5.740296316059101400e-08 8.932687409966072467e-01 8.934820795906156521e-01
7.000000000000000666e-01 2.906807616831486030e-07 8.661252568523426509e-01 8.926879549010059423e-01
7.199999999999999734e-01 1.281441246892001118e-06 8.427410832382781214e-01 8.922823644910702345e-01
7.399999999999999911e-01 4.967925138266160445e-06 8.227005008889936022e-01 8.921598289385417324e-01
7.600000000000000089e-01 1.713553542137535857e-05 8.056611051125168732e-01 8.923101316070247702e-01
7.800000000000000266e-01 5.302561284947771014e-05 7.913404207494867393e-01 8.926655914047821883e-01
8.000000000000000444e-01 1.486256318529166620e-04 7.795044660130987513e-01 8.932315284223167895e-01
8.200000000000000622e-01 3.799802015808095845e-04 7.699581961562778076e-01 8.939662708797997404e-01
8.399999999999999689e-01 8.932269568110440261e-04 7.625371549521396952e-01 8.948844135380636944e-01
8.599999999999999867e-01 1.942157036038505424e-03 7.571005391078357016e-01 8.959610954608638878e-01
8.800000000000000044e-01 3.932517626388021270e-03 7.535252020490325053e-01 8.972150997094890945e-01
9.000000000000000222e-01 7.453256235498084692e-03 7.517009081939342030e-01 8.986314658205710737e-01
9.200000000000000400e-01 1.329917063144037126e-02 7.515264010897455549e-01 9.002293336252124023e-01
9.400000000000000577e-01 2.244044367301822884e-02 7.529065724558655637e-01 9.019986281097812642e-01
9.599999999999999645e-01 3.598556641740313644e-02 7.557502719978594907e-01 9.039561466137085999e-01
9.799999999999999822e-01 5.505373111988998147e-02 7.599689642911875431e-01 9.060931937675450465e-01
1.000000000000000000e+00 8.069973862645252183e-02 7.654757732828734174e-01 9.084224664703306473e-01
1.020000000000000018e+00 1.137200041270931550e-01 7.721850285976470385e-01 9.109343163276818478e-01
1.040000000000000036e+00 1.546295899237584148e-01 7.800119111670504868e-01 9.136363362870246752e-01
1.060000000000000053e+00 2.034692714151885573e-01 7.888722262700027521e-01 9.165165018132354069e-01
1.080000000000000071e+00 2.599234682041011713e-01 7.986820287300100407e-01 9.195769036799572582e-01
1.100000000000000089e+00 3.231610492067792384e-01 8.093570747086541450e-01 9.228024353882295916e-01
1.120000000000000107e+00 3.921140597114372017e-01 8.208120403895429185e-01 9.261897819200441972e-01
1.140000000000000124e+00 4.653232076840900788e-01 8.329594771172731393e-01 9.297206235303047128e-01
1.159999999999999920e+00 5.413300041084764258e-01 8.457087197863742967e-01 9.333867388415394428e-01
1.179999999999999938e+00 6.184715393675277451e-01 8.589647106151971911e-01 9.371669158503264097e-01
1.199999999999999956e+00 6.953198231458761480e-01 8.726271901624562677e-01 9.410488355219938095e-01
1.219999999999999973e+00 7.703909526761447690e-01 8.865901154958951702e-01 9.450090445796969219e-01
1.239999999999999991e+00 8.425858966659215410e-01 9.007418539697574777e-01 9.490321394411203038e-01
1.260000000000000009e+00 9.108164636689030091e-01 9.149657906737245217e-01 9.530932814154640109e-01
1.280000000000000027e+00 9.744297837262544393e-01 9.291418612982755842e-01 9.571750921396345868e-01
1.300000000000000044e+00 1.032779016551517604e+00 9.431483924021246690e-01 9.612522934095237837e-01
1.320000000000000062e+00 1.085630231414624447e+00 9.568646834066517615e-01 9.653066467559142660e-01
1.340000000000000080e+00 1.132712059783863356e+00 9.701735417494607994e-01 9.693133840228659315e-01
1.360000000000000098e+00 1.174107602508557280e+00 9.829641732054724690e-01 9.732544666042234338e-01
1.380000000000000115e+00 1.209810962815582425e+00 9.951346133111549364e-01 9.771065404000552901e-01
1.400000000000000133e+00 1.240104757782030331e+00 1.006594132535706843e+00 9.808527451052969637e-01
1.419999999999999929e+00 1.265141390024084656e+00 1.017264897112551303e+00 9.844719775218333524e-01
1.439999999999999947e+00 1.285304020870235098e+00 1.027083373929506882e+00 9.879494410978463259e-01
1.459999999999999964e+00 1.300821571972411217e+00 1.036000912742186530e+00 9.912670358821470407e-01
