# atom Al1 T=1.0 eV, r_i=3.00, Zbar (TFDW) =2.989 , solve_err=3.295e-08
#  r/r_i 				 βuii_eff(r/r_i)
2.000000000000000042e-02 3.899631819868080129e+03
4.000000000000000083e-02 1.858923488076960211e+03
5.999999999999999778e-02 1.181450616976402216e+03
8.000000000000000167e-02 8.449850303610249966e+02
1.000000000000000056e-01 6.443232385726628308e+02
1.199999999999999956e-01 5.116381608766082536e+02
1.400000000000000133e-01 4.175222126180839268e+02
1.600000000000000033e-01 3.475731253787183164e+02
1.799999999999999933e-01 2.935791790972809849e+02
2.000000000000000111e-01 2.508116089914577174e+02
2.200000000000000011e-01 2.161036595872773773e+02
2.399999999999999911e-01 1.874981473513160211e+02
2.600000000000000089e-01 1.635029399030613604e+02
2.800000000000000266e-01 1.431933190083558429e+02
2.999999999999999889e-01 1.257485174260413174e+02
3.200000000000000067e-01 1.107172679974742806e+02
3.400000000000000244e-01 9.754171552529143696e+01
3.599999999999999867e-01 8.634347890719311636e+01
3.800000000000000044e-01 7.706221326803871818e+01
4.000000000000000222e-01 6.914632295027465148e+01
4.199999999999999845e-01 6.233450208761004774e+01
4.400000000000000022e-01 5.637007505842380084e+01
4.600000000000000200e-01 5.111203018672782150e+01
4.799999999999999822e-01 4.642344218005069933e+01
5.000000000000000000e-01 4.222490770969192653e+01
5.200000000000000178e-01 3.843656542676423982e+01
5.400000000000000355e-01 3.501036212587185048e+01
5.600000000000000533e-01 3.189587123581385342e+01
5.799999999999999600e-01 2.906174691787078856e+01
5.999999999999999778e-01 2.647385176081241909e+01
6.199999999999999956e-01 2.411029447973769280e+01
6.400000000000000133e-01 2.194657764612897921e+01
6.600000000000000311e-01 1.996651471354336849e+01
6.800000000000000488e-01 1.815168121452009586e+01
7.000000000000000666e-01 1.648955448530529821e+01
7.199999999999999734e-01 1.496575575271722514e+01
7.399999999999999911e-01 1.357025339888369331e+01
7.600000000000000089e-01 1.229149824927542234e+01
7.800000000000000266e-01 1.112124013024065405e+01
8.000000000000000444e-01 1.004999382765717364e+01
8.200000000000000622e-01 9.070839764738659383e+00
8.399999999999999689e-01 8.175853198739096328e+00
8.599999999999999867e-01 7.359146299038584971e+00
8.800000000000000044e-01 6.614011587861778452e+00
9.000000000000000222e-01 5.935387548870240337e+00
9.200000000000000400e-01 5.317542343645096814e+00
9.400000000000000577e-01 4.756094545063840329e+00
9.599999999999999645e-01 4.246112714768282004e+00
9.799999999999999822e-01 3.783788261232925443e+00
1.000000000000000000e+00 3.364860167167762484e+00
1.020000000000000018e+00 2.986012684534885331e+00
1.040000000000000036e+00 2.643557799480907633e+00
1.060000000000000053e+00 2.334612878833704386e+00
1.080000000000000071e+00 2.055989705596477979e+00
1.100000000000000089e+00 1.805194106916816477e+00
1.120000000000000107e+00 1.579481913504907631e+00
1.140000000000000124e+00 1.376712834975862831e+00
1.159999999999999920e+00 1.194542192808311309e+00
1.179999999999999938e+00 1.031154166079289780e+00
1.199999999999999956e+00 8.845647396759881431e-01
1.219999999999999973e+00 7.532543332697372307e-01
1.239999999999999991e+00 6.355626789572230706e-01
1.260000000000000009e+00 5.302371652059911789e-01
1.280000000000000027e+00 4.359045394016218822e-01
1.300000000000000044e+00 3.515484954613155022e-01
1.320000000000000062e+00 2.760462814442979362e-01
1.340000000000000080e+00 2.085867396860604517e-01
1.360000000000000098e+00 1.482622089311410596e-01
1.380000000000000115e+00 9.443620353447923499e-02
1.400000000000000133e+00 4.638264893083771101e-02
1.419999999999999929e+00 3.610660814048843870e-03
1.439999999999999947e+00 -3.445558319525215962e-02
1.459999999999999964e+00 -6.818885842052826995e-02
1.479999999999999982e+00 -9.804398260786773012e-02
1.500000000000000000e+00 -1.243014905266336401e-01
1.520000000000000018e+00 -1.473222710684324865e-01
1.540000000000000036e+00 -1.673184605791137591e-01
1.560000000000000053e+00 -1.845813451050154486e-01
1.580000000000000071e+00 -1.992756072677909218e-01
1.600000000000000089e+00 -2.116435617394093471e-01
1.620000000000000107e+00 -2.218194628119296574e-01
1.640000000000000124e+00 -2.300127237917724554e-01
1.660000000000000142e+00 -2.363395800382577239e-01
1.679999999999999938e+00 -2.409876932488053125e-01
1.699999999999999956e+00 -2.440630184237343181e-01
1.719999999999999973e+00 -2.457380175684920065e-01
1.739999999999999991e+00 -2.461120393175241228e-01
1.760000000000000009e+00 -2.453451898323147085e-01
1.780000000000000027e+00 -2.435308709536392890e-01
1.800000000000000044e+00 -2.408171478150279432e-01
1.820000000000000062e+00 -2.372903124265568486e-01
1.840000000000000080e+00 -2.330853520900828812e-01
1.860000000000000098e+00 -2.282795401494598642e-01
1.880000000000000115e+00 -2.229933677678684611e-01
1.900000000000000133e+00 -2.172932470741733568e-01
1.919999999999999929e+00 -2.112840430153982985e-01
1.939999999999999947e+00 -2.050200343667109293e-01
1.959999999999999964e+00 -1.985899863135330567e-01
1.979999999999999982e+00 -1.920355691057517578e-01
2.000000000000000000e+00 -1.854297510245997149e-01
2.020000000000000018e+00 -1.788019308773928784e-01
2.040000000000000036e+00 -1.722103038213161352e-01
2.060000000000000053e+00 -1.656730243349154585e-01
2.080000000000000071e+00 -1.592350993828622052e-01
2.100000000000000089e+00 -1.529049619187616837e-01
2.120000000000000107e+00 -1.467163713840705930e-01
2.140000000000000124e+00 -1.406698420649883097e-01
2.160000000000000142e+00 -1.347899744254734966e-01
2.180000000000000160e+00 -1.290712455253457402e-01
2.200000000000000178e+00 -1.235311513701006225e-01
2.220000000000000195e+00 -1.181599261783053550e-01
2.240000000000000213e+00 -1.129698418035848528e-01
2.260000000000000231e+00 -1.079484774153612325e-01
2.280000000000000249e+00 -1.031044939539435129e-01
2.300000000000000266e+00 -9.842412477193802911e-02
2.319999999999999840e+00 -9.391371871239133362e-02
2.339999999999999858e+00 -8.955916498793613234e-02
2.359999999999999876e+00 -8.536547623974023724e-02
2.379999999999999893e+00 -8.131889740820591461e-02
2.399999999999999911e+00 -7.742377911273914948e-02
2.419999999999999929e+00 -7.366715087977783460e-02
2.439999999999999947e+00 -7.005311492427100661e-02
2.459999999999999964e+00 -6.656968948616751036e-02
2.479999999999999982e+00 -6.322093348502244581e-02
2.500000000000000000e+00 -5.999588663033277036e-02
2.520000000000000018e+00 -5.689861653211893827e-02
2.540000000000000036e+00 -5.391909947347382076e-02
2.560000000000000053e+00 -5.106136354808544359e-02
2.580000000000000071e+00 -4.831616826191537095e-02
2.600000000000000089e+00 -4.568740030241098815e-02
2.620000000000000107e+00 -4.316642209800049951e-02
2.640000000000000124e+00 -4.075686105870882092e-02
2.660000000000000142e+00 -3.845050742878357991e-02
2.680000000000000160e+00 -3.625062336407300356e-02
2.700000000000000178e+00 -3.414927929957132374e-02
2.720000000000000195e+00 -3.214929612684686022e-02
2.740000000000000213e+00 -3.024291722692749526e-02
2.760000000000000231e+00 -2.843248528962270122e-02
2.780000000000000249e+00 -2.671035440123206012e-02
2.800000000000000266e+00 -2.507839269932165410e-02
2.819999999999999840e+00 -2.352904567296130664e-02
2.839999999999999858e+00 -2.206374682229308298e-02
2.859999999999999876e+00 -2.067504975500788350e-02
2.879999999999999893e+00 -1.936402123973722869e-02
2.899999999999999911e+00 -1.812336585568297825e-02
2.919999999999999929e+00 -1.695386917252547296e-02
2.939999999999999947e+00 -1.584844466793899898e-02
2.959999999999999964e+00 -1.480768911145586078e-02
2.979999999999999982e+00 -1.382478718648116368e-02
3.000000000000000000e+00 -1.290023632957523064e-02
3.020000000000000018e+00 -1.202754995542145398e-02
3.040000000000000036e+00 -1.120720485585731223e-02
3.060000000000000053e+00 -1.043308906290854772e-02
3.080000000000000071e+00 -9.705721279905477755e-03
3.100000000000000089e+00 -9.019394185183627136e-03
3.120000000000000107e+00 -8.374712120263045484e-03
3.140000000000000124e+00 -7.766384984069605625e-03
3.160000000000000142e+00 -7.195127413153935489e-03
3.180000000000000160e+00 -6.656062322256526068e-03
3.200000000000000178e+00 -6.150022003073962740e-03
3.220000000000000195e+00 -5.672523822279477643e-03
3.240000000000000213e+00 -5.224510980004487201e-03
3.260000000000000231e+00 -4.801865906419805312e-03
3.280000000000000249e+00 -4.405625828929430124e-03
3.300000000000000266e+00 -4.032002040964405287e-03
3.320000000000000284e+00 -3.682102928845239469e-03
3.339999999999999858e+00 -3.352429578266172445e-03
3.359999999999999876e+00 -3.044136511687325995e-03
3.379999999999999893e+00 -2.753976104372512796e-03
3.399999999999999911e+00 -2.483125001471997526e-03
3.419999999999999929e+00 -2.228551592540127697e-03
3.439999999999999947e+00 -1.991433937186976380e-03
3.459999999999999964e+00 -1.768926148292633256e-03
3.479999999999999982e+00 -1.562191670606230152e-03
3.500000000000000000e+00 -1.368545892514154904e-03
3.520000000000000018e+00 -1.189126806505772307e-03
3.540000000000000036e+00 -1.021392544127144256e-03
3.560000000000000053e+00 -8.664498038932231866e-04
3.580000000000000071e+00 -7.218863034614010068e-04
3.600000000000000089e+00 -5.887758860273682683e-04
3.620000000000000107e+00 -4.648271268032387127e-04
3.640000000000000124e+00 -3.510827081585896135e-04
3.660000000000000142e+00 -2.453666052497125534e-04
3.680000000000000160e+00 -1.486941448325830161e-04
3.700000000000000178e+00 -5.900133215076773237e-05
3.720000000000000195e+00 2.271904651231728989e-05
3.740000000000000213e+00 9.842131348545554237e-05
3.760000000000000231e+00 1.671303425191448362e-04
3.780000000000000249e+00 2.306930023896849890e-04
3.800000000000000266e+00 2.881475987216448984e-04
3.820000000000000284e+00 3.412362508246420591e-04
3.839999999999999858e+00 3.890075791147174682e-04
3.859999999999999876e+00 4.331025072395637077e-04
3.879999999999999893e+00 4.725781808473101912e-04
3.899999999999999911e+00 5.089788639488153658e-04
3.919999999999999929e+00 5.413697645982612104e-04
3.939999999999999947e+00 5.712039426770175541e-04
3.959999999999999964e+00 5.975553731071708580e-04
3.979999999999999982e+00 6.217920900147718127e-04
4.000000000000000000e+00 6.429984345414535866e-04
4.020000000000000462e+00 6.624640345127292412e-04
4.040000000000000036e+00 6.792857728956842606e-04
4.060000000000000497e+00 6.946816254759341199e-04
4.080000000000000071e+00 7.077634430125370616e-04
4.099999999999999645e+00 7.196841446534331692e-04
4.120000000000000107e+00 7.295729336014204021e-04
4.139999999999999680e+00 7.385238609105472139e-04
4.160000000000000142e+00 7.456855948078166619e-04
4.179999999999999716e+00 7.520989227960416012e-04
4.200000000000000178e+00 7.569336591209799075e-04
4.219999999999999751e+00 7.611822379632419977e-04
4.240000000000000213e+00 7.640367816831716971e-04
4.259999999999999787e+00 7.664455520726642067e-04
4.280000000000000249e+00 7.676236085782322345e-04
4.299999999999999822e+00 7.684785173903971919e-04
4.320000000000000284e+00 7.682484081444624757e-04
4.339999999999999858e+00 7.678029984980228083e-04
4.360000000000000320e+00 7.664032058177246533e-04
4.379999999999999893e+00 7.648832179784983715e-04
4.400000000000000355e+00 7.625261433681537445e-04
4.419999999999999929e+00 7.601325503142653548e-04
4.440000000000000391e+00 7.570069363217249696e-04
4.459999999999999964e+00 7.539178678187628130e-04
4.480000000000000426e+00 7.501903299294747710e-04
4.500000000000000000e+00 7.465623188947784076e-04
4.520000000000000462e+00 7.423783921595549645e-04
4.540000000000000036e+00 7.383473067428771757e-04
4.560000000000000497e+00 7.338323311083868195e-04
4.580000000000000071e+00 7.295142770475747775e-04
4.600000000000000533e+00 7.247743616038159788e-04
4.620000000000000107e+00 7.202667466861742678e-04
4.639999999999999680e+00 7.153899529197370192e-04
4.660000000000000142e+00 7.107728056027875271e-04
4.679999999999999716e+00 7.058306026505330568e-04
4.700000000000000178e+00 7.011681624981789271e-04
4.719999999999999751e+00 6.962171390213792123e-04
4.740000000000000213e+00 6.915596764205932676e-04
4.759999999999999787e+00 6.866434431423732929e-04
4.780000000000000249e+00 6.820292223562570083e-04
4.799999999999999822e+00 6.771804079756611663e-04
