# atom Be1 T=4.4 eV, r_i=1.72, Zbar (TFDW) =2.357 , solve_err=5.282e-07
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
2.000000000000000042e-02 0.000000000000000000e+00 7.165190446904390331e-02 1.855578576918747169e-01
4.000000000000000083e-02 0.000000000000000000e+00 7.176245737206832231e-02 1.944466433298331909e-01
5.999999999999999778e-02 0.000000000000000000e+00 7.194702470400804462e-02 2.046834272997229975e-01
8.000000000000000167e-02 0.000000000000000000e+00 7.220608006636553000e-02 2.153219090636575572e-01
1.000000000000000056e-01 0.000000000000000000e+00 7.254029149939555943e-02 2.267307363233592721e-01
1.199999999999999956e-01 0.000000000000000000e+00 7.295053116386418512e-02 2.387023759740551920e-01
1.400000000000000133e-01 0.000000000000000000e+00 7.343788010194851612e-02 2.514171991722513599e-01
1.600000000000000033e-01 0.000000000000000000e+00 7.400364125918645897e-02 2.647778836957324078e-01
1.799999999999999933e-01 8.437694987151189707e-15 7.464934515563237394e-02 2.788995529395281725e-01
2.000000000000000111e-01 5.895284260759581230e-13 7.537676504517420994e-02 2.937180212304243421e-01
2.200000000000000011e-01 1.884736811064158246e-11 7.618791971713123612e-02 3.093134681249870566e-01
2.399999999999999911e-01 3.340825394104740553e-10 7.708509037142308173e-02 3.256303492466627869e-01
2.600000000000000089e-01 3.765591838345017095e-09 7.807081198209897543e-02 3.427241416744205571e-01
2.800000000000000266e-01 2.972392110223154305e-08 4.435839043045914920e+00 3.605364319415840235e-01
2.999999999999999889e-01 1.765641897133463090e-07 3.971312361412257630e+00 3.791022233151939425e-01
3.200000000000000067e-01 8.321012993084409004e-07 3.579125486789281663e+00 3.983536380661562015e-01
3.400000000000000244e-01 3.242637106382062484e-06 3.246115645313930820e+00 4.183077957962159088e-01
3.599999999999999867e-01 1.078046029667767414e-05 2.961828161831021600e+00 4.388833205572881813e-01
3.800000000000000044e-01 3.136789092250680255e-05 2.717905683185663612e+00 4.600823634084042490e-01
4.000000000000000222e-01 8.145824609295804208e-05 2.507625522307685095e+00 4.818075580846193917e-01
4.199999999999999845e-01 1.919692544397610945e-04 2.325546581847835803e+00 5.040506530995221279e-01
4.400000000000000022e-01 4.158344955361714668e-04 2.167238817920507099e+00 5.266962226477727160e-01
4.600000000000000200e-01 8.374824387987755969e-04 2.029074488412761834e+00 5.497335773069764731e-01
4.799999999999999822e-01 1.581665343579841121e-03 1.908066308450072190e+00 5.730246533639862250e-01
5.000000000000000000e-01 2.824494238707675464e-03 1.801741124156719387e+00 5.965731616459757358e-01
5.200000000000000178e-01 4.796401802659278069e-03 1.708040830682678202e+00 6.201975140972083578e-01
5.400000000000000355e-01 7.797719422967919201e-03 1.625244159350029305e+00 6.439848312571858635e-01
5.600000000000000533e-01 1.213904997170145439e-02 1.551904645503845437e+00 6.672089983055725648e-01
5.799999999999999600e-01 1.810815513628183382e-02 1.486801132979761686e+00 6.892289853714758108e-01
5.999999999999999778e-01 2.603313743549307002e-02 1.428898100704018237e+00 7.102106390739385544e-01
6.199999999999999956e-01 3.619794109929774795e-02 1.377313685400600729e+00 7.300939263331418516e-01
6.400000000000000133e-01 4.886818448519036906e-02 1.331293792070298299e+00 7.489514312792657780e-01
6.600000000000000311e-01 6.423537615866170558e-02 1.290191027970278626e+00 7.667622305007197880e-01
6.800000000000000488e-01 8.244512591334185458e-02 1.253447482861123063e+00 7.835758637803458271e-01
7.000000000000000666e-01 1.035494092633417740e-01 1.220580590838643786e+00 7.993882364251886363e-01
7.199999999999999734e-01 1.275446425190100985e-01 1.191171462625587374e+00 8.142415005684109364e-01
7.399999999999999911e-01 1.543308469728834620e-01 1.164855220324720886e+00 8.281433214064226611e-01
7.600000000000000089e-01 1.837594551591960057e-01 1.141312938950687972e+00 8.411347334429530864e-01
7.800000000000000266e-01 2.155974975582002351e-01 1.120264910017036541e+00 8.532330163761162600e-01
8.000000000000000444e-01 2.495819956744761425e-01 1.101464956783918536e+00 8.644806171880885515e-01
8.200000000000000622e-01 2.853867177029423274e-01 1.084695645781295514e+00 8.749026184328708711e-01
8.399999999999999689e-01 3.226791306049044961e-01 1.069764132631859432e+00 8.845433929278105900e-01
8.599999999999999867e-01 3.610875324739246661e-01 1.056498395864642115e+00 8.934338448052415727e-01
8.800000000000000044e-01 4.002569568704329450e-01 1.044744413769483904e+00 9.016196550081579941e-01
9.000000000000000222e-01 4.398152924270145592e-01 1.034363802966675960e+00 9.091354458496192503e-01
9.200000000000000400e-01 4.794255832426522757e-01 1.025231752270575392e+00 9.160270390593212575e-01
9.400000000000000577e-01 5.187506829526825625e-01 1.017235252815012592e+00 9.223307310807158377e-01
9.599999999999999645e-01 5.575005646297211959e-01 1.010271567464753772e+00 9.280911671730985857e-01
9.799999999999999822e-01 5.953958325579763455e-01 1.004246931069873394e+00 9.333445049561817086e-01
1.000000000000000000e+00 6.322096352598702840e-01 9.990754377559335486e-01 9.381330050637133322e-01
1.020000000000000018e+00 6.677308363649295808e-01 9.946781079150872618e-01 9.424912182047632259e-01
1.040000000000000036e+00 7.018007883000418889e-01 9.909820979289057918e-01 9.464580668524908980e-01
1.060000000000000053e+00 7.342771358024445805e-01 9.879200466627902077e-01 9.500654201044729241e-01
1.080000000000000071e+00 7.650660572416025929e-01 9.854295270429821452e-01 9.533482220472602187e-01
1.100000000000000089e+00 7.940876092638030626e-01 9.834525979270090090e-01 9.563349729763013229e-01
1.120000000000000107e+00 8.213041483415745025e-01 9.819354295234682395e-01 9.590563098541369236e-01
