# atom Be1 T=4.4 eV, r_i=1.72, Zbar (TFDW) =2.357 , solve_err=2.706e-09
#  r/r_i 				 βuii_eff(r/r_i)
2.000000000000000042e-02 3.792746619137413404e+02
4.000000000000000083e-02 1.844603118676344309e+02
5.999999999999999778e-02 1.195789300087177054e+02
8.000000000000000167e-02 8.718709436354404829e+01
1.000000000000000056e-01 6.778418403394117320e+01
1.199999999999999956e-01 5.487770422188301467e+01
1.400000000000000133e-01 4.568007930194143285e+01
1.600000000000000033e-01 3.880146617143248733e+01
1.799999999999999933e-01 3.346683514479643407e+01
2.000000000000000111e-01 2.921362830085531925e+01
2.200000000000000011e-01 2.574556128226420881e+01
2.399999999999999911e-01 2.286683908259010423e+01
2.600000000000000089e-01 2.044048551786770673e+01
2.800000000000000266e-01 1.836998186001097011e+01
2.999999999999999889e-01 1.658340866072897768e+01
3.200000000000000067e-01 1.502790898133065056e+01
3.400000000000000244e-01 1.366209088047585141e+01
3.599999999999999867e-01 1.245470508404175725e+01
3.800000000000000044e-01 1.138019815557299452e+01
4.000000000000000222e-01 1.041900611388844666e+01
4.199999999999999845e-01 9.554432738235787426e+00
4.400000000000000022e-01 8.773700003320142216e+00
4.600000000000000200e-01 8.065340724559607821e+00
4.799999999999999822e-01 7.420786897399754167e+00
5.000000000000000000e-01 6.831727994019697547e+00
5.200000000000000178e-01 6.292490574292440186e+00
5.400000000000000355e-01 5.796318529935884811e+00
5.600000000000000533e-01 5.343024176342180631e+00
5.799999999999999600e-01 4.931911662193437351e+00
5.999999999999999778e-01 4.557235899111159227e+00
6.199999999999999956e-01 4.215445188591938397e+00
6.400000000000000133e-01 3.902670398056364842e+00
6.600000000000000311e-01 3.616105829304375519e+00
6.800000000000000488e-01 3.352910130685883061e+00
7.000000000000000666e-01 3.110909193846683074e+00
7.199999999999999734e-01 2.887952408610169996e+00
7.399999999999999911e-01 2.682344808459358187e+00
7.600000000000000089e-01 2.492424707350644475e+00
7.800000000000000266e-01 2.316856041689896450e+00
8.000000000000000444e-01 2.154332868155807823e+00
8.200000000000000622e-01 2.003789238002304351e+00
8.399999999999999689e-01 1.864183398377982526e+00
8.599999999999999867e-01 1.734654757626026944e+00
8.800000000000000044e-01 1.614361258131360000e+00
9.000000000000000222e-01 1.502600352535660599e+00
9.200000000000000400e-01 1.398683403475376785e+00
9.400000000000000577e-01 1.302031098403301224e+00
9.599999999999999645e-01 1.212074490421085615e+00
9.799999999999999822e-01 1.128331643467786360e+00
1.000000000000000000e+00 1.050328347671436013e+00
1.020000000000000018e+00 9.776606132203562449e-01
1.040000000000000036e+00 9.099302312843500218e-01
1.060000000000000053e+00 8.467963675814988989e-01
1.080000000000000071e+00 7.879225315221440873e-01
1.100000000000000089e+00 7.330196241436153226e-01
1.120000000000000107e+00 6.818018141669810461e-01
1.140000000000000124e+00 6.340227864229839305e-01
1.159999999999999920e+00 5.894386688690151921e-01
1.179999999999999938e+00 5.478388031804916070e-01
1.199999999999999956e+00 5.090143264598215866e-01
1.219999999999999973e+00 4.727844834447476607e-01
1.239999999999999991e+00 4.389697950917251790e-01
1.260000000000000009e+00 4.074147080947169153e-01
1.280000000000000027e+00 3.779645224604682441e-01
1.300000000000000044e+00 3.504850072111244108e-01
1.320000000000000062e+00 3.248424372823825457e-01
1.340000000000000080e+00 3.009206776986116938e-01
1.360000000000000098e+00 2.786038141434676318e-01
1.380000000000000115e+00 2.577911103922677083e-01
1.400000000000000133e+00 2.383818188758697887e-01
1.419999999999999929e+00 2.202883401031038024e-01
1.439999999999999947e+00 2.034228780066778264e-01
1.459999999999999964e+00 1.877090701462483247e-01
1.479999999999999982e+00 1.730702136730467855e-01
1.500000000000000000e+00 1.594395874491838783e-01
1.520000000000000018e+00 1.467500224763979844e-01
1.540000000000000036e+00 1.349430989106552015e-01
1.560000000000000053e+00 1.239598729574243607e-01
1.580000000000000071e+00 1.137491010330221597e-01
1.600000000000000089e+00 1.042589657751431254e-01
1.620000000000000107e+00 9.544445474195688284e-02
1.640000000000000124e+00 8.725995305339231956e-02
1.660000000000000142e+00 7.966588382749345554e-02
1.679999999999999938e+00 7.262205534215802893e-02
1.699999999999999956e+00 6.609365395118060871e-02
1.719999999999999973e+00 6.004525049775985557e-02
1.739999999999999991e+00 5.444622298956783985e-02
1.760000000000000009e+00 4.926534102317065705e-02
1.780000000000000027e+00 4.447568443558975321e-02
1.800000000000000044e+00 4.004973625294777628e-02
1.820000000000000062e+00 3.596385439710420018e-02
1.840000000000000080e+00 3.219381356412910622e-02
1.860000000000000098e+00 2.871887946273348619e-02
1.880000000000000115e+00 2.551774837569468699e-02
1.900000000000000133e+00 2.257226703296863826e-02
1.919999999999999929e+00 1.986372566292823189e-02
1.939999999999999947e+00 1.737626121115041361e-02
1.959999999999999964e+00 1.509346565187559379e-02
1.979999999999999982e+00 1.300150566086971660e-02
2.000000000000000000e+00 1.108601299994829703e-02
2.020000000000000018e+00 9.334949790057852845e-03
2.040000000000000036e+00 7.735752046699176029e-03
2.060000000000000053e+00 6.277966263177704731e-03
2.080000000000000071e+00 4.950620786047056632e-03
2.100000000000000089e+00 3.744656421672275075e-03
2.120000000000000107e+00 2.650503404770580135e-03
2.140000000000000124e+00 1.660326117851379860e-03
2.160000000000000142e+00 7.657860144311121921e-04
2.180000000000000160e+00 -3.988176068412709052e-05
2.200000000000000178e+00 -7.639369008629531355e-04
2.220000000000000195e+00 -1.412209648959663775e-03
2.240000000000000213e+00 -1.991016267582047632e-03
2.260000000000000231e+00 -2.505373087028009340e-03
2.280000000000000249e+00 -2.960772742665874514e-03
2.300000000000000266e+00 -3.361524118286989861e-03
2.319999999999999840e+00 -3.712401728391746814e-03
2.339999999999999858e+00 -4.017100475930524169e-03
2.359999999999999876e+00 -4.279769286472789175e-03
2.379999999999999893e+00 -4.503570789025863885e-03
2.399999999999999911e+00 -4.692109187670157056e-03
2.419999999999999929e+00 -4.848086014421820224e-03
2.439999999999999947e+00 -4.974631229559626708e-03
2.459999999999999964e+00 -5.074047105566921456e-03
2.479999999999999982e+00 -5.149050662462406613e-03
2.500000000000000000e+00 -5.201598538977133743e-03
2.520000000000000018e+00 -5.234048079577491991e-03
2.540000000000000036e+00 -5.248056748902770602e-03
2.560000000000000053e+00 -5.245668481406950967e-03
2.580000000000000071e+00 -5.228281811207740291e-03
2.600000000000000089e+00 -5.197667463902746511e-03
