# atom C1 T=2.0 eV, r_i=3.51, Zbar (TFDW) =1.476 , solve_err=4.731e-07
#  r/r_i 				 gii(r/r_i) 				 gie(r/r_i) 				 gee(r/r_i)
2.000000000000000042e-02 0.000000000000000000e+00 6.586973542608132171e-02 2.912144466198184345e-01
4.000000000000000083e-02 0.000000000000000000e+00 6.596524330161335214e-02 2.989202778601897093e-01
5.999999999999999778e-02 0.000000000000000000e+00 6.612463833110882039e-02 3.084290791941429744e-01
8.000000000000000167e-02 0.000000000000000000e+00 6.634824590607868444e-02 3.185155879832842762e-01
1.000000000000000056e-01 0.000000000000000000e+00 6.663653180050854719e-02 3.296236499924778407e-01
1.199999999999999956e-01 0.000000000000000000e+00 6.699010689166728927e-02 3.414860985619003753e-01
1.400000000000000133e-01 0.000000000000000000e+00 6.740974118060227838e-02 3.543008561311997706e-01
1.600000000000000033e-01 0.000000000000000000e+00 6.789637227699030220e-02 3.679342609952125365e-01
1.799999999999999933e-01 0.000000000000000000e+00 6.845112448794965498e-02 3.824951121196407122e-01
2.000000000000000111e-01 0.000000000000000000e+00 6.907532022308005004e-02 3.978837847940921435e-01
2.200000000000000011e-01 0.000000000000000000e+00 6.977050500899106833e-02 4.141577812975578698e-01
2.399999999999999911e-01 0.000000000000000000e+00 7.053846016479536907e-02 4.312208658620991786e-01
2.600000000000000089e-01 0.000000000000000000e+00 7.138123712865251935e-02 4.490924384994602336e-01
2.800000000000000266e-01 0.000000000000000000e+00 7.230116474843972796e-02 4.676668296067407748e-01
2.999999999999999889e-01 0.000000000000000000e+00 3.743420283002177218e+00 4.869321918918265713e-01
3.200000000000000067e-01 0.000000000000000000e+00 3.317940528342299800e+00 5.067683871509330862e-01
3.400000000000000244e-01 0.000000000000000000e+00 2.963938404081229550e+00 5.271384529264441232e-01
3.599999999999999867e-01 0.000000000000000000e+00 2.667345788116553429e+00 5.479076485267491137e-01
3.800000000000000044e-01 0.000000000000000000e+00 2.417228257943853986e+00 5.690214030225568820e-01
4.000000000000000222e-01 0.000000000000000000e+00 2.205020012812813235e+00 5.903337193662010485e-01
4.199999999999999845e-01 0.000000000000000000e+00 2.023959873903784512e+00 6.117819144553929833e-01
4.400000000000000022e-01 0.000000000000000000e+00 1.868671677154267075e+00 6.332140908527247314e-01
4.600000000000000200e-01 0.000000000000000000e+00 1.734850332924127381e+00 6.545708611412296429e-01
4.799999999999999822e-01 0.000000000000000000e+00 1.619024921444657927e+00 6.756996468542270096e-01
5.000000000000000000e-01 0.000000000000000000e+00 1.518378852010872970e+00 6.965578799467435633e-01
5.200000000000000178e-01 0.000000000000000000e+00 1.430612218502498534e+00 7.169934396505456276e-01
5.400000000000000355e-01 0.000000000000000000e+00 1.353835850812242558e+00 7.370000003296462987e-01
5.600000000000000533e-01 0.000000000000000000e+00 1.286489120968100641e+00 7.564093474920107196e-01
5.799999999999999600e-01 0.000000000000000000e+00 1.227275851485686298e+00 7.753154232966945614e-01
5.999999999999999778e-01 0.000000000000000000e+00 1.175113959084982174e+00 7.930795690783501994e-01
6.199999999999999956e-01 0.000000000000000000e+00 1.129095718234295331e+00 8.091893540364161197e-01
